Date,Open,High,Low,Close,Volume
1995-09-14,2.1661,2.2718,2.1661,2.2453,12915900
1995-09-15,2.2189,2.2718,2.1925,2.2453,3802500
1995-09-18,2.2189,2.2982,2.2189,2.2453,1345500
1995-09-19,2.2189,2.2982,2.2189,2.2189,1305000
1995-09-20,2.2189,2.2982,2.2189,2.2453,648900
1995-09-21,2.2189,2.2718,2.2189,2.2718,1063800
1995-09-22,2.2189,2.2718,2.2189,2.2189,621000
1995-09-25,2.2189,2.2718,2.2189,2.2453,594000
1995-09-26,2.2189,2.2718,2.2189,2.2189,686700
1995-09-27,2.2718,2.2982,2.2189,2.2453,1115100
1995-09-28,2.2718,2.2718,2.2189,2.2189,69300
1995-09-29,2.2844,2.2982,2.2453,2.2982,237600
1995-10-02,2.2453,2.3246,2.2453,2.2453,256500
1995-10-03,2.2453,2.3246,2.2453,2.3246,548100
1995-10-04,2.2844,2.3510,2.2718,2.2982,281700
1995-10-05,2.2982,2.3774,2.2982,2.3373,432900
1995-10-06,2.2982,2.3774,2.2982,2.3774,498600
1995-10-09,2.2982,2.3774,2.2982,2.3774,57600
1995-10-10,2.2982,2.3246,2.2718,2.2718,1080000
1995-10-11,2.2718,2.2982,2.2718,2.2982,140400
1995-10-12,2.2718,2.3774,2.2718,2.3373,321300
1995-10-13,2.3373,2.3774,2.2982,2.3373,1192500
1995-10-16,2.2982,2.3373,2.2982,2.3246,100800
1995-10-17,2.2982,2.3774,2.2982,2.3119,127800
1995-10-18,2.3774,2.3774,2.3119,2.3246,57600
1995-10-19,2.3774,2.3774,2.3119,2.3119,405900
1995-10-20,2.3119,2.3774,2.2591,2.2591,349200
1995-10-23,2.2982,2.2982,2.2591,2.2591,431100
1995-10-24,2.2591,2.3246,2.2591,2.2844,1346400
1995-10-25,2.3246,2.3246,2.2844,2.2844,323100
1995-10-26,2.2844,2.3246,2.2844,2.2844,240300
1995-10-27,2.2844,2.3510,2.2844,2.3373,541800
1995-10-30,2.3119,2.3510,2.2982,2.2982,130500
1995-10-31,2.2982,2.3510,2.2982,2.3246,153000
1995-11-01,2.2982,2.3246,2.2982,2.3119,205200
1995-11-02,2.3246,2.3246,2.2982,2.3119,179100
1995-11-03,2.3246,2.3246,2.2982,2.3119,69300
1995-11-06,2.2982,2.3246,2.2718,2.2844,232200
1995-11-07,2.2718,2.2982,2.2453,2.2982,364500
1995-11-08,2.2453,2.2453,2.2453,2.2453,16200
1995-11-09,2.2453,2.2982,2.2453,2.2453,67500
1995-11-10,2.2453,2.2453,2.1925,2.1925,178200
1995-11-13,2.1925,2.2453,2.1788,2.2189,478800
1995-11-14,2.2453,2.2453,2.1788,2.2189,63900
1995-11-15,2.1661,2.2327,2.1661,2.1661,17100
1995-11-16,2.1661,2.1925,2.1534,2.1788,291600
1995-11-17,2.1534,2.1534,2.1006,2.1259,252900
1995-11-20,2.1133,2.1397,2.1133,2.1133,75600
1995-11-21,2.1133,2.1397,2.1133,2.1397,3600
1995-11-22,2.1397,2.1925,2.1259,2.1925,109800
1995-11-24,2.1397,2.1397,2.1397,2.1397,18000
1995-11-27,2.1397,2.1397,2.1397,2.1397,4500
1995-11-28,2.1925,2.2189,2.1397,2.2189,551700
1995-11-29,2.2189,2.2189,2.1661,2.1661,271800
1995-11-30,2.1661,2.3510,2.1661,2.1788,1051200
1995-12-01,2.1862,2.1862,2.1006,2.1259,1290600
1995-12-04,2.1397,2.1397,2.1133,2.1397,102600
1995-12-05,2.1661,2.1661,2.1133,2.1397,141300
1995-12-06,2.1133,2.1397,2.1133,2.1397,22500
1995-12-07,2.1133,2.1133,2.1133,2.1133,57600
1995-12-08,2.1133,2.1661,2.1133,2.1397,174600
1995-12-11,2.1925,2.2189,2.1661,2.1661,64800
1995-12-12,2.2453,2.2718,2.1925,2.2327,804600
1995-12-13,2.2189,2.2453,2.2189,2.2453,45000
1995-12-14,2.2453,2.2453,2.2189,2.2453,34200
1995-12-15,2.2591,2.2591,2.2591,2.2591,4500
1995-12-18,2.2189,2.2189,2.1661,2.1788,540000
1995-12-19,2.1661,2.2327,2.1661,2.1661,13500
1995-12-20,2.1661,2.1788,2.1397,2.1788,104400
1995-12-21,2.1397,2.1661,2.1006,2.1534,221400
1995-12-22,2.1788,2.1788,2.1133,2.1133,2700
1995-12-26,2.1133,2.1397,2.1133,2.1133,508500
1995-12-27,2.1133,2.1788,2.1133,2.1259,1148400
1995-12-28,2.1397,2.1925,2.1133,2.1925,145800
1995-12-29,2.2327,2.4704,2.1788,2.4704,523800
1996-01-02,2.4303,2.4567,2.4038,2.4429,1511100
1996-01-03,2.4038,2.4567,2.4038,2.4176,1087200
1996-01-04,2.4038,2.4303,2.4038,2.4303,306000
1996-01-05,2.4038,2.4038,2.3774,2.3774,1422900
1996-01-08,2.3774,2.3774,2.3774,2.3774,0
1996-01-09,2.3774,2.4176,2.3774,2.3774,186300
1996-01-10,2.3774,2.4038,2.3774,2.3774,46800
1996-01-11,2.3774,2.3774,2.3774,2.3774,7200
1996-01-12,2.3774,2.4038,2.3373,2.3373,48600
1996-01-15,2.4038,2.4038,2.3637,2.3637,19800
1996-01-16,2.3637,2.3637,2.3246,2.3246,18000
1996-01-17,2.3246,2.4038,2.3246,2.3246,147600
1996-01-18,2.2591,2.2982,2.2453,2.2591,34200
1996-01-19,2.2591,2.2591,2.2591,2.2591,0
1996-01-22,2.2453,2.2982,2.2453,2.2982,95400
1996-01-23,2.2453,2.2453,2.1661,2.1661,100800
1996-01-24,2.1661,2.1661,2.1133,2.1661,254700
1996-01-25,2.1661,2.1661,2.1534,2.1661,27900
1996-01-26,2.1259,2.1534,2.1259,2.1534,18000
1996-01-29,2.1397,2.1661,2.1397,2.1661,83700
1996-01-30,2.1661,2.1661,2.1397,2.1534,46800
1996-01-31,2.1661,2.1925,2.1397,2.1534,378000
1996-02-01,2.1397,2.1397,2.1259,2.1259,81000
1996-02-02,2.1133,2.1661,2.1133,2.1661,15300
1996-02-05,2.1133,2.1133,2.1133,2.1133,21600
1996-02-06,2.1133,2.1661,2.1133,2.1661,40500
1996-02-07,2.1661,2.1661,2.1661,2.1661,4500
1996-02-08,2.1133,2.1661,2.1133,2.1133,119700
1996-02-09,2.1661,2.1661,2.1661,2.1661,6300
1996-02-12,2.1133,2.1397,2.0869,2.1133,279000
1996-02-13,2.0869,2.1259,2.0869,2.1259,51300
1996-02-14,2.1259,2.1259,2.1133,2.1133,14400
1996-02-15,2.1133,2.1133,2.1133,2.1133,30600
1996-02-16,2.1259,2.1661,2.0932,2.0932,1059300
1996-02-20,2.1397,2.1397,2.1006,2.1006,740700
1996-02-21,2.1259,2.1259,2.1006,2.1259,51300
1996-02-22,2.1259,2.1259,2.1259,2.1259,234000
1996-02-23,2.1006,2.1397,2.1006,2.1133,1557000
1996-02-26,2.1534,2.1534,2.1006,2.1133,1207800
1996-02-27,2.1534,2.1534,2.1006,2.1133,214200
1996-02-28,2.1397,2.1397,2.1006,2.1397,12600
1996-02-29,2.1534,2.1661,2.1133,2.1397,968400
1996-03-01,2.1397,2.1397,2.1259,2.1259,390600
1996-03-04,2.1133,2.1397,2.1133,2.1397,753300
1996-03-05,2.1397,2.1397,2.1006,2.1333,28800
1996-03-06,2.1397,2.1397,2.1006,2.1259,911700
1996-03-07,2.1259,2.1259,2.1259,2.1259,0
1996-03-08,2.1006,2.1397,2.1006,2.1133,36000
1996-03-11,2.1788,2.1788,2.1259,2.1259,45900
1996-03-12,2.1259,2.1259,2.1259,2.1259,9000
1996-03-13,2.1788,2.1788,2.1259,2.1259,45900
1996-03-14,2.1259,2.1788,2.1006,2.1006,219600
1996-03-15,2.1133,2.1133,2.1006,2.1006,110700
1996-03-18,2.1133,2.1661,2.1006,2.1661,525600
1996-03-19,2.1133,2.1661,2.1006,2.1661,130500
1996-03-20,2.1259,2.1259,2.1133,2.1133,1078200
1996-03-21,2.1259,2.1661,2.1259,2.1534,96300
1996-03-22,2.1259,2.1397,2.1133,2.1259,132300
1996-03-25,2.1259,2.1259,2.1133,2.1259,513000
1996-03-26,2.1133,2.1133,2.1006,2.1006,94500
1996-03-27,2.1006,2.1006,2.1006,2.1006,9000
1996-03-28,2.1006,2.1006,2.1006,2.1006,0
1996-03-29,2.1259,2.1661,2.1259,2.1661,90900
