Date,Open,High,Low,Close,Volume
2001-07-19,10.7315,10.8665,10.6604,10.7812,34994300
2001-07-20,10.6960,10.6960,10.5183,10.6675,9238500
2001-07-23,10.6604,10.6675,10.3406,10.6604,7501000
2001-07-24,10.6249,10.6391,10.4472,10.5609,3537300
2001-07-25,10.4472,10.6249,10.4117,10.6249,4208100
2001-07-26,10.6249,10.6533,10.3051,10.3051,6335300
2001-07-27,10.3122,10.3690,10.3051,10.3122,3524000
2001-07-30,10.3051,10.5041,10.3051,10.4472,3654300
2001-07-31,10.4543,10.6675,10.3761,10.6320,1429000
2001-08-01,10.6604,11.0158,10.5893,11.0158,2087900
2001-08-02,10.9447,11.0158,10.7315,10.9447,1717400
2001-08-03,10.9447,10.9447,10.6462,10.7670,983600
2001-08-06,10.7670,10.8168,10.6746,10.7315,777400
2001-08-07,10.7315,11.0513,10.7315,11.0158,788900
2001-08-08,10.9447,11.0868,10.6604,10.6604,2190300
2001-08-09,10.6960,11.0158,10.6604,11.0158,928000
2001-08-10,10.9447,10.9447,10.7457,10.7954,703300
2001-08-13,10.7670,10.9021,10.5893,10.6675,1770400
2001-08-14,10.6960,10.7031,10.4117,10.4472,1000800
2001-08-15,10.4827,10.5893,10.4472,10.5112,530900
2001-08-16,10.5041,10.5041,9.9853,9.9853,1522700
2001-08-17,9.9924,10.5183,9.8787,10.3193,2342400
2001-08-20,10.3761,10.9092,10.2980,10.9092,1434900
2001-08-21,10.8381,11.0868,10.6675,10.9873,1038200
2001-08-22,10.8878,10.9376,10.5041,10.9021,829000
2001-08-23,10.9802,10.9802,10.8381,10.8381,470000
2001-08-24,10.8381,11.0015,10.6604,10.9447,689000
2001-08-27,11.0015,11.1224,10.9447,11.0015,827700
2001-08-28,10.9589,11.0726,10.8381,10.9163,736900
2001-08-29,10.8665,10.8807,10.6604,10.6675,397400
2001-08-30,10.6888,10.6888,10.5538,10.6249,640100
2001-08-31,10.6604,10.7315,10.5893,10.5893,3337900
2001-09-04,10.6604,11.1224,10.6604,10.9305,1068600
2001-09-05,10.9305,10.9305,10.5893,10.5965,1053200
2001-09-06,10.4827,10.6675,10.2340,10.3051,1384500
2001-09-07,10.2695,10.4046,10.1985,10.3193,1408500
2001-09-10,10.3619,10.7741,10.3406,10.7670,622100
2001-09-17,10.7599,10.7599,10.2837,10.3761,1934300
2001-09-18,10.3761,10.6604,10.1985,10.3406,902800
2001-09-19,10.4401,10.4401,9.7507,9.9142,2415400
2001-09-20,9.8787,9.8787,9.1253,9.2035,3498900
2001-09-21,9.2390,9.2390,8.6420,9.0614,2051800
2001-09-24,9.4380,9.4380,9.2035,9.3812,1964200
2001-09-25,9.3812,9.3812,9.0258,9.0969,1827300
2001-09-26,9.2106,9.2106,8.6705,8.6705,3327200
2001-09-27,8.7131,8.7131,8.2512,8.4217,2347500
2001-09-28,8.5994,9.5588,8.5994,9.0614,2844000
2001-10-01,8.9903,9.2390,8.9903,9.0258,878800
2001-10-02,8.9192,9.0258,8.6136,8.9405,1900400
2001-10-03,9.2817,9.2817,8.9547,9.2035,2539400
2001-10-04,9.8076,9.8076,9.2177,9.5873,3108500
2001-10-05,9.7649,9.7649,9.4664,9.6299,2172300
2001-10-08,9.7294,9.7294,9.4025,9.4025,576100
2001-10-09,9.8076,9.8076,9.5091,9.5233,1601100
2001-10-10,9.4878,9.7720,9.4522,9.7152,1700400
2001-10-11,11.0158,11.0158,10.4472,10.7741,4214100
2001-10-12,10.8452,11.7620,9.0614,11.7620,5193300
2001-10-15,11.7336,12.7570,11.7336,12.4372,3277900
2001-10-16,12.5438,12.8280,12.0107,12.4016,1996000
2001-10-17,12.5438,12.6077,11.9752,12.0676,1877100
2001-10-18,12.0676,12.0676,11.8046,11.8686,942000
2001-10-19,11.8686,11.9752,11.7549,11.9752,2062500
2001-10-22,12.0818,12.4869,12.0605,12.4372,469600
2001-10-23,12.4372,12.6006,12.2737,12.5224,915400
2001-10-24,12.6219,12.6219,12.4869,12.6077,472600
2001-10-25,12.6077,12.6148,12.1742,12.6077,265100
2001-10-26,12.5793,12.6361,12.4372,12.5224,566500
2001-10-29,12.5935,12.6006,12.3661,12.4727,616200
2001-10-30,12.4087,12.4087,12.1884,12.3305,574700
2001-10-31,12.3803,12.5082,12.1529,12.4869,718600
2001-11-01,12.4514,13.2118,12.4514,13.0128,1089900
2001-11-02,13.1478,13.5743,12.8636,12.9702,2372800
2001-11-05,12.9702,12.9844,12.6290,12.8636,1552700
2001-11-06,12.7783,12.7783,12.3305,12.7712,562600
2001-11-07,13.4321,13.4321,12.7641,13.4321,1987000
2001-11-08,13.2900,14.1926,13.2900,14.1784,1747200
2001-11-09,14.0362,14.1784,13.9651,14.1784,1325400
2001-11-12,14.0362,14.0362,13.5032,13.8514,2398300
2001-11-13,14.0007,15.0951,13.9723,14.7824,1463000
2001-11-14,14.9246,15.2089,14.1926,14.3631,1391400
2001-11-15,14.2494,14.5337,14.2494,14.3916,628200
2001-11-16,14.3916,15.1023,14.3560,14.9530,639100
2001-11-19,14.9957,15.8129,14.9957,15.6353,1430000
2001-11-20,15.6068,15.6068,15.0312,15.1023,1017400
2001-11-21,15.0738,15.0738,14.0717,14.4626,1442600
2001-11-23,14.6545,14.6545,14.3987,14.6048,286500
2001-11-26,14.6972,15.3510,14.4058,15.2799,1064900
2001-11-27,15.3510,16.1683,15.2799,15.9906,1210000
2001-11-28,15.7063,15.7063,14.8251,15.5287,1415900
2001-11-29,15.5145,15.8058,14.9317,15.2302,1326400
2001-11-30,15.2515,16.1043,15.2160,16.0617,2075400
2001-12-03,17.0567,17.0567,15.9906,16.2749,1244400
2001-12-04,16.1683,17.4120,16.0972,17.1988,2087000
2001-12-05,17.3409,19.0466,17.2983,18.9400,3386200
2001-12-06,19.3096,19.3096,18.4070,18.6557,3190200
2001-12-07,18.4425,18.4425,17.6252,17.6679,1115400
2001-12-10,17.7674,18.6202,17.4120,17.4831,1732100
2001-12-11,17.4475,17.6821,17.4120,17.5968,1713200
2001-12-12,17.5897,17.9806,17.4404,17.8882,2044100
2001-12-13,17.8526,17.8597,16.4881,16.5592,1446600
2001-12-14,16.5947,16.9501,16.0901,16.8079,1156200
2001-12-17,16.9145,18.1227,16.8506,18.0943,1428100
2001-12-18,18.3004,18.5491,18.1298,18.4425,2640200
2001-12-19,18.4070,18.7481,18.0872,18.4994,1160100
2001-12-20,19.6152,19.8994,18.2009,19.2243,2425100
2001-12-21,18.9400,19.3664,18.5633,18.5847,1900500
2001-12-24,18.5847,18.5847,18.4425,18.4852,181100
2001-12-26,18.5562,18.6486,18.4852,18.6486,667000
2001-12-27,18.6415,18.6913,18.4781,18.6842,702000
2001-12-28,18.6842,18.8974,18.4781,18.8689,1174700
2001-12-31,18.8760,19.1390,18.5491,19.1319,920700
2002-01-02,19.1177,19.1248,18.4425,18.6273,900500
2002-01-03,18.6699,18.6699,17.9806,18.0445,698200
2002-01-04,20.0416,20.0416,17.9379,19.6862,2708500
2002-01-07,19.7360,19.7573,18.7979,18.7979,1113600
2002-01-08,18.8050,19.4020,17.1419,19.3877,1746900
2002-01-09,19.1887,20.1411,18.6628,19.5938,3008600
2002-01-10,19.8852,20.0060,19.3735,19.7715,2384900
2002-01-11,19.6152,19.7218,18.4852,18.8121,3910300
2002-01-14,18.1938,18.2293,17.6323,17.7247,4285500
2002-01-15,17.7674,18.4781,17.7674,18.0445,3987000
2002-01-16,18.0659,18.9542,17.6963,18.4781,3153700
2002-01-17,18.4781,18.6557,18.3643,18.4781,1226800
2002-01-18,18.4425,18.4709,18.1867,18.3075,758100
2002-01-22,18.2506,18.2506,17.6963,17.7389,1914100
2002-01-23,17.7674,17.7674,17.2770,17.4475,2515200
2002-01-24,17.9450,18.6486,17.9450,18.2648,1689200
2002-01-25,18.2293,18.3004,17.9095,17.9095,1057900
2002-01-28,17.9308,17.9308,16.4384,17.0567,3010300
2002-01-29,17.3054,17.3552,16.9003,16.9714,2563400
2002-01-30,16.8719,17.7603,16.5592,17.7318,1677500
2002-01-31,18.1227,18.5847,18.1227,18.3217,1785300
2002-02-01,20.1127,20.1127,18.3359,19.8994,2698000
2002-02-04,19.8284,19.8639,19.1959,19.4091,1659800
2002-02-05,19.1532,19.4801,19.0537,19.3309,1007200
2002-02-06,19.3309,19.3451,19.1035,19.2030,825700
