Date,Open,High,Low,Close,Volume
1984-07-19,1.3986,1.4061,1.3824,1.3824,170400
1984-07-20,1.3905,1.4061,1.3674,1.3674,51400
1984-07-23,1.3436,1.3511,1.2968,1.3124,628800
1984-07-24,1.3124,1.3511,1.3124,1.3436,223200
1984-07-25,1.3593,1.3593,1.3280,1.3511,393600
1984-07-26,1.3511,1.3674,1.3511,1.3674,259400
1984-07-27,1.3824,1.4686,1.3824,1.4686,153800
1984-07-30,1.4530,1.4686,1.4061,1.4061,76800
1984-07-31,1.4136,1.4218,1.4061,1.4136,55200
1984-08-01,1.4061,1.4530,1.4061,1.4530,508800
1984-08-02,1.4530,1.5549,1.4530,1.5468,483400
1984-08-03,1.5624,1.7030,1.5624,1.6949,655400
1984-08-06,1.7499,1.7736,1.7186,1.7499,487400
1984-08-07,1.7342,1.7655,1.7342,1.7574,269800
1984-08-08,1.7736,1.7736,1.6874,1.6874,388800
1984-08-09,1.6717,1.6874,1.6405,1.6874,297800
1984-08-10,1.7655,1.7967,1.7499,1.7574,408200
1984-08-13,1.7424,1.7811,1.7186,1.7736,259400
1984-08-14,1.7655,1.7736,1.7186,1.7186,116200
1984-08-15,1.6874,1.7030,1.6717,1.6874,280800
1984-08-16,1.6561,1.7186,1.6486,1.7030,266600
1984-08-17,1.7186,1.7424,1.6874,1.7261,61000
1984-08-20,1.7111,1.7574,1.6949,1.7499,137000
1984-08-21,1.7655,1.7967,1.7655,1.7886,88800
1984-08-22,1.7886,1.8199,1.7811,1.7886,187400
1984-08-23,1.8049,1.8749,1.7967,1.8674,444000
1984-08-24,1.8749,1.8749,1.8280,1.8280,242600
1984-08-27,1.8436,1.8511,1.8124,1.8280,224200
1984-08-28,1.8361,1.8361,1.7967,1.8124,218400
1984-08-29,1.8124,1.8199,1.7736,1.8124,96000
1984-08-30,1.8124,1.8199,1.7811,1.7811,45600
1984-08-31,1.7811,1.8049,1.7655,1.7736,88800
1984-09-04,1.7811,1.7811,1.7424,1.7499,73000
1984-09-05,1.7342,1.7342,1.6717,1.6874,140200
1984-09-06,1.6874,1.7342,1.6874,1.7186,115200
1984-09-07,1.7342,1.7499,1.7261,1.7342,207400
1984-09-10,1.7186,1.7342,1.7030,1.7261,184800
1984-09-11,1.7186,1.7261,1.6874,1.6874,601000
1984-09-12,1.6874,1.6874,1.6174,1.6249,129600
1984-09-13,1.6405,1.7030,1.6324,1.6874,104200
1984-09-14,1.7111,1.7111,1.6799,1.6874,153600
1984-09-17,1.6949,1.7111,1.6799,1.7030,93600
1984-09-18,1.7186,1.7186,1.6717,1.6874,168000
1984-09-19,1.6717,1.6717,1.5780,1.5936,341800
1984-09-20,1.5780,1.6249,1.5780,1.6249,113000
1984-09-21,1.6093,1.6717,1.6011,1.6249,122600
1984-09-24,1.6093,1.6249,1.6011,1.6093,130600
1984-09-25,1.6093,1.6093,1.5624,1.5624,473800
1984-09-26,1.5624,1.5861,1.5468,1.5780,561600
1984-09-27,1.5780,1.5861,1.4686,1.4924,321600
1984-09-28,1.4761,1.4924,1.4218,1.4299,298600
1984-10-01,1.4061,1.4061,1.3436,1.3749,885600
1984-10-02,1.3511,1.3749,1.3511,1.3674,501600
1984-10-03,1.3511,1.3674,1.3436,1.3436,835200
1984-10-04,1.3436,1.3749,1.3436,1.3749,1750600
1984-10-05,1.3749,1.4611,1.3749,1.4530,136800
1984-10-08,1.4530,1.4530,1.4061,1.4061,57600
1984-10-09,1.3905,1.4374,1.3905,1.4218,435400
1984-10-10,1.4299,1.4374,1.4136,1.4218,1005800
1984-10-11,1.4374,1.4686,1.4374,1.4686,228200
1984-10-12,1.4761,1.4843,1.4611,1.4843,240200
1984-10-15,1.4999,1.5311,1.4686,1.5155,249800
1984-10-16,1.5155,1.5468,1.4999,1.5074,216000
1984-10-17,1.5074,1.5236,1.4843,1.4999,46600
1984-10-18,1.4843,1.5311,1.4761,1.5311,106600
1984-10-19,1.5780,1.6093,1.5549,1.5549,372200
1984-10-22,1.5624,1.5936,1.5386,1.5386,201600
1984-10-23,1.5386,1.5624,1.5386,1.5624,52800
1984-10-24,1.5468,1.5624,1.5386,1.5549,93800
1984-10-25,1.5549,1.5549,1.4686,1.4924,338600
1984-10-26,1.4686,1.4686,1.3824,1.4136,105600
1984-10-29,1.4299,1.4299,1.4061,1.4136,117800
1984-10-30,1.4218,1.4299,1.4061,1.4218,225600
1984-10-31,1.4218,1.4374,1.4136,1.4374,302400
1984-11-01,1.4449,1.5311,1.4449,1.5155,588200
1984-11-02,1.4999,1.4999,1.4449,1.4449,238600
1984-11-05,1.4374,1.4761,1.4374,1.4761,44200
1984-11-06,1.4924,1.5155,1.4843,1.5155,159400
1984-11-07,1.5236,1.5236,1.4999,1.4999,101800
1984-11-08,1.5074,1.5155,1.4924,1.4999,33600
1984-11-09,1.4999,1.5236,1.4761,1.4924,212200
1984-11-12,1.4843,1.4924,1.4686,1.4843,137800
1984-11-13,1.4761,1.4924,1.4449,1.4449,233000
1984-11-14,1.4449,1.4449,1.4136,1.4136,77000
1984-11-15,1.4136,1.4374,1.4136,1.4374,28800
1984-11-16,1.4530,1.4611,1.4218,1.4218,72200
1984-11-19,1.4218,1.4530,1.4218,1.4299,51400
1984-11-20,1.4374,1.4530,1.4299,1.4299,437800
1984-11-21,1.4299,1.4374,1.4299,1.4299,103400
1984-11-23,1.4374,1.4611,1.4299,1.4611,196800
1984-11-26,1.4686,1.4843,1.4611,1.4686,67400
1984-11-27,1.4761,1.4999,1.4530,1.4843,151400
1984-11-28,1.4999,1.4999,1.4843,1.4999,75400
1984-11-29,1.4924,1.4999,1.4761,1.4924,432000
1984-11-30,1.4761,1.4761,1.4530,1.4530,60000
1984-12-03,1.4449,1.4449,1.4136,1.4136,67200
1984-12-04,1.4136,1.4218,1.4061,1.4136,104200
1984-12-05,1.4136,1.4218,1.4061,1.4061,16800
1984-12-06,1.4136,1.4449,1.4136,1.4218,33600
1984-12-07,1.4136,1.4374,1.4136,1.4374,62600
1984-12-10,1.4449,1.4449,1.4136,1.4136,175200
1984-12-11,1.4299,1.4299,1.4061,1.4061,244800
1984-12-12,1.3905,1.3905,1.3436,1.3593,324000
1984-12-13,1.3593,1.3593,1.3124,1.3124,355200
1984-12-14,1.3124,1.3124,1.2737,1.2968,674400
1984-12-17,1.2887,1.3124,1.2812,1.3124,413800
1984-12-18,1.3280,1.3905,1.3280,1.3905,828000
1984-12-19,1.4218,1.4686,1.4218,1.4374,429800
1984-12-20,1.4374,1.4686,1.4374,1.4611,141800
1984-12-21,1.4611,1.5074,1.4530,1.4999,172800
1984-12-24,1.5155,1.5386,1.5155,1.5386,285800
1984-12-26,1.5386,1.5386,1.5155,1.5155,48200
1984-12-27,1.4999,1.4999,1.4449,1.4530,99400
1984-12-28,1.4686,1.4843,1.4611,1.4611,84200
1984-12-31,1.4761,1.4924,1.4611,1.4761,73000
1985-01-02,1.4924,1.4924,1.4374,1.4374,149800
1985-01-03,1.4374,1.4530,1.4374,1.4449,297800
1985-01-04,1.4299,1.4530,1.4299,1.4449,509000
1985-01-07,1.4449,1.4686,1.4449,1.4611,28800
1985-01-08,1.4611,1.4686,1.4299,1.4299,58600
1985-01-09,1.4218,1.4449,1.4136,1.4374,120000
1985-01-10,1.4530,1.4686,1.4374,1.4530,304800
1985-01-11,1.4761,1.5236,1.4761,1.5155,1200200
1985-01-14,1.5074,1.5386,1.4999,1.5386,173000
1985-01-15,1.5549,1.6093,1.5549,1.5780,746400
1985-01-16,1.5699,1.5936,1.5624,1.5861,235200
1985-01-17,1.6011,1.6093,1.5699,1.5780,127400
1985-01-18,1.6011,1.6011,1.5624,1.5780,74600
1985-01-21,1.5624,1.6174,1.5468,1.6093,181000
1985-01-22,1.6405,1.6486,1.6249,1.6249,196800
1985-01-23,1.6249,1.6717,1.6249,1.6717,343200
1985-01-24,1.6561,1.6799,1.6561,1.6561,448800
1985-01-25,1.6636,1.6717,1.5936,1.6249,466600
1985-01-28,1.6405,1.6874,1.6249,1.6799,550600
1985-01-29,1.6949,1.6949,1.6636,1.6799,283200
1985-01-30,1.6874,1.7030,1.6636,1.6717,1380000
1985-01-31,1.6717,1.6799,1.6486,1.6799,697000
1985-02-01,1.6799,1.6799,1.6093,1.6093,577000
1985-02-04,1.5468,1.6249,1.5468,1.6249,908200
1985-02-05,1.6561,1.6799,1.6486,1.6561,565000
1985-02-06,1.6636,1.7111,1.6486,1.6949,471400
1985-02-07,1.7111,1.7499,1.7030,1.7499,173000
1985-02-08,1.7499,1.7967,1.7499,1.7967,304800
1985-02-11,1.8124,1.8905,1.8124,1.8511,638600
1985-02-12,1.8436,1.8511,1.8280,1.8511,556800
1985-02-13,1.8361,1.8592,1.8199,1.8592,511200
1985-02-14,1.8592,1.8749,1.8592,1.8592,588200
1985-02-15,1.8511,1.8592,1.8436,1.8436,447400
