Date,Open,High,Low,Close,Volume
1983-04-06,0.8900,0.9062,0.8805,0.9062,2465408
1983-04-07,0.9062,0.9254,0.9031,0.9254,2903104
1983-04-08,0.9254,0.9254,0.9126,0.9224,659696
1983-04-11,0.9224,0.9254,0.9095,0.9095,786800
1983-04-12,0.9126,0.9157,0.8933,0.9126,1030896
1983-04-13,0.9224,0.9352,0.9157,0.9190,1436400
1983-04-14,0.9254,0.9447,0.9224,0.9447,3419600
1983-04-15,0.9511,0.9511,0.9319,0.9383,528496
1983-04-18,0.9254,0.9352,0.9190,0.9352,2568208
1983-04-19,0.9190,0.9319,0.9126,0.9157,3191600
1983-04-20,0.9190,0.9447,0.9190,0.9383,1269008
1983-04-21,0.9447,0.9576,0.9285,0.9285,1392000
1983-04-22,0.9285,0.9352,0.9254,0.9285,879504
1983-04-25,0.9190,0.9319,0.9062,0.9062,1444496
1983-04-26,0.9224,0.9352,0.9062,0.9254,3601200
1983-04-27,0.9126,0.9254,0.8997,0.9031,1605904
1983-04-28,0.9095,0.9190,0.8997,0.9126,2162704
1983-04-29,0.9254,0.9447,0.9062,0.9447,1690608
1983-05-02,0.9447,0.9704,0.9319,0.9640,2937408
1983-05-03,0.9511,0.9671,0.9447,0.9640,2636800
1983-05-04,0.9704,0.9735,0.9640,0.9704,1724896
1983-05-05,0.9961,1.0121,0.9769,1.0090,3508304
1983-05-06,1.0090,1.0475,1.0090,1.0411,7874208
1983-05-09,1.0445,1.0733,1.0283,1.0699,2412896
1983-05-10,1.0797,1.0925,1.0733,1.0766,4367808
1983-05-11,1.0766,1.0861,1.0637,1.0668,2305904
1983-05-12,1.0668,1.0668,1.0154,1.0283,6579008
1983-05-13,1.0249,1.0347,1.0218,1.0316,2445104
1983-05-16,1.0283,1.0283,1.0026,1.0154,839200
1983-05-17,1.0059,1.0185,0.9897,0.9961,1511008
1983-05-18,0.9961,1.0121,0.9897,1.0121,2673104
1983-05-19,1.0026,1.0090,0.9928,0.9928,463904
1983-05-20,0.9995,1.0026,0.9961,1.0026,457904
1983-05-23,0.9961,1.0026,0.9897,1.0026,538608
1983-05-24,0.9961,1.0154,0.9897,1.0121,1735008
1983-05-25,1.0154,1.0218,1.0090,1.0154,373104
1983-05-26,1.0218,1.0475,1.0218,1.0249,4727008
1983-05-27,1.0218,1.0218,0.9961,1.0090,1769296
1983-05-31,0.9961,1.0090,0.9866,0.9961,326800
1983-06-01,0.9833,1.0026,0.9799,0.9995,2086096
1983-06-02,1.0121,1.0121,0.9928,0.9995,1168000
1983-06-03,1.0026,1.0090,0.9961,1.0059,593104
1983-06-06,1.0026,1.0090,0.9928,0.9995,419600
1983-06-07,1.0026,1.0059,0.9833,0.9833,2648896
1983-06-08,0.9769,0.9866,0.9704,0.9866,738304
1983-06-09,0.9897,0.9897,0.9833,0.9897,417600
1983-06-10,0.9897,1.0185,0.9833,1.0121,1430400
1983-06-13,1.0185,1.0283,1.0026,1.0283,857296
1983-06-14,1.0316,1.0380,1.0154,1.0218,677808
1983-06-15,1.0283,1.0733,1.0218,1.0733,1662400
1983-06-16,1.0925,1.1375,1.0892,1.1375,2231296
1983-06-17,1.1182,1.1247,1.1054,1.1152,899696
1983-06-20,1.1278,1.1439,1.1118,1.1118,790800
1983-06-21,1.1118,1.1118,1.1020,1.1118,934096
1983-06-22,1.1152,1.1247,1.1054,1.1216,3026208
1983-06-23,1.1247,1.1278,1.1054,1.1054,1214496
1983-06-24,1.0990,1.0990,1.0797,1.0861,984400
1983-06-27,1.0861,1.0861,1.0604,1.0604,542608
1983-06-28,1.0604,1.0766,1.0604,1.0699,437696
1983-06-29,1.0637,1.0699,1.0571,1.0668,171408
1983-06-30,1.0733,1.0892,1.0733,1.0861,423600
1983-07-01,1.0861,1.1311,1.0861,1.1278,1055104
1983-07-05,1.1182,1.1182,1.0668,1.0733,1545408
1983-07-06,1.0733,1.0990,1.0733,1.0956,540704
1983-07-07,1.0925,1.1118,1.0925,1.1054,641504
1983-07-08,1.1054,1.1216,1.1054,1.1054,463904
1983-07-11,1.1118,1.1182,1.1118,1.1182,468000
1983-07-12,1.1182,1.1278,1.1182,1.1182,1914496
1983-07-13,1.1216,1.1247,1.0990,1.1118,2529808
1983-07-14,1.1118,1.1182,1.1054,1.1054,3768608
1983-07-15,1.0990,1.0990,1.0797,1.0797,407408
1983-07-18,1.0668,1.0668,1.0540,1.0571,1099504
1983-07-19,1.0540,1.0571,1.0283,1.0411,1737008
1983-07-20,1.0540,1.1311,1.0540,1.1311,1129808
1983-07-21,1.1375,1.1375,1.0892,1.0925,1034896
1983-07-22,1.1020,1.1118,1.0925,1.0925,1087408
1983-07-25,1.0925,1.0925,1.0733,1.0797,353008
1983-07-26,1.0797,1.0892,1.0797,1.0861,615296
1983-07-27,1.0668,1.1054,1.0218,1.0283,2007408
1983-07-28,1.0283,1.0475,1.0218,1.0218,1262896
1983-07-29,1.0090,1.0121,0.9961,1.0026,3161408
1983-08-01,1.0026,1.0090,0.9897,0.9961,625296
1983-08-02,1.0026,1.0059,0.9961,0.9961,772704
1983-08-03,0.9961,1.0090,0.9897,1.0090,413600
1983-08-04,1.0090,1.0090,0.9833,0.9897,726208
1983-08-05,0.9833,0.9833,0.9640,0.9769,1289104
1983-08-08,0.9671,0.9671,0.9511,0.9511,1079296
1983-08-09,0.9511,0.9576,0.9190,0.9254,3338896
1983-08-10,0.9254,0.9319,0.9190,0.9319,1133808
1983-08-11,0.9383,0.9447,0.9383,0.9383,1847904
1983-08-12,0.9447,0.9447,0.9352,0.9383,260096
1983-08-15,0.9478,0.9478,0.9352,0.9352,562800
1983-08-16,0.9285,0.9352,0.9254,0.9319,2445104
1983-08-17,0.9254,0.9478,0.9254,0.9478,1714800
1983-08-18,0.9511,0.9576,0.9352,0.9352,885600
1983-08-19,0.9285,0.9576,0.9285,0.9478,593104
1983-08-22,0.9545,0.9640,0.9511,0.9511,375200
1983-08-23,0.9511,0.9511,0.9414,0.9447,92704
1983-08-24,0.9190,0.9319,0.9126,0.9319,1028896
1983-08-25,0.9319,0.9319,0.9157,0.9224,203696
1983-08-26,0.9285,0.9319,0.9190,0.9254,679904
1983-08-29,0.9157,0.9285,0.9157,0.9285,363104
1983-08-30,0.9190,0.9254,0.9126,0.9190,1535296
1983-08-31,0.9190,0.9319,0.9157,0.9190,2507696
1983-09-01,0.9254,0.9383,0.9254,0.9254,2334208
1983-09-02,0.9254,0.9447,0.9254,0.9383,1648208
1983-09-06,0.9511,0.9833,0.9511,0.9799,1868208
1983-09-07,0.9866,1.0218,0.9866,1.0218,2844704
1983-09-08,1.0218,1.0249,1.0090,1.0121,2326096
1983-09-09,0.9995,1.0121,0.9961,0.9961,1178208
1983-09-12,0.9995,0.9995,0.9769,0.9866,1242800
