Date,Open,High,Low,Close,Volume
1970-01-02,4.3718,4.4995,4.3718,4.4443,10300
1970-01-05,4.4443,4.4995,4.3906,4.4995,17600
1970-01-06,4.4995,4.5358,4.4632,4.4632,14000
1970-01-07,4.4632,4.4821,4.4269,4.4821,7700
1970-01-08,4.4632,4.4632,4.4269,4.4269,16300
1970-01-09,4.4269,4.4821,4.4095,4.4632,16800
1970-01-12,4.4443,4.4443,4.3906,4.4269,11700
1970-01-13,4.4269,4.4269,4.2992,4.2992,15900
1970-01-14,4.2992,4.3181,4.2266,4.2992,37800
1970-01-15,4.2992,4.2992,4.2455,4.2818,23500
1970-01-16,4.2818,4.3544,4.2644,4.2644,23300
1970-01-19,4.2818,4.3718,4.2818,4.3369,12600
1970-01-20,4.3369,4.3369,4.2455,4.2455,19800
1970-01-21,4.2455,4.3718,4.2455,4.2992,22400
1970-01-22,4.3181,4.4443,4.3181,4.4269,25300
1970-01-23,4.4269,4.4269,4.2455,4.2455,11900
1970-01-26,4.2455,4.2992,4.2266,4.2266,12000
1970-01-27,4.2092,4.2092,4.1541,4.1918,12700
1970-01-28,4.1918,4.1918,4.0815,4.1192,26700
1970-01-29,4.1192,4.1192,4.0089,4.0815,26100
1970-01-30,4.0815,4.1003,4.0278,4.0278,15200
1970-02-02,4.0815,4.1918,4.0815,4.1003,27200
1970-02-03,4.1003,4.1366,4.0089,4.1192,23600
1970-02-04,4.1192,4.1541,4.0466,4.1003,21300
1970-02-05,4.1003,4.1003,4.0466,4.0641,13100
1970-02-06,4.0815,4.1729,4.0815,4.1003,15200
1970-02-09,4.1003,4.2092,4.0815,4.0815,15300
1970-02-10,4.0815,4.0815,3.9915,4.0278,36400
1970-02-11,4.0278,4.0466,3.9552,4.0466,24400
1970-02-12,4.0466,4.0466,4.0089,4.0466,17500
1970-02-13,4.0466,4.0641,4.0089,4.0641,27700
1970-02-16,4.0641,4.1192,3.9552,3.9552,22700
1970-02-17,3.9552,4.0466,3.9363,3.9741,22600
1970-02-18,3.9915,4.1003,3.9915,4.1003,16800
1970-02-19,4.1003,4.1366,4.0641,4.0641,17900
1970-02-20,4.0641,4.1003,4.0278,4.1003,13000
1970-02-24,4.1003,4.1541,4.0641,4.0641,18000
1970-02-25,4.1192,4.3718,4.1192,4.3369,21700
