Date,Open,High,Low,Close,Volume
1991-06-26,1.9280,2.0782,1.9280,2.0281,16197600
1991-06-27,2.0782,2.1283,2.0151,2.0531,5980800
1991-06-28,2.0531,2.1032,2.0031,2.0401,2315202
1991-07-01,2.0782,2.0782,2.0281,2.0531,1730802
1991-07-02,2.0782,2.0782,2.0531,2.0782,1234002
1991-07-03,2.0531,2.0782,2.0031,2.0531,1179600
1991-07-05,2.0531,2.0531,1.9780,1.9780,223602
1991-07-08,1.9780,2.0531,1.9780,1.9780,534000
1991-07-09,2.0151,2.1533,1.9780,2.1283,3010002
1991-07-10,2.1533,2.3035,2.1533,2.3035,1202400
1991-07-11,2.3035,2.4037,2.2535,2.3406,2193600
1991-07-12,2.3786,2.3786,2.2785,2.3035,712002
1991-07-15,2.3286,2.3286,2.2785,2.3035,392400
1991-07-16,2.3035,2.4287,2.2785,2.4287,1489602
1991-07-17,2.3786,2.6040,2.3786,2.5539,3632802
1991-07-18,2.5539,2.6290,2.5038,2.5539,3646800
1991-07-19,2.5790,2.5790,2.4287,2.4287,1414800
1991-07-22,2.4788,2.5038,2.4287,2.4287,484800
1991-07-23,2.4287,2.4538,2.2905,2.3156,760002
1991-07-24,2.3035,2.3786,2.2535,2.2535,508800
1991-07-25,2.3236,2.3236,2.2478,2.2478,205200
1991-07-26,2.2347,2.2731,2.2226,2.2731,480000
1991-07-29,2.2984,2.2984,2.2226,2.2984,75600
1991-07-30,2.2984,2.4873,2.2478,2.4752,612000
1991-07-31,2.4752,2.5509,2.4499,2.5257,1349202
1991-08-01,2.5509,2.5509,2.5004,2.5509,311202
1991-08-02,2.5257,2.5762,2.5257,2.5257,706800
1991-08-05,2.5004,2.5762,2.4752,2.4752,724800
1991-08-06,2.4499,2.5004,2.4246,2.5004,136800
1991-08-07,2.5004,2.5004,2.4752,2.5004,204402
1991-08-08,2.5004,2.5004,2.4752,2.5004,435600
1991-08-09,2.5004,2.5004,2.4499,2.4620,343200
1991-08-12,2.4246,2.4499,2.3994,2.4499,128802
1991-08-13,2.3994,2.4499,2.3994,2.4499,127602
1991-08-14,2.4499,2.4752,2.3994,2.4752,119202
1991-08-15,2.4752,2.4752,2.4246,2.4752,157602
1991-08-16,2.4246,2.5004,2.4246,2.4499,90402
1991-08-19,2.2984,2.3741,2.2478,2.3357,402402
1991-08-20,2.3741,2.4246,2.3489,2.4246,259602
1991-08-21,2.4499,2.4752,2.3994,2.4246,400002
1991-08-22,2.4752,2.4752,2.4246,2.4752,51600
1991-08-23,2.4752,2.5257,2.4246,2.5004,114000
1991-08-26,2.4752,2.5257,2.4752,2.5257,19200
1991-08-27,2.5257,2.6267,2.4752,2.6267,538800
1991-08-28,2.6520,2.7530,2.6014,2.7025,635202
1991-08-29,2.7025,2.7025,2.6520,2.6641,260400
1991-08-30,2.7025,2.7025,2.6520,2.6772,157602
1991-09-03,2.6772,2.6772,2.6520,2.6772,230802
1991-09-04,2.6520,2.6893,2.6520,2.6520,436002
1991-09-05,2.6520,2.6772,2.6520,2.6520,144000
1991-09-06,2.6772,2.6772,2.6520,2.6520,667602
1991-09-09,2.6520,2.6772,2.6520,2.6772,106002
1991-09-10,2.6520,2.6772,2.6520,2.6520,266802
1991-09-11,2.6772,2.7277,2.6520,2.7025,424002
1991-09-12,2.7025,2.7398,2.7025,2.7025,408000
1991-09-13,2.7530,2.7530,2.7025,2.7277,358800
1991-09-16,2.7782,2.7782,2.7025,2.7277,295200
1991-09-17,2.7530,2.7530,2.7025,2.7277,98400
1991-09-18,2.7277,2.7277,2.7025,2.7025,200802
1991-09-19,2.7277,2.7277,2.7025,2.7025,382002
1991-09-20,2.7025,2.7277,2.7025,2.7025,280002
1991-09-23,2.7025,2.7530,2.7025,2.7530,613602
1991-09-24,2.7530,2.7530,2.7025,2.7277,140400
1991-09-25,2.7530,2.8035,2.7025,2.7530,814800
1991-09-26,2.8288,2.8288,2.7530,2.8035,185202
1991-09-27,2.8288,2.8288,2.7277,2.7530,222000
1991-09-30,2.7277,2.7782,2.7277,2.7277,173202
1991-10-01,2.7146,2.7530,2.6772,2.7025,2244402
1991-10-02,2.7277,2.7530,2.7277,2.7277,86802
1991-10-03,2.7398,2.7398,2.5257,2.6014,387600
1991-10-04,2.6014,2.6014,2.5257,2.5762,456402
1991-10-07,2.5509,2.5509,2.4246,2.5004,947202
1991-10-08,2.5004,2.5257,2.4246,2.5257,178002
1991-10-09,2.4752,2.6267,2.4752,2.6014,254400
1991-10-10,2.5509,2.6520,2.5509,2.6520,76002
1991-10-11,2.6520,2.7025,2.6267,2.6267,70002
1991-10-14,2.6893,2.7651,2.6772,2.7277,282000
1991-10-15,2.7277,2.8035,2.7277,2.8035,680802
1991-10-16,2.7530,2.8540,2.7530,2.8288,398802
1991-10-17,2.8035,2.9045,2.8035,2.8540,371202
1991-10-18,2.8793,2.8793,2.8035,2.8288,62802
1991-10-21,2.8035,2.8540,2.8035,2.8540,139200
1991-10-22,2.8540,2.8793,2.7782,2.7782,198402
1991-10-23,2.7782,2.8540,2.7782,2.8540,12000
1991-10-24,2.7782,2.8540,2.7025,2.7530,178800
1991-10-25,2.7530,2.7530,2.6772,2.6772,158400
1991-10-28,2.6772,2.7277,2.6772,2.7277,137202
1991-10-29,2.7277,2.7277,2.6772,2.7277,84000
1991-10-30,2.7277,2.7277,2.6772,2.7025,220002
1991-10-31,2.7025,2.7277,2.7025,2.7277,769602
1991-11-01,2.7277,2.7277,2.6772,2.7025,320802
1991-11-04,2.7530,2.7530,2.6772,2.7277,238800
1991-11-05,2.6772,2.7530,2.6772,2.7025,82800
1991-11-06,2.7530,2.7530,2.7025,2.7530,175602
1991-11-07,2.7530,2.7530,2.7025,2.7025,296400
1991-11-08,2.7025,2.7530,2.7025,2.7530,24402
1991-11-11,2.7530,2.7530,2.7025,2.7530,214002
1991-11-12,2.8035,2.8035,2.7277,2.7277,326400
1991-11-13,2.7782,2.7782,2.7277,2.7782,342000
1991-11-14,2.7530,2.8035,2.7398,2.7530,192000
1991-11-15,2.8035,2.8035,2.7025,2.7277,366000
1991-11-18,2.6267,2.7025,2.6267,2.6641,271200
1991-11-19,2.6267,2.7025,2.6014,2.6267,330000
1991-11-20,2.7025,2.7025,2.6267,2.6267,192402
1991-11-21,2.6267,2.6772,2.5762,2.6520,354000
1991-11-22,2.6520,2.7277,2.6267,2.6772,282000
1991-11-25,2.7025,2.7530,2.6014,2.6014,394002
1991-11-26,2.6520,2.6520,2.5509,2.5509,538002
1991-11-27,2.6014,2.6014,2.5257,2.6014,1076400
1991-11-29,2.5762,2.6014,2.5631,2.5631,382002
1991-12-02,2.5509,2.6520,2.5509,2.6520,756402
1991-12-03,2.6520,2.6520,2.6014,2.6520,134802
1991-12-04,2.6520,2.6772,2.6267,2.6267,490002
1991-12-05,2.6267,2.7025,2.6267,2.6520,439200
1991-12-06,2.7025,2.7277,2.6267,2.7025,174000
1991-12-09,2.7277,2.8288,2.6520,2.7782,348402
1991-12-10,2.7530,2.8288,2.7530,2.7530,50400
1991-12-11,2.8035,2.8035,2.5883,2.6772,415200
1991-12-12,2.7025,2.7782,2.7025,2.7782,319602
1991-12-13,2.8288,2.8793,2.7782,2.8035,192000
1991-12-16,2.7530,2.8035,2.7530,2.8035,615600
1991-12-17,2.8035,2.8793,2.7530,2.8035,623202
1991-12-18,2.8409,2.9550,2.8035,2.9550,969600
1991-12-19,2.9298,3.0308,2.8793,3.0308,407202
1991-12-20,3.0308,3.1571,3.0308,3.1066,526002
1991-12-23,3.1066,3.1571,3.1066,3.1187,950802
1991-12-24,3.1571,3.1571,3.0561,3.0561,204000
1991-12-26,3.0561,3.1066,3.0561,3.0561,747600
1991-12-27,3.1066,3.1823,3.0561,3.1318,680802
1991-12-30,3.1823,3.3086,3.1823,3.3086,457200
1991-12-31,3.3844,3.4602,3.2834,3.4602,1462800
1992-01-02,3.3591,3.4097,3.2581,3.3339,216402
1992-01-03,3.3339,3.3591,3.2581,3.3591,682002
1992-01-06,3.3844,3.4097,3.3086,3.4097,316002
1992-01-07,3.4097,3.4349,3.3591,3.3844,171600
1992-01-08,3.4097,3.4097,3.3339,3.4097,196002
1992-01-09,3.3591,3.4097,3.3339,3.3591,110802
1992-01-10,3.3591,3.4097,3.3086,3.4097,224400
1992-01-13,3.3339,3.4097,3.3339,3.4097,96402
1992-01-14,3.4097,3.4602,3.3844,3.4349,154002
1992-01-15,3.4097,3.4602,3.3844,3.4349,81600
1992-01-16,3.4349,3.4349,3.3844,3.3844,143202
1992-01-17,3.4349,3.4349,3.3844,3.3844,97200
1992-01-20,3.4349,3.4602,3.3844,3.4097,241200
1992-01-21,3.4097,3.4602,3.3591,3.3844,1138800
1992-01-22,3.4349,3.4349,3.3844,3.4349,217602
1992-01-23,3.4349,3.4854,3.3975,3.4854,712800
1992-01-24,3.4097,3.4854,3.4097,3.4602,298002
1992-01-27,3.4854,3.4854,3.3591,3.3591,159600
1992-01-28,3.4349,3.4349,3.3591,3.4349,693600
1992-01-29,3.4349,3.4349,3.3591,3.3591,215202
1992-01-30,3.3591,3.4349,3.3470,3.3470,896400
1992-01-31,3.4349,3.4349,3.3339,3.3339,190800
1992-02-03,3.3086,3.3591,3.3086,3.3591,108000
1992-02-04,3.3591,3.3844,3.3086,3.3844,56802
1992-02-05,3.3844,3.3844,3.3339,3.3844,130002
1992-02-06,3.3844,3.3844,3.3339,3.3591,240000
1992-02-07,3.3591,3.3591,3.2329,3.2329,165600
1992-02-10,3.2581,3.2581,3.1571,3.1571,284802
1992-02-11,3.1823,3.1823,3.0813,3.0813,347202
1992-02-12,3.1571,3.2076,3.0813,3.2076,1860000
1992-02-13,3.2076,3.2076,3.1318,3.1571,584400
1992-02-14,3.1823,3.1823,3.1571,3.1571,62400
1992-02-18,3.1823,3.2076,3.1571,3.1571,609600
1992-02-19,3.2076,3.2581,3.2076,3.2329,622002
1992-02-20,3.2581,3.4097,3.2329,3.3844,1218000
1992-02-21,3.3339,3.4349,3.3339,3.3844,955200
1992-02-24,3.3538,3.4046,3.3030,3.3030,167202
1992-02-25,3.3030,3.3538,3.2268,3.2776,262800
1992-02-26,3.3030,3.3030,3.2522,3.2654,769200
1992-02-27,3.3030,3.3030,3.2522,3.2522,140802
1992-02-28,3.3030,3.3030,3.2522,3.3030,198402
1992-03-02,3.3030,3.3792,3.2776,3.3416,1125600
1992-03-03,3.3538,3.5316,3.3538,3.4940,828402
1992-03-04,3.4554,3.4554,3.3284,3.3924,502800
1992-03-05,3.3538,3.4300,3.3538,3.4046,592800
1992-03-06,3.3792,3.4300,3.3538,3.3538,1613202
1992-03-09,3.4300,3.4300,3.3538,3.3538,154002
1992-03-10,3.3538,3.4808,3.3538,3.4808,2141202
1992-03-11,3.4300,3.4808,3.4300,3.4300,816000
1992-03-12,3.4554,3.4554,3.3538,3.4046,616800
1992-03-13,3.4300,3.4300,3.3538,3.3538,342000
1992-03-16,3.3538,3.4046,3.3538,3.4046,332802
1992-03-17,3.4046,3.4046,3.3538,3.3538,166002
1992-03-18,3.3538,3.4808,3.3538,3.4554,1060002
1992-03-19,3.5062,3.6333,3.4808,3.6333,1621602
1992-03-20,3.6333,3.7095,3.6079,3.6841,1028400
1992-03-23,3.6841,3.6841,3.6333,3.6841,649602
1992-03-24,3.6841,3.6841,3.5825,3.6333,122400
1992-03-25,3.6333,3.7603,3.5825,3.7349,899202
1992-03-26,3.7603,3.8111,3.7603,3.7989,1513602
1992-03-27,3.8111,3.8111,3.7349,3.7349,715200
1992-03-30,3.7603,3.8111,3.7603,3.8111,48000
1992-03-31,3.8111,3.8365,3.7603,3.7857,801600
1992-04-01,3.7349,3.8111,3.6079,3.6841,1681200
1992-04-02,3.7095,3.7095,3.5062,3.5316,402402
1992-04-03,3.5062,3.6079,3.4046,3.4554,776802
1992-04-06,3.5316,3.6079,3.4554,3.6079,510000
1992-04-07,3.6333,3.6587,3.5570,3.5570,1720002
1992-04-08,3.5570,3.6333,3.5316,3.5570,696000
1992-04-09,3.5825,3.5825,3.5570,3.5825,747600
1992-04-10,3.5825,3.5825,3.5570,3.5570,769602
1992-04-13,3.5825,3.5825,3.5570,3.5825,605202
1992-04-14,3.5825,3.6333,3.5570,3.5957,1425600
1992-04-15,3.6333,3.6587,3.5825,3.6587,396402
1992-04-16,3.6079,3.6587,3.4808,3.4808,603600
1992-04-20,3.4808,3.5062,3.3792,3.4178,835602
1992-04-21,3.4300,3.5316,3.4300,3.4554,840000
1992-04-22,3.5062,3.5062,3.4300,3.4686,809202
1992-04-23,3.4808,3.4808,3.4300,3.4808,321600
1992-04-24,3.4808,3.5316,3.4554,3.4808,330402
1992-04-27,3.5316,3.5316,3.4808,3.4808,446400
1992-04-28,3.4808,3.5316,3.4808,3.4808,418800
1992-04-29,3.4808,3.6079,3.4808,3.5957,833202
1992-04-30,3.5316,3.6079,3.5316,3.6079,395202
1992-05-01,3.5570,3.6079,3.5316,3.6079,406800
1992-05-04,3.6333,3.6841,3.5570,3.6587,2281200
1992-05-05,3.6841,3.6841,3.0997,3.1373,3982002
1992-05-06,3.2013,3.3030,2.9727,2.9727,3510000
1992-05-07,3.0489,3.0489,2.5153,2.7054,16466400
1992-05-08,2.7694,2.8710,2.6932,2.8710,2160402
1992-05-11,2.8965,2.9341,2.8456,2.8965,1463202
1992-05-12,2.8965,2.9219,2.7694,2.9219,1628400
1992-05-13,2.9473,2.9727,2.8710,2.9473,1576800
1992-05-14,2.9473,2.9473,2.8965,2.9473,351600
1992-05-15,2.9473,2.9473,2.8710,2.8710,870000
1992-05-18,2.9473,2.9473,2.7440,2.7948,676002
1992-05-19,2.7694,2.7948,2.5916,2.6932,1298802
1992-05-20,2.7440,2.7694,2.6932,2.7694,534402
1992-05-21,2.6932,2.7694,2.6678,2.6932,913200
1992-05-22,2.7440,2.8202,2.6932,2.7694,1300002
1992-05-26,2.7948,2.8710,2.7440,2.8202,732000
1992-05-27,2.8710,2.9473,2.8202,2.9219,1834800
1992-05-28,2.8965,2.9981,2.8965,2.9219,570402
1992-05-29,2.9219,2.9727,2.9219,2.9473,164400
1992-06-01,2.9727,3.0235,2.9727,3.0235,408402
1992-06-02,2.9981,3.0235,2.9473,2.9473,281202
1992-06-03,2.9727,2.9727,2.8456,2.8965,242802
1992-06-04,2.8965,2.8965,2.8456,2.8456,128802
1992-06-05,2.8710,2.8710,2.7694,2.8456,182802
1992-06-08,2.8456,2.8456,2.6170,2.6678,855600
1992-06-09,2.6424,2.6932,2.5407,2.6170,1747602
1992-06-10,2.6170,2.6678,2.5916,2.6170,791202
1992-06-11,2.6424,2.7440,2.6170,2.7186,1844400
1992-06-12,2.7440,2.7694,2.7186,2.7186,320802
1992-06-15,2.7694,2.7694,2.7186,2.7562,412800
1992-06-16,2.7948,2.8202,2.7186,2.8202,6439200
1992-06-17,2.8965,2.8965,2.5662,2.6170,1527600
1992-06-18,2.6170,2.7186,2.5662,2.7186,513600
1992-06-19,2.7440,2.7948,2.6932,2.7440,415602
1992-06-22,2.7948,2.7948,2.5662,2.6932,517200
1992-06-23,2.6932,2.7186,1.6769,1.7277,12468402
1992-06-24,1.7023,1.8802,1.7023,1.8161,8636400
1992-06-25,1.8547,1.8802,1.7785,1.7907,3412800
1992-06-26,1.8547,1.8547,1.7785,1.8293,2272002
1992-06-29,1.8547,1.9564,1.7785,1.9564,1483200
1992-06-30,1.9818,1.9818,1.8547,1.9564,751200
1992-07-01,1.9564,2.0072,1.8802,1.9818,880800
1992-07-02,1.9818,2.0834,1.9564,2.0580,622002
1992-07-06,2.0834,2.1342,2.0072,2.1088,1466400
1992-07-07,2.1342,2.1850,2.0580,2.0834,1798800
1992-07-08,2.0326,2.1088,2.0326,2.0834,1114800
1992-07-09,2.1088,2.1850,2.0834,2.1596,556800
1992-07-10,2.1596,2.1850,2.1342,2.1596,213600
1992-07-13,2.1850,2.2359,2.1596,2.2105,984402
1992-07-14,2.2359,2.3375,2.1596,2.3121,1212402
1992-07-15,2.3121,2.3375,2.2359,2.2989,493200
1992-07-16,2.2359,2.3121,2.2359,2.2867,202002
