Date,Open,High,Low,Close,Volume
1984-07-19,0.1571,0.1627,0.1571,0.1627,866400
1984-07-20,0.1604,0.1650,0.1604,0.1604,1946400
1984-07-23,0.1627,0.1627,0.1559,0.1559,1332000
1984-07-24,0.1559,0.1604,0.1559,0.1559,626400
1984-07-25,0.1559,0.1559,0.1525,0.1525,854400
1984-07-26,0.1525,0.1536,0.1513,0.1525,638400
1984-07-27,0.1536,0.1536,0.1513,0.1525,108000
1984-07-30,0.1513,0.1513,0.1490,0.1490,674400
1984-07-31,0.1490,0.1571,0.1490,0.1571,746400
1984-08-01,0.1571,0.1639,0.1559,0.1639,1392000
1984-08-02,0.1661,0.1696,0.1650,0.1696,3134400
1984-08-03,0.1696,0.1754,0.1685,0.1742,3240000
1984-08-06,0.1776,0.1834,0.1765,0.1834,10980000
1984-08-07,0.1822,0.1879,0.1788,0.1868,3024000
1984-08-08,0.1868,0.1890,0.1834,0.1846,9276000
1984-08-09,0.1811,0.1879,0.1811,0.1868,5030400
1984-08-10,0.1925,0.1982,0.1925,0.1982,5294400
1984-08-13,0.1960,0.1971,0.1902,0.1914,2654400
1984-08-14,0.1936,0.1960,0.1936,0.1948,2196000
1984-08-15,0.1960,0.1982,0.1925,0.1971,1982400
1984-08-16,0.1948,0.2051,0.1948,0.2051,3372000
1984-08-17,0.2051,0.2051,0.2006,0.2028,1092000
1984-08-20,0.2006,0.2040,0.2006,0.2028,804000
1984-08-21,0.2051,0.2075,0.2028,0.2028,2424000
1984-08-22,0.2040,0.2063,0.2006,0.2028,2726400
1984-08-23,0.2051,0.2051,0.1994,0.2017,1332000
1984-08-24,0.2017,0.2017,0.1994,0.1994,470400
1984-08-27,0.1994,0.2017,0.1994,0.1994,626400
1984-08-28,0.1994,0.2017,0.1994,0.2006,626400
1984-08-29,0.2028,0.2040,0.1994,0.2006,528000
1984-08-30,0.2017,0.2075,0.2017,0.2063,1742400
1984-08-31,0.2075,0.2075,0.2040,0.2051,4646400
1984-09-04,0.2051,0.2063,0.2040,0.2051,2268000
1984-09-05,0.2063,0.2086,0.2063,0.2075,2652000
1984-09-06,0.2086,0.2109,0.2075,0.2086,2258400
1984-09-07,0.2086,0.2109,0.2063,0.2063,1032000
1984-09-10,0.2063,0.2075,0.2040,0.2051,1526400
1984-09-11,0.2063,0.2097,0.2051,0.2097,432000
1984-09-12,0.2097,0.2166,0.2063,0.2155,2114400
1984-09-13,0.2177,0.2177,0.2121,0.2121,888000
1984-09-14,0.2166,0.2166,0.2097,0.2097,1392000
1984-09-17,0.2086,0.2086,0.1994,0.1994,1464000
1984-09-18,0.2006,0.2006,0.1971,0.2006,1226400
1984-09-19,0.2006,0.2017,0.1971,0.1971,972000
1984-09-20,0.1960,0.1971,0.1925,0.1925,698400
1984-09-21,0.1936,0.1971,0.1914,0.1948,1188000
1984-09-24,0.1960,0.2017,0.1948,0.1994,2174400
1984-09-25,0.1982,0.2017,0.1982,0.2017,612000
1984-09-26,0.2040,0.2040,0.1994,0.2006,1466400
1984-09-27,0.2017,0.2040,0.2017,0.2017,506400
1984-09-28,0.2006,0.2006,0.1971,0.1982,612000
1984-10-01,0.1971,0.2017,0.1960,0.1994,938400
1984-10-02,0.2006,0.2006,0.1971,0.1982,362400
1984-10-03,0.1971,0.1971,0.1948,0.1960,492000
1984-10-04,0.1971,0.1971,0.1960,0.1960,168000
1984-10-05,0.2006,0.2017,0.1994,0.2006,972000
1984-10-08,0.2028,0.2040,0.2006,0.2006,890400
1984-10-09,0.2017,0.2017,0.1994,0.1994,528000
1984-10-10,0.2017,0.2017,0.2006,0.2006,504000
1984-10-11,0.2017,0.2040,0.2017,0.2028,1142400
1984-10-12,0.2051,0.2063,0.2051,0.2063,1764000
1984-10-15,0.2063,0.2086,0.2051,0.2086,854400
1984-10-16,0.2075,0.2086,0.2075,0.2086,278400
1984-10-17,0.2075,0.2075,0.2051,0.2051,614400
1984-10-18,0.2063,0.2097,0.2051,0.2097,696000
1984-10-19,0.2097,0.2166,0.2097,0.2132,2628000
1984-10-22,0.1925,0.1971,0.1925,0.1959,266400
1984-10-23,0.1982,0.2006,0.1982,0.2006,1020000
1984-10-24,0.1994,0.2006,0.1994,0.1994,396000
1984-10-25,0.1994,0.2006,0.1994,0.2006,1464000
1984-10-26,0.2006,0.2006,0.1982,0.1994,216000
1984-10-29,0.1994,0.2006,0.1971,0.1971,1752000
