Date,Open,High,Low,Close,Volume
1984-09-07,31.7736,31.8940,31.1718,31.1718,63500
1984-09-10,31.2922,31.4125,31.2922,31.2922,37001
1984-09-11,31.5329,31.7736,31.5329,31.5329,137399
1984-09-12,32.2550,32.5535,32.2550,32.2550,118799
1984-09-13,32.6739,32.6739,32.6739,32.6739,105000
1984-09-14,32.6739,33.0975,32.6739,33.0975,78101
1984-09-17,32.9771,32.9771,32.9771,32.9771,244100
1984-09-18,32.9771,32.9771,32.4957,32.4957,79900
1984-09-19,32.4957,32.5535,32.2550,32.2550,69000
1984-09-20,32.0143,32.0143,32.0143,32.0143,176699
1984-09-21,32.0143,32.1924,31.2922,31.2922,252600
1984-09-24,31.2922,31.7736,31.0515,31.0515,62400
1984-09-25,31.0515,31.1718,30.8685,30.8685,71000
1984-09-26,31.0515,31.1718,31.0515,31.0515,132300
1984-09-27,31.0515,31.0515,30.7482,30.7482,124300
1984-09-28,30.7482,31.1718,30.7482,30.8685,210000
1984-10-01,30.8685,30.8685,30.8685,30.8685,127000
1984-10-02,31.0515,31.0515,31.0515,31.0515,161100
1984-10-03,31.0515,31.0515,30.4497,30.4497,76100
1984-10-04,30.7482,30.7482,30.7482,30.7482,139800
1984-10-05,30.7482,31.0515,30.6904,31.0515,36800
1984-10-08,30.9889,30.9889,30.9889,30.9889,358800
1984-10-09,31.2922,31.4125,31.2922,31.2922,93000
1984-10-10,31.2296,31.4125,31.1092,31.4125,122000
1984-10-11,31.5329,31.6532,31.4703,31.5907,163900
1984-10-12,31.9517,31.9517,31.6532,31.9517,119600
1984-10-15,31.9517,32.7942,31.9517,32.7942,129300
1984-10-16,32.7942,33.0349,32.7364,32.7364,149500
1984-10-17,32.7364,32.7942,32.6161,32.7364,96000
1984-10-18,32.7364,33.9978,32.6161,33.9978,205800
1984-10-19,34.6621,35.1435,34.1807,34.5418,265800
1984-10-22,34.5418,34.5418,34.2385,34.2385,82300
1984-10-23,33.3960,34.0603,32.7364,32.7942,229000
1984-10-24,32.3754,32.7364,32.0143,32.2550,246100
1984-10-25,32.2550,32.7364,32.2550,32.2550,237300
1984-10-26,31.4703,31.6532,30.9311,30.9311,307200
1984-10-29,30.9311,31.3500,30.9311,31.2296,112900
1984-10-30,31.7110,31.8940,31.2922,31.7110,201500
1984-10-31,32.2550,32.7364,31.8314,32.4331,257501
1984-11-01,32.5535,32.8568,32.3128,32.6739,264900
1984-11-02,32.7364,33.1553,32.5535,33.1553,173900
1984-11-05,33.2179,33.2179,32.9771,33.2179,41100
1984-11-06,33.3382,34.5995,33.3382,34.5995,304400
1984-11-07,34.6621,34.7825,34.2385,34.5418,223200
1984-11-08,34.4792,34.7825,34.1807,34.7825,128300
1984-11-09,33.0975,33.0975,32.5535,32.7364,1260000
1984-11-12,32.7364,32.7364,32.3754,32.6161,188200
1984-11-13,32.6161,32.8568,32.4957,32.4957,236500
1984-11-14,32.3754,32.4957,32.3128,32.3128,183600
1984-11-15,32.3754,32.4957,32.3128,32.4331,74400
1984-11-16,32.4957,32.4957,32.0143,32.0721,154000
1984-11-19,32.0143,32.0143,31.0515,31.0515,263100
1984-11-20,31.0515,31.3500,31.0515,31.1718,228000
1984-11-21,31.2922,31.2922,31.1092,31.2922,52400
1984-11-23,31.3500,31.5907,31.3500,31.5907,110100
1984-11-26,31.7110,31.8314,31.4125,31.4703,157000
1984-11-27,31.4125,32.1347,31.3500,32.0143,64700
1984-11-28,32.1924,32.4957,32.0721,32.0721,120300
1984-11-29,32.0721,32.1347,32.0143,32.0143,29600
1984-11-30,32.0143,32.0143,31.0515,31.1092,87600
1984-12-03,31.0515,31.0515,29.9683,30.2090,276300
1984-12-04,30.2090,30.5701,30.2090,30.3293,139500
1984-12-05,30.4497,30.5701,30.2090,30.2090,88500
1984-12-06,30.2090,30.4497,29.8479,30.4497,169899
1984-12-07,30.4497,30.5075,30.2668,30.2668,106500
1984-12-10,30.4497,30.8108,30.3871,30.6904,167801
1984-12-11,30.6278,30.8685,30.6278,30.8108,44600
1984-12-12,30.6904,30.8685,30.6904,30.6904,35600
1984-12-13,30.6904,31.0515,30.5701,30.9889,91200
1984-12-14,31.0515,31.0515,30.6904,30.9889,182200
1984-12-17,31.1718,31.2296,31.0515,31.2296,109400
1984-12-18,31.4125,32.7364,31.4125,32.7364,305900
1984-12-19,32.7942,33.5789,32.7942,33.1553,244800
1984-12-20,33.0349,33.0975,32.4957,32.4957,132500
1984-12-21,32.4957,32.5535,31.2922,31.8314,206500
1984-12-24,31.9517,32.6161,31.8940,32.4957,229400
1984-12-26,32.3754,32.3754,32.0143,32.2550,100601
1984-12-27,32.1924,32.3754,32.1924,32.3754,19501
1984-12-28,32.4331,32.6161,32.2550,32.6161,81900
1984-12-31,32.4957,32.8568,32.4957,32.7942,77600
1985-01-02,32.6739,32.6739,32.1924,32.4331,78000
1985-01-03,32.3754,32.3754,31.9517,32.1347,35800
1985-01-04,32.1347,32.1347,31.8940,31.8940,12000
1985-01-07,31.9517,31.9517,31.5329,31.5329,123200
1985-01-08,31.5329,31.5329,31.2922,31.2922,390200
1985-01-09,31.4125,31.5329,31.2922,31.4703,81301
1985-01-10,31.5907,32.4331,31.4703,32.3754,208400
1985-01-11,32.4957,32.4957,32.1924,32.1924,118200
1985-01-14,32.0721,32.0721,31.4125,31.7110,187500
1985-01-15,31.8314,31.8314,31.5329,31.8314,142800
1985-01-16,31.7110,32.0721,31.7110,32.0721,103000
1985-01-17,32.1924,32.1924,32.0143,32.0721,62699
1985-01-18,32.2550,32.4331,32.1924,32.2550,224700
1985-01-21,32.3754,32.7364,32.2550,32.6161,143099
1985-01-22,32.4331,33.0349,32.3754,32.9771,296200
1985-01-23,32.8568,33.9400,32.8568,33.9400,142800
1985-01-24,33.8196,34.6621,33.7570,34.5995,157300
1985-01-25,34.5418,34.9028,34.4214,34.4214,120700
1985-01-28,34.5418,34.6621,34.4214,34.5418,74800
1985-01-29,34.5418,34.7825,34.3588,34.6621,119201
1985-01-30,34.5418,35.6249,34.4792,35.6249,401300
1985-01-31,35.6249,36.1064,35.3842,35.6827,205700
1985-02-01,35.6249,35.6827,35.5624,35.6827,33300
1985-02-04,35.5624,36.7081,35.5624,36.4674,231100
1985-02-05,37.5506,37.5506,36.8285,36.8863,425801
1985-02-06,36.9488,37.0692,36.8863,36.8863,111701
1985-02-07,36.9488,36.9488,36.4048,36.5878,216700
1985-02-08,36.4674,36.5878,35.9860,36.1064,135700
1985-02-11,36.1064,36.3471,35.9860,36.1064,56500
1985-02-12,36.1064,36.1064,35.8657,36.1064,69000
1985-02-13,36.1064,36.7081,36.0438,36.5878,160200
1985-02-14,36.4674,36.7081,36.4674,36.5252,75400
1985-02-15,36.5878,36.7659,36.3471,36.4674,176699
1985-02-19,36.4048,36.4048,36.0438,36.1064,56900
1985-02-20,36.1064,36.1064,35.6249,35.7453,71100
1985-02-21,35.0232,35.1435,34.3010,34.6621,602299
1985-02-22,34.5418,34.5995,34.2385,34.2385,138600
1985-02-25,34.3010,34.3010,33.6993,34.2385,115000
1985-02-26,34.3010,34.7199,34.3010,34.4214,135300
1985-02-27,34.5418,34.7825,34.4792,34.5418,183900
1985-02-28,34.6621,35.0232,34.5995,35.0232,108200
1985-03-01,34.9606,35.1435,34.7825,35.0232,196300
1985-03-04,35.0232,35.0232,34.4214,34.5418,86100
1985-03-05,34.4214,34.5418,34.1807,34.3588,95000
1985-03-06,34.1807,34.1807,33.5163,33.5163,103900
1985-03-07,33.5163,35.0232,32.9146,34.9028,401900
1985-03-08,34.6621,34.7199,34.3588,34.3588,136500
1985-03-11,34.4792,34.4792,34.1181,34.3588,204000
1985-03-12,34.4214,34.8402,34.4214,34.4792,196200
1985-03-13,34.4792,34.4792,33.8774,33.9978,317300
1985-03-14,33.6993,34.4214,33.6993,34.0603,194601
1985-03-15,34.1807,34.2385,33.8196,33.8196,175800
1985-03-18,33.7570,33.7570,33.4586,33.5163,144201
1985-03-19,33.3960,33.5789,33.3382,33.5789,161300
1985-03-20,33.6993,33.9400,33.6367,33.6367,183700
1985-03-21,33.6993,33.8196,33.6993,33.6993,168000
1985-03-22,33.6993,34.8402,33.6993,34.6621,217400
1985-03-25,34.6621,34.7199,34.4792,34.6621,59700
1985-03-26,34.7199,34.7199,34.4214,34.4214,165301
1985-03-27,34.5418,35.0232,34.5418,35.0232,63400
1985-03-28,35.0809,35.1435,35.0232,35.0232,48399
1985-03-29,35.0232,35.3217,34.9606,35.3217,33399
1985-04-01,35.2639,35.3217,35.0232,35.1435,123300
1985-04-02,35.1435,35.2013,34.8402,34.8402,134201
1985-04-03,34.9606,34.9606,34.0603,34.1181,121200
1985-04-04,33.9978,34.1181,33.4586,33.8196,132200
1985-04-08,33.8774,33.9400,33.5789,33.6993,136600
1985-04-09,33.6993,33.8196,33.5789,33.5789,49600
1985-04-10,33.5789,33.9400,33.5789,33.8774,76900
1985-04-11,33.8196,34.5418,33.8196,34.0603,239400
1985-04-12,34.1181,34.4792,34.0603,34.4792,292400
1985-04-15,34.5995,35.3842,34.5995,35.3842,58801
1985-04-16,35.5046,36.5252,35.5046,36.2845,158501
1985-04-17,36.4048,36.5878,36.3471,36.5252,49100
1985-04-18,36.4674,36.8285,36.3471,36.8285,154500
1985-04-19,36.7081,36.8285,36.7081,36.7081,97500
1985-04-22,36.7081,36.8285,36.5878,36.7081,138501
1985-04-23,36.7081,36.9488,36.5878,36.9488,88300
1985-04-24,36.7081,38.0320,36.6456,37.9117,552000
1985-04-25,37.9695,38.3931,37.8491,38.3931,179600
1985-04-26,38.3931,38.3931,37.7913,37.9117,141701
1985-04-29,37.5506,37.6710,37.0692,37.0692,99901
1985-04-30,36.9488,36.9488,36.2267,36.4048,52001
1985-05-01,36.2845,36.5878,35.2639,35.2639,59100
1985-05-02,35.2639,36.8285,35.2639,36.8285,163000
1985-05-03,36.8285,38.3931,36.8285,37.9117,131000
1985-05-06,37.7913,37.7913,37.2473,37.2473,56100
1985-05-07,37.3099,37.9117,37.3099,37.7287,149500
1985-05-08,37.4303,37.7913,37.3099,37.6710,237900
1985-05-09,37.4880,39.2356,37.4880,38.6338,384800
1985-05-10,38.9949,40.3765,38.9949,39.9577,336300
1985-05-13,40.0781,40.3188,39.9577,40.1984,268400
1985-05-14,40.0781,40.8002,40.0781,40.8002,155100
1985-05-15,40.4391,40.9205,39.9577,39.9577,121900
1985-05-16,40.0155,40.3188,39.9577,40.3188,78500
1985-05-17,40.4391,41.5801,40.4391,41.5223,231900
1985-05-20,41.4020,42.0037,41.4020,41.9412,112900
1985-05-21,41.8208,41.8834,41.2816,41.3394,111500
1985-05-22,41.1613,41.1613,40.6173,40.8580,81800
1985-05-23,40.6798,40.8580,40.3188,40.3188,61500
1985-05-24,40.4391,40.6798,39.9577,40.0781,70300
1985-05-28,39.9577,40.2562,39.4763,39.5966,138700
1985-05-29,39.4763,39.5966,39.0526,39.1152,59100
1985-05-30,38.9949,38.9949,38.6916,38.8745,52600
1985-05-31,38.8745,39.9577,38.8119,39.9577,195800
1985-06-03,39.9577,40.4969,39.8951,39.9577,96800
1985-06-04,39.9577,40.5595,39.8374,40.4391,57200
1985-06-05,40.8002,41.2816,40.6798,40.9205,75400
1985-06-06,40.9783,41.4020,40.8580,41.4020,71700
1985-06-07,41.2816,41.3394,40.9783,40.9783,60300
1985-06-10,40.9205,40.9205,40.6173,40.6173,103400
1985-06-11,40.4969,40.5595,40.3188,40.4391,100200
1985-06-12,40.1984,40.1984,39.5966,39.5966,99300
1985-06-13,39.6544,39.6544,39.2356,39.3559,78101
1985-06-14,39.1152,39.5966,38.8119,39.4763,125300
1985-06-17,39.3559,39.8374,39.2356,39.7170,31500
1985-06-18,39.7170,40.4391,39.7170,40.1984,247400
1985-06-19,40.3188,40.5595,40.1984,40.2562,127600
1985-06-20,40.3765,40.6173,40.2562,40.6173,38000
1985-06-21,40.6173,40.9205,40.4969,40.9205,92300
1985-06-24,40.9205,40.9205,40.6798,40.6798,57900
1985-06-25,40.8002,41.0409,40.6798,40.8002,61301
1985-06-26,40.8002,40.8002,40.5595,40.6798,31300
1985-06-27,40.5595,41.2816,40.5595,41.0409,247500
1985-06-28,41.0987,41.2190,40.9205,40.9205,72900
1985-07-01,40.9783,41.0987,40.8002,40.8580,208000
1985-07-02,40.8580,41.0987,40.7376,41.0987,111800
1985-07-03,41.0987,41.1613,40.9205,41.0987,40800
1985-07-05,41.1613,41.1613,40.7376,40.9205,46500
1985-07-08,40.7376,40.7376,40.3188,40.5595,69900
1985-07-09,40.4969,40.6798,40.4391,40.5595,19700
1985-07-10,40.4969,40.9205,40.4969,40.8580,69100
1985-07-11,40.8580,41.5223,40.8580,41.4020,348300
1985-07-12,41.5223,43.0869,41.5223,42.1241,266399
1985-07-15,42.0037,42.3022,41.8834,42.0615,95400
1985-07-16,42.0615,43.3276,42.0615,43.0869,281200
1985-07-17,43.2073,43.4480,42.7259,42.8462,106999
1985-07-18,42.8462,42.8462,41.4020,41.7630,166800
1985-07-19,41.7630,42.0037,41.4020,41.4597,136200
