Date,Open,High,Low,Close,Volume
1984-09-07,0.4491,0.4596,0.4491,0.4491,170400
1984-09-10,0.4491,0.4596,0.4491,0.4491,107200
1984-09-11,0.4491,0.4596,0.4491,0.4491,4800
1984-09-12,0.4491,0.4596,0.4491,0.4491,10400
1984-09-13,0.4491,0.4596,0.4491,0.4491,31200
1984-09-14,0.4491,0.4596,0.4491,0.4491,12000
1984-09-17,0.4545,0.4650,0.4545,0.4545,25600
1984-09-18,0.4545,0.4700,0.4545,0.4545,108800
1984-09-19,0.4545,0.4700,0.4545,0.4545,40000
1984-09-20,0.4545,0.4650,0.4545,0.4545,81600
1984-09-21,0.5068,0.5172,0.5068,0.5068,404800
1984-09-24,0.5068,0.5172,0.5068,0.5068,104000
1984-09-25,0.5068,0.5172,0.5068,0.5068,60000
1984-09-26,0.5068,0.5172,0.5068,0.5068,41600
1984-09-27,0.5068,0.5172,0.5068,0.5068,12000
1984-09-28,0.5068,0.5172,0.5068,0.5068,29600
1984-10-01,0.5068,0.5172,0.5068,0.5068,187200
1984-10-02,0.5118,0.5222,0.5118,0.5118,16800
1984-10-03,0.5118,0.5222,0.5118,0.5118,10400
1984-10-04,0.5118,0.5222,0.5118,0.5118,200000
1984-10-05,0.5118,0.5118,0.5118,0.5118,0
1984-10-08,0.5118,0.5118,0.5118,0.5118,0
1984-10-09,0.5118,0.5222,0.5118,0.5118,800
1984-10-10,0.5118,0.5172,0.5118,0.5118,5600
1984-10-11,0.5118,0.5172,0.5118,0.5118,18400
1984-10-12,0.5118,0.5172,0.5118,0.5118,2400
1984-10-15,0.5172,0.5276,0.5172,0.5172,10400
1984-10-16,0.5172,0.5276,0.5172,0.5172,800
1984-10-17,0.5222,0.5327,0.5222,0.5222,32000
1984-10-18,0.5222,0.5327,0.5222,0.5222,14400
1984-10-19,0.5222,0.5222,0.5222,0.5222,0
1984-10-22,0.5222,0.5327,0.5222,0.5222,3200
1984-10-23,0.5276,0.5381,0.5276,0.5276,9600
1984-10-24,0.5431,0.5536,0.5431,0.5431,336800
1984-10-25,0.5590,0.5694,0.5590,0.5590,363200
1984-10-26,0.5536,0.5536,0.5431,0.5431,142400
1984-10-29,0.5431,0.5485,0.5381,0.5381,20000
1984-10-30,0.5381,0.5536,0.5381,0.5381,60800
1984-10-31,0.5431,0.5536,0.5431,0.5431,235200
1984-11-01,0.5485,0.5590,0.5485,0.5485,4000
1984-11-02,0.5485,0.5590,0.5485,0.5485,13600
1984-11-05,0.5485,0.5590,0.5485,0.5485,4000
1984-11-06,0.5485,0.5590,0.5485,0.5485,4000
