Date,Open,High,Low,Close,Volume
1994-02-22,4.5510,4.5510,4.4739,4.4739,20800
1994-02-23,4.3968,4.3968,4.1654,4.2826,31600
1994-02-24,4.2826,4.2826,4.2055,4.2055,32000
1994-02-25,4.1283,4.1283,3.8568,3.9741,49800
1994-02-28,4.0111,4.1654,3.9741,4.0882,170400
1994-03-01,4.0882,4.0882,4.0111,4.0512,41600
1994-03-02,3.9741,4.0512,3.9741,4.0512,67000
1994-03-03,4.0882,4.0882,4.0111,4.0111,27800
1994-03-04,4.0111,4.1654,3.9741,4.1654,358200
1994-03-07,3.9741,4.2055,3.9741,4.1654,690800
1994-03-08,4.1654,4.2055,4.1654,4.2055,515200
1994-03-09,4.2055,4.2425,4.2055,4.2425,540400
1994-03-10,4.2425,4.2425,4.2055,4.2425,1832200
1994-03-11,4.2826,4.4369,4.2826,4.4369,1895400
1994-03-14,4.4369,4.7053,4.4369,4.6683,1413800
1994-03-15,4.6683,4.7454,4.5912,4.5912,1665200
1994-03-16,4.5912,4.5912,4.5140,4.5912,717000
1994-03-17,4.6063,4.7611,4.6063,4.6837,971200
1994-03-18,4.7209,4.7611,4.7209,4.7209,1178000
1994-03-21,4.7209,4.7611,4.7209,4.7611,659400
1994-03-22,4.7611,4.8756,4.7611,4.8385,374000
1994-03-23,4.8385,4.9159,4.7983,4.8756,430200
1994-03-24,4.8385,4.8756,4.7983,4.7983,747000
1994-03-25,4.8385,4.8385,4.7209,4.7611,370000
1994-03-28,4.7611,4.7611,4.7209,4.7209,1116200
1994-03-29,4.7209,4.7611,4.6435,4.6435,595800
1994-03-30,4.6435,4.6435,4.5289,4.5661,653000
1994-03-31,4.5661,4.6063,4.4887,4.5661,448400
1994-04-04,4.4113,4.5661,4.4113,4.5661,386600
1994-04-05,4.5289,4.7611,4.5289,4.7209,361600
1994-04-06,4.7209,4.7611,4.5661,4.5661,551400
1994-04-07,4.6435,4.6435,4.5661,4.6063,338400
1994-04-08,4.5289,4.6435,4.5289,4.6435,166000
1994-04-11,4.6837,4.7209,4.4887,4.4887,424800
1994-04-12,4.4113,4.4887,4.4113,4.4113,602800
1994-04-13,4.4113,4.5289,4.3339,4.3339,504600
1994-04-14,4.3742,4.3742,4.2968,4.2968,378200
1994-04-15,4.2565,4.3742,4.2565,4.2565,197600
1994-04-18,4.3339,4.4887,4.3339,4.4887,184800
1994-04-19,4.4515,4.5289,4.4515,4.4887,122200
1994-04-20,4.5289,4.5289,4.4113,4.4113,201400
1994-04-21,4.4113,4.5289,4.2565,4.2565,858200
1994-04-22,4.3339,4.4887,4.3339,4.4887,411400
1994-04-25,4.4515,4.7209,4.4515,4.7209,330600
1994-04-26,4.6837,4.6837,4.4887,4.5661,313400
1994-04-28,4.5289,4.5289,4.4113,4.5289,161600
1994-04-29,4.4887,4.5289,4.4515,4.4887,344600
1994-05-02,4.4515,4.5289,4.3742,4.4515,135800
1994-05-03,4.4887,4.6063,4.4113,4.4515,375200
1994-05-04,4.4113,4.5661,4.4113,4.5289,491800
1994-05-05,4.5289,4.5289,4.4515,4.4887,152800
1994-05-06,4.4887,4.5289,4.4887,4.4887,272800
1994-05-09,4.4887,4.5289,4.4887,4.4887,161600
1994-05-10,4.4887,4.6435,4.4887,4.6435,308200
1994-05-11,4.6435,4.7611,4.6435,4.6837,388600
1994-05-12,4.6435,4.7983,4.6435,4.7983,155000
1994-05-13,4.7611,4.7983,4.5661,4.5661,105200
1994-05-16,4.5661,4.6837,4.5661,4.6063,206800
1994-05-17,4.6435,4.6837,4.6063,4.6435,422600
1994-05-18,4.6435,4.6435,4.6063,4.6435,130800
1994-05-19,4.6063,4.7209,4.5661,4.6837,199400
1994-05-20,4.6435,4.6837,4.5661,4.5661,119600
1994-05-23,4.5289,4.5661,4.4887,4.4887,195600
1994-05-24,4.6063,4.6837,4.5661,4.6837,158200
1994-05-25,4.6435,4.7983,4.6435,4.7611,104800
1994-05-26,4.7983,4.7983,4.6837,4.7983,345800
1994-05-27,4.7611,4.8385,4.7209,4.8385,298000
1994-05-31,4.9159,5.1078,4.8756,4.9933,456400
1994-06-01,4.9933,4.9933,4.8756,4.8756,268200
1994-06-02,4.9530,4.9933,4.8385,4.8756,81000
1994-06-03,4.8385,4.9159,4.7209,4.7983,397400
1994-06-06,4.8756,4.9159,4.8385,4.8756,75600
1994-06-07,4.7983,4.9159,4.7983,4.9159,92800
1994-06-08,4.9159,4.9159,4.8385,4.8385,107600
1994-06-09,4.8539,4.9098,4.8539,4.8911,187800
1994-06-10,4.8911,4.8911,4.7762,4.7762,280600
1994-06-13,4.8135,4.8911,4.6986,4.8911,97600
1994-06-14,4.8911,5.0091,4.8539,5.0091,339800
1994-06-15,4.9688,5.0868,4.9688,5.0868,305200
1994-06-16,5.0464,5.2793,5.0091,5.2793,393800
1994-06-17,5.2793,5.2793,5.1240,5.1240,407200
1994-06-20,5.0464,5.1240,5.0091,5.0464,47800
