Date,Open,High,Low,Close,Volume
1993-06-03,7.1721,7.2323,6.9913,7.0829,56603000
1993-06-04,7.0226,7.0829,6.9021,6.9021,12644400
1993-06-07,6.8105,6.8707,6.7502,6.7815,10043800
1993-06-08,6.7815,6.8105,6.6610,6.6899,6974600
1993-06-09,6.7213,6.8707,6.7213,6.8105,4043200
1993-06-10,6.7815,6.8105,6.7213,6.7502,2605400
1993-06-11,6.7502,6.8418,6.7502,6.7502,2641600
1993-06-14,6.7815,6.8105,6.6899,6.6899,1806200
1993-06-15,6.7502,6.7502,6.6899,6.7213,2257600
1993-06-16,6.7213,6.7502,6.6899,6.7502,2391600
1993-06-17,6.7502,6.8105,6.7213,6.7502,2126800
1993-06-18,6.7502,6.7502,6.6610,6.6610,2128600
1993-06-21,6.6610,6.6610,6.5405,6.6007,2101000
1993-06-22,6.6007,6.6899,6.6007,6.6899,1593600
1993-06-23,6.6899,6.7502,6.6610,6.6610,1948000
1993-06-24,6.6610,6.7815,6.5694,6.7815,3305200
1993-06-25,6.8707,6.9021,6.7815,6.8707,2468000
1993-06-28,6.8418,6.9913,6.8418,6.9913,2522600
1993-06-29,6.9623,6.9913,6.8105,6.9310,1190800
1993-06-30,6.9913,7.0515,6.9623,6.9913,2553800
1993-07-01,7.0829,7.1118,6.9021,7.1118,2857800
1993-07-02,6.9623,6.9623,6.9021,6.9310,1077200
1993-07-06,6.9623,7.0226,6.9021,6.9021,1237600
1993-07-07,6.8707,6.9310,6.8418,6.8707,1667200
1993-07-08,6.9021,6.9913,6.8707,6.9623,1588600
1993-07-09,7.0226,7.0515,6.8707,6.8707,1731200
1993-07-12,6.9310,6.9310,6.7213,6.8105,1738600
1993-07-13,6.8418,6.9623,6.8418,6.9021,1305000
1993-07-14,6.9021,7.0515,6.9021,7.0515,1805600
1993-07-15,7.0515,7.0829,7.0226,7.0829,1235400
1993-07-16,7.1721,7.2637,7.1118,7.2034,2590200
1993-07-19,7.2323,7.3240,7.2034,7.3240,2590000
1993-07-20,7.5940,7.5940,7.3842,7.3842,3977600
1993-07-21,7.4445,7.4445,7.2034,7.2034,1779000
1993-07-22,7.2323,7.2323,7.1118,7.1431,1095200
1993-07-23,7.1431,7.2637,7.1431,7.2034,1060400
1993-07-26,7.2323,7.3529,7.2034,7.3529,990000
1993-07-27,7.3529,7.5048,7.3529,7.3529,942200
1993-07-28,7.3529,7.3842,7.2926,7.3240,346200
1993-07-29,7.2637,7.4132,7.2323,7.3529,1070400
1993-07-30,7.3529,7.5048,7.3529,7.5048,1271200
1993-08-02,7.5048,7.5650,7.4445,7.4734,1062200
1993-08-03,7.5048,7.6253,7.5048,7.5650,1316000
1993-08-04,7.5940,7.6542,7.4734,7.5337,752200
1993-08-05,7.5650,7.5650,7.3529,7.3529,910600
1993-08-06,7.4445,7.5337,7.4445,7.4734,718200
1993-08-09,7.4734,7.5048,7.4132,7.4734,492000
1993-08-10,7.4734,7.5337,7.3842,7.3842,1608600
1993-08-11,7.4445,7.4445,7.3240,7.3529,337400
1993-08-12,7.3529,7.3529,7.2323,7.2926,496200
1993-08-13,7.3240,7.3240,7.2323,7.2323,375200
1993-08-16,7.2034,7.2637,7.1431,7.1721,1067800
1993-08-17,7.1721,7.2926,7.1721,7.2323,1069400
1993-08-18,7.2637,7.3240,7.2637,7.3240,809800
1993-08-19,7.3240,7.5337,7.3240,7.5337,861200
1993-08-20,7.5048,7.7145,7.5048,7.7145,2957000
1993-08-23,7.7458,7.7458,7.6542,7.7145,853000
1993-08-24,7.6542,7.7458,7.6542,7.6856,759800
1993-08-25,7.6542,7.7145,7.6542,7.6542,951200
1993-08-26,7.6856,7.7145,7.5940,7.7145,721200
1993-08-27,7.7145,7.7458,7.6856,7.7145,316600
1993-08-30,7.6542,7.6856,7.5048,7.5337,945800
1993-08-31,7.4734,7.5337,7.4445,7.4734,590000
1993-09-01,7.5650,7.6856,7.5650,7.6856,355400
1993-09-02,7.6542,7.7145,7.5940,7.6253,682200
1993-09-03,7.6253,7.7458,7.6253,7.6856,550400
1993-09-07,7.7458,7.8953,7.7145,7.7748,873000
1993-09-08,7.7145,7.7145,7.6253,7.6542,1367800
1993-09-09,7.6368,7.7896,7.6368,7.7290,625400
1993-09-10,7.7581,7.8187,7.7581,7.7896,664600
1993-09-13,7.7896,7.8187,7.7290,7.7581,344600
1993-09-14,7.7896,7.9399,7.7581,7.9399,453200
1993-09-15,7.8187,7.8187,7.7290,7.7896,599200
1993-09-16,7.7581,7.8187,7.6975,7.8187,403400
1993-09-17,7.7581,7.8187,7.6975,7.8187,501600
1993-09-20,7.7896,7.7896,7.6975,7.7581,567400
1993-09-21,7.7290,7.7290,7.6077,7.6975,816200
1993-09-22,7.6975,7.7896,7.6975,7.7581,945800
1993-09-23,7.6975,7.8502,7.6975,7.8502,693600
1993-09-24,7.8187,7.8502,7.7896,7.7896,1074200
1993-09-27,7.8502,8.0320,7.8502,8.0005,1146000
1993-09-28,8.0005,8.0926,7.9399,8.0611,1109200
1993-09-29,8.0005,8.0611,7.8502,7.8793,607800
1993-09-30,7.9108,7.9108,7.6975,7.6975,875400
1993-10-01,7.7581,7.8502,7.6975,7.8502,404800
1993-10-04,7.8502,7.9399,7.8187,7.8502,429400
1993-10-05,7.8502,8.0320,7.8502,8.0320,414400
1993-10-06,8.0005,8.0320,7.9108,8.0005,551200
1993-10-07,7.9714,8.0611,7.9714,7.9714,441000
1993-10-08,8.0926,8.1217,7.9399,8.0005,400400
1993-10-11,8.0320,8.0926,8.0005,8.0611,280200
1993-10-12,8.0611,8.1823,8.0611,8.0611,777600
1993-10-13,8.0611,8.1217,8.0320,8.0926,240400
1993-10-14,8.1217,8.3035,8.1217,8.2429,663200
1993-10-15,8.2138,8.2138,8.0926,8.1532,576400
1993-10-18,8.1823,8.2138,8.1217,8.1532,439800
1993-10-19,8.1823,8.1823,8.0005,8.0005,537600
1993-10-20,7.9399,8.0611,7.6975,7.8793,559000
1993-10-21,7.8793,8.1532,7.8502,8.0005,1191400
1993-10-22,8.0320,8.1532,7.9399,8.0320,523400
1993-10-25,7.9399,7.9714,7.7581,7.8187,724400
1993-10-26,7.8502,7.8502,7.7581,7.8187,488200
1993-10-27,7.8502,7.8502,7.6368,7.6368,497800
1993-10-28,7.4550,7.6975,7.3653,7.6368,807600
1993-10-29,7.6077,7.6077,7.5471,7.6077,807400
1993-11-01,7.5762,7.7896,7.5762,7.7581,184000
1993-11-02,7.7290,7.7290,7.5156,7.5762,953600
1993-11-03,7.3338,7.4550,7.1835,7.3653,1373800
1993-11-04,7.3944,7.4259,7.3047,7.3338,814000
1993-11-05,7.3944,7.3944,7.2732,7.2732,701000
1993-11-08,7.2732,7.3944,7.2126,7.3338,978200
1993-11-09,7.4550,7.4550,7.3653,7.3944,1091400
1993-11-10,7.3944,7.3944,7.2441,7.2732,1181400
1993-11-11,7.2732,7.2732,7.1835,7.1835,587400
1993-11-12,7.2441,7.2441,7.0914,7.1835,545000
1993-11-15,7.1835,7.1835,7.0623,7.1229,1031600
1993-11-16,7.0914,7.1229,7.0016,7.0914,803400
1993-11-17,7.0623,7.1229,7.0623,7.0623,316800
1993-11-18,7.0623,7.1835,7.0307,7.0914,1104200
1993-11-19,7.0914,7.0914,6.6986,6.9410,1719000
1993-11-22,6.9410,6.9701,6.8198,6.8489,470400
1993-11-23,6.9095,7.0016,6.8804,6.9701,523400
1993-11-24,7.0016,7.2441,7.0016,7.1835,474800
1993-11-26,7.2441,7.2732,7.1835,7.2126,99800
1993-11-29,7.2732,7.3047,7.2126,7.2126,370800
1993-11-30,7.2126,7.2126,7.0307,7.1520,399600
1993-12-01,7.2126,7.2441,7.1229,7.1835,335800
1993-12-02,7.1344,7.2271,7.1052,7.2271,235400
1993-12-03,7.1954,7.2271,6.9515,7.0735,770000
1993-12-06,7.0125,7.0735,6.9515,7.0125,356400
1993-12-07,7.0735,7.1052,6.8613,6.8905,894400
1993-12-08,6.8905,7.1661,6.8905,7.1052,415800
1993-12-09,7.0442,7.0735,7.0125,7.0735,434000
