Date,Open,High,Low,Close,Volume
2013-11-18,44.3618,44.5848,42.3466,43.2249,587100
2013-11-19,43.6841,43.6931,40.3938,40.8396,1682000
2013-11-20,41.0001,41.0180,39.2257,39.8142,1106900
2013-11-21,39.6804,40.2600,38.3786,39.0473,730200
2013-11-22,39.1454,39.3238,38.5658,39.2257,947600
2013-11-25,39.4843,40.6791,38.9671,39.3951,727300
2013-11-26,40.1263,40.1263,38.3786,38.5212,873700
2013-11-27,38.8333,38.8333,37.8970,38.5569,1153300
2013-11-29,38.1200,39.1008,38.1200,38.5569,949900
2013-12-02,39.1454,39.8944,37.0232,38.4677,5130700
2013-12-03,38.1646,40.0371,38.0754,38.2537,3239300
2013-12-04,37.8346,37.9907,37.1392,37.2996,2777700
2013-12-05,37.7009,37.7009,36.2296,36.6041,3380500
2013-12-06,36.3366,36.6130,36.2385,36.2920,4662300
2013-12-09,36.2920,36.8003,35.8818,36.7200,3074000
2013-12-10,36.6219,38.2002,36.5952,37.9505,3289400
2013-12-11,37.7365,38.3563,37.4512,37.8614,3367300
2013-12-12,37.4601,38.4321,37.4512,38.3161,1770500
2013-12-13,38.2716,39.0562,38.2716,38.5658,683800
2013-12-16,38.3518,39.2257,37.5493,38.9582,1953900
2013-12-17,38.7263,39.2346,38.4856,39.0117,1396700
2013-12-18,38.9225,39.6804,38.4321,39.4753,1225200
2013-12-19,39.1989,39.6804,39.0741,39.6359,593000
2013-12-20,39.5021,39.6359,39.1543,39.4664,2878600
2013-12-23,39.3862,39.9925,38.8333,39.8142,773600
2013-12-24,39.9123,40.1441,39.4575,39.7518,304700
2013-12-26,40.0014,40.1352,39.6269,39.8588,513200
2013-12-27,39.9212,40.0995,39.3148,39.8053,393300
2013-12-30,39.6359,40.0193,39.2346,39.3416,381500
2013-12-31,39.4397,39.6804,39.0206,39.4040,874200
2014-01-02,39.3059,39.3951,38.5837,38.9225,992900
2014-01-03,38.8512,39.5199,38.4945,39.1989,378400
2014-01-06,39.2078,39.2168,38.6728,38.9492,597800
2014-01-07,37.5939,39.2168,37.5939,39.1187,1371300
2014-01-08,39.2524,39.5556,38.6996,39.1276,1407100
2014-01-09,39.1365,39.4575,39.0919,39.3505,1093500
2014-01-10,39.3862,41.0893,39.2524,40.7772,2008600
2014-01-13,40.7505,42.3020,40.3046,41.9453,2278500
2014-01-14,42.0523,42.7068,41.8294,42.6230,2338200
2014-01-15,42.7746,43.8625,42.1415,42.3555,1733000
2014-01-16,42.1593,42.5160,41.9453,42.2664,1178700
2014-01-17,42.3734,43.0154,41.9097,42.8014,1572100
2014-01-21,44.0319,44.0319,42.7479,42.9530,1570400
2014-01-22,42.8995,43.8357,42.8727,43.2561,682200
2014-01-23,43.4077,43.4077,42.4269,42.5517,867600
2014-01-24,42.4625,42.5428,40.8642,41.7670,1417500
2014-01-27,40.3046,42.8014,40.3046,41.5530,717800
2014-01-28,41.7046,42.6944,41.7046,42.5606,721700
2014-01-29,42.2218,43.2294,42.0257,42.6052,800900
2014-01-30,42.7211,44.2548,42.6498,44.0676,1247100
2014-01-31,43.9160,44.5491,43.7198,44.0052,2011100
2014-02-03,44.0052,44.5313,42.0880,42.3020,1184800
2014-02-04,42.3020,43.2294,42.1918,42.8460,891300
2014-02-05,42.6587,43.3810,42.0452,42.4447,823100
2014-02-06,42.3555,43.9338,42.3555,43.9071,1168400
2014-02-07,43.9873,44.8254,43.9873,44.5313,1837500
2014-02-10,44.5758,44.6918,44.0943,44.4421,763400
2014-02-11,44.3440,44.9504,43.9873,44.4867,1446100
2014-02-12,44.5134,45.4765,44.3418,44.5848,1405300
2014-02-13,44.5669,44.9726,44.2192,44.6918,695000
2014-02-14,44.7185,44.8077,44.2192,44.2548,891700
2014-02-18,44.3351,45.3516,44.3351,44.6828,2748500
2014-02-19,44.4421,44.8879,43.7198,43.8357,1076100
2014-02-20,44.7898,47.0637,43.7822,45.9401,2623600
2014-02-21,46.1452,47.0726,46.1452,46.6981,2198700
2014-02-24,46.6892,47.3579,46.6892,47.1350,667900
2014-02-25,47.2598,48.6687,47.1975,48.6509,1117600
2014-02-26,48.8916,49.7388,48.3120,48.7401,1880100
2014-02-27,48.7668,49.5158,48.3388,49.3553,1139900
2014-02-28,49.1235,49.3286,47.9910,48.4636,1198500
2014-03-03,48.7490,48.9808,47.3312,47.6968,659600
2014-03-04,47.8929,49.0432,47.6879,48.1515,1189900
2014-03-05,48.0624,48.4297,47.5987,48.1070,395000
2014-03-06,48.1426,48.2407,47.2955,47.4293,617400
2014-03-07,47.6522,47.9554,46.8943,47.6076,776100
2014-03-10,47.4382,47.8573,46.5822,47.5184,1155300
2014-03-11,47.6968,48.8649,47.6611,48.5974,874700
2014-03-12,48.5261,48.8114,47.0548,48.4012,1255500
2014-03-13,48.6342,48.8575,47.4474,47.8662,946400
2014-03-14,47.8841,48.1788,47.5536,47.5983,1071800
2014-03-17,47.7233,48.0671,47.2679,47.2947,1011700
2014-03-18,47.2813,47.7657,47.0714,47.5804,880800
2014-03-19,47.4911,48.2234,47.2589,47.5804,645000
2014-03-20,47.6965,48.4199,47.1696,48.3752,628100
2014-03-21,48.5628,48.9468,47.9912,48.0537,1356800
2014-03-24,48.2234,48.4288,47.3661,47.7501,895600
2014-03-25,47.9555,48.1341,47.4777,47.5179,708000
2014-03-26,47.6162,47.7769,46.4463,46.4731,691100
2014-03-27,46.3213,46.4106,45.7140,45.9462,492900
2014-03-28,46.0980,46.8258,46.0266,46.5802,346100
2014-03-31,46.7767,46.9553,46.3570,46.5892,334600
2014-04-01,46.8303,48.2725,46.6963,48.1520,593600
2014-04-02,48.1520,48.9468,47.8573,48.8217,500500
2014-04-03,48.9110,49.1164,48.7414,49.0718,427900
2014-04-04,48.9557,49.4290,47.3304,47.9823,492000
2014-04-07,47.9644,48.2234,46.0176,46.0980,1054200
2014-04-08,45.8480,46.2409,45.3747,45.9105,1213700
2014-04-09,45.9551,46.0712,45.7497,45.9908,1212800
2014-04-10,46.0087,46.2498,44.7585,45.2586,1488500
2014-04-11,45.1246,45.4550,44.5263,44.6602,1184600
2014-04-14,44.9014,45.1961,43.9190,44.4459,605900
2014-04-15,44.5441,45.0353,43.6958,44.6156,419300
2014-04-16,44.7942,45.2925,44.5084,44.8567,254000
2014-04-17,44.7138,45.1335,44.1423,44.7853,427200
2014-04-21,44.6334,45.2318,44.2941,45.2139,225700
2014-04-22,45.2854,45.6783,44.9728,45.5443,422500
2014-04-23,45.4461,45.5086,44.6299,45.0085,507800
2014-04-24,45.2050,45.3479,44.3968,44.8656,659800
2014-04-25,44.6067,44.9978,44.0887,44.2405,290300
2014-04-28,44.5084,44.7227,43.2671,43.5975,605400
2014-04-29,43.7226,44.1423,43.2760,43.6690,442000
2014-04-30,43.7583,44.1691,43.2582,44.0708,481100
2014-05-01,45.5443,46.3123,44.1869,45.7676,722100
2014-05-02,45.7051,46.2052,44.8746,45.2764,479000
2014-05-05,44.9014,45.1157,44.2673,44.7049,413800
2014-05-06,44.6067,44.7942,44.2494,44.5531,596000
