Date,Open,High,Low,Close,Volume
1984-09-07,0.1986,0.2001,0.1972,0.1980,3481600
1984-09-10,0.1980,0.2001,0.1972,0.1972,7257600
1984-09-11,0.2008,0.2029,0.2008,0.2008,12249600
1984-09-12,0.2029,0.2029,0.2029,0.2029,21196800
1984-09-13,0.2044,0.2058,0.2044,0.2044,3443200
1984-09-14,0.2044,0.2058,0.2008,0.2008,870400
1984-09-17,0.2008,0.2008,0.2001,0.2001,883200
1984-09-18,0.2001,0.2029,0.1986,0.1986,11673600
1984-09-19,0.1980,0.1980,0.1829,0.1829,2969600
1984-09-20,0.1829,0.1844,0.1815,0.1815,12864000
1984-09-21,0.1801,0.1801,0.1772,0.1772,3174400
1984-09-24,0.1772,0.1772,0.1715,0.1715,1894400
1984-09-25,0.1715,0.1715,0.1665,0.1665,2342400
1984-09-26,0.1665,0.1665,0.1665,0.1665,6886400
1984-09-27,0.1665,0.1686,0.1665,0.1665,1715200
1984-09-28,0.1665,0.1665,0.1658,0.1665,1036800
1984-10-01,0.1665,0.1665,0.1586,0.1586,2547200
1984-10-02,0.1586,0.1601,0.1543,0.1543,2572800
1984-10-03,0.1550,0.1572,0.1550,0.1550,7756800
1984-10-04,0.1572,0.1601,0.1572,0.1572,3904000
1984-10-05,0.1572,0.1586,0.1550,0.1572,230400
1984-10-08,0.1572,0.1586,0.1543,0.1543,524800
1984-10-09,0.1543,0.1579,0.1543,0.1543,2316800
1984-10-10,0.1543,0.1550,0.1529,0.1529,20736000
1984-10-11,0.1529,0.1529,0.1529,0.1529,4032000
1984-10-12,0.1543,0.1586,0.1543,0.1586,5811200
1984-10-15,0.1586,0.1586,0.1586,0.1586,2201600
1984-10-16,0.1586,0.1586,0.1572,0.1572,627200
1984-10-17,0.1572,0.1572,0.1572,0.1572,768000
1984-10-18,0.1586,0.1601,0.1586,0.1586,6348800
1984-10-19,0.1601,0.1658,0.1601,0.1629,14297600
1984-10-22,0.1686,0.1686,0.1686,0.1686,19264000
1984-10-23,0.1658,0.1658,0.1658,0.1658,2227200
1984-10-24,0.1651,0.1651,0.1586,0.1586,2291200
1984-10-25,0.1572,0.1572,0.1415,0.1415,9241600
1984-10-26,0.1415,0.1429,0.1307,0.1315,16806400
1984-10-29,0.1322,0.1322,0.1322,0.1322,6284800
1984-10-30,0.1386,0.1386,0.1386,0.1386,8960000
1984-10-31,0.1386,0.1401,0.1372,0.1372,12620800
1984-11-01,0.1372,0.1372,0.1358,0.1358,8281600
