Date,Open,High,Low,Close,Volume
2019-06-11,9.5807,9.7877,9.5376,9.6411,268169400
2019-06-12,9.6669,9.7877,9.5807,9.7014,16955751
2019-06-13,9.6497,9.6497,9.3047,9.5031,15375399
2019-06-14,9.4858,9.5203,9.3565,9.4255,12995016
2019-06-17,9.2875,9.3392,9.1452,9.1840,11991150
2019-06-18,9.2530,9.3134,9.1883,9.3134,6940340
2019-06-19,9.2702,9.2875,9.0202,9.1323,7823884
2019-06-20,9.2444,9.4384,9.2358,9.3737,7407696
2019-06-21,9.4255,9.5376,9.3522,9.5031,15210912
2019-06-24,9.5289,9.6497,9.3047,9.6066,23175767
2019-06-25,9.6755,9.9170,9.6152,9.8825,12362023
2019-06-26,9.8308,9.9515,9.7704,9.9256,9356126
2019-06-27,9.9774,10.0032,9.8911,9.9084,5419324
2019-06-28,9.8394,9.9170,9.8049,9.9084,7604545
2019-07-01,9.8135,9.8566,9.7445,9.8566,7762394
2019-07-02,9.8911,10.0032,9.8739,9.9860,6608736
2019-07-03,10.1412,10.1498,10.0464,10.0722,3013458
2019-07-05,9.9860,10.0464,9.9601,10.0119,3565063
2019-07-08,9.8998,9.9256,9.7877,9.8653,3031014
2019-07-09,9.7273,9.7273,9.4341,9.5031,6698071
2019-07-10,9.5117,9.5807,9.4341,9.4513,3606028
2019-07-11,9.4341,9.5548,9.3737,9.5548,4404543
2019-07-12,9.5721,9.6238,9.4772,9.6152,5162567
2019-07-15,9.4858,9.5548,9.3996,9.5548,3025163
2019-07-16,9.5634,9.5634,9.3306,9.3996,5764858
2019-07-17,9.4255,9.6842,9.3910,9.6411,8203866
2019-07-18,9.6324,9.8049,9.3824,9.7273,8345719
2019-07-19,9.7704,9.8394,9.6928,9.7187,3358112
2019-07-22,9.5462,9.5462,9.1926,9.2616,8515464
2019-07-23,9.3134,9.3824,9.2789,9.3651,2969530
2019-07-24,9.3479,9.3996,9.2013,9.3047,3836784
2019-07-25,9.2789,9.5721,9.2789,9.4686,4477810
2019-07-26,9.4255,9.5979,9.3392,9.4513,3171773
2019-07-29,9.4513,9.4513,9.2875,9.3737,1736629
2019-07-30,9.3047,9.3263,9.0719,9.1495,3826461
2019-07-31,9.1840,9.4427,9.1193,9.1409,6685894
2019-08-01,9.1495,9.2616,9.0374,9.0633,3703248
2019-08-02,9.1236,9.2444,9.0719,9.0892,3722701
2019-08-05,9.0719,9.1452,8.8649,8.8822,5603145
2019-08-06,8.8822,8.9253,8.7183,8.8304,4701463
2019-08-07,8.7615,9.0159,8.7356,8.9943,5080965
2019-08-08,8.9770,9.1840,8.9770,9.1495,5529700
2019-08-09,9.1495,9.1862,8.9512,9.0288,3043162
2019-08-12,8.9167,8.9770,8.8132,8.8563,2505115
2019-08-13,8.7960,9.0719,8.7528,8.9943,3282534
2019-08-14,8.8908,8.8908,8.5545,8.5804,5040521
2019-08-15,8.5114,8.5329,8.3562,8.3648,3684899
2019-08-16,8.4510,8.5803,8.3691,8.5545,4034392
2019-08-19,8.6149,8.8649,8.6062,8.7183,4407214
2019-08-20,8.6407,8.7313,8.5631,8.5976,5153180
2019-08-21,8.4941,8.5717,8.0371,8.3217,5604218
2019-08-22,8.3217,8.3734,8.0975,8.2268,7288567
2019-08-23,8.2354,8.3820,8.0975,8.1406,8490203
2019-08-26,8.2009,8.3820,8.1664,8.3820,3921716
2019-08-27,8.4079,8.5502,8.3303,8.4338,8439977
2019-08-28,8.3993,8.4769,8.2785,8.3734,4492233
2019-08-29,8.3820,8.4683,8.3260,8.3993,3479390
2019-08-30,8.4596,8.5200,8.3993,8.4683,3963166
2019-09-03,8.4855,8.4941,8.3217,8.3734,3920586
2019-09-04,8.4079,8.4424,8.3130,8.3734,3760547
2019-09-05,8.4769,8.5545,8.3906,8.4251,4043084
2019-09-06,8.4251,8.5200,8.4251,8.5114,4116645
2019-09-09,8.5028,8.5028,8.3820,8.4596,5670146
2019-09-10,8.4384,8.8223,8.3860,8.7787,8869181
2019-09-11,8.6914,8.8572,8.6827,8.8485,5563828
2019-09-12,8.7700,8.8302,8.6478,8.8136,6843663
2019-09-13,8.8485,9.0623,8.8223,8.9183,7566295
2019-09-16,8.7438,8.8136,8.3991,8.4384,5847017
2019-09-17,8.4646,8.5169,8.4122,8.5169,4649019
2019-09-18,8.5518,8.6434,8.4733,8.5693,3945746
2019-09-19,8.5605,8.6827,8.5038,8.5431,4722671
2019-09-20,8.4995,8.5213,8.3947,8.4297,14366655
2019-09-23,8.3424,8.4907,8.3337,8.4209,4666333
2019-09-24,8.4646,8.4907,8.3598,8.3773,4375166
2019-09-25,8.4122,8.4820,8.3773,8.4209,2931800
2019-09-26,8.4558,8.4733,8.3249,8.3860,3572570
2019-09-27,8.4297,8.5082,8.3947,8.4907,4738120
2019-09-30,8.4558,8.6129,8.4122,8.5082,6016611
2019-10-01,8.5082,8.5780,8.2988,8.3337,4468248
2019-10-02,8.2639,8.2988,8.1417,8.2202,6013907
2019-10-03,8.1679,8.3424,8.0370,8.3337,6150913
2019-10-04,8.3337,8.3424,8.2377,8.2813,6760068
2019-10-07,8.2377,8.2988,8.1853,8.1940,6178227
2019-10-08,8.0893,8.1242,8.0108,8.0544,5356259
2019-10-09,8.0981,8.1940,8.0370,8.1330,4385618
2019-10-10,8.1330,8.2289,8.1068,8.1330,3307511
2019-10-11,8.2202,8.4820,8.2202,8.3773,5551835
2019-10-14,8.2813,8.4384,8.2813,8.3686,4507160
2019-10-15,8.3773,8.3860,8.2769,8.3686,5683943
2019-10-16,8.3424,8.3773,8.1722,8.1940,6587155
2019-10-17,8.2551,8.4297,8.2551,8.3686,4803682
2019-10-18,8.3162,8.4820,8.3162,8.3686,5513065
2019-10-21,8.4384,8.5256,8.3947,8.4471,4633612
2019-10-22,8.4122,8.5387,8.4122,8.4297,6447559
2019-10-23,8.4820,8.5256,8.4035,8.4733,5415313
2019-10-24,8.4384,8.4384,8.1591,8.2639,4829465
2019-10-25,8.3075,8.5256,8.3075,8.4820,6504494
2019-10-28,8.4471,8.4646,8.3424,8.3598,5769426
2019-10-29,8.3162,8.3642,8.2115,8.2726,5301789
2019-10-30,8.2202,8.3860,8.2202,8.3424,5684525
