Date,Open,High,Low,Close,Volume
1984-07-19,1.0528,1.0585,1.0420,1.0528,70200
1984-07-20,1.0472,1.0585,1.0420,1.0420,52596
1984-07-23,1.0368,1.0420,1.0146,1.0146,113400
1984-07-24,1.0203,1.0255,1.0094,1.0146,55296
1984-07-25,0.9986,1.0146,0.9934,1.0146,116100
1984-07-26,1.0255,1.0255,1.0203,1.0255,66096
1984-07-27,1.0255,1.0311,1.0146,1.0255,144396
1984-07-30,1.0368,1.0368,1.0203,1.0203,135000
1984-07-31,1.0203,1.0420,1.0146,1.0420,82296
1984-08-01,1.0420,1.1236,1.0420,1.1071,697896
1984-08-02,1.1123,1.1123,1.0906,1.0963,2163996
1984-08-03,1.1019,1.1505,1.1019,1.1449,783000
1984-08-06,1.1722,1.1887,1.1123,1.1449,909900
1984-08-07,1.1449,1.2100,1.1345,1.1996,523800
1984-08-08,1.2156,1.2482,1.2048,1.2048,1217700
1984-08-09,1.2048,1.2321,1.1939,1.2321,402300
1984-08-10,1.2374,1.2374,1.2048,1.2048,662796
1984-08-13,1.2100,1.2100,1.1774,1.1831,184896
1984-08-14,1.1939,1.1939,1.1397,1.1397,224100
1984-08-15,1.1505,1.1774,1.1288,1.1397,218700
1984-08-16,1.1288,1.1449,1.1288,1.1449,66096
1984-08-17,1.1345,1.1397,1.1236,1.1397,86400
1984-08-20,1.1288,1.1397,1.1288,1.1397,67500
1984-08-21,1.1449,1.1449,1.1071,1.1071,398196
1984-08-22,1.1180,1.1397,1.1180,1.1180,535896
1984-08-23,1.1288,1.1397,1.1180,1.1345,70200
1984-08-24,1.1449,1.1722,1.1397,1.1614,203796
1984-08-27,1.1614,1.1614,1.1345,1.1449,386100
1984-08-28,1.1557,1.1614,1.1505,1.1505,110700
1984-08-29,1.1614,1.1996,1.1614,1.1670,499500
1984-08-30,1.1722,1.1722,1.1505,1.1505,129600
1984-08-31,1.1557,1.1557,1.1397,1.1505,49896
1984-09-04,1.1397,1.1449,1.1288,1.1345,64800
1984-09-05,1.1345,1.1345,1.1123,1.1288,537300
1984-09-06,1.1345,1.1449,1.1288,1.1345,164700
1984-09-07,1.1345,1.1505,1.1345,1.1505,143100
1984-09-10,1.1345,1.1397,1.1236,1.1345,199800
1984-09-11,1.1288,1.1614,1.1288,1.1557,83700
1984-09-12,1.1557,1.1557,1.1236,1.1236,263196
1984-09-13,1.1345,1.1449,1.1345,1.1449,89100
1984-09-14,1.1449,1.1722,1.1449,1.1505,329400
1984-09-17,1.1449,1.1557,1.1449,1.1505,54000
1984-09-18,1.1505,1.1670,1.1505,1.1557,330696
1984-09-19,1.1670,1.1722,1.1505,1.1557,228096
1984-09-20,1.1557,1.1670,1.1557,1.1614,125496
1984-09-21,1.1557,1.1939,1.1557,1.1722,305100
1984-09-24,1.1722,1.1831,1.1670,1.1670,122796
1984-09-25,1.1774,1.1831,1.1670,1.1831,39096
