Date,Open,High,Low,Close,Volume
2005-09-15,25.9962,26.0509,25.2988,25.3056,1529800
2005-09-16,25.2988,25.2988,25.0253,25.0253,62400
2005-09-19,25.0253,25.0936,24.9227,25.0936,1162300
2005-09-20,25.0253,25.2988,25.0253,25.0936,654900
2005-09-21,25.0253,25.0253,24.6150,24.8885,424300
2005-09-22,24.8885,25.4355,24.8885,25.4355,864800
2005-09-23,25.4355,26.0509,25.4355,25.7637,1249900
2005-09-26,25.8116,26.0851,25.8116,25.8116,821400
2005-09-27,25.8116,25.9141,25.3945,25.4697,1514000
2005-09-28,25.4629,25.5723,25.1620,25.2988,875700
2005-09-29,25.2372,25.2372,24.7859,25.0253,2659200
2005-09-30,25.0253,25.0253,24.3415,24.4783,4014800
2005-10-03,24.1364,24.5466,23.3637,23.7261,10007600
2005-10-04,23.2475,23.4526,22.7347,23.1791,8040300
2005-10-05,23.2475,23.3159,22.7826,23.0082,6304400
2005-10-06,22.8373,23.0082,22.7073,22.8167,7552200
2005-10-07,22.7552,22.9740,22.6526,22.9740,7055200
2005-10-10,22.9740,22.9740,22.5638,22.5843,3400800
2005-10-11,22.5911,22.8304,22.5501,22.5638,3675400
2005-10-12,22.4954,22.7689,22.3723,22.4065,4134500
2005-10-13,22.2424,22.3586,22.2082,22.2561,3184100
2005-10-14,22.2356,22.3928,22.1398,22.1467,2487500
2005-10-17,22.1125,22.4065,21.8800,22.2082,1910400
2005-10-18,22.0851,22.2561,21.9826,22.1740,1737900
2005-10-19,22.0715,22.6732,22.0236,22.6732,1784400
2005-10-20,22.6732,23.2885,22.6321,22.9603,2789600
2005-10-21,23.0971,23.5901,22.9945,23.2475,2881800
2005-10-24,24.1022,24.9432,23.8834,24.8133,4013400
2005-10-25,24.1637,25.6201,24.1227,25.4218,2900400
2005-10-26,25.1962,25.7911,25.0936,25.2988,2208000
2005-10-27,25.2646,25.2988,24.4783,24.8065,2033000
2005-10-28,24.9569,25.4355,24.7586,25.3671,1430200
2005-10-31,25.4423,25.7090,25.2714,25.4492,1211600
2005-11-01,25.2304,25.2714,24.9295,24.9979,1574900
2005-11-02,24.8395,25.3058,24.8120,25.2372,1201600
2005-11-03,25.1824,25.7996,25.1824,25.6624,1887900
2005-11-04,25.6007,25.6624,25.3881,25.4910,1731900
2005-11-07,25.4430,25.4910,25.2540,25.3881,1658700
2005-11-08,25.1343,25.5115,25.1343,25.3469,2119200
2005-11-09,25.3469,26.1836,25.3058,25.9779,2152200
2005-11-10,25.8887,26.9517,25.8887,26.6911,2513200
2005-11-11,26.4031,26.7185,26.3825,26.6842,1229800
2005-11-14,26.6088,27.0203,26.4099,26.9791,1160000
2005-11-15,26.7460,27.0203,26.3825,26.8900,1793000
2005-11-16,26.9860,27.4318,26.8077,27.3152,2568800
2005-11-17,27.5003,28.2410,27.2809,27.4318,2628100
2005-11-18,27.7404,28.0284,27.1849,27.3769,1556000
2005-11-21,27.5483,28.8033,27.5483,28.5153,2906900
2005-11-22,28.3919,29.0708,28.3164,28.9062,2368700
2005-11-23,28.9405,30.0103,28.9405,29.8115,2149100
2005-11-25,30.2435,30.3464,29.4549,29.7977,468300
2005-11-28,29.7635,30.3121,29.5577,30.1064,2377400
2005-11-29,30.0035,30.1681,28.6183,29.1805,2962200
2005-11-30,29.4206,29.6606,28.3233,28.8376,2761100
2005-12-01,28.7691,30.0926,28.7279,29.7017,1833000
2005-12-02,29.6606,29.9966,29.2148,29.6469,1057900
2005-12-05,29.6400,29.9692,29.4274,29.8458,1042900
2005-12-06,29.9692,30.0652,29.8183,29.9075,1154900
2005-12-07,29.8938,30.7099,29.6400,29.7360,2063900
2005-12-08,29.9349,30.2092,29.7017,29.9349,1227800
