Date,Open,High,Low,Close,Volume
1998-02-27,13.2696,13.7429,13.2696,13.2696,50000
1998-03-02,13.1703,13.1703,12.9794,13.1703,75000
1998-03-03,13.0711,13.0711,12.7886,13.0711,35000
1998-03-04,12.0251,12.0251,11.8342,12.0251,60000
1998-03-05,12.3076,12.3076,12.3076,12.3076,400
1998-03-06,12.3076,12.5061,12.3076,12.3076,3600
1998-03-09,12.3076,12.5977,12.1243,12.1243,3200
1998-03-10,12.1243,12.8878,12.1243,12.4068,56800
1998-03-11,12.4068,12.5977,12.3076,12.4068,10400
1998-03-12,12.4068,12.5061,12.3076,12.5061,3800
1998-03-13,12.5977,12.5977,12.5977,12.5977,1000
1998-03-16,12.5977,12.5977,12.3076,12.3076,7700
1998-03-17,12.3076,12.3076,12.0251,12.1243,28000
1998-03-18,12.1243,12.3076,12.0251,12.3076,45700
1998-03-19,12.3076,13.2696,12.2159,13.0711,383600
1998-03-20,13.1703,13.5521,13.1703,13.5521,275600
1998-03-23,13.5521,14.5064,13.2696,14.4148,398600
1998-03-24,14.4148,15.1783,14.4148,15.0791,261800
1998-03-25,15.0791,15.3616,14.8882,15.1783,135600
1998-03-26,15.1783,15.1783,14.6973,14.9798,26300
1998-03-27,14.9798,15.0791,14.0331,14.6973,62200
1998-03-30,14.6973,15.1783,14.6973,15.1783,49500
1998-03-31,15.1783,15.4608,15.1783,15.3616,79000
1998-04-01,15.3616,15.7433,15.2699,15.6517,150100
1998-04-02,16.6061,17.8506,16.6061,17.7513,140500
1998-04-03,17.7513,19.9425,16.6061,18.8965,458700
1998-04-06,18.8965,19.8509,17.5604,18.3239,105300
1998-04-07,18.3239,18.3239,16.8886,16.8886,152800
1998-04-08,16.8886,17.5604,16.0334,17.1787,45100
1998-04-09,17.1787,17.5604,16.9878,17.5604,151400
1998-04-13,17.5604,17.7513,17.0871,17.2703,85900
1998-04-14,17.2703,17.5604,17.1787,17.3696,322900
1998-04-15,17.3696,17.4688,16.4152,16.6061,23100
1998-04-16,16.6061,16.6061,15.9418,16.2243,55400
1998-04-17,16.2243,16.5068,16.0334,16.5068,15100
1998-04-20,16.5068,16.8886,16.2243,16.8886,92900
1998-04-21,16.8886,16.8886,16.6061,16.8886,23100
1998-04-22,16.8886,18.0338,16.8886,17.5604,60900
1998-04-23,17.5604,17.9422,17.5604,17.9422,242300
1998-04-24,17.9422,18.0338,16.7969,16.7969,100900
1998-04-27,16.7969,17.1787,15.1783,15.9418,52200
1998-04-28,15.9418,16.7053,15.8426,16.4152,29100
1998-04-29,16.4152,17.1787,16.0334,17.1787,101300
1998-04-30,17.1787,17.7513,17.0871,17.5604,116300
1998-05-01,17.5604,17.6520,16.7969,16.8886,61000
1998-05-04,16.8886,16.9878,16.2243,16.5068,58400
1998-05-05,16.5068,16.6061,15.8426,16.2243,44000
1998-05-06,16.2243,16.7969,15.9418,16.7969,47300
1998-05-07,16.7969,16.8886,16.3236,16.3236,230900
1998-05-08,16.6061,17.3696,16.6061,17.2703,320700
1998-05-11,17.2703,17.3696,16.9878,17.0871,375200
1998-05-12,17.0871,17.2703,16.7969,16.7969,333300
1998-05-13,16.8886,17.2703,16.8886,17.0871,88100
1998-05-14,17.0871,17.1787,16.7969,17.1787,35600
1998-05-15,17.1787,17.1787,16.4152,16.7969,69200
1998-05-18,16.7969,16.8886,16.0334,16.4152,53200
1998-05-19,16.4152,16.7969,16.4152,16.7969,21000
1998-05-20,16.7969,16.7969,16.0334,16.0334,14100
1998-05-21,16.0334,16.1251,14.8882,16.1251,116400
1998-05-22,15.8426,15.8426,15.4608,15.7433,45100
1998-05-26,15.7433,16.0334,14.5981,14.8882,119500
1998-05-27,14.8882,14.8882,14.3156,14.6973,91100
1998-05-28,14.6973,15.6517,14.3156,15.6517,163600
1998-05-29,15.6517,17.1787,15.6517,17.1787,121900
1998-06-01,17.1787,17.1787,16.7969,16.8886,258500
1998-06-02,16.8886,17.1787,16.8886,17.0871,123400
1998-06-03,17.0871,17.1787,15.8426,15.8426,180600
1998-06-04,15.8426,16.0334,15.2699,15.8426,263200
1998-06-05,16.0334,17.5604,16.0334,17.4688,290100
1998-06-08,17.7513,18.0414,17.1787,17.5604,2718000
1998-06-09,17.5604,17.5604,16.7969,17.0871,604900
1998-06-10,17.1787,17.6520,17.1787,17.4688,149300
1998-06-11,17.4688,17.6062,17.2245,17.5604,697400
1998-06-12,17.5604,17.5604,17.0871,17.2245,782000
1998-06-15,17.5146,17.5146,16.7053,16.7053,165900
1998-06-16,16.7511,16.7969,16.6061,16.6061,95000
1998-06-17,16.7511,16.7511,16.4152,16.7511,57400
1998-06-18,16.7511,16.7511,16.3236,16.4152,588700
1998-06-19,16.1327,16.3236,16.0792,16.1785,698100
1998-06-22,16.0334,16.3236,15.7509,16.1327,159500
1998-06-23,16.7053,17.3696,16.5144,17.1787,234000
1998-06-24,17.1787,17.6062,17.1787,17.5604,275900
1998-06-25,17.5604,18.0414,17.3237,17.5604,223500
1998-06-26,17.7513,18.0414,17.6597,17.8506,115800
1998-06-29,17.6597,17.7055,16.5144,17.4688,188900
1998-06-30,17.5146,19.0416,17.3237,19.0416,566300
1998-07-01,19.0874,19.5684,18.6141,18.8507,449600
1998-07-02,18.3239,18.8507,18.3239,18.3239,5141900
1998-07-06,18.5148,19.3241,18.4690,19.2783,991100
1998-07-07,19.8967,20.6144,19.5684,19.7593,1096000
1998-07-08,19.9502,20.8053,19.9502,20.2327,431200
1998-07-09,20.2327,20.7137,19.5684,19.8051,659300
1998-07-10,19.9502,20.3319,19.6600,20.0418,334700
1998-07-13,20.5686,20.8511,20.3777,20.8053,429600
1998-07-14,20.6144,20.9045,19.8509,19.9502,509200
1998-07-15,20.3319,20.6144,20.0418,20.5686,225800
1998-07-16,20.9045,20.9045,20.2327,20.5686,233300
1998-07-17,20.5228,20.9504,20.1410,20.6144,479300
1998-07-20,20.4235,20.9504,20.2785,20.6602,244800
1998-07-21,21.0420,21.4772,20.8053,20.9504,575300
1998-07-22,21.2328,21.4772,20.9962,21.1870,630200
1998-07-23,21.3779,21.7597,21.1870,21.3779,496100
1998-07-24,21.2863,21.8589,20.8053,21.2863,245300
1998-07-27,21.0954,21.0954,20.1410,20.2785,280600
1998-07-28,20.3319,20.8053,19.8509,20.0418,421600
1998-07-29,20.1410,20.4235,20.0418,20.0418,268000
1998-07-30,19.8509,20.1410,19.6600,19.7593,208200
1998-07-31,19.8509,19.9502,18.3239,18.3239,335600
1998-08-03,18.3239,19.0416,18.3239,19.0416,214700
1998-08-04,18.7057,18.8049,17.1787,17.5604,654300
1998-08-05,17.1787,18.0414,17.0871,17.1787,446700
1998-08-06,17.1787,17.9422,17.1787,17.4688,582600
1998-08-07,17.8506,18.8965,17.5604,17.5604,197300
1998-08-10,17.5604,17.9422,17.4688,17.7513,286500
1998-08-11,17.0871,17.3696,16.7969,17.3696,231200
1998-08-12,17.0871,18.4232,16.7969,18.4232,555700
1998-08-13,18.2323,19.0416,18.1331,18.4232,171600
1998-08-14,18.5148,18.6599,17.9422,17.9880,62600
1998-08-17,18.0872,18.3239,17.7055,17.7055,107100
