Date,Open,High,Low,Close,Volume
1984-09-07,0.3312,0.3312,0.3312,0.3312,21600
1984-09-10,0.3312,0.3347,0.3279,0.3347,16200
1984-09-11,0.3312,0.3312,0.3279,0.3312,86400
1984-09-12,0.3312,0.3312,0.3211,0.3211,94194
1984-09-13,0.3211,0.3243,0.3211,0.3243,29394
1984-09-14,0.3243,0.3383,0.3243,0.3347,151200
1984-09-17,0.3347,0.3415,0.3312,0.3383,48600
1984-09-18,0.3347,0.3347,0.3347,0.3347,13194
1984-09-19,0.3347,0.3415,0.3347,0.3383,94194
1984-09-20,0.3383,0.3415,0.3383,0.3415,142794
1984-09-21,0.3415,0.3415,0.3383,0.3383,23994
1984-09-24,0.3383,0.3383,0.3383,0.3383,34794
1984-09-25,0.3415,0.3415,0.3415,0.3415,56394
1984-09-26,0.3415,0.3519,0.3383,0.3484,70200
1984-09-27,0.3484,0.3620,0.3451,0.3620,162000
1984-09-28,0.3620,0.3724,0.3552,0.3689,108000
1984-10-01,0.3689,0.3724,0.3552,0.3552,104994
1984-10-02,0.3552,0.3689,0.3552,0.3653,48600
1984-10-03,0.3620,0.3620,0.3585,0.3620,29394
1984-10-04,0.3585,0.3585,0.3552,0.3585,43200
1984-10-05,0.3585,0.3585,0.3552,0.3585,7794
1984-10-08,0.3585,0.3689,0.3552,0.3620,115794
1984-10-09,0.3620,0.3620,0.3585,0.3585,94194
1984-10-10,0.3585,0.3620,0.3585,0.3620,40194
1984-10-11,0.3585,0.3585,0.3347,0.3347,313200
1984-10-12,0.3347,0.3415,0.3347,0.3415,50994
1984-10-15,0.3415,0.3451,0.3383,0.3383,45594
1984-10-16,0.3383,0.3383,0.3383,0.3383,32400
1984-10-17,0.3383,0.3383,0.3383,0.3383,21600
1984-10-18,0.3383,0.3415,0.3383,0.3415,54000
1984-10-19,0.3451,0.3484,0.3451,0.3451,86400
1984-10-22,0.3451,0.3451,0.3451,0.3451,16200
1984-10-23,0.3451,0.3451,0.3451,0.3451,13194
1984-10-24,0.3451,0.3451,0.3383,0.3383,27000
1984-10-25,0.3347,0.3347,0.3279,0.3279,64800
1984-10-26,0.3243,0.3243,0.3243,0.3243,43200
1984-10-29,0.3279,0.3347,0.3279,0.3347,27000
1984-10-30,0.3347,0.3383,0.3347,0.3383,29394
1984-10-31,0.3347,0.3347,0.3312,0.3312,81000
1984-11-01,0.3312,0.3383,0.3312,0.3383,48600
1984-11-02,0.3383,0.3383,0.3312,0.3347,29394
1984-11-05,0.3347,0.3347,0.3312,0.3312,40194
1984-11-06,0.3279,0.3279,0.3279,0.3279,13194
1984-11-07,0.3279,0.3312,0.3243,0.3279,45594
1984-11-08,0.3243,0.3243,0.3211,0.3211,16200
1984-11-09,0.3243,0.3243,0.3243,0.3243,7794
1984-11-12,0.3243,0.3243,0.3142,0.3142,32400
1984-11-13,0.3142,0.3142,0.3109,0.3109,40194
1984-11-14,0.3074,0.3074,0.3038,0.3074,81000
1984-11-15,0.3038,0.3038,0.3006,0.3038,23994
1984-11-16,0.3038,0.3074,0.2970,0.3006,48600
1984-11-19,0.2937,0.2937,0.2765,0.2836,102600
1984-11-20,0.2801,0.2801,0.2732,0.2765,102600
1984-11-21,0.2869,0.3451,0.2869,0.3451,205200
1984-11-23,0.3552,0.3757,0.3552,0.3757,77994
1984-11-26,0.3757,0.3793,0.3552,0.3552,94194
1984-11-27,0.3552,0.3620,0.3552,0.3585,67194
1984-11-28,0.3552,0.3552,0.3552,0.3552,21600
1984-11-29,0.3552,0.3552,0.3552,0.3552,2394
1984-11-30,0.3552,0.3620,0.3552,0.3585,126594
1984-12-03,0.3552,0.3552,0.3552,0.3552,7794
1984-12-04,0.3519,0.3519,0.3451,0.3451,21600
1984-12-05,0.3451,0.3519,0.3451,0.3451,104994
1984-12-06,0.3451,0.3484,0.3451,0.3451,10800
1984-12-07,0.3451,0.3484,0.3451,0.3484,10800
1984-12-10,0.3484,0.3484,0.3451,0.3484,18594
1984-12-11,0.3415,0.3415,0.3415,0.3415,10800
1984-12-12,0.3415,0.3415,0.3415,0.3415,34794
1984-12-13,0.3415,0.3415,0.3415,0.3415,5400
1984-12-14,0.3451,0.3484,0.3451,0.3451,27000
1984-12-17,0.3451,0.3451,0.3451,0.3451,5400
1984-12-18,0.3451,0.3519,0.3451,0.3484,50994
1984-12-19,0.3451,0.3451,0.3383,0.3451,108000
1984-12-20,0.3415,0.3415,0.3312,0.3312,34794
1984-12-21,0.3312,0.3383,0.3279,0.3279,56394
1984-12-24,0.3279,0.3347,0.3211,0.3211,56394
1984-12-26,0.3211,0.3279,0.3211,0.3211,23994
1984-12-27,0.3211,0.3211,0.3142,0.3211,21600
1984-12-28,0.3211,0.3243,0.3142,0.3211,88794
1984-12-31,0.3211,0.3243,0.3109,0.3109,81000
1985-01-02,0.3142,0.3142,0.3142,0.3142,10800
1985-01-03,0.3178,0.3383,0.3178,0.3383,237600
1985-01-04,0.3383,0.3451,0.3383,0.3451,37800
1985-01-07,0.3519,0.3552,0.3519,0.3552,45594
1985-01-08,0.3552,0.3585,0.3552,0.3585,27000
1985-01-09,0.3653,0.3689,0.3653,0.3689,72594
1985-01-10,0.3689,0.3689,0.3689,0.3689,5400
1985-01-11,0.3757,0.3825,0.3757,0.3825,91800
1985-01-14,0.3825,0.3825,0.3757,0.3757,110394
1985-01-15,0.3825,0.3858,0.3825,0.3858,67194
1985-01-16,0.3926,0.3995,0.3926,0.3995,226800
1985-01-17,0.4066,0.4167,0.4066,0.4167,162000
1985-01-18,0.4200,0.4303,0.4200,0.4200,97200
1985-01-21,0.4167,0.4167,0.4134,0.4134,32400
1985-01-22,0.4134,0.4372,0.4066,0.4099,378000
1985-01-23,0.4099,0.4167,0.4066,0.4134,104994
1985-01-24,0.4134,0.4235,0.4134,0.4235,115794
1985-01-25,0.4258,0.4258,0.4156,0.4156,124200
1985-01-28,0.4156,0.4258,0.4087,0.4258,104994
1985-01-29,0.4258,0.4395,0.4189,0.4362,210600
1985-01-30,0.4362,0.4464,0.4291,0.4326,205200
1985-01-31,0.4326,0.4362,0.4258,0.4362,167400
1985-02-01,0.4362,0.4362,0.4258,0.4291,72594
1985-02-04,0.4258,0.4258,0.4222,0.4222,13194
1985-02-05,0.4258,0.4326,0.4258,0.4258,115794
1985-02-06,0.4258,0.4326,0.4258,0.4326,27000
1985-02-07,0.4362,0.4395,0.4362,0.4362,59400
1985-02-08,0.4395,0.4431,0.4395,0.4395,81000
1985-02-11,0.4395,0.4431,0.4362,0.4395,86400
1985-02-12,0.4395,0.4431,0.4326,0.4395,97200
1985-02-13,0.4395,0.4395,0.4326,0.4326,67194
1985-02-14,0.4326,0.4431,0.4326,0.4395,81000
1985-02-15,0.4395,0.4431,0.4395,0.4395,37800
1985-02-19,0.4395,0.4431,0.4395,0.4431,10800
1985-02-20,0.4431,0.4431,0.4395,0.4395,40194
1985-02-21,0.4395,0.4431,0.4362,0.4431,56394
1985-02-22,0.4431,0.4431,0.4362,0.4362,34794
1985-02-25,0.4326,0.4326,0.4326,0.4326,16200
