Date,Open,High,Low,Close,Volume
1979-05-15,2.0085,2.0357,1.9814,2.0085,22002
1979-05-16,2.0216,2.1573,2.0216,2.1443,65598
1979-05-17,2.8590,2.8952,2.8590,2.8952,42899
1979-05-18,2.8952,3.0038,2.8952,2.9850,118602
1979-05-21,2.9850,3.0573,2.9488,3.0400,106200
1979-05-22,3.0400,3.1123,3.0400,3.0761,126999
1979-05-23,3.0761,3.0761,2.9850,2.9850,85401
1979-05-24,2.9850,3.0038,2.9126,2.9488,80199
1979-05-25,2.9488,3.0038,2.9126,2.9850,63198
1979-05-29,2.9850,3.1485,2.9850,3.0935,122801
1979-05-30,3.1485,3.2933,3.1485,3.2745,113598
1979-05-31,3.2571,3.2571,3.2021,3.2571,80199
1979-06-01,3.2571,3.2933,3.2571,3.2571,103001
1979-06-04,3.2571,3.3469,3.2571,3.3295,70601
1979-06-05,3.3469,3.4916,3.3469,3.4380,135801
1979-06-06,3.4742,3.5828,3.4742,3.5104,147798
1979-06-07,3.5104,3.5640,3.4916,3.4916,141399
1979-06-08,3.4916,3.5466,3.4019,3.4554,53199
1979-06-11,3.4554,3.4916,3.4019,3.4742,48600
1979-06-12,3.4742,3.4916,3.4380,3.4554,47799
1979-06-13,3.4554,3.4742,3.3295,3.3657,75402
1979-06-14,3.3657,3.4192,3.2933,3.3657,58199
1979-06-15,3.4019,3.5278,3.4019,3.4742,106799
1979-06-18,3.4742,3.4742,3.4019,3.4380,34601
1979-06-19,3.4380,3.4742,3.4019,3.4742,113598
1979-06-20,3.4742,3.5278,3.4742,3.4916,151799
1979-06-21,3.4916,3.4916,3.4192,3.4554,388800
1979-06-22,3.4554,3.4554,3.3830,3.4380,69800
1979-06-25,3.4380,3.4380,3.2209,3.2933,73400
1979-06-26,3.2933,3.3657,3.2745,3.3107,77000
1979-06-27,3.3107,3.4019,3.3107,3.3469,123800
1979-06-28,3.3469,3.3830,3.2745,3.3107,63198
1979-06-29,3.3107,3.4019,3.3107,3.4019,135198
1979-07-02,3.4019,3.4192,3.3295,3.3295,40199
1979-07-03,3.3295,3.3830,3.3295,3.3830,44802
1979-07-05,3.3830,3.3830,3.3295,3.3830,17802
1979-07-06,3.3830,3.4380,3.3657,3.4019,98402
1979-07-09,3.4554,3.8188,3.4554,3.8188,223200
1979-07-10,3.8188,3.8361,3.6364,3.6914,168602
1979-07-11,3.6914,3.6914,3.6002,3.6190,172602
1979-07-12,3.6190,3.6552,3.5828,3.6002,85401
1979-07-13,3.5640,3.5640,3.4380,3.4742,89402
1979-07-16,3.4742,3.5104,3.4192,3.5104,26199
1979-07-17,3.5104,3.5104,3.3469,3.3469,58199
1979-07-18,3.3107,3.3107,3.2021,3.2933,81801
1979-07-19,3.2933,3.3830,3.2383,3.3295,34601
1979-07-20,3.3295,3.3295,3.2745,3.2745,19800
1979-07-23,3.2745,3.3657,3.2745,3.3107,47799
1979-07-24,3.3469,3.4019,3.3469,3.4019,23999
1979-07-25,3.4019,3.4554,3.4019,3.4192,23598
1979-07-26,3.4192,3.4380,3.4019,3.4019,22001
1979-07-27,3.4019,3.4380,3.3830,3.3830,40199
1979-07-30,3.3830,3.3830,3.3107,3.3107,79002
1979-07-31,3.3107,3.3469,3.3107,3.3469,69399
1979-08-01,3.3469,3.4380,3.3469,3.3830,53199
1979-08-02,3.3830,3.4380,3.3469,3.4380,98402
1979-08-03,3.4380,3.4380,3.3830,3.4019,61002
1979-08-06,3.4019,3.4380,3.3830,3.4019,40199
1979-08-07,3.4019,3.4554,3.4019,3.4380,42399
1979-08-08,3.4742,3.5828,3.4742,3.5278,77999
1979-08-09,3.5278,3.5828,3.4916,3.5640,34601
1979-08-10,3.5640,3.5640,3.4554,3.4742,40599
1979-08-13,3.4742,3.5466,3.4742,3.5104,40199
1979-08-14,3.5104,3.5278,3.4554,3.4742,40599
1979-08-15,3.4742,3.5278,3.4192,3.5104,54000
1979-08-16,3.5104,3.5828,3.4742,3.5278,61002
1979-08-17,3.5278,3.6002,3.5104,3.6002,52601
1979-08-20,3.6002,3.6190,3.5466,3.6002,26199
1979-08-21,3.6002,3.6190,3.4554,3.4742,40599
1979-08-22,3.4742,3.5828,3.4742,3.5640,99801
1979-08-23,3.5640,3.6002,3.5640,3.6002,44802
1979-08-24,3.6002,3.6552,3.5640,3.6190,48600
1979-08-27,3.6190,3.6552,3.5640,3.6002,43799
1979-08-28,3.6002,3.6552,3.5104,3.5104,37400
1979-08-29,3.5104,3.7449,3.4554,3.7276,81198
1979-08-30,3.7276,4.0171,3.6552,4.0171,197600
1979-08-31,4.0171,4.1445,4.0171,4.1083,315198
1979-09-04,4.1083,4.1257,3.8188,3.8550,106799
1979-09-05,3.7638,3.7638,3.6190,3.7449,173399
1979-09-06,3.7449,3.7449,3.7088,3.7449,64602
1979-09-07,3.7449,3.9273,3.7449,3.9273,74799
1979-09-10,3.9273,4.0171,3.8550,3.8911,105201
1979-09-11,3.8911,3.9085,3.8188,3.8188,59400
1979-09-12,3.8188,3.9273,3.7999,3.9085,72801
1979-09-13,3.9085,4.0721,3.8361,3.9997,114399
1979-09-14,4.0171,4.2342,4.0171,4.1618,169601
1979-09-17,4.1807,4.3254,4.1807,4.2169,228798
1979-09-18,4.2169,4.2169,4.0895,4.1445,111002
1979-09-19,4.1445,4.1445,4.0721,4.0721,62402
1979-09-20,4.0721,4.0895,4.0359,4.0721,80199
1979-09-21,4.0895,4.2342,4.0895,4.2342,128799
1979-09-24,4.2169,4.2169,4.0895,4.1083,261999
1979-09-25,4.1083,4.2169,4.0721,4.1807,215402
