Date,Open,High,Low,Close,Volume
1983-04-06,1.9811,1.9876,1.9248,1.9313,1148000
1983-04-07,1.9248,1.9377,1.9063,1.9128,774400
1983-04-08,1.9128,1.9497,1.9063,1.9437,1748000
1983-04-11,2.0434,2.0434,1.9497,2.0434,1413600
1983-04-12,2.0559,2.0623,2.0374,2.0374,164800
1983-04-13,2.0374,2.0434,1.9936,2.0309,2317600
1983-04-14,2.0494,2.0494,1.9936,2.0060,314400
1983-04-15,1.9995,2.0309,1.9746,2.0309,532000
1983-04-18,2.0932,2.1680,2.0434,2.1491,641600
1983-04-19,2.1491,2.1869,2.1371,2.1431,932000
1983-04-20,2.1371,2.1740,2.1371,2.1620,979200
1983-04-21,2.1869,2.1989,2.1555,2.1555,1032800
1983-04-22,2.1431,2.1740,2.1182,2.1306,1437600
1983-04-25,2.0992,2.1371,2.0559,2.0623,197600
1983-04-26,2.0623,2.0873,2.0374,2.0873,249600
1983-04-27,2.0873,2.1057,2.0683,2.0743,680800
1983-04-28,2.1182,2.1620,2.0683,2.1306,349600
1983-04-29,2.1241,2.1555,2.0932,2.1371,546400
1983-05-02,2.1057,2.1371,2.0683,2.0683,361600
1983-05-03,2.0683,2.0683,2.0494,2.0559,235200
1983-05-04,2.0559,2.0683,2.0434,2.0494,364800
1983-05-05,2.0559,2.0683,2.0374,2.0374,1818400
1983-05-06,2.0434,2.0932,2.0434,2.0494,2374400
1983-05-09,2.0434,2.0494,2.0245,2.0494,656000
1983-05-10,2.0494,2.1241,2.0494,2.1241,1560800
1983-05-11,2.1241,2.1241,2.0683,2.0808,347200
1983-05-12,2.0808,2.0808,2.0623,2.0623,503200
1983-05-13,2.0623,2.0808,2.0623,2.0743,302400
1983-05-16,2.0743,2.0873,2.0559,2.0683,308800
1983-05-17,2.0743,2.0873,2.0623,2.0743,1470400
1983-05-18,2.0873,2.1740,2.0808,2.1555,1429600
1983-05-19,2.1431,2.1680,2.1431,2.1491,232800
1983-05-20,2.1306,2.1371,2.1182,2.1306,204800
1983-05-23,2.1241,2.1241,2.1057,2.1182,642400
1983-05-24,2.1241,2.1805,2.1241,2.1805,1520800
1983-05-25,2.1929,2.2677,2.1929,2.2677,707200
1983-05-26,2.2677,2.3364,2.2677,2.2926,1496000
1983-05-27,2.2926,2.3115,2.2866,2.2926,1136800
1983-05-31,2.2926,2.3115,2.2677,2.2677,2111200
1983-06-01,2.2677,2.2801,2.2178,2.2178,2802400
1983-06-02,2.2552,2.2617,2.2054,2.2238,828000
1983-06-03,2.2178,2.2303,2.2054,2.2118,883200
1983-06-06,2.2118,2.2118,2.1929,2.1929,507200
1983-06-07,2.1929,2.1929,2.1680,2.1740,732800
1983-06-08,2.1620,2.1680,2.1306,2.1620,1830400
1983-06-09,2.1620,2.1989,2.1491,2.1989,1173600
1983-06-10,2.2368,2.2427,2.2178,2.2303,453600
1983-06-13,2.2427,2.2926,2.2427,2.2801,501600
1983-06-14,2.2801,2.3300,2.2801,2.2986,421600
1983-06-15,2.2866,2.4421,2.2866,2.4296,1657600
1983-06-16,2.4232,2.4610,2.4172,2.4421,692000
1983-06-17,2.4421,2.5358,2.4421,2.4795,1564000
1983-06-20,2.4795,2.5169,2.4795,2.5044,538400
1983-06-21,2.5044,2.5293,2.4860,2.5109,1193600
1983-06-22,2.4979,2.5169,2.4730,2.5109,852000
1983-06-23,2.5044,2.5358,2.4730,2.4730,743200
1983-06-24,2.4795,2.4795,2.4610,2.4730,296800
1983-06-27,2.4481,2.4481,2.3923,2.4112,460800
1983-06-28,2.3923,2.4047,2.3175,2.3175,687200
1983-06-29,2.3050,2.3484,2.3050,2.3424,268800
1983-06-30,2.3300,2.4112,2.3300,2.3798,472000
1983-07-01,2.3673,2.3923,2.3673,2.3923,328800
1983-07-05,2.3673,2.3673,2.3424,2.3424,111200
1983-07-06,2.3424,2.3923,2.3424,2.3923,232800
1983-07-07,2.3923,2.4112,2.3798,2.3923,1037600
1983-07-08,2.3863,2.4047,2.3733,2.3923,191200
1983-07-11,2.3673,2.3798,2.3364,2.3549,460000
1983-07-12,2.3115,2.3175,2.2801,2.2926,280000
1983-07-13,2.3050,2.3175,2.2986,2.3175,50400
1983-07-14,2.3175,2.3484,2.3050,2.3424,1168800
1983-07-15,2.3549,2.3549,2.2986,2.3115,172000
1983-07-18,2.3175,2.3614,2.3175,2.3614,101600
1983-07-19,2.3549,2.4296,2.3549,2.4232,410400
1983-07-20,2.4112,2.4919,2.4112,2.4860,341600
1983-07-21,2.4860,2.4860,2.4172,2.4172,170400
1983-07-22,2.4077,2.4296,2.3863,2.3863,239200
1983-07-25,2.3863,2.3923,2.3614,2.3614,522400
1983-07-26,2.3733,2.3733,2.2986,2.3175,1047200
1983-07-27,2.3424,2.3614,2.3424,2.3484,896000
1983-07-28,2.3364,2.3424,2.3175,2.3300,249600
1983-07-29,2.3175,2.3300,2.3050,2.3175,416000
1983-08-01,2.3050,2.3050,2.2303,2.2617,236800
1983-08-02,2.2487,2.2617,2.2178,2.2178,182400
1983-08-03,2.2178,2.2303,2.1805,2.1805,246400
1983-08-04,2.2054,2.2118,2.1869,2.2118,214400
1983-08-05,2.2238,2.2552,2.1680,2.1740,508800
1983-08-08,2.1555,2.1555,2.0559,2.0808,863200
1983-08-09,2.1057,2.1306,2.0932,2.1182,482400
1983-08-10,2.1306,2.1620,2.1182,2.1491,355200
1983-08-11,2.1620,2.1869,2.1620,2.1680,336800
1983-08-12,2.1805,2.2118,2.1680,2.1929,888800
1983-08-15,2.2054,2.2368,2.1680,2.1805,296000
1983-08-16,2.1929,2.1929,2.1555,2.1680,410400
1983-08-17,2.1740,2.2303,2.1491,2.2303,963200
1983-08-18,2.2303,2.2926,2.2303,2.2677,583200
1983-08-19,2.2677,2.3424,2.2617,2.3175,263200
1983-08-22,2.3235,2.3484,2.3235,2.3364,291200
1983-08-23,2.3364,2.3733,2.3235,2.3235,304000
1983-08-24,2.3175,2.3300,2.2677,2.2677,1990400
1983-08-25,2.2552,2.3050,2.2552,2.3050,1801600
1983-08-26,2.2926,2.3549,2.2926,2.3549,336800
1983-08-29,2.3614,2.3798,2.3484,2.3673,262400
1983-08-30,2.3549,2.3923,2.3549,2.3798,280000
1983-08-31,2.3798,2.4296,2.3733,2.4232,404800
1983-09-01,2.4172,2.4172,2.3733,2.3798,335200
1983-09-02,2.3863,2.3923,2.3733,2.3923,228000
1983-09-06,2.4546,2.4670,2.4172,2.4296,472800
1983-09-07,2.4232,2.4546,2.4172,2.4481,610400
1983-09-08,2.4481,2.4670,2.4481,2.4481,712800
1983-09-09,2.4481,2.4860,2.4481,2.4795,486400
1983-09-12,2.5418,2.5418,2.4670,2.4670,794400
1983-09-13,2.4795,2.4795,2.4421,2.4546,510400
1983-09-14,2.4546,2.4546,2.4172,2.4361,331200
1983-09-15,2.4296,2.4421,2.4112,2.4232,346400
1983-09-16,2.4172,2.4172,2.3863,2.4112,636000
1983-09-19,2.4047,2.4546,2.4047,2.4421,452000
1983-09-20,2.4421,2.4610,2.4112,2.4112,1269600
1983-09-21,2.4172,2.4296,2.3982,2.3982,863200
1983-09-22,2.3982,2.4172,2.3673,2.3673,700800
1983-09-23,2.3673,2.4172,2.3673,2.4172,617600
1983-09-26,2.4047,2.4421,2.3798,2.3798,1160000
1983-09-27,2.3798,2.3798,2.3549,2.3798,519200
1983-09-28,2.3798,2.4047,2.3798,2.4047,145600
1983-09-29,2.3923,2.3923,2.3673,2.3798,390400
1983-09-30,2.3863,2.3863,2.3614,2.3733,283200
1983-10-03,2.3733,2.4112,2.3673,2.4112,403200
1983-10-04,2.4047,2.4112,2.3923,2.4047,525600
1983-10-05,2.3982,2.4172,2.3982,2.4112,201600
1983-10-06,2.4112,2.4296,2.3798,2.3863,1744800
1983-10-07,2.3863,2.3863,2.3549,2.3673,541600
1983-10-10,2.3733,2.4112,2.3614,2.3982,950400
1983-10-11,2.3982,2.3982,2.3673,2.3673,284000
1983-10-12,2.3673,2.4112,2.3549,2.3863,892000
1983-10-13,2.3798,2.3923,2.3614,2.3614,189600
1983-10-14,2.3733,2.3733,2.3549,2.3673,98400
1983-10-17,2.3798,2.3798,2.3300,2.3364,317600
1983-10-18,2.3235,2.3364,2.2427,2.2427,296000
1983-10-19,2.2303,2.2552,2.2054,2.2552,521600
1983-10-20,2.2487,2.2801,2.2368,2.2368,237600
1983-10-21,2.2368,2.2427,2.1989,2.2178,256800
1983-10-24,2.2054,2.2054,2.1491,2.2054,588800
1983-10-25,2.1929,2.2178,2.1620,2.2054,467200
1983-10-26,2.1989,2.2118,2.1805,2.1805,572800
1983-10-27,2.1680,2.1680,2.0873,2.1182,1177600
1983-10-28,2.1057,2.1122,2.0873,2.0873,424800
1983-10-31,2.0992,2.1241,2.0992,2.0992,639200
1983-11-01,2.1182,2.1620,2.1122,2.1620,245600
1983-11-02,2.1740,2.1989,2.1241,2.1306,1262400
1983-11-03,2.1371,2.1371,2.0992,2.1371,1284000
1983-11-04,2.1371,2.1371,2.1241,2.1241,100800
1983-11-07,2.1241,2.1491,2.1241,2.1306,166400
1983-11-08,2.1371,2.1431,2.1241,2.1371,1077600
1983-11-09,2.1306,2.1306,2.1182,2.1241,715200
1983-11-10,2.1122,2.1182,2.0743,2.0932,278400
1983-11-11,2.0992,2.1371,2.0932,2.1306,440800
1983-11-14,2.1241,2.1555,2.1182,2.1371,932000
1983-11-15,2.1371,2.1371,2.1182,2.1241,285600
1983-11-16,2.1431,2.2427,2.1371,2.2427,1443200
1983-11-17,2.2303,2.2303,2.1989,2.2238,359200
1983-11-18,2.2178,2.2178,2.1989,2.2054,75200
1983-11-21,2.2054,2.2054,2.1869,2.1929,158400
1983-11-22,2.1869,2.2118,2.1869,2.2118,462400
1983-11-23,2.1989,2.2118,2.1929,2.2054,332000
1983-11-25,2.1929,2.2178,2.1929,2.2118,164800
1983-11-28,2.1989,2.2118,2.1869,2.1929,387200
1983-11-29,2.1869,2.2054,2.1740,2.1805,368800
1983-11-30,2.1805,2.2677,2.1805,2.2617,1508800
1983-12-01,2.2487,2.2926,2.2368,2.2736,145600
1983-12-02,2.3050,2.3798,2.3050,2.3424,524000
1983-12-05,2.3175,2.3175,2.2736,2.2736,252000
1983-12-06,2.2552,2.3050,2.2427,2.2986,1255200
1983-12-07,2.2986,2.3115,2.2986,2.2986,131200
1983-12-08,2.2986,2.3300,2.2866,2.2986,244000
1983-12-09,2.3115,2.3424,2.2986,2.3364,400000
1983-12-12,2.3484,2.3549,2.3300,2.3300,389600
1983-12-13,2.3175,2.3175,2.2926,2.2926,181600
1983-12-14,2.2986,2.2986,2.2238,2.2368,556800
1983-12-15,2.2238,2.2368,2.2054,2.2303,340800
1983-12-16,2.2427,2.3115,2.2427,2.2866,268800
1983-12-19,2.2926,2.2926,2.2736,2.2801,144000
