Date,Open,High,Low,Close,Volume
1991-11-08,0.1268,0.1268,0.1268,0.1268,352115200
1991-11-11,0.1268,0.1268,0.1268,0.1268,47436800
1991-11-12,0.1268,0.1268,0.1268,0.1268,52390400
1991-11-13,0.1268,0.1268,0.1233,0.1233,76236800
1991-11-14,0.1148,0.1199,0.1148,0.1199,83340800
1991-11-15,0.1199,0.1199,0.1131,0.1131,86988800
1991-11-18,0.1113,0.1131,0.1045,0.1062,35494400
1991-11-19,0.1062,0.1096,0.1028,0.1062,39833600
1991-11-20,0.1079,0.1079,0.1062,0.1079,3891200
1991-11-21,0.1062,0.1062,0.1028,0.1028,6732800
1991-11-22,0.1028,0.1028,0.0959,0.0976,10444800
1991-11-25,0.0994,0.1062,0.0959,0.1011,22630400
1991-11-26,0.1028,0.1045,0.1011,0.1011,13171200
1991-11-27,0.1028,0.1045,0.1028,0.1045,13516800
1991-11-29,0.1028,0.1062,0.1028,0.1062,3942400
1991-12-02,0.1045,0.1131,0.1045,0.1079,8140800
1991-12-03,0.1096,0.1113,0.1079,0.1113,8908800
1991-12-04,0.1131,0.1233,0.1131,0.1148,39296000
1991-12-05,0.1148,0.1199,0.1113,0.1182,20198400
1991-12-06,0.1182,0.1182,0.1165,0.1182,5798400
1991-12-09,0.1182,0.1182,0.1165,0.1165,9433600
1991-12-10,0.1131,0.1148,0.1113,0.1113,9497600
1991-12-11,0.1113,0.1131,0.1079,0.1079,7923200
1991-12-12,0.1096,0.1131,0.1062,0.1113,7910400
1991-12-13,0.1131,0.1165,0.1131,0.1148,6028800
1991-12-16,0.1165,0.1165,0.1131,0.1148,11020800
1991-12-17,0.1131,0.1131,0.1113,0.1113,4390400
1991-12-18,0.1113,0.1113,0.1062,0.1079,7948800
1991-12-19,0.1062,0.1062,0.1028,0.1062,6323200
1991-12-20,0.1079,0.1079,0.0994,0.1062,8230400
1991-12-23,0.1062,0.1113,0.1028,0.1113,7667200
1991-12-24,0.1096,0.1182,0.1096,0.1182,9715200
1991-12-26,0.1182,0.1233,0.1182,0.1233,8576000
1991-12-27,0.1216,0.1233,0.1165,0.1233,13452800
1991-12-30,0.1233,0.1233,0.1199,0.1216,10521600
1991-12-31,0.1216,0.1233,0.1199,0.1233,25177600
1992-01-02,0.1216,0.1216,0.1182,0.1216,5824000
1992-01-03,0.1233,0.1251,0.1216,0.1233,24076800
1992-01-06,0.1251,0.1353,0.1233,0.1268,78387200
1992-01-07,0.1268,0.1319,0.1251,0.1302,47974400
1992-01-08,0.1302,0.1388,0.1302,0.1353,147008000
1992-01-09,0.1370,0.1370,0.1319,0.1319,37964800
1992-01-10,0.1336,0.1336,0.1319,0.1319,17932800
1992-01-13,0.1319,0.1353,0.1319,0.1336,11724800
1992-01-14,0.1319,0.1353,0.1319,0.1336,19353600
1992-01-15,0.1336,0.1353,0.1319,0.1336,11622400
1992-01-16,0.1336,0.1388,0.1319,0.1388,123084800
1992-01-17,0.1388,0.1457,0.1370,0.1388,36761600
1992-01-20,0.1388,0.1388,0.1336,0.1336,16512000
1992-01-21,0.1336,0.1353,0.1302,0.1319,16422400
1992-01-22,0.1319,0.1319,0.1285,0.1285,9190400
1992-01-23,0.1302,0.1302,0.1268,0.1285,9395200
1992-01-24,0.1268,0.1285,0.1268,0.1285,8512000
1992-01-27,0.1268,0.1285,0.1251,0.1285,13798400
1992-01-28,0.1268,0.1285,0.1268,0.1268,4492800
1992-01-29,0.1268,0.1319,0.1251,0.1251,21760000
1992-01-30,0.1233,0.1353,0.1165,0.1285,30617600
1992-01-31,0.1251,0.1268,0.1251,0.1251,4684800
1992-02-03,0.1233,0.1285,0.1233,0.1285,2278400
1992-02-04,0.1182,0.1199,0.1096,0.1182,75136000
1992-02-05,0.1182,0.1216,0.1148,0.1148,22745600
1992-02-06,0.1148,0.1182,0.1148,0.1148,7974400
1992-02-07,0.1165,0.1199,0.1165,0.1182,10790400
1992-02-10,0.1165,0.1182,0.1165,0.1165,9472000
1992-02-11,0.1165,0.1182,0.1148,0.1148,17177600
1992-02-12,0.1165,0.1165,0.1148,0.1165,12172800
1992-02-13,0.1182,0.1199,0.1165,0.1165,4275200
1992-02-14,0.1165,0.1182,0.1131,0.1131,6118400
1992-02-18,0.1148,0.1148,0.1131,0.1131,4428800
1992-02-19,0.1131,0.1131,0.1096,0.1096,9459200
1992-02-20,0.1096,0.1113,0.1062,0.1096,4646400
1992-02-21,0.1113,0.1131,0.1096,0.1113,14092800
1992-02-24,0.1113,0.1113,0.1079,0.1079,4812800
1992-02-25,0.1096,0.1096,0.1079,0.1079,4876800
1992-02-26,0.1096,0.1148,0.1079,0.1131,12211200
1992-02-27,0.1165,0.1165,0.1113,0.1113,4096000
1992-02-28,0.1131,0.1131,0.1096,0.1131,3366400
1992-03-02,0.1113,0.1113,0.1096,0.1113,3097600
1992-03-03,0.1113,0.1131,0.1079,0.1113,18995200
1992-03-04,0.1131,0.1182,0.1131,0.1165,12940800
1992-03-05,0.1199,0.1199,0.1148,0.1148,7129600
1992-03-06,0.1165,0.1165,0.1113,0.1131,4364800
1992-03-09,0.1131,0.1131,0.1113,0.1113,5260800
1992-03-10,0.1113,0.1148,0.1113,0.1113,10099200
1992-03-11,0.1096,0.1113,0.1062,0.1079,4595200
1992-03-12,0.1062,0.1079,0.1062,0.1062,4211200
1992-03-13,0.1062,0.1096,0.1062,0.1079,8166400
1992-03-16,0.1079,0.1079,0.1062,0.1062,819200
1992-03-17,0.1062,0.1079,0.1045,0.1062,6553600
1992-03-18,0.1062,0.1079,0.1062,0.1079,4044800
1992-03-19,0.1079,0.1079,0.1045,0.1045,2444800
1992-03-20,0.1062,0.1096,0.1062,0.1079,3660800
1992-03-23,0.1079,0.1096,0.1045,0.1096,3545600
1992-03-24,0.1096,0.1199,0.1096,0.1165,29068800
1992-03-25,0.1165,0.1165,0.1131,0.1131,4505600
1992-03-26,0.1131,0.1131,0.1079,0.1096,16128000
1992-03-27,0.1113,0.1131,0.1113,0.1131,3993600
1992-03-30,0.1131,0.1131,0.1079,0.1096,5107200
1992-03-31,0.1079,0.1113,0.1079,0.1113,11545600
1992-04-01,0.1096,0.1131,0.1096,0.1131,2073600
1992-04-02,0.1113,0.1131,0.1113,0.1113,2227200
1992-04-03,0.1113,0.1113,0.1113,0.1113,883200
1992-04-06,0.1113,0.1113,0.1096,0.1113,1728000
1992-04-07,0.1096,0.1113,0.1079,0.1079,4492800
1992-04-08,0.1079,0.1079,0.1045,0.1079,4876800
1992-04-09,0.1079,0.1113,0.1079,0.1113,2649600
1992-04-10,0.1131,0.1131,0.1096,0.1113,17740800
1992-04-13,0.1113,0.1148,0.1113,0.1131,1369600
