Date,Open,High,Low,Close,Volume
2011-03-30,7.7651,7.8897,7.5367,7.5575,30086900
2011-03-31,7.4952,7.7193,7.4370,7.4744,9582800
2011-04-01,7.4786,7.5699,7.4287,7.4744,3199400
2011-04-04,7.5035,7.5409,7.3914,7.4246,1846600
2011-04-05,7.4246,7.4885,7.3291,7.4661,2353300
2011-04-06,7.4786,7.5367,7.4246,7.5159,474900
2011-04-07,7.6156,7.6197,7.4744,7.4786,702100
2011-04-08,7.4786,7.5367,7.4246,7.4744,304500
2011-04-11,7.4495,7.5159,7.4329,7.4993,486000
2011-04-12,7.5159,7.6156,7.4204,7.5533,624600
2011-04-13,7.6281,7.6281,7.4786,7.5159,199600
2011-04-14,7.4786,7.5865,7.4744,7.5782,408000
2011-04-15,7.5907,7.7609,7.5616,7.6820,963000
2011-04-18,7.6820,7.7194,7.4578,7.5492,720700
2011-04-19,7.5782,7.6073,7.5076,7.5575,405000
2011-04-20,7.6364,7.6364,7.5159,7.5699,498200
2011-04-21,7.5990,7.6197,7.4038,7.5201,1196100
2011-04-25,7.4910,7.5782,7.4910,7.4993,280800
2011-04-26,7.5616,7.5741,7.4329,7.5492,622700
2011-04-27,7.5159,7.5575,7.4910,7.5492,275400
2011-04-28,7.5201,7.5865,7.4163,7.5201,539400
2011-04-29,7.5492,7.5533,7.4453,7.5076,196000
2011-05-02,7.5035,7.5990,7.4453,7.5530,555700
2011-05-03,7.4869,7.6197,7.4827,7.5865,377400
2011-05-04,7.5699,7.6156,7.3706,7.4661,614000
2011-05-05,7.4246,7.5118,7.3498,7.4495,412200
2011-05-06,7.5450,7.5450,7.4370,7.4620,405600
2011-05-09,7.6156,7.7069,7.5969,7.6820,965400
2011-05-10,7.7236,7.7900,7.6737,7.7692,666400
2011-05-11,7.7900,7.7900,7.6322,7.6737,371000
2011-05-12,7.8066,7.8523,7.4910,7.6488,722000
2011-05-13,7.7443,7.7443,7.4993,7.5865,810300
2011-05-16,7.6488,7.6820,7.3042,7.4038,988800
2011-05-17,7.4163,7.4329,6.9761,7.1339,980900
2011-05-18,7.2128,7.5492,7.1339,7.4121,823900
2011-05-19,7.4534,7.5669,7.3105,7.4703,369400
2011-05-20,7.4661,7.6006,7.4661,7.5039,508200
2011-05-23,7.3189,7.5627,7.3063,7.3988,309200
2011-05-24,7.4324,7.5543,7.3694,7.3862,205900
2011-05-25,7.3988,7.4450,7.2559,7.3021,285000
2011-05-26,7.2811,7.5543,7.2811,7.4619,430700
2011-05-27,7.4997,7.7729,7.4829,7.6468,622800
2011-05-31,7.5880,7.6426,7.5249,7.5754,329100
2011-06-01,7.5123,7.6090,7.4366,7.5375,770100
2011-06-02,7.5459,7.5459,7.4450,7.5081,70100
2011-06-03,7.3820,7.5548,7.3820,7.5039,75800
2011-06-06,7.5039,7.5207,7.2853,7.3147,183600
2011-06-07,7.3357,7.3441,7.0835,7.1129,219700
2011-06-08,7.1213,7.1676,7.0373,7.0415,180600
2011-06-09,6.9994,7.1255,6.8145,6.8481,250900
2011-06-10,6.9069,6.9238,6.5076,6.5748,335300
2011-06-13,6.5538,6.6379,6.4193,6.5202,560500
2011-06-14,6.5664,6.7388,6.5664,6.7262,114700
2011-06-15,6.6631,6.8313,6.6421,6.7136,210800
2011-06-16,6.6379,6.7468,6.5706,6.6715,187600
2011-06-17,6.7136,6.7304,6.6463,6.7052,200300
2011-06-20,6.6967,6.7220,6.5664,6.6001,45000
2011-06-21,6.6505,6.8523,6.6253,6.7262,244900
2011-06-22,6.7136,6.9196,6.7136,6.8607,295200
2011-06-23,6.8187,6.8481,6.7262,6.7682,146800
2011-06-24,6.7304,6.8060,6.7220,6.7262,174100
2011-06-27,6.7346,6.8313,6.7220,6.7766,24600
2011-06-28,6.9027,7.1718,6.8313,6.9742,378500
2011-06-29,6.9027,7.4324,6.8439,7.2012,515200
2011-06-30,7.2306,7.2601,7.1676,7.2306,227800
2011-07-01,7.1970,7.2433,7.0961,7.2054,150400
2011-07-05,7.1802,7.2517,7.1087,7.1424,158700
2011-07-06,7.1087,7.1466,7.0204,7.0961,141800
2011-07-07,7.2180,7.2180,7.0457,7.0919,164900
2011-07-08,7.2643,7.2643,7.0204,7.1466,139400
2011-07-11,7.0835,7.1424,6.8775,6.9532,50700
2011-07-12,7.0415,7.1045,6.8355,6.9994,75900
2011-07-13,7.0583,7.0583,6.7472,6.8901,102100
2011-07-14,6.8313,7.0415,6.7346,6.8355,131500
2011-07-15,6.8859,7.0625,6.8187,6.9364,162800
2011-07-18,6.8565,6.9490,6.6295,6.6841,160100
2011-07-19,6.7808,6.8271,6.6547,6.7262,320300
2011-07-20,6.7388,6.8817,6.7093,6.8691,146500
2011-07-21,6.9910,7.1213,6.9027,7.0415,310100
2011-07-22,7.0583,7.1466,6.9574,7.1213,194000
2011-07-25,7.2517,7.3273,7.1045,7.2306,287600
2011-07-26,7.2348,7.3357,7.1886,7.2643,280300
2011-07-27,7.2937,7.3063,7.0078,7.0667,98300
2011-07-28,7.0457,7.1424,6.9658,7.0919,101000
2011-07-29,7.0373,7.3063,6.8653,7.2769,153600
2011-08-01,7.3357,7.5417,7.1339,7.3568,250600
2011-08-02,7.4114,7.4114,6.8817,7.0709,226500
2011-08-03,7.0415,7.3063,6.8229,7.0331,349600
2011-08-04,6.9910,7.1339,6.2217,6.2764,347400
2011-08-05,6.3100,6.4655,5.4440,5.9064,326300
2011-08-08,5.6962,5.9443,5.3851,5.5659,817600
2011-08-09,5.4440,6.4067,5.3599,5.9443,837400
2011-08-10,5.8854,5.9695,5.4734,5.7215,397700
2011-08-11,5.5953,5.7341,5.4650,5.7215,393200
2011-08-12,5.8728,5.8728,5.5071,5.5827,675200
2011-08-15,5.5323,5.8013,5.5239,5.6037,292400
2011-08-16,5.6037,5.9737,5.5995,5.9569,419200
2011-08-17,5.8938,6.1671,5.8938,6.0704,154800
2011-08-18,5.8240,6.0249,5.7299,5.9779,166000
2011-08-19,5.9095,6.0206,5.8368,5.9223,298800
2011-08-22,5.9651,5.9864,5.4733,5.6529,191600
2011-08-23,5.7171,5.7470,5.5717,5.7085,397400
2011-08-24,5.7299,5.7299,5.5845,5.6358,459000
2011-08-25,5.7085,5.7128,5.4947,5.5588,117300
2011-08-26,5.5588,5.5588,5.2253,5.3493,375600
2011-08-29,5.4263,5.5289,5.2937,5.3921,453300
2011-08-30,5.3707,5.5161,5.3365,5.4733,305800
2011-08-31,5.5460,5.6657,5.5097,5.5460,405700
2011-09-01,5.5588,5.5588,5.4776,5.5204,374900
