Date,Open,High,Low,Close,Volume
1983-12-28,1.1350,1.1773,1.1350,1.1350,19200
1983-12-29,1.1350,1.1773,1.1350,1.1350,93900
1983-12-30,1.1350,1.1773,1.1350,1.1350,79800
1984-01-03,1.1350,1.1603,1.1262,1.1262,33000
1984-01-04,1.1262,1.1350,1.1091,1.1091,51600
1984-01-05,1.1091,1.1350,1.1091,1.1091,35100
1984-01-06,1.1262,1.1603,1.1262,1.1262,60600
1984-01-09,1.1350,1.1773,1.1350,1.1350,40200
1984-01-10,1.1350,1.1603,1.1350,1.1350,44400
1984-01-11,1.1350,1.1603,1.1262,1.1262,60000
1984-01-12,1.1262,1.1603,1.1262,1.1262,27900
1984-01-13,1.1262,1.1603,1.1262,1.1262,32700
1984-01-16,1.1350,1.1603,1.1350,1.1350,31800
1984-01-17,1.1350,1.1603,1.1262,1.1262,75600
1984-01-18,1.1262,1.1350,1.1262,1.1262,54600
1984-01-19,1.1262,1.1603,1.1262,1.1262,65700
1984-01-20,1.1262,1.1350,1.1262,1.1262,46500
1984-01-23,1.1262,1.1603,1.1262,1.1262,84900
1984-01-24,1.1262,1.1603,1.1262,1.1262,27600
1984-01-25,1.1262,1.1603,1.1262,1.1262,28200
1984-01-26,1.1262,1.1603,1.1262,1.1262,16500
1984-01-27,1.1603,1.2115,1.1603,1.1603,21900
1984-01-30,1.1603,1.1862,1.1603,1.1603,47400
1984-01-31,1.1603,1.1862,1.1350,1.1350,28800
1984-02-01,1.1603,1.1862,1.1603,1.1603,20700
1984-02-02,1.1773,1.2115,1.1773,1.1773,28500
1984-02-03,1.2115,1.2374,1.2115,1.2115,14100
1984-02-06,1.2115,1.2285,1.1862,1.1862,39900
1984-02-07,1.1862,1.2285,1.1862,1.1862,23100
1984-02-08,1.2285,1.2627,1.2285,1.2285,33300
1984-02-09,1.2285,1.2627,1.2285,1.2285,14100
1984-02-10,1.2374,1.2627,1.2374,1.2374,43500
1984-02-13,1.2285,1.2285,1.1862,1.1862,31800
1984-02-14,1.1862,1.2285,1.1862,1.1862,14400
1984-02-15,1.1862,1.2285,1.1862,1.1862,8400
1984-02-16,1.1862,1.2115,1.1862,1.1862,11100
1984-02-17,1.2115,1.2374,1.2115,1.2115,25200
1984-02-21,1.2115,1.2285,1.1862,1.1862,23100
1984-02-22,1.1862,1.2115,1.1773,1.1773,6600
1984-02-23,1.1773,1.1862,1.1773,1.1773,51900
1984-02-24,1.1773,1.2115,1.1773,1.1773,18600
1984-02-27,1.1773,1.1862,1.1603,1.1603,15600
1984-02-28,1.1603,1.1862,1.1603,1.1603,21600
1984-02-29,1.1603,1.1862,1.1603,1.1603,12000
1984-03-01,1.1603,1.1862,1.1603,1.1603,3300
