Date,Open,High,Low,Close,Volume
1994-03-11,5.3646,5.4323,5.3646,5.4323,2359000
1994-03-14,5.3984,5.3984,5.3646,5.3646,536500
1994-03-15,5.3646,5.3984,5.3646,5.3646,215700
1994-03-16,5.3646,5.5623,5.3646,5.5623,338600
1994-03-17,5.5623,5.5623,5.4323,5.4947,195900
1994-03-18,5.4947,5.4947,5.3984,5.4635,285700
1994-03-21,5.4635,5.4635,5.4323,5.4323,38900
1994-03-22,5.4323,5.4323,5.3984,5.3984,78400
1994-03-23,5.3984,5.5936,5.3984,5.5285,209200
1994-03-24,5.4947,5.4947,5.4635,5.4635,155000
1994-03-25,5.4635,5.4947,5.4635,5.4635,91500
1994-03-28,5.4635,5.4947,5.4323,5.4947,111200
1994-03-29,5.4947,5.4947,5.3646,5.3646,101200
1994-03-30,5.3646,5.3984,5.3022,5.3334,105000
1994-03-31,5.3334,5.3646,5.3334,5.3646,108300
1994-04-04,5.3022,5.3022,5.2033,5.2345,42300
1994-04-05,5.2684,5.4323,5.2684,5.3984,55600
1994-04-06,5.3984,5.4323,5.3984,5.4323,31800
1994-04-07,5.4323,5.4635,5.3984,5.3984,52000
1994-04-08,5.3984,5.3984,5.3334,5.3334,24000
1994-04-11,5.3334,5.3646,5.3022,5.3022,44400
1994-04-12,5.3022,5.3334,5.2684,5.3334,15100
1994-04-13,5.3334,5.3334,5.3022,5.3022,30500
1994-04-14,5.3022,5.3334,5.3022,5.3022,38800
1994-04-15,5.3022,5.3334,5.2345,5.2345,12200
1994-04-18,5.2345,5.3022,5.2345,5.2345,39800
1994-04-19,5.2684,5.3022,5.2684,5.2684,24500
1994-04-20,5.2684,5.2684,5.2345,5.2684,72000
1994-04-21,5.2684,5.3022,5.2684,5.2684,15000
1994-04-22,5.2684,5.3334,5.2345,5.3334,20700
1994-04-25,5.3334,5.3334,5.2684,5.2684,27300
1994-04-26,5.3022,5.3334,5.3022,5.3334,64000
1994-04-28,5.3334,5.3984,5.3334,5.3646,27100
