Date,Open,High,Low,Close,Volume
1983-12-29,1.3854,1.3987,1.3721,1.3790,28400
1983-12-30,1.3790,1.4451,1.3652,1.4451,619600
1984-01-03,2.8646,2.8646,2.7836,2.7836,26200
1984-01-04,2.7836,2.8369,2.7836,2.8369,34400
1984-01-05,2.8774,2.8902,2.8774,2.8902,600400
1984-01-06,2.8902,2.8902,2.8774,2.8902,265200
1984-01-09,2.8902,2.9307,2.8774,2.9307,234000
1984-01-10,2.9307,2.9968,2.8902,2.9840,107600
1984-01-11,2.9840,2.9840,2.9435,2.9435,53600
1984-01-12,2.9435,2.9968,2.9435,2.9435,244800
1984-01-13,2.9435,2.9968,2.9435,2.9840,105200
1984-01-16,2.9840,2.9968,2.9307,2.9307,136000
1984-01-17,2.8902,2.8902,2.8646,2.8646,78000
1984-01-18,2.8646,2.8646,2.7442,2.7708,91200
1984-01-19,2.7581,2.7581,2.6643,2.7176,278000
1984-01-20,2.7176,2.7708,2.7176,2.7708,262400
1984-01-23,2.7442,2.7442,2.6771,2.6771,252400
1984-01-24,2.6771,2.7176,2.6643,2.6643,160400
1984-01-25,2.6643,2.7303,2.6515,2.6515,66000
1984-01-26,2.6376,2.6376,2.5705,2.6110,100000
1984-01-27,2.6110,2.6909,2.6110,2.6909,75200
1984-01-30,2.6909,2.6909,2.6643,2.6643,12000
1984-01-31,2.6515,2.6515,2.6110,2.6515,66000
1984-02-01,2.6515,2.6771,2.6376,2.6643,100000
1984-02-02,2.6643,2.7442,2.6643,2.7442,468800
1984-02-03,2.7836,2.7836,2.7836,2.7836,487600
1984-02-06,2.7836,2.8902,2.7836,2.8902,57600
1984-02-07,2.8902,2.8902,2.8241,2.8241,464000
1984-02-08,2.8241,2.8508,2.7836,2.7836,150400
1984-02-09,2.7836,2.7836,2.7442,2.7836,265600
1984-02-10,2.7836,2.8241,2.7836,2.7836,167600
1984-02-13,2.7836,2.7836,2.7581,2.7581,27200
1984-02-14,2.7581,2.7975,2.7581,2.7975,192400
1984-02-15,2.7975,2.7975,2.7708,2.7708,147200
1984-02-16,2.7836,2.7836,2.7836,2.7836,44800
1984-02-17,2.7708,2.7708,2.7442,2.7581,58000
1984-02-21,2.7581,2.7708,2.6771,2.6771,344000
1984-02-22,2.6515,2.6515,2.5311,2.5705,659600
1984-02-23,2.5705,2.5705,2.5449,2.5577,188400
1984-02-24,2.5705,2.7975,2.5705,2.7836,152800
1984-02-27,2.7836,2.8241,2.7581,2.7708,174000
1984-02-28,2.7581,2.7581,2.7303,2.7303,34000
1984-02-29,2.7303,2.7303,2.6771,2.7303,73200
1984-03-01,2.6909,2.6909,2.6515,2.6643,118400
1984-03-02,2.6771,2.6909,2.6771,2.6771,203600
1984-03-05,2.6771,2.7708,2.6771,2.6771,41200
1984-03-06,2.6771,2.7303,2.6771,2.7303,52800
1984-03-07,2.7303,2.7303,2.6771,2.6771,96000
1984-03-08,2.6771,2.6909,2.6771,2.6771,55600
1984-03-09,2.6771,2.6771,2.6643,2.6771,12000
1984-03-12,2.6771,2.7442,2.6771,2.7176,128800
1984-03-13,2.7442,2.7836,2.7442,2.7836,87600
1984-03-14,2.7836,2.8508,2.7836,2.8508,94000
1984-03-15,2.8508,2.9307,2.8508,2.9307,151600
1984-03-16,2.9712,3.0373,2.9712,2.9968,274000
1984-03-19,2.9968,2.9968,2.9435,2.9573,29600
1984-03-20,2.9573,2.9712,2.9307,2.9573,51600
1984-03-21,2.9712,2.9968,2.9712,2.9840,23200
1984-03-22,2.9840,2.9968,2.9712,2.9840,78400
1984-03-23,2.9840,2.9840,2.9435,2.9840,123200
1984-03-26,2.9573,2.9573,2.9041,2.9041,25200
1984-03-27,2.9041,2.9307,2.8902,2.8902,22400
1984-03-28,2.8902,2.9712,2.8902,2.9712,42000
1984-03-29,2.9573,2.9573,2.8902,2.9307,58000
1984-03-30,2.9307,2.9435,2.8902,2.8902,56400
1984-04-02,2.8902,2.8902,2.8508,2.8508,19200
1984-04-03,2.8508,2.8646,2.8369,2.8369,18400
1984-04-04,2.8369,2.8646,2.7975,2.8369,246000
1984-04-05,2.8369,2.8902,2.8241,2.8774,224000
1984-04-06,2.8774,2.8902,2.8508,2.8646,106000
1984-04-09,2.8646,2.8902,2.8646,2.8902,117600
1984-04-10,2.8902,2.8902,2.8774,2.8902,12400
1984-04-11,2.8902,2.9041,2.8902,2.8902,4000
1984-04-12,2.8902,2.9041,2.8646,2.9041,166400
1984-04-13,2.9041,2.9041,2.8902,2.8902,12000
1984-04-16,2.8902,2.9712,2.8774,2.8774,66000
1984-04-17,2.8902,2.9573,2.8902,2.9573,67200
1984-04-18,2.9573,2.9712,2.8508,2.8508,295600
1984-04-19,2.8508,2.8646,2.7708,2.7708,34000
1984-04-23,2.7708,2.7975,2.7442,2.7708,102400
1984-04-24,2.7708,2.7836,2.7708,2.7836,19600
1984-04-25,2.7836,2.8508,2.7836,2.7836,75600
1984-04-26,2.7836,2.8646,2.7836,2.8646,44000
1984-04-27,2.8646,2.8646,2.8508,2.8646,14000
1984-04-30,2.8508,2.8508,2.7708,2.7975,124800
1984-05-01,2.7975,2.7975,2.7708,2.7836,95200
