Date,Open,High,Low,Close,Volume
1972-06-01,1.8983,1.8983,1.8983,1.8983,0
1972-06-02,1.8897,1.8897,1.8897,1.8897,0
1972-06-05,1.8527,1.8527,1.8527,1.8527,0
1972-06-06,1.7534,1.7534,1.7534,1.7534,0
1972-06-07,1.7326,1.7326,1.7326,1.7326,0
1972-06-08,1.7743,1.7743,1.7743,1.7743,0
1972-06-09,1.7617,1.7617,1.7617,1.7617,0
1972-06-12,1.7905,1.7905,1.7905,1.7905,0
1972-06-13,1.7905,1.7905,1.7905,1.7905,0
1972-06-14,1.7700,1.7700,1.7700,1.7700,0
1972-06-15,1.7495,1.7495,1.7495,1.7495,0
1972-06-16,1.7452,1.7452,1.7452,1.7452,0
1972-06-19,1.7286,1.7286,1.7286,1.7286,0
1972-06-20,1.7326,1.7326,1.7326,1.7326,0
1972-06-21,1.7700,1.7700,1.7700,1.7700,0
1972-06-22,1.8031,1.8031,1.8031,1.8031,0
1972-06-23,1.7121,1.7121,1.7121,1.7121,0
1972-06-26,1.6624,1.6624,1.6624,1.6624,0
1972-06-27,1.7326,1.7326,1.7326,1.7326,0
1972-06-28,1.7495,1.7495,1.7495,1.7495,0
1972-06-29,1.7905,1.7905,1.7905,1.7905,0
1972-06-30,1.8444,1.8444,1.8444,1.8444,0
1972-07-03,1.9145,1.9145,1.9145,1.9145,0
1972-07-05,1.9850,1.9850,1.9850,1.9850,0
1972-07-06,1.9850,1.9850,1.9850,1.9850,0
1972-07-07,1.9519,1.9519,1.9519,1.9519,0
1972-07-10,1.9354,1.9354,1.9354,1.9354,0
1972-07-11,1.9394,1.9394,1.9394,1.9394,0
1972-07-12,1.9354,1.9354,1.9354,1.9354,0
1972-07-13,1.8566,1.8566,1.8566,1.8566,0
1972-07-14,1.8692,1.8692,1.8692,1.8692,0
1972-07-17,1.8527,1.8527,1.8527,1.8527,0
1972-07-18,1.8692,1.8692,1.8692,1.8692,0
1972-07-19,1.8692,1.8692,1.8692,1.8692,0
1972-07-20,1.7743,1.7743,1.7743,1.7743,0
1972-07-21,1.8113,1.8113,1.8113,1.8113,0
1972-07-24,1.8444,1.8444,1.8444,1.8444,0
1972-07-25,1.8279,1.8279,1.8279,1.8279,0
1972-07-26,1.8279,1.8279,1.8279,1.8279,0
1972-07-27,1.8236,1.8236,1.8236,1.8236,0
1972-07-28,1.8322,1.8322,1.8322,1.8322,0
1972-07-31,1.8279,1.8279,1.8279,1.8279,0
1972-08-01,1.8735,1.8735,1.8735,1.8735,0
1972-08-02,1.9933,1.9933,1.9933,1.9933,0
1972-08-03,2.0264,2.0264,2.0264,2.0264,0
1972-08-04,2.0303,2.0303,2.0303,2.0303,0
1972-08-07,2.0264,2.0264,2.0264,2.0264,0
1972-08-08,1.9973,1.9973,1.9973,1.9973,0
1972-08-09,1.9973,1.9973,1.9973,1.9973,0
1972-08-10,2.0551,2.0551,2.0551,2.0551,0
1972-08-11,2.0760,2.0760,2.0760,2.0760,0
1972-08-14,2.0594,2.0594,2.0594,2.0594,0
1972-08-15,2.0386,2.0386,2.0386,2.0386,0
1972-08-16,2.0264,2.0264,2.0264,2.0264,0
1972-08-17,1.9850,1.9850,1.9850,1.9850,0
1972-08-18,1.9933,1.9933,1.9933,1.9933,0
1972-08-21,1.9850,1.9850,1.9850,1.9850,0
1972-08-22,1.9562,1.9562,1.9562,1.9562,0
1972-08-23,1.9145,1.9145,1.9145,1.9145,0
1972-08-24,1.9063,1.9063,1.9063,1.9063,0
1972-08-25,1.9063,1.9063,1.9063,1.9063,0
1972-08-28,1.9063,1.9063,1.9063,1.9063,0
1972-08-29,1.9354,1.9354,1.9354,1.9354,0
1972-08-30,1.9850,1.9850,1.9850,1.9850,0
1972-08-31,1.9767,1.9767,1.9767,1.9767,0
1972-09-01,2.0512,2.0512,2.0512,2.0512,0
1972-09-05,2.0141,2.0141,2.0141,2.0141,0
1972-09-06,1.9476,1.9476,1.9476,1.9476,0
1972-09-07,1.9519,1.9519,1.9519,1.9519,0
1972-09-08,1.9106,1.9106,1.9106,1.9106,0
1972-09-11,1.8566,1.8566,1.8566,1.8566,0
1972-09-12,1.8113,1.8113,1.8113,1.8113,0
1972-09-13,1.8527,1.8527,1.8527,1.8527,0
1972-09-14,1.8692,1.8692,1.8692,1.8692,0
1972-09-15,1.8735,1.8735,1.8735,1.8735,0
1972-09-18,1.8983,1.8983,1.8983,1.8983,0
