Date,Open,High,Low,Close,Volume
1986-05-29,2.7080,2.7328,2.7080,2.7268,15736000
1986-05-30,2.7145,2.7451,2.7145,2.7451,6500800
1986-06-02,2.7328,2.7392,2.7080,2.7204,314400
1986-06-03,2.7145,2.7451,2.7080,2.7392,154400
1986-06-04,2.7204,2.7451,2.7021,2.7021,192000
1986-06-05,2.6897,2.7204,2.6833,2.7204,84000
1986-06-06,2.7328,2.7392,2.7080,2.7204,367200
1986-06-09,2.7268,2.7328,2.6586,2.6650,497600
1986-06-10,2.6774,2.6774,2.6462,2.6650,141600
1986-06-11,2.6650,2.6650,2.6339,2.6527,318400
1986-06-12,2.6462,2.6462,2.5597,2.5908,348800
1986-06-13,2.6091,2.6774,2.6091,2.6650,602400
1986-06-16,2.6650,2.6774,2.6527,2.6710,590400
1986-06-17,2.6586,2.7021,2.6586,2.6897,294400
1986-06-18,2.7080,2.7080,2.6710,2.7080,104000
1986-06-19,2.6957,2.7021,2.6710,2.6957,386400
1986-06-20,2.6833,2.7080,2.6586,2.7080,540000
1986-06-23,2.6957,2.6957,2.6462,2.6462,146400
1986-06-24,2.6527,2.6527,2.6215,2.6339,244800
1986-06-25,2.6215,2.6897,2.6215,2.6833,669600
1986-06-26,2.6957,2.7021,2.6339,2.6710,142400
1986-06-27,2.6833,2.6833,2.6279,2.6710,508800
1986-06-30,2.6774,2.6833,2.6710,2.6710,91200
1986-07-01,2.6833,2.7080,2.6710,2.7080,566400
1986-07-02,2.6897,2.6897,2.6339,2.6462,1055200
1986-07-03,2.6403,2.6403,2.6156,2.6339,341600
1986-07-07,2.6403,2.6403,2.5473,2.5661,336000
1986-07-08,2.5597,2.5597,2.4731,2.5226,1145600
1986-07-09,2.5349,2.5349,2.4919,2.5226,460000
1986-07-10,2.5349,2.5537,2.4731,2.5473,258400
1986-07-11,2.5597,2.5661,2.5414,2.5661,210400
1986-07-14,2.5597,2.5597,2.4978,2.5043,216800
1986-07-15,2.5166,2.5166,2.3865,2.4053,804800
1986-07-16,2.4113,2.4360,2.3989,2.4360,378400
1986-07-17,2.4484,2.4672,2.4301,2.4301,158400
1986-07-18,2.4177,2.4236,2.3742,2.4113,346400
1986-07-21,2.3989,2.3989,2.3682,2.3806,312800
1986-07-22,2.3865,2.4236,2.3742,2.4177,693600
1986-07-23,2.4053,2.4301,2.3865,2.3930,508800
1986-07-24,2.3806,2.3806,2.3124,2.3371,1747200
1986-07-25,2.3124,2.3494,2.3124,2.3435,2258400
1986-07-28,2.3435,2.3494,2.2941,2.3188,748800
1986-07-29,2.3000,2.3124,2.2629,2.3124,981600
1986-07-30,2.3247,2.3865,2.3000,2.3865,264000
1986-07-31,2.3742,2.3742,2.3435,2.3559,1360000
1986-08-01,2.3494,2.3618,2.3124,2.3247,2578400
1986-08-04,2.3247,2.3930,2.3064,2.3806,543200
1986-08-05,2.4053,2.4236,2.3930,2.4236,521600
1986-08-06,2.4360,2.4484,2.4236,2.4424,1025600
1986-08-07,2.4301,2.4424,2.4177,2.4177,1778400
1986-08-08,2.4177,2.4424,2.4177,2.4301,1547200
1986-08-11,2.4236,2.4607,2.4236,2.4548,456800
1986-08-12,2.4607,2.4607,2.4424,2.4548,629600
1986-08-13,2.4484,2.4855,2.4484,2.4855,1331200
1986-08-14,2.4731,2.5043,2.4731,2.4855,1867200
1986-08-15,2.4855,2.5166,2.4855,2.4978,1726400
1986-08-18,2.4919,2.4978,2.4795,2.4855,168000
1986-08-19,2.4795,2.4978,2.4731,2.4978,189600
1986-08-20,2.4855,2.4978,2.4795,2.4855,172000
1986-08-21,2.4795,2.4978,2.4672,2.4672,460800
1986-08-22,2.4548,2.4919,2.4484,2.4855,360000
1986-08-25,2.4855,2.4855,2.4672,2.4672,92000
1986-08-26,2.4795,2.5043,2.4731,2.5043,399200
1986-08-27,2.4978,2.5226,2.4855,2.5102,12080000
1986-08-28,2.5166,2.5349,2.4978,2.5290,10240000
1986-08-29,2.5226,2.5349,2.4978,2.5226,200800
1986-09-02,2.5102,2.5166,2.4672,2.4795,584000
1986-09-03,2.4672,2.4919,2.4672,2.4919,544000
1986-09-04,2.4919,2.5226,2.4731,2.5226,726400
1986-09-05,2.4978,2.5043,2.4672,2.4795,524800
1986-09-08,2.4731,2.4795,2.4607,2.4731,800800
1986-09-09,2.4607,2.4672,2.4360,2.4424,412800
1986-09-10,2.4360,2.4360,2.3989,2.4236,1096000
1986-09-11,2.4177,2.4177,2.2753,2.2876,853600
1986-09-12,2.2876,2.2876,2.1516,2.1516,860000
1986-09-15,2.1763,2.1763,2.0774,2.1516,637600
1986-09-16,2.1516,2.1516,2.0838,2.1392,768800
1986-09-17,2.1516,2.1640,2.1209,2.1516,588800
1986-09-18,2.1640,2.1640,2.0898,2.1145,593600
1986-09-19,2.1269,2.1392,2.1021,2.1392,530400
1986-09-22,2.1516,2.1640,2.1333,2.1640,247200
1986-09-23,2.1763,2.1828,2.1269,2.1828,1021600
1986-09-24,2.2011,2.3000,2.1828,2.3000,673600
1986-09-25,2.3000,2.3124,2.2258,2.2753,786400
1986-09-26,2.2629,2.2876,2.2382,2.2629,816800
1986-09-29,2.2258,2.2322,2.1828,2.2322,316800
1986-09-30,2.2075,2.2382,2.1640,2.2382,538400
1986-10-01,2.2382,2.2817,2.2382,2.2505,216800
1986-10-02,2.2505,2.2505,2.1763,2.1951,246400
1986-10-03,2.2011,2.2629,2.2011,2.2570,784800
1986-10-06,2.2505,2.2753,2.2505,2.2693,176800
1986-10-07,2.2693,2.2753,2.2570,2.2753,288000
1986-10-08,2.2753,2.2753,2.2570,2.2693,98400
1986-10-09,2.2693,2.2876,2.2629,2.2817,180800
1986-10-10,2.2753,2.2876,2.2753,2.2817,84000
1986-10-13,2.2876,2.2941,2.2753,2.2876,36000
1986-10-14,2.2941,2.3000,2.2446,2.2446,148000
1986-10-15,2.2505,2.2693,2.2075,2.2693,404000
1986-10-16,2.2753,2.2876,2.2629,2.2817,176000
1986-10-17,2.2693,2.2693,2.2382,2.2570,102400
1986-10-20,2.2505,2.2505,2.1887,2.2075,87200
1986-10-21,2.2199,2.2382,2.1951,2.2134,153600
1986-10-22,2.2011,2.2258,2.1828,2.1887,240800
1986-10-23,2.2011,2.2258,2.1828,2.2199,405600
1986-10-24,2.2134,2.2134,2.1640,2.1951,260800
1986-10-27,2.2075,2.2258,2.1704,2.2011,249600
1986-10-28,2.2134,2.2258,2.1763,2.1951,183200
1986-10-29,2.1704,2.1828,2.1457,2.1763,212800
1986-10-30,2.1763,2.1887,2.1580,2.1887,196000
1986-10-31,2.1763,2.1887,2.1704,2.1887,188000
1986-11-03,2.1763,2.1951,2.1763,2.1828,151200
1986-11-04,2.1763,2.1887,2.1640,2.1887,352000
1986-11-05,2.1887,2.2075,2.1763,2.2075,1450400
1986-11-06,2.2134,2.2199,2.1887,2.2011,1473600
1986-11-07,2.2134,2.2199,2.2134,2.2199,63200
1986-11-10,2.2134,2.2134,2.2011,2.2075,83200
1986-11-11,2.2011,2.2075,2.1704,2.2075,124800
1986-11-12,2.2134,2.2199,2.1828,2.2075,1360000
1986-11-13,2.2075,2.2075,2.1457,2.1704,1714400
1986-11-14,2.1828,2.1828,2.1333,2.1580,132000
1986-11-17,2.1763,2.1887,2.1640,2.1763,165600
1986-11-18,2.1763,2.1763,2.0279,2.0279,744000
1986-11-19,2.0403,2.0838,2.0279,2.0774,2100800
1986-11-20,2.1021,2.1269,2.0591,2.1086,2039200
1986-11-21,2.1269,2.1387,2.0893,2.1269,301800
1986-11-24,2.1021,2.1269,2.0774,2.1269,468400
1986-11-25,2.1269,2.1387,2.0527,2.0893,1066800
1986-11-26,2.1140,2.1387,2.1021,2.1387,296800
1986-11-28,2.1140,2.1516,2.0774,2.1516,322800
1986-12-01,2.1763,2.1763,2.0774,2.1763,362400
1986-12-02,2.1763,2.2753,2.1763,2.2258,1000800
1986-12-03,2.2258,2.2624,2.1763,2.2377,681600
1986-12-04,2.2377,2.2753,2.2011,2.2624,667600
1986-12-05,2.2129,2.2377,2.1763,2.2258,371600
1986-12-08,2.2258,2.2505,2.1516,2.2505,681200
1986-12-09,2.2258,2.2505,2.2011,2.2258,363600
1986-12-10,2.2258,2.2377,2.1882,2.2129,632800
1986-12-11,2.2377,2.2505,2.1763,2.2377,601600
1986-12-12,2.2377,2.2505,2.2011,2.2377,271600
1986-12-15,2.2129,2.3247,2.1635,2.3247,1480800
1986-12-16,2.3000,2.3613,2.2753,2.3613,940400
1986-12-17,2.3613,2.3613,2.3000,2.3366,564800
1986-12-18,2.3494,2.3861,2.3119,2.3742,769200
1986-12-19,2.3742,2.4355,2.3613,2.4108,1179200
1986-12-22,2.4108,2.4484,2.3861,2.4236,1572800
1986-12-23,2.3989,2.4236,2.3613,2.3861,868800
1986-12-24,2.3613,2.3989,2.3366,2.3742,424400
1986-12-26,2.3742,2.3742,2.3366,2.3742,89200
1986-12-29,2.3613,2.3613,2.3000,2.3000,260800
1986-12-30,2.3000,2.3247,2.2129,2.2505,517200
1986-12-31,2.2505,2.2505,2.1140,2.1269,346400
1987-01-02,2.1516,2.2258,2.0893,2.2011,332000
1987-01-05,2.2258,2.3119,2.2011,2.3119,422800
1987-01-06,2.3119,2.3742,2.3000,2.3494,376000
1987-01-07,2.3613,2.4355,2.3494,2.4355,254000
1987-01-08,2.4355,2.4484,2.3742,2.4108,549600
1987-01-09,2.3861,2.4108,2.3247,2.3742,440800
1987-01-12,2.3494,2.4108,2.3366,2.4108,889600
1987-01-13,2.3742,2.3989,2.3742,2.3989,548000
1987-01-14,2.3861,2.4236,2.3366,2.3989,949200
1987-01-15,2.4108,2.4236,2.3613,2.4236,605600
1987-01-16,2.4236,2.4484,2.3247,2.3742,718400
1987-01-19,2.3742,2.3742,2.3247,2.3742,219200
1987-01-20,2.3742,2.3861,2.3247,2.3613,914000
1987-01-21,2.3494,2.3861,2.3119,2.3742,582800
1987-01-22,2.3613,2.4355,2.3613,2.4236,807200
1987-01-23,2.4355,2.4484,2.2871,2.2871,912400
1987-01-26,2.3000,2.3613,2.2753,2.3000,334000
1987-01-27,2.2871,2.3742,2.2871,2.3742,923200
1987-01-28,2.3989,2.3989,2.3247,2.3989,487200
1987-01-29,2.4108,2.4108,2.3119,2.3494,730000
1987-01-30,2.3247,2.3861,2.3119,2.3742,426000
1987-02-02,2.3989,2.4484,2.3613,2.4108,1813200
1987-02-03,2.3989,2.4484,2.3989,2.4355,264800
1987-02-04,2.4602,2.4731,2.4236,2.4602,932800
1987-02-05,2.4484,2.4731,2.4108,2.4484,672400
1987-02-06,2.4484,2.4484,2.4236,2.4236,489600
1987-02-09,2.4602,2.4731,2.3989,2.4236,1955200
1987-02-10,2.3989,2.4355,2.3494,2.3861,415200
1987-02-11,2.4108,2.4731,2.3494,2.4731,304400
1987-02-12,2.4731,2.4731,2.3742,2.3861,472800
1987-02-13,2.4108,2.5097,2.3742,2.4978,862000
