Date,Open,High,Low,Close,Volume
1981-10-27,0.8517,0.8517,0.8379,0.8429,7902800
1981-10-28,0.8455,0.8631,0.8435,0.8613,8542304
1981-10-29,0.8543,0.8543,0.8306,0.8361,12468600
1981-10-30,0.8200,0.8300,0.8069,0.8133,20808400
1981-11-03,0.7916,0.8039,0.7843,0.8039,17826800
1981-11-04,1.5815,1.5815,1.5423,1.5633,10684952
1981-11-05,1.5704,1.5909,1.5469,1.5680,15323400
1981-11-06,1.5868,1.5868,1.5423,1.5798,13890300
1981-11-10,1.6008,1.6061,1.5651,1.5926,8894700
1981-11-11,1.5868,1.6061,1.5868,1.5962,6523900
1981-11-12,1.5897,1.6079,1.5833,1.6079,6679800
1981-11-13,1.6008,1.6676,1.6008,1.6676,15894700
1981-11-17,1.6664,1.6711,1.5997,1.6389,7501200
1981-11-18,1.6389,1.6676,1.5932,1.5932,7301700
1981-11-19,1.6454,1.6500,1.5815,1.6225,11480400
1981-11-20,1.6272,1.6290,1.5909,1.5909,9582600
1981-11-24,1.6061,1.6389,1.5932,1.6126,10488500
1981-11-25,1.6073,1.6290,1.5862,1.6143,8751100
1981-11-26,1.6325,1.6500,1.6032,1.6372,8127500
1981-12-01,1.6647,1.6852,1.6647,1.6676,9606800
1981-12-02,1.6682,1.6705,1.6401,1.6530,7604700
1981-12-03,1.6536,1.6957,1.6536,1.6618,7564600
1981-12-04,1.6676,1.6998,1.6629,1.6823,6729600
1981-12-08,1.7227,1.7719,1.7227,1.7443,18231900
1981-12-31,1.9511,1.9622,1.9400,1.9622,105200
1982-01-04,1.9991,2.0208,1.9699,2.0062,489600
1982-01-05,1.9622,1.9915,1.9330,1.9330,539400
1982-01-06,1.8966,1.9183,1.8674,1.8890,473400
1982-01-07,1.9183,1.9546,1.8814,1.9546,405600
1982-01-08,1.9769,2.0062,1.9400,1.9476,791800
1982-01-11,1.9107,1.9622,1.8597,1.8674,286600
1982-01-12,1.8966,1.9183,1.8674,1.9183,306400
1982-01-13,1.9183,1.9476,1.8814,1.8814,440800
1982-01-14,1.9107,1.9546,1.8674,1.9259,656200
1982-01-15,1.9546,1.9769,1.9259,1.9546,369400
1982-01-18,1.9622,1.9991,1.9259,1.9991,216200
1982-01-19,1.9839,2.0132,1.9476,1.9476,424000
1982-01-20,1.9400,1.9622,1.9107,1.9546,746400
1982-01-21,1.9622,1.9839,1.9400,1.9546,273800
1982-01-22,1.9622,1.9769,1.9476,1.9699,343400
1982-01-25,1.9476,1.9699,1.9259,1.9699,625200
1982-01-26,1.9769,1.9991,1.9546,1.9622,1046400
1982-01-27,1.9915,2.0132,1.9699,1.9769,694000
1982-01-28,2.0284,2.0794,1.9769,2.0501,1918000
1982-01-29,2.0864,2.1157,2.0571,2.1087,1770000
1982-02-01,2.0647,2.0864,2.0425,2.0501,488400
1982-02-02,2.0284,2.0425,2.0132,2.0284,762200
1982-02-03,1.9915,2.0284,1.9476,1.9476,722600
1982-02-04,1.9769,1.9915,1.9622,1.9915,660600
1982-02-05,2.0425,2.0940,1.9915,2.0718,949400
1982-02-08,2.0355,2.0647,2.0062,2.0208,731400
1982-02-09,1.9839,2.0062,1.9546,1.9622,956000
1982-02-10,1.9839,2.0132,1.9546,2.0132,646000
1982-02-11,2.0062,2.0284,1.9839,2.0062,608200
1982-02-12,2.0355,2.0425,2.0208,2.0425,1633800
1982-02-16,2.0425,2.0718,2.0062,2.0647,1269200
1982-02-17,2.1016,2.1380,2.0647,2.1087,1256400
1982-02-18,2.1309,2.1526,2.1087,2.1233,739000
1982-02-19,2.0864,2.1157,2.0571,2.0794,1345800
1982-02-22,2.0718,2.1157,2.0284,2.0355,787800
1982-02-23,2.0208,2.0355,2.0062,2.0208,1569600
1982-02-24,2.0132,2.0355,1.9839,2.0355,479000
1982-02-25,2.0571,2.0794,2.0355,2.0501,1683600
1982-02-26,2.0571,2.0718,2.0425,2.0501,188800
1982-03-01,2.0425,2.0571,2.0208,2.0355,202400
1982-03-02,2.0425,2.0571,2.0284,2.0284,446400
1982-03-03,2.0425,2.0647,2.0132,2.0355,553600
1982-03-04,2.0062,2.0355,1.9769,2.0132,1607800
1982-03-05,1.9769,1.9915,1.9546,1.9622,1023800
1982-03-08,1.9991,2.0132,1.9769,1.9769,454800
1982-03-09,1.9330,1.9622,1.8966,1.9400,1705200
1982-03-10,1.9259,1.9546,1.8966,1.9037,1314200
1982-03-11,1.8890,1.9259,1.8521,1.8674,606400
1982-03-12,1.8158,1.8521,1.7789,1.8304,1119400
1982-03-15,1.8814,1.8966,1.8597,1.8966,537200
1982-03-16,1.9107,1.9330,1.8890,1.8966,687400
1982-03-17,1.8966,1.9107,1.8814,1.9037,410400
1982-03-18,1.9259,1.9476,1.8966,1.9330,500200
