Date,Open,High,Low,Close,Volume
1985-04-19,0.0978,0.0987,0.0978,0.0978,13057200
1985-04-22,0.0978,0.0978,0.0978,0.0978,2890809
1985-04-23,0.0978,0.0978,0.0960,0.0960,5718600
1985-04-24,0.0960,0.0968,0.0960,0.0960,2122200
1985-04-25,0.0923,0.0923,0.0914,0.0914,6172200
1985-04-26,0.0914,0.0914,0.0897,0.0897,2381400
1985-04-29,0.0887,0.0887,0.0869,0.0869,2502009
1985-04-30,0.0869,0.0897,0.0869,0.0869,2745009
1985-05-01,0.0842,0.0842,0.0823,0.0823,5029209
1985-05-02,0.0823,0.0833,0.0815,0.0815,1805409
1985-05-03,0.0842,0.0869,0.0842,0.0842,1740609
1985-05-06,0.0860,0.0887,0.0860,0.0860,217809
1985-05-07,0.0869,0.0897,0.0869,0.0869,1983609
1985-05-08,0.0869,0.0897,0.0869,0.0869,307800
1985-05-09,0.0914,0.0960,0.0914,0.0914,1701000
1985-05-10,0.0941,0.0960,0.0941,0.0941,2356209
1985-05-13,0.0951,0.0968,0.0951,0.0951,1247400
1985-05-14,0.0951,0.0968,0.0951,0.0951,437400
1985-05-15,0.0951,0.0960,0.0951,0.0951,1701000
1985-05-16,0.0978,0.1005,0.0978,0.0978,3101409
1985-05-17,0.1050,0.1060,0.1050,0.1050,3101409
1985-05-20,0.1050,0.1050,0.1032,0.1032,1895400
1985-05-21,0.1032,0.1032,0.0987,0.0987,1879200
1985-05-22,0.1005,0.1050,0.1005,0.1005,2948400
1985-05-23,0.1005,0.1032,0.0987,0.0987,2907009
1985-05-24,0.0987,0.1032,0.0987,0.0987,784809
1985-05-28,0.1005,0.1032,0.1005,0.1005,574209
1985-05-29,0.1005,0.1032,0.1005,0.1005,525609
1985-05-30,0.1005,0.1050,0.1005,0.1005,1652400
1985-05-31,0.1050,0.1060,0.1050,0.1050,1303209
1985-06-03,0.1060,0.1104,0.1060,0.1060,1360800
1985-06-04,0.1060,0.1104,0.1060,0.1060,1587600
1985-06-05,0.1060,0.1104,0.1060,0.1060,712800
1985-06-06,0.1077,0.1141,0.1077,0.1077,1837809
1985-06-07,0.1104,0.1141,0.1104,0.1104,826200
1985-06-10,0.1104,0.1141,0.1104,0.1104,486000
1985-06-11,0.1113,0.1150,0.1113,0.1113,2608200
1985-06-12,0.1113,0.1123,0.1104,0.1104,1465209
1985-06-13,0.1060,0.1060,0.1005,0.1005,1717200
1985-06-14,0.1032,0.1060,0.1032,0.1032,113400
1985-06-17,0.1032,0.1060,0.1005,0.1005,761400
1985-06-18,0.1005,0.1060,0.1005,0.1005,558009
1985-06-19,0.1005,0.1060,0.1005,0.1005,307800
1985-06-20,0.1005,0.1050,0.1005,0.1005,1270809
1985-06-21,0.0978,0.0978,0.0941,0.0941,1594809
1985-06-24,0.0941,0.0978,0.0914,0.0914,356400
1985-06-25,0.0978,0.1005,0.0978,0.0978,1449009
1985-06-26,0.0978,0.0987,0.0960,0.0960,720009
1985-06-27,0.0960,0.0978,0.0941,0.0941,428409
1985-06-28,0.0941,0.0960,0.0914,0.0914,736209
1985-07-01,0.0914,0.0941,0.0914,0.0914,810000
1985-07-02,0.0914,0.0941,0.0914,0.0914,930609
1985-07-03,0.0941,0.0960,0.0941,0.0941,1546209
1985-07-05,0.0941,0.0960,0.0941,0.0941,356400
1985-07-08,0.0960,0.0978,0.0960,0.0960,1150200
1985-07-09,0.0960,0.0978,0.0960,0.0960,1724409
1985-07-10,0.0960,0.0978,0.0941,0.0941,259200
1985-07-11,0.1032,0.1060,0.1032,0.1032,2826009
1985-07-12,0.1060,0.1104,0.1060,0.1060,2210409
1985-07-15,0.1060,0.1077,0.1050,0.1050,865809
1985-07-16,0.1104,0.1141,0.1104,0.1104,4649400
1985-07-17,0.1141,0.1150,0.1141,0.1141,3304800
1985-07-18,0.1123,0.1123,0.1104,0.1104,4834809
1985-07-19,0.1104,0.1104,0.1060,0.1060,955800
1985-07-22,0.1060,0.1077,0.1060,0.1060,2291409
1985-07-23,0.1060,0.1077,0.1050,0.1050,1513809
1985-07-24,0.1050,0.1077,0.1050,0.1050,664200
1985-07-25,0.1050,0.1077,0.1050,0.1050,421200
1985-07-26,0.1050,0.1077,0.1050,0.1050,81000
1985-07-29,0.1050,0.1077,0.1050,0.1050,234009
1985-07-30,0.1050,0.1077,0.1050,0.1050,1441800
1985-07-31,0.1060,0.1123,0.1060,0.1060,858600
1985-08-01,0.1077,0.1104,0.1077,0.1077,194400
1985-08-02,0.1077,0.1104,0.1077,0.1077,145800
1985-08-05,0.1077,0.1104,0.1060,0.1060,169209
1985-08-06,0.1060,0.1077,0.1050,0.1050,493209
1985-08-07,0.1050,0.1077,0.1032,0.1032,833409
1985-08-08,0.1050,0.1060,0.1050,0.1050,379809
1985-08-09,0.1060,0.1077,0.1060,0.1060,712800
1985-08-12,0.1060,0.1077,0.1060,0.1060,185409
1985-08-13,0.1060,0.1077,0.1060,0.1060,340200
1985-08-14,0.1104,0.1123,0.1104,0.1104,817209
1985-08-15,0.1123,0.1141,0.1123,0.1123,671409
1985-08-16,0.1123,0.1123,0.1077,0.1077,687609
1985-08-19,0.1077,0.1123,0.1077,0.1077,363609
1985-08-20,0.1104,0.1141,0.1104,0.1104,599400
1985-08-21,0.1104,0.1141,0.1104,0.1104,502200
1985-08-22,0.1104,0.1123,0.1104,0.1104,1270809
1985-08-23,0.1104,0.1123,0.1104,0.1104,405000
1985-08-26,0.1104,0.1123,0.1104,0.1104,72009
1985-08-27,0.1141,0.1150,0.1141,0.1141,1724409
1985-08-28,0.1213,0.1267,0.1213,0.1213,2592000
1985-08-29,0.1222,0.1267,0.1222,0.1222,1465209
1985-08-30,0.1241,0.1304,0.1241,0.1241,1571400
1985-09-03,0.1304,0.1313,0.1304,0.1304,1983609
1985-09-04,0.1276,0.1276,0.1241,0.1241,3587409
1985-09-05,0.1267,0.1304,0.1267,0.1267,891000
1985-09-06,0.1285,0.1313,0.1285,0.1285,1539000
1985-09-09,0.1304,0.1330,0.1304,0.1304,777600
1985-09-10,0.1304,0.1313,0.1285,0.1285,583200
1985-09-11,0.1285,0.1304,0.1267,0.1267,1733400
1985-09-12,0.1267,0.1285,0.1267,0.1267,736209
1985-09-13,0.1267,0.1267,0.1213,0.1213,1733400
1985-09-16,0.1213,0.1222,0.1195,0.1195,599400
1985-09-17,0.1195,0.1222,0.1195,0.1195,444609
1985-09-18,0.1195,0.1222,0.1195,0.1195,243000
1985-09-19,0.1195,0.1222,0.1195,0.1195,648000
1985-09-20,0.1195,0.1222,0.1195,0.1195,477009
1985-09-23,0.1213,0.1241,0.1213,0.1213,810000
1985-09-24,0.1213,0.1241,0.1213,0.1213,486000
1985-09-25,0.1213,0.1241,0.1213,0.1213,995409
1985-09-26,0.1213,0.1241,0.1213,0.1213,298809
1985-09-27,0.1213,0.1213,0.1213,0.1213,0
1985-09-30,0.1241,0.1285,0.1241,0.1241,1303209
1985-10-01,0.1241,0.1285,0.1241,0.1241,1393200
1985-10-02,0.1241,0.1267,0.1241,0.1241,275400
1985-10-03,0.1241,0.1267,0.1241,0.1241,194400
1985-10-04,0.1241,0.1267,0.1222,0.1222,315009
1985-10-07,0.1222,0.1267,0.1222,0.1222,502200
1985-10-08,0.1241,0.1267,0.1241,0.1241,340200
1985-10-09,0.1267,0.1304,0.1267,0.1267,1182600
1985-10-10,0.1267,0.1304,0.1267,0.1267,32400
1985-10-11,0.1358,0.1404,0.1358,0.1358,3700809
1985-10-14,0.1376,0.1404,0.1376,0.1376,687609
1985-10-15,0.1385,0.1448,0.1385,0.1385,2161809
1985-10-16,0.1404,0.1467,0.1404,0.1404,2251800
1985-10-17,0.1467,0.1467,0.1467,0.1467,1231200
1985-10-18,0.1467,0.1475,0.1448,0.1448,2608200
1985-10-21,0.1448,0.1448,0.1404,0.1404,2469609
1985-10-22,0.1430,0.1448,0.1430,0.1430,1474200
1985-10-23,0.1430,0.1430,0.1430,0.1430,574209
1985-10-24,0.1430,0.1430,0.1404,0.1404,1011609
1985-10-25,0.1404,0.1430,0.1385,0.1385,469800
1985-10-28,0.1404,0.1430,0.1404,0.1404,437400
1985-10-29,0.1404,0.1412,0.1404,0.1404,421200
1985-10-30,0.1404,0.1412,0.1404,0.1404,1027809
1985-10-31,0.1448,0.1448,0.1448,0.1448,955800
1985-11-01,0.1467,0.1494,0.1467,0.1467,1279800
1985-11-04,0.1475,0.1494,0.1475,0.1475,1157409
1985-11-05,0.1611,0.1611,0.1611,0.1611,2113209
1985-11-06,0.1593,0.1593,0.1548,0.1548,1692009
1985-11-07,0.1638,0.1638,0.1638,0.1638,1846800
1985-11-08,0.1657,0.1657,0.1657,0.1657,2745009
1985-11-11,0.1638,0.1638,0.1638,0.1638,631800
1985-11-12,0.1638,0.1657,0.1638,0.1638,1344600
1985-11-13,0.1638,0.1684,0.1638,0.1638,2372409
1985-11-14,0.1774,0.1792,0.1774,0.1774,2178009
1985-11-15,0.1774,0.1774,0.1711,0.1711,1854009
1985-11-18,0.1756,0.1756,0.1756,0.1756,995409
1985-11-19,0.1756,0.1756,0.1711,0.1711,1150200
1985-11-20,0.1711,0.1756,0.1711,0.1711,1587600
1985-11-21,0.1711,0.1729,0.1711,0.1711,858600
1985-11-22,0.1711,0.1756,0.1711,0.1756,606609
1985-11-25,0.1756,0.1756,0.1711,0.1729,2032209
1985-11-26,0.1729,0.1756,0.1711,0.1729,687609
1985-11-27,0.1729,0.1756,0.1711,0.1711,412209
1985-11-29,0.1711,0.1792,0.1711,0.1756,460809
1985-12-02,0.1756,0.1802,0.1756,0.1774,995409
1985-12-03,0.1774,0.1892,0.1774,0.1865,1465209
1985-12-04,0.1865,0.2028,0.1865,0.1982,3726000
1985-12-05,0.1982,0.2028,0.1965,0.2010,1611009
