Date,Open,High,Low,Close,Volume
1983-04-06,1.6055,1.6055,1.5881,1.5923,188800
1983-04-07,1.5965,1.6096,1.5923,1.5923,203200
1983-04-08,1.5923,1.6356,1.5881,1.6311,480000
1983-04-11,1.6311,1.6401,1.5965,1.6096,379200
1983-04-12,1.6096,1.6138,1.5923,1.6055,1016000
1983-04-13,1.6096,1.6269,1.6010,1.6269,377600
1983-04-14,1.6228,1.6484,1.6228,1.6484,569600
1983-04-15,1.6401,1.7135,1.6401,1.7048,1033600
1983-04-18,1.7048,1.7135,1.6875,1.7048,940800
1983-04-19,1.7048,1.7048,1.6615,1.6830,865600
1983-04-20,1.6747,1.6875,1.6615,1.6615,435200
1983-04-21,1.6615,1.6788,1.6574,1.6657,297600
1983-04-22,1.6875,1.7135,1.6875,1.7003,502400
1983-04-25,1.6920,1.7003,1.6830,1.6875,620800
1983-04-26,1.6920,1.7048,1.6788,1.7048,811200
1983-04-27,1.7003,1.7266,1.6702,1.7048,910400
1983-04-28,1.6920,1.7048,1.6747,1.6875,412800
1983-04-29,1.7003,1.7135,1.6875,1.7135,332800
1983-05-02,1.7093,1.7221,1.6961,1.6961,777600
1983-05-03,1.6875,1.6920,1.6788,1.6875,348800
1983-05-04,1.6961,1.7093,1.6830,1.6875,544000
1983-05-05,1.7093,1.7221,1.6961,1.7176,284800
1983-05-06,1.7266,1.7266,1.6830,1.7048,481600
1983-05-09,1.6961,1.6961,1.6788,1.6875,225600
1983-05-10,1.6961,1.7135,1.6788,1.7093,699200
1983-05-11,1.7003,1.7048,1.6875,1.6961,846400
1983-05-12,1.7048,1.7048,1.6747,1.6875,436800
1983-05-13,1.6875,1.7135,1.6788,1.7048,182400
1983-05-16,1.6961,1.6961,1.6615,1.6747,195200
1983-05-17,1.6657,1.6830,1.6442,1.6615,96000
1983-05-18,1.6615,1.6788,1.6529,1.6529,875200
1983-05-19,1.6615,1.6615,1.6484,1.6574,540800
1983-05-20,1.6574,1.6788,1.6574,1.6788,201600
1983-05-23,1.6702,1.6830,1.6442,1.6788,718400
1983-05-24,1.6830,1.6830,1.6747,1.6788,193600
1983-05-25,1.6747,1.6788,1.6702,1.6788,232000
1983-05-26,1.6788,1.6788,1.6615,1.6657,206400
1983-05-27,1.6529,1.6657,1.6529,1.6657,248000
1983-05-31,1.6574,1.6615,1.6484,1.6615,188800
1983-06-01,1.6529,1.6574,1.6311,1.6442,363200
1983-06-02,1.6356,1.6442,1.6010,1.6269,961600
1983-06-03,1.6183,1.6356,1.6055,1.6311,273600
1983-06-06,1.6401,1.6442,1.6228,1.6442,507200
1983-06-07,1.6311,1.6484,1.6183,1.6269,1590400
1983-06-08,1.6269,1.6529,1.6269,1.6442,1120000
1983-06-09,1.6356,1.6401,1.6228,1.6311,844800
1983-06-10,1.6401,1.6574,1.6401,1.6574,110400
1983-06-13,1.6657,1.6747,1.6574,1.6747,872000
1983-06-14,1.6788,1.7135,1.6788,1.7048,905600
1983-06-15,1.7221,1.7221,1.6961,1.7176,675200
1983-06-16,1.7221,1.7481,1.7048,1.7135,2300800
1983-06-17,1.7048,1.7135,1.7048,1.7048,1097600
1983-06-20,1.7048,1.7221,1.7003,1.7048,377600
1983-06-21,1.6961,1.7308,1.6920,1.7266,960000
1983-06-22,1.7439,1.7612,1.7221,1.7567,1585600
1983-06-23,1.7481,1.7740,1.7394,1.7654,1515200
1983-06-24,1.7827,1.8519,1.7654,1.8519,1308800
1983-06-27,1.8346,1.8519,1.8000,1.8041,2304000
1983-06-28,1.7868,1.7913,1.6356,1.6788,2532800
1983-06-29,1.6788,1.6875,1.6615,1.6702,1750400
1983-06-30,1.6615,1.6615,1.6096,1.6269,1310400
1983-07-01,1.6442,1.6442,1.5923,1.5965,2740800
1983-07-05,1.5923,1.5923,1.5708,1.5881,825600
1983-07-06,1.5923,1.6183,1.5881,1.5965,2209600
1983-07-07,1.6055,1.6055,1.5577,1.5750,1065600
1983-07-08,1.5750,1.5836,1.5577,1.5663,1043200
1983-07-11,1.5750,1.5881,1.5663,1.5750,750400
1983-07-12,1.5791,1.5791,1.5231,1.5231,3425600
1983-07-13,1.5317,1.5577,1.5231,1.5490,1177600
1983-07-14,1.5490,1.5577,1.5099,1.5144,648000
1983-07-15,1.5231,1.5317,1.5058,1.5317,737600
1983-07-18,1.5272,1.5750,1.5272,1.5663,561600
1983-07-19,1.5791,1.5791,1.5404,1.5535,1025600
1983-07-20,1.5445,1.5618,1.5362,1.5445,838400
1983-07-21,1.5404,1.5404,1.4971,1.5058,1342400
1983-07-22,1.5251,1.5490,1.5016,1.5404,2238400
1983-07-25,1.5317,1.5404,1.5144,1.5231,1233600
1983-07-26,1.5058,1.5189,1.4885,1.5058,572800
1983-07-27,1.5058,1.5144,1.4798,1.4798,758400
1983-07-28,1.4798,1.4798,1.4151,1.4192,1628800
1983-07-29,1.4192,1.4192,1.3760,1.3933,3084800
1983-08-01,1.3846,1.4365,1.3673,1.4151,1742400
1983-08-02,1.4234,1.4711,1.4151,1.4452,604800
1983-08-03,1.4452,1.4670,1.4279,1.4580,712000
1983-08-04,1.4497,1.4497,1.4061,1.4407,979200
1983-08-05,1.4324,1.4580,1.4234,1.4452,358400
1983-08-08,1.4452,1.4452,1.4106,1.4365,1320000
1983-08-09,1.4192,1.4279,1.3933,1.4151,862400
1983-08-10,1.4061,1.4061,1.3933,1.4019,1153600
1983-08-11,1.4106,1.4106,1.3715,1.3978,827200
1983-08-12,1.3888,1.4192,1.3846,1.4192,526400
1983-08-15,1.4192,1.4192,1.3805,1.3846,827200
1983-08-16,1.3760,1.3933,1.3760,1.3846,435200
1983-08-17,1.3933,1.4106,1.3846,1.4106,193600
1983-08-18,1.4192,1.4192,1.3673,1.3933,1488000
1983-08-19,1.4019,1.4106,1.3760,1.3846,1046400
1983-08-22,1.3933,1.4106,1.3846,1.3978,678400
1983-08-23,1.4019,1.4019,1.3846,1.4019,832000
1983-08-24,1.4019,1.4151,1.3933,1.4019,596800
1983-08-25,1.3933,1.4192,1.3933,1.4151,465600
1983-08-26,1.4106,1.4106,1.3805,1.3978,817600
1983-08-29,1.3846,1.4106,1.3846,1.3978,334400
1983-08-30,1.3978,1.3978,1.3715,1.3715,385600
1983-08-31,1.3760,1.4106,1.3760,1.4061,235200
1983-09-01,1.4151,1.4192,1.3933,1.4106,560000
1983-09-02,1.4019,1.4279,1.4019,1.4151,1227200
1983-09-06,1.4324,1.4452,1.4192,1.4279,1806400
1983-09-07,1.4279,1.4279,1.3846,1.3933,2532800
1983-09-08,1.3933,1.4192,1.3805,1.4192,1001600
1983-09-09,1.4106,1.4151,1.3933,1.4019,4065600
1983-09-12,1.4192,1.4279,1.4019,1.4061,456000
1983-09-13,1.4061,1.4061,1.3805,1.4061,404800
1983-09-14,1.3888,1.4019,1.3805,1.3978,1009600
1983-09-15,1.3846,1.3933,1.3715,1.3715,286400
1983-09-16,1.3586,1.3760,1.3586,1.3673,787200
1983-09-19,1.3673,1.3933,1.3631,1.3846,395200
1983-09-20,1.3933,1.3978,1.3805,1.3978,2204800
1983-09-21,1.3978,1.3978,1.3805,1.3888,942400
