Date,Open,High,Low,Close,Volume
2001-08-02,10.1116,10.1621,9.5807,10.1116,9812900
2001-08-03,10.1116,10.1748,10.1116,10.1116,2776400
2001-08-06,10.1116,10.1116,9.9852,10.1116,416700
2001-08-07,10.1116,10.1179,10.0484,10.1116,1651800
2001-08-08,10.0863,10.1116,10.0357,10.1116,265800
2001-08-09,10.1116,10.1179,10.0484,10.1116,311200
2001-08-10,10.1116,10.1368,10.1116,10.1116,123100
2001-08-13,10.1116,10.1432,10.0800,10.1116,311100
2001-08-14,10.0800,10.1116,10.0357,10.1116,605000
2001-08-15,10.1116,10.1116,9.7956,10.0800,318400
2001-08-16,10.0484,10.1116,9.8904,10.1116,333200
2001-08-17,10.0168,10.1116,9.6060,10.0168,316300
2001-08-20,10.0800,10.1116,9.8588,10.0420,139400
2001-08-21,9.9852,10.0926,9.9852,10.0484,130500
2001-08-22,10.0484,10.1052,9.9536,10.0547,111300
2001-08-23,10.0484,10.1052,10.0168,10.0484,81500
2001-08-24,10.0484,10.1052,9.9852,10.0168,73700
2001-08-27,10.1116,10.1368,9.9915,10.1052,245900
2001-08-28,10.1116,10.3138,10.0800,10.2696,332400
2001-08-29,10.4907,10.4907,10.1495,10.4086,420400
2001-08-30,10.6171,10.6171,10.4212,10.5919,314600
2001-08-31,10.6487,11.5335,10.6487,11.5335,616700
2001-09-04,11.5335,11.5651,10.9963,11.4197,503900
2001-09-05,11.5651,11.5967,11.3186,11.5019,322700
2001-09-06,11.3755,11.7547,11.3755,11.3755,205200
2001-09-07,11.3755,11.4703,11.0911,11.3755,83400
2001-09-10,10.4275,11.2807,10.2696,11.0595,245100
2001-09-17,10.1116,10.8699,9.8588,10.7435,97100
2001-09-18,10.8383,10.8383,10.5855,10.7625,59600
2001-09-19,11.1859,11.1859,10.4275,10.9963,98800
2001-09-20,10.9015,10.9015,10.3328,10.6171,223900
2001-09-21,10.4907,10.4907,9.5112,10.4275,52700
2001-09-24,11.0595,11.0595,10.5539,10.8067,104600
2001-09-25,10.7435,11.0279,10.3328,11.0279,75700
2001-09-26,11.1543,11.1543,10.7751,11.1543,58800
2001-09-27,11.1543,11.1543,10.6803,10.7435,45500
2001-09-28,10.8067,10.9331,10.3644,10.7435,48100
2001-10-01,10.6803,10.7751,10.5855,10.7435,13600
2001-10-02,10.8699,10.8699,10.2127,10.4275,72300
