Date,Open,High,Low,Close,Volume
1973-05-03,0.4611,0.4645,0.4611,0.4645,76896
1973-05-04,0.4645,0.4645,0.4611,0.4645,56592
1973-05-07,0.4645,0.4645,0.4576,0.4645,61104
1973-05-08,0.4611,0.4611,0.4611,0.4611,22608
1973-05-09,0.4611,0.4680,0.4576,0.4680,378096
1973-05-10,0.4680,0.4680,0.4680,0.4680,20304
1973-05-11,0.4680,0.4680,0.4645,0.4680,15792
1973-05-14,0.4645,0.4645,0.4611,0.4645,15792
1973-05-15,0.4645,0.4645,0.4576,0.4611,72408
1973-05-16,0.4611,0.4680,0.4611,0.4611,54312
1973-05-17,0.4611,0.4645,0.4611,0.4645,13512
1973-05-18,0.4645,0.4645,0.4576,0.4645,40704
1973-05-21,0.4645,0.4645,0.4576,0.4576,85992
1973-05-22,0.4576,0.4645,0.4576,0.4611,124512
1973-05-23,0.4611,0.4645,0.4611,0.4645,33912
1973-05-24,0.4645,0.4680,0.4611,0.4680,22608
1973-05-25,0.4680,0.4714,0.4680,0.4714,81504
1973-05-29,0.4714,0.4714,0.4680,0.4680,67896
1973-05-30,0.4680,0.4714,0.4680,0.4680,11304
1973-05-31,0.4714,0.4714,0.4714,0.4714,11304
1973-06-01,0.4680,0.4680,0.4645,0.4645,27096
1973-06-04,0.4645,0.4645,0.4576,0.4611,92808
1973-06-05,0.4611,0.4645,0.4611,0.4611,36192
1973-06-06,0.4611,0.4645,0.4611,0.4611,58800
1973-06-07,0.4645,0.4645,0.4645,0.4645,79200
1973-06-08,0.4645,0.4645,0.4611,0.4645,6696
1973-06-11,0.4680,0.4714,0.4680,0.4714,90504
1973-06-12,0.4714,0.4714,0.4714,0.4714,4512
1973-06-13,0.4714,0.4714,0.4680,0.4680,15792
1973-06-14,0.4680,0.4680,0.4680,0.4680,22608
1973-06-15,0.4680,0.4680,0.4680,0.4680,6696
1973-06-18,0.4680,0.4680,0.4645,0.4645,29400
1973-06-19,0.4645,0.4680,0.4645,0.4680,67896
1973-06-20,0.4680,0.4714,0.4680,0.4714,15792
1973-06-21,0.4714,0.4714,0.4680,0.4680,6696
1973-06-22,0.4680,0.4680,0.4680,0.4680,4512
1973-06-25,0.4680,0.4680,0.4680,0.4680,6696
1973-06-26,0.4680,0.4680,0.4680,0.4680,43008
1973-06-27,0.4680,0.4680,0.4680,0.4680,13512
1973-06-28,0.4680,0.4680,0.4680,0.4680,27096
1973-06-29,0.4680,0.4714,0.4680,0.4680,92808
1973-07-02,0.4680,0.4714,0.4680,0.4714,18096
1973-07-03,0.4714,0.4714,0.4680,0.4714,72408
1973-07-05,0.4714,0.4714,0.4714,0.4714,18096
1973-07-06,0.4714,0.4714,0.4714,0.4714,61104
1973-07-09,0.4714,0.4748,0.4714,0.4748,49800
1973-07-10,0.4748,0.4783,0.4748,0.4748,94992
1973-07-11,0.4748,0.4783,0.4748,0.4748,27096
1973-07-12,0.4748,0.4783,0.4748,0.4783,58800
1973-07-13,0.4783,0.4783,0.4748,0.4748,58800
1973-07-16,0.4748,0.4748,0.4748,0.4748,33912
1973-07-17,0.4714,0.4714,0.4680,0.4680,38400
1973-07-18,0.4680,0.4680,0.4611,0.4611,348600
1973-07-19,0.4611,0.4680,0.4611,0.4645,253512
1973-07-20,0.4645,0.4645,0.4576,0.4576,230904
1973-07-23,0.4576,0.4680,0.4576,0.4680,31608
1973-07-24,0.4645,0.4645,0.4611,0.4645,40704
1973-07-25,0.4645,0.4714,0.4611,0.4680,131304
1973-07-26,0.4680,0.4680,0.4645,0.4680,181104
1973-07-27,0.4680,0.4680,0.4645,0.4645,149400
1973-07-30,0.4645,0.4645,0.4611,0.4645,24912
1973-07-31,0.4645,0.4714,0.4645,0.4645,38400
1973-08-01,0.4645,0.4645,0.4645,0.4645,72408
1973-08-02,0.4645,0.4645,0.4645,0.4645,2208
1973-08-03,0.4645,0.4680,0.4611,0.4645,85992
1973-08-06,0.4645,0.4680,0.4645,0.4680,20304
1973-08-07,0.4680,0.4680,0.4645,0.4680,63312
1973-08-08,0.4680,0.4680,0.4611,0.4645,115392
1973-08-09,0.4645,0.4645,0.4611,0.4645,45192
1973-08-10,0.4645,0.4645,0.4611,0.4645,61104
1973-08-13,0.4645,0.4645,0.4645,0.4645,47496
1973-08-14,0.4645,0.4645,0.4611,0.4611,79200
1973-08-15,0.4611,0.4645,0.4576,0.4611,74712
1973-08-16,0.4576,0.4576,0.4524,0.4524,120000
1973-08-17,0.4576,0.4645,0.4576,0.4645,79200
1973-08-20,0.4645,0.4645,0.4611,0.4611,18096
1973-08-21,0.4611,0.4611,0.4576,0.4576,29400
1973-08-22,0.4524,0.4524,0.4422,0.4422,47496
1973-08-23,0.4422,0.4422,0.4353,0.4353,45192
1973-08-24,0.4388,0.4422,0.4388,0.4422,20304
1973-08-27,0.4422,0.4490,0.4422,0.4422,38400
1973-08-28,0.4422,0.4455,0.4422,0.4455,4512
1973-08-29,0.4455,0.4524,0.4455,0.4455,18096
1973-08-30,0.4524,0.4524,0.4524,0.4524,24912
1973-08-31,0.4524,0.4576,0.4490,0.4490,113208
1973-09-04,0.4524,0.4524,0.4524,0.4524,15792
1973-09-05,0.4524,0.4576,0.4524,0.4524,36192
1973-09-06,0.4524,0.4576,0.4524,0.4576,74712
1973-09-07,0.4558,0.4558,0.4524,0.4524,13512
1973-09-10,0.4524,0.4576,0.4524,0.4524,29400
1973-09-11,0.4524,0.4558,0.4524,0.4524,43008
1973-09-12,0.4524,0.4576,0.4524,0.4576,49800
1973-09-13,0.4576,0.4645,0.4576,0.4576,249000
1973-09-14,0.4576,0.4576,0.4524,0.4524,110904
1973-09-17,0.4524,0.4524,0.4524,0.4524,54312
1973-09-18,0.4524,0.4524,0.4524,0.4524,47496
1973-09-19,0.4524,0.4576,0.4524,0.4524,49800
1973-09-20,0.4524,0.4524,0.4524,0.4524,33912
1973-09-21,0.4524,0.4524,0.4524,0.4524,97296
1973-09-24,0.4524,0.4524,0.4524,0.4524,56592
1973-09-25,0.4524,0.4524,0.4524,0.4524,67896
1973-09-26,0.4524,0.4558,0.4524,0.4558,104112
1973-09-27,0.4576,0.4680,0.4576,0.4680,40704
1973-09-28,0.4680,0.4714,0.4680,0.4714,54312
1973-10-01,0.4714,0.4748,0.4680,0.4714,61104
1973-10-02,0.4714,0.4783,0.4680,0.4748,129000
1973-10-03,0.4783,0.4886,0.4783,0.4817,124512
1973-10-04,0.4920,0.4971,0.4920,0.4955,131304
1973-10-05,0.4955,0.4971,0.4955,0.4971,24912
1973-10-08,0.4971,0.5007,0.4955,0.4971,20304
1973-10-09,0.5042,0.5076,0.5042,0.5042,36192
1973-10-10,0.5007,0.5007,0.5007,0.5007,33912
1973-10-11,0.4971,0.4971,0.4971,0.4971,70104
1973-10-12,0.4971,0.5042,0.4971,0.5007,52008
1973-10-15,0.5007,0.5007,0.4971,0.4971,13512
1973-10-16,0.4920,0.4920,0.4886,0.4920,65592
1973-10-17,0.4920,0.4955,0.4886,0.4955,43008
1973-10-18,0.4955,0.4971,0.4920,0.4920,29400
1973-10-19,0.4920,0.4920,0.4920,0.4920,65592
1973-10-22,0.4852,0.4852,0.4783,0.4783,47496
1973-10-23,0.4783,0.4783,0.4748,0.4748,54312
1973-10-24,0.4748,0.4783,0.4748,0.4748,24912
1973-10-25,0.4748,0.4817,0.4748,0.4783,65592
1973-10-26,0.4783,0.4886,0.4783,0.4886,43008
1973-10-29,0.4886,0.4971,0.4886,0.4971,61104
1973-10-30,0.4971,0.4971,0.4971,0.4971,38400
1973-10-31,0.4955,0.4955,0.4955,0.4955,43008
1973-11-01,0.4955,0.4955,0.4886,0.4886,101808
1973-11-02,0.4886,0.4920,0.4886,0.4886,29400
1973-11-05,0.4886,0.4886,0.4714,0.4714,122208
1973-11-06,0.4714,0.4714,0.4645,0.4645,45192
1973-11-07,0.4680,0.4714,0.4680,0.4714,24912
1973-11-08,0.4714,0.4783,0.4714,0.4783,40704
1973-11-09,0.4748,0.4748,0.4611,0.4611,49800
1973-11-12,0.4611,0.4645,0.4611,0.4645,43008
1973-11-13,0.4611,0.4611,0.4611,0.4611,11304
1973-11-14,0.4611,0.4645,0.4611,0.4611,11304
1973-11-15,0.4576,0.4576,0.4524,0.4558,47496
1973-11-16,0.4576,0.4611,0.4576,0.4576,31608
1973-11-19,0.4576,0.4576,0.4524,0.4524,15792
1973-11-20,0.4524,0.4524,0.4455,0.4455,74712
1973-11-21,0.4455,0.4455,0.4422,0.4455,33912
1973-11-23,0.4455,0.4455,0.4422,0.4455,38400
1973-11-26,0.4422,0.4422,0.4353,0.4353,20304
1973-11-27,0.4353,0.4422,0.4249,0.4318,104112
1973-11-28,0.4283,0.4283,0.4216,0.4283,31608
1973-11-29,0.4249,0.4249,0.4181,0.4181,38400
1973-11-30,0.4181,0.4216,0.4181,0.4181,58800
1973-12-03,0.4181,0.4216,0.4129,0.4129,92808
1973-12-04,0.4129,0.4216,0.4129,0.4181,85992
1973-12-05,0.4147,0.4147,0.4129,0.4129,117696
1973-12-06,0.4129,0.4129,0.4129,0.4129,36192
1973-12-07,0.4129,0.4147,0.4095,0.4129,126696
1973-12-10,0.4129,0.4181,0.4129,0.4129,94992
1973-12-11,0.4129,0.4181,0.4129,0.4129,36192
1973-12-12,0.4129,0.4129,0.4095,0.4095,49800
1973-12-13,0.4129,0.4181,0.4129,0.4129,201504
1973-12-14,0.4181,0.4181,0.4181,0.4181,15792
1973-12-17,0.4181,0.4181,0.4147,0.4147,38400
1973-12-18,0.4147,0.4181,0.4129,0.4147,56592
1973-12-19,0.4147,0.4181,0.4129,0.4129,110904
1973-12-20,0.4129,0.4147,0.4129,0.4129,61104
1973-12-21,0.4129,0.4129,0.4095,0.4129,47496
1973-12-24,0.4129,0.4147,0.4129,0.4147,104112
1973-12-26,0.4147,0.4181,0.4129,0.4129,38400
1973-12-27,0.4129,0.4181,0.4095,0.4095,104112
1973-12-28,0.4095,0.4129,0.4060,0.4129,79200
1973-12-31,0.4129,0.4181,0.4060,0.4181,120000
1974-01-02,0.4181,0.4216,0.4181,0.4181,13512
1974-01-03,0.4216,0.4422,0.4216,0.4422,72408
1974-01-04,0.4422,0.4524,0.4422,0.4524,49800
1974-01-07,0.4645,0.4748,0.4645,0.4680,151608
1974-01-08,0.4680,0.4680,0.4576,0.4576,20304
1974-01-09,0.4576,0.4576,0.4353,0.4353,81504
1974-01-10,0.4353,0.4524,0.4318,0.4490,76896
1974-01-11,0.4524,0.4817,0.4524,0.4817,70104
1974-01-14,0.4886,0.4886,0.4886,0.4886,70104
1974-01-15,0.4852,0.4852,0.4817,0.4817,56592
1974-01-16,0.4817,0.4886,0.4817,0.4886,33912
1974-01-17,0.4920,0.5007,0.4920,0.5007,15792
1974-01-18,0.4971,0.4971,0.4920,0.4920,38400
1974-01-21,0.4920,0.4955,0.4852,0.4955,58800
1974-01-22,0.4955,0.4955,0.4886,0.4955,18096
1974-01-23,0.4955,0.4955,0.4955,0.4955,20304
1974-01-24,0.4955,0.4971,0.4886,0.4971,36192
1974-01-25,0.4955,0.4955,0.4886,0.4886,219600
1974-01-28,0.4817,0.4817,0.4783,0.4817,54312
1974-01-29,0.4852,0.4886,0.4852,0.4886,11304
1974-01-30,0.4817,0.4817,0.4748,0.4748,47496
1974-01-31,0.4783,0.4817,0.4783,0.4783,24912
1974-02-01,0.4817,0.4920,0.4817,0.4920,27096
1974-02-04,0.4886,0.4886,0.4783,0.4783,99600
1974-02-05,0.4783,0.4817,0.4783,0.4783,24912
1974-02-06,0.4748,0.4748,0.4714,0.4748,11304
1974-02-07,0.4783,0.4817,0.4783,0.4817,4512
1974-02-08,0.4817,0.4817,0.4748,0.4748,13512
1974-02-11,0.4714,0.4714,0.4645,0.4645,15792
1974-02-12,0.4645,0.4645,0.4645,0.4645,9000
1974-02-13,0.4645,0.4680,0.4611,0.4645,38400
1974-02-14,0.4680,0.4714,0.4680,0.4680,15792
1974-02-15,0.4680,0.4748,0.4680,0.4714,63312
1974-02-19,0.4714,0.4783,0.4680,0.4714,56592
1974-02-20,0.4748,0.4748,0.4748,0.4748,18096
1974-02-21,0.4748,0.4748,0.4714,0.4748,58800
1974-02-22,0.4748,0.4817,0.4748,0.4817,31608
1974-02-25,0.4817,0.4817,0.4748,0.4748,67896
1974-02-26,0.4748,0.4817,0.4714,0.4817,126696
1974-02-27,0.4817,0.4817,0.4748,0.4748,31608
1974-02-28,0.4748,0.4783,0.4748,0.4783,18096
1974-03-01,0.4748,0.4748,0.4748,0.4748,6696
