Date,Open,High,Low,Close,Volume
1987-04-07,6.7802,6.7802,6.5545,6.5545,295600
1987-04-08,6.6455,6.8749,6.6455,6.8276,479700
1987-04-09,6.8276,6.8276,6.5108,6.5108,850800
1987-04-10,6.5108,6.6455,6.5108,6.5982,224000
1987-04-13,6.5982,6.5982,6.3724,6.4161,304700
1987-04-14,6.3724,6.3724,5.7825,5.8699,168300
1987-04-15,5.9646,6.3724,5.9646,6.3724,414500
1987-04-16,6.4634,6.5982,6.4634,6.5545,229400
1987-04-20,6.5545,6.5545,6.4634,6.4634,135800
1987-04-21,6.4634,6.5108,6.3724,6.4161,282200
1987-04-22,6.4161,6.4634,6.1903,6.2814,284900
1987-04-23,6.3287,6.4161,6.2814,6.3287,219200
1987-04-24,6.2814,6.3724,6.1466,6.1466,139700
1987-04-27,6.0520,6.0993,5.8262,6.0083,466500
1987-04-28,6.2340,6.3724,6.0083,6.2340,272200
1987-04-29,6.3287,6.3724,6.2814,6.2814,374500
1987-04-30,6.2814,6.5545,6.2814,6.5545,845800
1987-05-01,6.5982,6.6929,6.5108,6.5545,713800
1987-05-04,6.5545,6.7802,6.5545,6.7366,212200
1987-05-05,6.7366,7.0570,6.5545,7.0570,1040000
1987-05-06,7.0570,7.5559,7.0097,7.5559,1030000
1987-05-07,8.0110,8.1494,7.9673,8.1021,1470000
1987-05-08,8.0110,8.0547,7.8727,7.9673,365400
1987-05-11,8.0110,8.5135,7.9673,8.1931,815000
1987-05-12,8.2368,8.2368,8.1021,8.1931,422900
1987-05-13,8.1931,8.2368,7.8727,7.9673,231300
1987-05-14,7.9200,8.0110,7.8290,7.9200,341500
1987-05-15,7.8290,8.0110,7.6906,7.7853,408700
1987-05-18,7.6469,7.6906,7.4648,7.6469,386200
1987-05-19,7.6469,7.6469,7.5085,7.5559,270200
1987-05-20,7.4211,7.5085,7.3265,7.3265,308100
1987-05-21,7.3738,7.4648,7.1917,7.4211,258900
1987-05-22,7.4211,7.5559,7.3738,7.5559,255700
1987-05-26,7.6469,8.0110,7.5085,7.9200,400600
1987-05-27,7.9200,7.9673,7.8290,7.8727,211500
1987-05-28,7.8290,7.8727,7.4648,7.8290,165000
1987-05-29,7.8727,7.9673,7.7379,7.9673,288100
1987-06-01,7.9673,8.0547,7.9200,7.9673,363100
1987-06-02,7.9673,7.9673,7.8290,7.8727,215500
1987-06-03,7.8290,7.9673,7.8290,7.9200,442000
1987-06-04,7.9200,8.0110,7.9200,8.0110,576100
1987-06-05,8.0110,8.0547,7.9200,7.9673,294100
1987-06-08,7.9673,8.1021,7.9673,8.1021,310200
1987-06-09,8.1021,8.1494,7.9673,8.0110,853800
1987-06-10,8.0547,8.2841,8.0110,8.0110,340700
1987-06-11,8.0110,8.0547,7.9200,7.9200,89100
1987-06-12,7.8290,7.9200,7.6906,7.7379,378700
1987-06-15,7.7853,8.0110,7.7379,7.9200,269300
1987-06-16,7.9200,7.9673,7.8727,7.9673,160300
1987-06-17,7.9673,8.0110,7.9200,7.9200,276100
1987-06-18,7.8727,7.8727,7.7379,7.7853,59300
1987-06-19,7.8727,7.9673,7.7853,7.9673,284500
1987-06-22,8.0547,8.1021,7.9200,8.0110,544800
1987-06-23,7.9673,8.0110,7.8727,8.0110,442000
1987-06-24,7.9200,7.9673,7.8290,7.9200,241800
1987-06-25,7.9200,8.0110,7.8727,7.9673,179500
1987-06-26,7.9673,8.0110,7.8290,7.8290,389200
1987-06-29,7.9673,8.1931,7.9673,8.1494,1020000
