Date,Open,High,Low,Close,Volume
1999-10-01,8.6133,8.7671,8.6133,8.6932,3162400
1999-10-04,8.6133,8.6932,8.6133,8.6502,533400
1999-10-05,8.6502,8.7301,8.6133,8.7301,270600
1999-10-06,8.6932,9.1547,8.6932,9.1547,205400
1999-10-07,9.1547,9.1547,8.6502,8.6932,214200
1999-10-08,8.7301,8.7301,8.6502,8.6502,65600
1999-10-11,8.6502,8.6932,8.6133,8.6502,77500
1999-10-12,8.6502,8.6932,8.6133,8.6932,49200
1999-10-13,8.6932,8.8470,8.6133,8.6502,49900
1999-10-14,8.6133,8.6502,8.1518,8.3856,430900
1999-10-15,8.0780,8.1149,7.8073,8.0349,158200
1999-10-18,7.9980,7.9980,7.6904,7.8811,83800
1999-10-19,7.8442,8.1518,7.8442,8.1518,58200
1999-10-20,8.2318,8.3056,8.0780,8.0780,62600
1999-10-21,8.0780,8.2687,7.9980,8.2687,98200
1999-10-22,8.2318,8.3425,8.1887,8.3056,191200
1999-10-25,8.2687,8.5763,8.2687,8.5763,153100
1999-10-26,8.4964,8.6932,8.4964,8.6133,65600
1999-10-27,8.6133,8.7301,8.6133,8.6502,100900
1999-10-28,8.7301,8.9209,8.6932,8.6932,255300
1999-10-29,8.6932,9.3823,8.6932,9.3823,123200
1999-11-01,9.2285,9.2285,9.0008,9.0747,41800
1999-11-02,9.0747,9.1547,8.8040,9.0747,66600
1999-11-03,9.0378,9.1547,9.0378,9.0747,18500
1999-11-04,9.1547,9.3085,8.9209,9.1916,72100
1999-11-05,9.2285,9.7699,9.1547,9.6899,122900
1999-11-08,9.7699,10.6927,9.7268,10.2313,240000
1999-11-09,10.3051,10.3051,9.9237,9.9237,42400
1999-11-10,9.8437,9.9237,9.7268,9.8806,59900
1999-11-11,9.8806,9.9975,9.8806,9.9237,20000
1999-11-12,9.9975,11.3818,9.9975,11.0742,248500
1999-11-15,11.1911,11.1911,10.7666,10.8835,99200
1999-11-16,10.8835,10.8835,10.6927,10.7297,95300
1999-11-17,10.8835,11.2280,10.6128,10.7666,107900
1999-11-18,10.7666,10.7666,10.6128,10.6128,67500
1999-11-19,10.6128,10.9204,10.5758,10.8465,31200
1999-11-22,10.8035,11.0004,10.8035,10.9573,36500
1999-11-23,10.9573,11.9232,10.9573,11.7694,65500
1999-11-24,11.6894,11.6894,11.3080,11.4187,53800
1999-11-26,11.3818,11.3818,11.3080,11.3449,2600
1999-11-29,11.3080,11.3080,11.0004,11.1542,20200
1999-11-30,11.1911,11.3818,11.1911,11.3080,38100
1999-12-01,11.3080,11.4618,11.2280,11.4187,43800
1999-12-02,11.4187,11.6894,11.4187,11.6894,33200
1999-12-03,11.7694,11.9232,11.7263,11.8063,62000
1999-12-06,11.8063,11.8063,11.2280,11.3080,38200
1999-12-07,11.3818,11.6894,11.3449,11.4618,112500
1999-12-08,11.3818,11.3818,11.0742,11.1911,27700
1999-12-09,11.2280,11.3080,11.1542,11.2280,15500
1999-12-10,11.1542,11.1542,10.8465,10.8465,22400
1999-12-13,10.9204,11.0742,10.7297,10.7297,44500
1999-12-14,10.6128,10.6128,10.4959,10.5389,19400
1999-12-15,10.5389,10.5389,10.3851,10.5389,11100
1999-12-16,10.4959,10.6128,10.3421,10.3421,90700
1999-12-17,10.2682,10.6128,10.2682,10.5328,37300
1999-12-20,10.4589,10.4589,10.3421,10.4220,31300
1999-12-21,10.4220,10.4959,10.3851,10.4589,11800
1999-12-22,10.5389,10.6927,10.5389,10.5758,6300
1999-12-23,10.5758,10.6128,10.4589,10.5389,3700
1999-12-27,10.4959,10.5389,10.4959,10.5389,2400
1999-12-28,10.4959,10.8465,10.4959,10.6927,65600
1999-12-29,10.7297,10.7297,10.5389,10.6128,9600
1999-12-30,10.5389,10.6927,10.5389,10.6497,5100
1999-12-31,10.6128,10.6927,10.5758,10.5758,13000
2000-01-03,10.7297,10.7666,10.2252,10.2252,64600
2000-01-04,10.2313,10.2313,9.6161,9.7699,81900
2000-01-05,9.6161,9.6161,9.2285,9.4192,38100
2000-01-06,9.6899,9.9975,9.6899,9.8437,41200
2000-01-07,9.7699,9.9975,9.6899,9.7699,34700
2000-01-10,10.1513,10.1513,9.8437,9.8437,94200
2000-01-11,9.9237,10.3851,9.8437,10.1144,39700
2000-01-12,10.1513,10.5389,10.1513,10.5389,25100
2000-01-13,10.6128,10.7666,10.3851,10.4220,62000
2000-01-14,10.4589,10.9204,10.3851,10.7666,183100
2000-01-18,10.9204,11.2280,10.9204,11.0742,77300
2000-01-19,11.0742,11.3080,11.0373,11.2280,34500
2000-01-20,11.2280,11.2280,10.6927,10.7666,42200
2000-01-21,10.7297,10.7666,10.6128,10.6927,16000
2000-01-24,10.7666,10.7666,10.4589,10.5389,10700
2000-01-25,10.5389,10.7666,10.4959,10.6128,19200
2000-01-26,10.6128,10.7666,10.6128,10.7297,16600
2000-01-27,10.7297,11.0742,10.7297,10.7666,33600
2000-01-28,10.8465,10.8465,10.6497,10.6927,3900
2000-01-31,10.5389,10.7666,10.5389,10.7666,53900
