Date,Open,High,Low,Close,Volume
1972-06-01,0.5351,0.5355,0.5301,0.5323,3146912
1972-06-02,0.5323,0.5396,0.5323,0.5375,1136416
1972-06-05,0.5375,0.5407,0.5365,0.5386,480704
1972-06-06,0.5386,0.5418,0.5355,0.5355,1338112
1972-06-07,0.5355,0.5375,0.5323,0.5344,894304
1972-06-08,0.5344,0.5375,0.5312,0.5375,369792
1972-06-09,0.5344,0.5344,0.5312,0.5312,527808
1972-06-12,0.5312,0.5365,0.5290,0.5323,376512
1972-06-13,0.5323,0.5365,0.5290,0.5333,231904
1972-06-14,0.5323,0.5323,0.5216,0.5259,352992
1972-06-15,0.5259,0.5312,0.5259,0.5301,443808
1972-06-16,0.5301,0.5312,0.5259,0.5259,363104
1972-06-19,0.5259,0.5280,0.5227,0.5270,504288
1972-06-20,0.5270,0.5312,0.5270,0.5301,316000
1972-06-21,0.5301,0.5333,0.5280,0.5312,595008
1972-06-22,0.5290,0.5290,0.5238,0.5259,484096
1972-06-23,0.5259,0.5290,0.5195,0.5195,541312
1972-06-26,0.5195,0.5238,0.5164,0.5238,238688
1972-06-27,0.5238,0.5248,0.5206,0.5227,292512
1972-06-28,0.5227,0.5259,0.5227,0.5238,3573888
1972-06-29,0.5238,0.5270,0.5227,0.5270,369792
1972-06-30,0.5270,0.5333,0.5270,0.5301,648800
1972-07-03,0.5301,0.5312,0.5270,0.5280,302496
1972-07-05,0.5280,0.5312,0.5270,0.5301,2840992
1972-07-06,0.5301,0.5375,0.5290,0.5301,2067712
1972-07-07,0.5301,0.5312,0.5280,0.5301,527808
1972-07-10,0.5301,0.5355,0.5301,0.5301,282400
1972-07-11,0.5301,0.5312,0.5270,0.5270,699296
1972-07-12,0.5270,0.5301,0.5270,0.5270,480704
1972-07-13,0.5270,0.5301,0.5259,0.5290,242016
1972-07-14,0.5290,0.5312,0.5259,0.5301,228608
1972-07-17,0.5280,0.5280,0.5248,0.5248,706016
1972-07-18,0.5248,0.5280,0.5184,0.5248,1045600
1972-07-19,0.5248,0.5344,0.5184,0.5270,2111392
1972-07-20,0.5312,0.5365,0.5312,0.5323,847200
1972-07-21,0.5323,0.5365,0.5312,0.5365,1435616
1972-07-24,0.5365,0.5407,0.5344,0.5365,1603712
1972-07-25,0.5365,0.5481,0.5355,0.5429,2272800
1972-07-26,0.5429,0.5450,0.5407,0.5407,1667616
1972-07-27,0.5418,0.5471,0.5418,0.5450,1879392
1972-07-28,0.5450,0.5481,0.5439,0.5461,830400
1972-07-31,0.5461,0.5492,0.5439,0.5461,433696
1972-08-01,0.5471,0.5513,0.5471,0.5513,1852512
1972-08-02,0.5567,0.5768,0.5567,0.5725,4263104
1972-08-03,0.5725,0.5916,0.5704,0.5842,3698304
1972-08-04,0.5842,0.5906,0.5831,0.5895,1344800
1972-08-07,0.5895,0.5916,0.5842,0.5853,860704
1972-08-08,0.5853,0.5874,0.5810,0.5864,1045600
1972-08-09,0.5864,0.5959,0.5864,0.5937,2938496
1972-08-10,0.5937,0.6213,0.5937,0.6138,2736704
1972-08-11,0.6138,0.6138,0.6032,0.6107,864000
1972-08-14,0.6086,0.6086,0.5937,0.5959,793408
1972-08-15,0.5948,0.5948,0.5853,0.5926,1744896
1972-08-16,0.5906,0.5906,0.5821,0.5864,769888
1972-08-17,0.5853,0.5853,0.5778,0.5810,658912
1972-08-18,0.5810,0.5853,0.5768,0.5821,632000
1972-08-21,0.5821,0.5842,0.5789,0.5789,201696
1972-08-22,0.5789,0.5926,0.5768,0.5884,527808
1972-08-23,0.5884,0.5926,0.5768,0.5768,413504
1972-08-24,0.5747,0.5747,0.5641,0.5704,743008
1972-08-25,0.5693,0.5693,0.5641,0.5693,342912
1972-08-28,0.5673,0.5673,0.5619,0.5673,689216
1972-08-29,0.5673,0.5704,0.5641,0.5704,544608
1972-08-30,0.5693,0.5693,0.5662,0.5673,252096
1972-08-31,0.5673,0.5821,0.5673,0.5821,268896
1972-09-01,0.5821,0.5853,0.5810,0.5810,352992
1972-09-05,0.5810,0.5842,0.5768,0.5768,188192
1972-09-06,0.5768,0.5768,0.5693,0.5704,625312
1972-09-07,0.5704,0.5747,0.5683,0.5704,258816
1972-09-08,0.5704,0.5704,0.5683,0.5704,480704
1972-09-11,0.5704,0.5715,0.5662,0.5662,215104
1972-09-12,0.5662,0.5693,0.5598,0.5619,941312
1972-09-13,0.5598,0.5598,0.5556,0.5577,958208
1972-09-14,0.5598,0.5630,0.5598,0.5630,497504
1972-09-15,0.5630,0.5630,0.5556,0.5609,457216
1972-09-18,0.5609,0.5630,0.5587,0.5630,215104
1972-09-19,0.5630,0.5662,0.5556,0.5641,1677696
1972-09-20,0.5641,0.5662,0.5619,0.5641,248704
1972-09-21,0.5630,0.5630,0.5598,0.5598,211808
1972-09-22,0.5598,0.5630,0.5567,0.5598,285696
1972-09-25,0.5598,0.5630,0.5481,0.5481,316000
1972-09-26,0.5481,0.5524,0.5450,0.5450,282400
1972-09-27,0.5450,0.5598,0.5450,0.5577,1385088
1972-09-28,0.5577,0.5587,0.5535,0.5545,137792
1972-09-29,0.5545,0.5556,0.5471,0.5503,524416
1972-10-02,0.5481,0.5481,0.5429,0.5429,524416
1972-10-03,0.5429,0.5429,0.5280,0.5375,1301088
1972-10-04,0.5375,0.5450,0.5333,0.5375,584992
1972-10-05,0.5355,0.5355,0.5259,0.5280,793408
1972-10-06,0.5280,0.5396,0.5206,0.5344,1677696
1972-10-09,0.5355,0.5429,0.5355,0.5429,127712
1972-10-10,0.5418,0.5418,0.5365,0.5407,285696
1972-10-11,0.5407,0.5481,0.5386,0.5396,568192
