Date,Open,High,Low,Close,Volume
2007-04-02,13.5633,13.7730,13.1578,13.6402,9470300
2007-04-03,13.4934,13.6332,12.9271,13.3326,7892900
2007-04-04,13.2976,13.3955,13.1438,13.2207,4738000
2007-04-05,13.1089,13.8499,13.0739,13.5493,4602900
2007-04-09,13.6821,13.6821,13.2137,13.3256,3600900
2007-04-10,13.0599,13.5913,13.0040,13.4374,3130800
2007-04-11,13.4654,14.0247,13.2487,13.3605,3356100
2007-04-12,13.3256,13.4724,13.2067,13.4235,2666300
2007-04-13,14.0177,14.0177,13.3536,13.6891,2980900
2007-04-16,13.7171,13.9129,13.7171,13.8849,1455800
2007-04-17,13.5982,14.3883,13.4934,14.2764,1567200
2007-04-18,14.1436,14.4862,13.9548,14.4582,1958200
2007-04-19,14.1226,15.0035,14.1086,14.7798,1890100
2007-04-20,14.9406,15.2203,14.6819,14.7378,2671300
2007-04-23,14.5980,14.7518,14.3533,14.4722,1531800
2007-04-24,14.3460,14.4722,14.3323,14.4092,1752700
2007-04-25,14.4092,14.4512,14.1366,14.1646,1029600
2007-04-26,13.8290,14.0807,13.7730,14.0247,1193200
2007-04-27,13.9828,14.1715,13.8499,14.1366,734500
2007-04-30,14.1226,14.1226,13.9548,14.0107,1581800
2007-05-01,13.9548,14.0597,13.8849,14.0107,1468800
2007-05-02,13.9618,14.0597,13.8779,13.9968,1460100
2007-05-03,14.0177,14.2904,13.9891,14.1925,1243100
2007-05-04,14.1226,14.6819,14.0737,14.5281,1242300
2007-05-07,14.3497,14.7099,14.3497,14.6889,1482300
2007-05-08,14.3604,14.9056,14.3603,14.8707,1294300
2007-05-09,14.7658,15.2762,14.7378,14.9616,2454100
2007-05-10,14.8217,15.0664,14.6400,14.7658,1278800
2007-05-11,14.7728,14.9965,14.7518,14.9825,468300
2007-05-14,14.9126,14.9336,14.7658,14.8986,661100
2007-05-15,14.8847,14.9686,14.5701,14.5701,1811800
2007-05-16,14.4722,14.4722,14.2764,14.3323,1595900
2007-05-17,14.0667,14.4931,14.0527,14.4372,893700
2007-05-18,14.4023,14.5071,14.1925,14.3044,1201800
2007-05-21,14.2904,14.3603,14.2484,14.3323,3019200
2007-05-22,14.4162,14.4162,14.2275,14.2554,1490500
2007-05-23,14.2554,14.3323,14.0107,14.2275,1014700
2007-05-24,13.9898,14.2135,13.9828,13.9968,1404600
2007-05-25,13.9968,14.0876,13.9478,13.9828,624200
2007-05-29,13.6682,14.0177,13.6682,13.9828,639000
2007-05-30,13.8569,14.0107,13.8080,13.9618,1165000
2007-05-31,13.9758,14.1576,13.9129,14.1506,953500
2007-06-01,14.1995,14.2764,13.8080,13.9338,886100
2007-06-04,13.7591,13.9828,13.7451,13.8779,967300
2007-06-05,13.8080,14.0387,13.7381,13.9338,847000
2007-06-06,13.8290,13.8499,13.4794,13.5982,1072800
2007-06-07,13.4794,13.6052,13.2207,13.2627,1127400
2007-06-08,13.2697,13.4095,13.2207,13.3815,627600
2007-06-11,13.3256,13.5004,13.2836,13.4724,2175300
2007-06-12,13.3955,13.6262,13.3885,13.5144,994400
2007-06-13,13.6474,13.7386,13.5212,13.5703,829700
2007-06-14,13.5352,13.6194,13.4370,13.5212,629800
2007-06-15,13.5913,13.7386,13.5703,13.6685,732300
2007-06-18,13.7246,13.7246,13.5212,13.6264,810700
2007-06-19,13.5142,13.7035,13.3809,13.3879,1422600
2007-06-20,13.3389,13.4230,13.3178,13.4020,1922200
2007-06-21,13.3389,13.6544,13.3248,13.6334,1592800
2007-06-22,13.6264,14.0261,13.6264,13.9560,1826000
2007-06-25,13.8929,14.1103,13.8298,14.1103,2052100
2007-06-26,14.2015,14.2015,13.8578,13.9560,1435300
2007-06-27,13.8929,14.0261,13.7386,13.8859,1720900
2007-06-28,13.8929,13.9069,13.4791,13.6124,1430600
2007-06-29,13.5913,13.7456,13.3950,13.4090,1323100
2007-07-02,13.4861,13.5913,13.3879,13.5633,848600
2007-07-03,13.5422,13.9209,13.5002,13.8298,322700
2007-07-05,13.8929,13.9139,13.6825,13.7456,669000
2007-07-06,13.6965,13.9700,13.6965,13.8578,492000
2007-07-09,13.8578,14.3487,13.6474,14.2646,1492100
2007-07-10,14.1594,14.2435,13.8578,13.8859,925900
2007-07-11,13.8228,13.8508,13.6404,13.7316,606100
2007-07-12,13.8157,14.0542,13.8157,14.0402,1520600
2007-07-13,14.0752,14.2295,13.8859,13.9490,475600
2007-07-16,13.9069,14.1944,13.8859,14.1594,566900
2007-07-17,14.0963,14.3768,14.0402,14.1243,873900
2007-07-18,14.0402,14.1734,13.9209,14.0542,1002700
2007-07-19,13.8157,14.3417,13.8157,14.2155,828100
2007-07-20,13.6053,14.2225,13.6053,14.0612,525000
2007-07-23,14.1033,14.1944,14.0261,14.0331,317800
2007-07-24,13.8859,13.8929,13.4861,13.5422,1680000
2007-07-25,13.6685,13.6755,13.2056,13.4230,1083600
2007-07-26,12.6235,13.2757,12.6235,13.0513,2240500
2007-07-27,13.0233,13.0934,12.6025,12.6025,920800
2007-07-30,12.6235,12.7007,12.4762,12.5323,1338300
2007-07-31,12.5394,12.6726,12.2799,12.3360,1855100
2007-08-01,11.7329,12.7077,11.3331,11.9643,2217500
2007-08-02,11.9222,12.1536,11.9222,12.0484,2218700
2007-08-03,12.0975,12.1326,11.7329,11.9573,1868000
2007-08-06,12.0064,12.4061,12.0064,12.3220,2274600
2007-08-07,12.2238,12.4481,12.2027,12.3079,1512100
2007-08-08,11.6978,12.8620,11.6978,12.7498,1097000
2007-08-09,11.5225,13.2968,11.0947,12.6165,1585400
2007-08-10,11.4173,12.9531,11.3682,12.8550,1597400
2007-08-13,12.8339,13.1214,12.4061,12.4762,945000
2007-08-14,12.4482,12.8900,12.2729,12.7007,714500
2007-08-15,12.7007,12.7007,12.2659,12.3500,979500
2007-08-16,12.0975,12.4903,11.7118,12.2378,2624500
2007-08-17,12.4973,12.4973,11.9082,12.2729,504900
2007-08-20,12.2729,12.3220,11.9643,12.1536,527500
2007-08-21,12.1607,12.6235,11.8521,12.5113,700600
2007-08-22,12.5183,12.6586,11.8240,11.8661,2301800
2007-08-23,11.3612,11.5014,10.7090,11.4243,2232600
2007-08-24,11.3401,12.6095,11.3261,12.5534,1597000
2007-08-27,12.4622,12.5534,12.3640,12.4692,608600
2007-08-28,12.3430,12.4903,12.3009,12.3430,851100
2007-08-29,12.4272,12.5323,12.3500,12.5323,815900
2007-08-30,12.4973,12.7918,12.4622,12.7147,819800
2007-08-31,12.7988,12.9040,12.7007,12.7427,615700
2007-09-04,12.6586,13.0022,12.5955,12.9812,1005800
2007-09-05,12.8690,12.8690,12.1046,12.2097,1004400
2007-09-06,12.2238,12.2238,11.8661,12.0134,598700
2007-09-07,11.8451,11.8451,11.5856,11.7188,762900
2007-09-10,11.7329,12.2869,11.7329,12.2448,816400
2007-09-11,12.2518,12.3430,12.0274,12.0835,1191000
2007-09-12,12.0607,12.6870,11.9932,12.5885,489000
2007-09-13,12.6166,13.2569,12.4618,13.1162,604400
2007-09-14,12.9544,13.3484,12.8418,13.1232,616600
2007-09-17,12.9544,12.9966,12.5462,12.7221,653300
2007-09-18,12.7855,13.2780,12.6166,13.2569,786400
2007-09-19,13.2991,13.4610,13.1725,13.3343,495600
2007-09-20,13.2921,13.5525,13.1866,13.4751,434200
2007-09-21,13.6017,13.6791,13.3836,13.4540,861200
2007-09-24,13.4188,13.4188,12.7221,12.9192,656800
2007-09-25,12.8066,13.1092,12.7503,13.0458,848200
2007-09-26,13.0881,13.5454,13.0177,13.2851,400900
2007-09-27,13.2640,13.4540,13.2288,13.3695,834300
2007-09-28,13.2851,13.4047,13.1373,13.3343,580500
2007-10-01,13.2851,13.5736,13.1584,13.3695,543100
2007-10-02,13.4258,13.4416,13.2499,13.3132,440900
2007-10-03,13.1936,13.6088,13.1936,13.5947,339300
2007-10-04,13.6721,13.8761,13.6088,13.8410,294200
2007-10-05,13.8410,13.9676,13.5665,13.7002,468700
2007-10-08,13.7284,13.9676,13.5736,13.6721,271700
2007-10-09,13.6791,13.8058,13.5102,13.7636,341900
2007-10-10,13.6299,13.7917,13.6017,13.7706,435900
2007-10-11,13.7495,14.0098,13.4962,13.7143,665500
2007-10-12,13.7073,13.8902,13.7002,13.7776,322300
2007-10-15,13.8058,14.0310,13.7425,13.9254,366800
2007-10-16,13.8058,13.8973,13.5665,13.5665,220500
2007-10-17,13.6158,13.8550,13.5102,13.6158,253500
2007-10-18,13.5102,14.0169,13.5102,13.9184,445000
2007-10-19,13.9254,13.9324,13.7565,13.7987,342400
2007-10-22,13.6510,13.9324,13.5876,13.8902,478800
2007-10-23,13.8902,13.8902,13.6028,13.7002,443100
2007-10-24,13.6439,13.8621,13.1936,13.6932,450800
2007-10-25,13.7425,13.7917,13.3766,13.5173,373400
2007-10-26,13.6299,13.7354,13.3414,13.6932,323500
2007-10-29,13.7213,13.8550,13.6439,13.7706,315900
2007-10-30,13.7073,14.0943,13.6510,13.9043,537400
2007-10-31,13.8832,14.0732,13.7073,14.0732,271500
2007-11-01,13.9676,14.1717,13.7002,13.7213,607900
2007-11-02,13.7284,13.8058,13.2147,13.3132,639400
