Date,Open,High,Low,Close,Volume
1997-06-18,7.3769,7.5886,7.3769,7.5519,7918300
1997-06-19,7.5886,7.6225,7.4814,7.5181,1472400
1997-06-20,7.4108,7.5519,7.4108,7.4475,1030200
1997-06-23,7.4475,7.4475,7.3769,7.3769,628900
1997-06-24,7.3938,7.4108,7.3571,7.3571,541800
1997-06-25,7.4277,7.4983,7.4108,7.4644,570500
1997-06-26,7.5519,7.6225,7.4983,7.6225,488700
1997-06-27,7.6225,7.6592,7.5519,7.5886,586400
1997-06-30,7.5519,7.7637,7.4108,7.6931,629800
1997-07-01,7.6592,7.6592,7.5181,7.5181,269700
1997-07-02,7.4475,7.5181,7.4475,7.4475,350800
1997-07-03,7.4644,7.5519,7.4644,7.5181,173000
1997-07-07,7.5886,7.6056,7.4814,7.5519,449500
1997-07-08,7.5350,7.5886,7.5181,7.5350,239400
1997-07-09,7.5181,7.5350,7.4814,7.4814,226000
1997-07-10,7.4644,7.4814,7.4644,7.4644,425100
1997-07-11,7.4644,7.4814,7.4475,7.4814,326300
1997-07-14,7.5350,7.6762,7.5181,7.6056,311000
1997-07-15,7.5519,7.6056,7.4983,7.5350,534400
1997-07-16,7.5350,7.5886,7.5181,7.5886,443700
1997-07-17,7.6225,7.6395,7.6056,7.6395,443800
1997-07-18,7.6225,7.6395,7.4475,7.5181,359600
1997-07-21,7.4475,7.5181,7.4108,7.5181,422700
1997-07-22,7.5689,7.6056,7.5519,7.5886,246500
1997-07-23,7.5886,7.6056,7.5689,7.5886,196900
1997-07-24,7.6056,7.6592,7.5519,7.6395,481800
1997-07-25,7.5886,7.7298,7.5886,7.7100,225800
1997-07-28,7.6592,7.6931,7.6225,7.6931,127600
1997-07-29,7.6931,7.6931,7.6762,7.6931,350200
1997-07-30,7.6931,7.7806,7.6762,7.7467,126600
1997-07-31,7.7806,7.9048,7.7637,7.8710,203500
1997-08-01,7.8879,7.8879,7.6931,7.8710,85200
1997-08-04,7.8879,7.9048,7.6762,7.8710,115600
1997-08-05,7.8173,7.9924,7.7806,7.9415,152900
1997-08-06,7.8879,8.2944,7.8879,8.2944,234900
1997-08-07,8.2747,8.2944,8.2577,8.2577,358900
1997-08-08,8.1872,8.1872,7.9048,8.1872,387300
1997-08-11,8.1533,8.1702,7.8004,7.9585,164700
1997-08-12,7.9754,8.0121,7.8879,7.8879,437100
1997-08-13,7.9048,7.9754,7.7637,7.8173,323000
1997-08-14,7.7806,7.8343,7.7637,7.7637,89800
1997-08-15,7.8004,7.8343,7.7637,7.8004,120200
1997-08-18,7.8004,7.8512,7.7637,7.8512,177000
1997-08-19,7.8512,7.9924,7.8343,7.9754,161300
1997-08-20,8.0121,8.1702,7.9585,8.0996,206500
1997-08-21,8.1166,8.2041,8.0629,8.1872,133000
1997-08-22,8.0291,8.3283,8.0291,8.2577,449700
1997-08-25,8.2577,8.2944,8.2239,8.2747,227300
1997-08-26,8.2944,8.2944,8.2577,8.2577,266800
1997-08-27,8.2577,8.3283,8.2577,8.2747,183200
1997-08-28,8.2944,8.3989,8.2577,8.3452,177900
1997-08-29,8.3989,8.4695,8.3452,8.4158,176600
1997-09-02,8.3989,8.5231,8.3820,8.4356,194000
1997-09-03,8.4695,8.5767,8.4356,8.4525,296000
1997-09-04,8.4695,8.4864,8.3283,8.3650,250400
1997-09-05,8.3989,8.8929,8.3650,8.7179,395800
1997-09-08,8.8224,8.8591,8.7518,8.8054,193200
1997-09-09,8.7687,8.8760,8.7518,8.7518,242300
1997-09-10,8.7885,8.8393,8.6106,8.6276,328500
1997-09-11,8.6276,8.6981,8.4864,8.5062,110400
1997-09-12,8.5937,8.6473,8.5767,8.6276,63400
1997-09-15,8.6276,8.7518,8.6106,8.7518,249600
1997-09-16,8.8929,9.0708,8.7885,9.0002,425200
1997-09-17,9.1414,9.3531,8.9296,8.9635,552400
1997-09-18,9.0002,9.0708,8.9296,9.0341,223600
1997-09-19,9.1047,9.1414,8.9635,9.0341,110500
1997-09-22,9.0341,9.1047,9.0002,9.0341,213500
1997-09-23,9.0002,9.0172,8.8591,8.9099,198400
1997-09-24,8.9466,9.0002,8.9296,9.0002,83300
1997-09-25,8.9635,9.0708,8.9635,9.0708,111400
1997-09-26,9.0341,9.1753,8.9635,9.1753,116800
1997-09-29,9.2458,9.3870,9.2120,9.3870,59300
1997-09-30,9.3531,9.3531,9.2458,9.2825,282700
1997-10-01,9.3164,9.5649,9.2458,9.5282,67900
1997-10-02,9.6354,9.6693,9.5649,9.5987,136000
1997-10-03,9.6354,9.7399,9.5282,9.5987,73700
1997-10-06,9.5987,9.6354,9.3870,9.4576,235200
1997-10-07,9.3870,9.3870,9.1753,9.2825,101300
1997-10-08,9.4237,9.4576,9.3164,9.3870,98200
1997-10-09,9.2825,9.3531,9.2458,9.2825,88200
1997-10-10,9.2458,9.2825,8.8929,9.1753,158300
1997-10-13,9.2458,9.2458,9.2120,9.2458,130400
1997-10-14,9.2825,9.4237,9.2458,9.3870,215700
1997-10-15,9.3870,9.4576,9.3870,9.4237,247000
1997-10-16,9.3870,9.4237,9.1047,9.1414,167300
1997-10-17,9.0708,9.1047,8.9296,9.0341,266700
1997-10-20,9.0002,9.0341,8.9635,9.0341,57700
1997-10-21,9.0341,9.0341,8.8929,8.8929,178400
1997-10-22,8.9466,9.1047,8.9296,8.9635,100600
1997-10-23,8.9296,8.9296,8.6050,8.8054,85800
1997-10-24,8.8760,9.0002,8.8224,9.0002,203800
1997-10-27,8.8929,8.9635,8.7179,8.7179,145800
1997-10-28,8.2408,8.4695,8.0460,8.4695,472600
1997-10-29,8.4695,8.7687,8.4695,8.6981,205400
1997-10-30,8.5400,8.6643,8.4525,8.4864,322100
1997-10-31,8.8929,9.0341,8.8929,9.0341,757200
1997-11-03,9.0708,9.5282,9.0708,9.5282,206900
1997-11-04,9.4943,9.6354,9.3870,9.6354,106800
1997-11-05,9.6190,9.6533,9.4760,9.5818,112900
1997-11-06,9.5475,9.7076,9.5475,9.6533,91500
1997-11-07,9.5818,9.7076,9.5103,9.6190,103800
1997-11-10,9.6705,9.7248,9.4388,9.4559,75100
1997-11-11,9.4388,9.4760,9.2958,9.3330,102800
1997-11-12,9.2614,9.3129,9.2243,9.2786,84600
1997-11-13,9.1699,9.1899,9.0984,9.1356,135000
1997-11-14,9.1356,9.5103,9.1356,9.5103,194600
1997-11-17,9.5475,9.8335,9.5475,9.7248,215000
1997-11-18,9.7248,9.8507,9.6905,9.7248,263400
1997-11-19,9.6533,9.7963,9.6533,9.7791,55700
1997-11-20,9.7420,9.8507,9.7420,9.8335,57100
1997-11-21,9.7791,9.8335,9.7420,9.8135,40400
1997-11-24,9.8507,9.8507,9.6705,9.7248,72100
1997-11-25,9.7248,9.7620,9.6905,9.7076,57400
1997-11-26,9.5475,9.5818,9.2958,9.3673,119400
1997-11-28,9.3844,9.3844,9.3129,9.3330,9700
1997-12-01,9.2958,9.5103,9.2958,9.5103,82500
1997-12-02,9.4760,9.6905,9.4388,9.6905,63300
1997-12-03,9.6905,9.8335,9.6905,9.8335,26100
1997-12-04,9.8335,9.8507,9.4388,9.8335,124800
1997-12-05,9.7963,9.8335,9.6905,9.7076,46400
1997-12-08,9.7076,9.7248,9.6705,9.6905,36700
1997-12-09,9.7248,10.0823,9.6190,9.8335,171800
1997-12-10,9.8678,9.8678,9.7248,9.7420,89400
1997-12-11,9.7248,9.7420,9.5274,9.6905,85000
1997-12-12,9.6533,9.6905,9.4931,9.5818,19600
1997-12-15,9.6533,9.7620,9.6190,9.7420,63800
1997-12-16,9.7076,9.7076,9.6533,9.6905,88400
1997-12-17,9.7248,9.8335,9.6905,9.8335,88500
1997-12-18,9.8335,9.8335,9.6190,9.7420,415100
1997-12-19,9.7420,9.7620,9.6905,9.7248,61300
1997-12-22,9.5103,9.7076,9.4931,9.5103,91600
1997-12-23,9.5000,9.5203,9.4276,9.5203,53400
1997-12-24,9.5377,9.6274,9.5377,9.6274,7400
1997-12-26,9.5927,9.6274,9.5927,9.6101,4500
1997-12-29,9.6448,9.7172,9.5927,9.6101,33500
1997-12-30,9.6824,9.7722,9.6651,9.7548,76700
1997-12-31,9.7548,9.7722,9.5724,9.5724,83900
1998-01-02,9.5927,9.6101,9.5550,9.6101,27900
1998-01-05,9.6824,9.7548,9.5377,9.7375,39700
1998-01-06,9.7548,9.7722,9.6824,9.7548,53400
1998-01-07,9.7375,9.7722,9.6998,9.7172,36400
1998-01-08,9.7548,9.7722,9.6998,9.7548,34600
1998-01-09,9.7548,9.7722,9.6448,9.6824,66700
1998-01-12,9.6274,9.6274,9.5000,9.5550,22300
1998-01-13,9.5000,9.5000,9.3929,9.4103,58400
1998-01-14,9.4827,9.5377,9.4479,9.5203,55000
1998-01-15,9.5377,9.6448,9.5377,9.6274,77200
1998-01-16,9.5927,10.0617,9.5927,9.9894,140900
1998-01-20,9.9170,9.9170,9.6998,9.7172,117100
1998-01-21,9.7722,9.9170,9.7375,9.8996,288200
1998-01-22,9.8822,10.1341,9.8822,10.0067,259100
1998-01-23,10.0270,10.1341,10.0067,10.1168,94800
1998-01-26,10.0791,10.3513,10.0791,10.1718,294700
1998-01-27,10.1718,10.3166,10.1718,10.2963,6032500
1998-01-28,10.2789,10.3513,10.2789,10.3166,1054100
1998-01-29,10.3339,10.4063,10.2963,10.3513,790500
1998-01-30,10.2963,10.3166,10.2239,10.2963,1075500
1998-02-02,10.2789,10.4063,10.2789,10.3889,582700
1998-02-03,10.3687,10.4411,10.3687,10.3889,596300
1998-02-04,10.3889,10.3889,10.2963,10.3339,283900
1998-02-05,10.3166,10.3889,10.2789,10.3687,241700
1998-02-06,10.3687,10.4063,10.3339,10.3513,266200
1998-02-09,10.3889,10.3889,10.2963,10.3339,234500
1998-02-10,10.3166,10.3339,10.2615,10.2963,532700
1998-02-11,10.2789,10.2789,10.2065,10.2615,572400
1998-02-12,10.2442,10.2442,10.1718,10.2239,272100
1998-02-13,10.2065,10.2239,10.1718,10.1892,330000
1998-02-17,10.1718,10.2065,10.1341,10.1718,216100
1998-02-18,10.1892,10.1892,10.0994,10.1341,360500
1998-02-19,10.1515,10.1718,10.0994,10.1341,362700
1998-02-20,10.0994,10.1341,10.0617,10.0994,190500
1998-02-23,10.0994,10.1341,9.9894,10.0994,140700
1998-02-24,10.0994,10.1341,10.0270,10.1341,215400
1998-02-25,10.1341,10.1515,9.9894,10.0617,326400
1998-02-26,10.0270,10.0791,9.8098,9.8822,372500
1998-02-27,9.9170,9.9170,9.8446,9.8446,95000
1998-03-02,9.8446,9.8620,9.6448,9.7375,589800
1998-03-03,9.6651,9.6651,9.4827,9.5927,644800
