Date,Open,High,Low,Close,Volume
1984-09-07,0.7175,0.7221,0.7059,0.7151,221400
1984-09-10,0.7151,0.7243,0.7059,0.7129,189797
1984-09-11,0.7175,0.7290,0.7151,0.7290,645206
1984-09-12,0.7290,0.7290,0.7197,0.7267,1055606
1984-09-13,0.7267,0.7267,0.7151,0.7197,310406
1984-09-14,0.7197,0.7290,0.7151,0.7197,445406
1984-09-17,0.7197,0.7197,0.7013,0.7037,334800
1984-09-18,0.7037,0.7059,0.6944,0.6944,186206
1984-09-19,0.6944,0.6991,0.6920,0.6944,334800
1984-09-20,0.6944,0.6944,0.6920,0.6920,118800
1984-09-21,0.6920,0.7105,0.6920,0.7105,901800
1984-09-24,0.7105,0.7151,0.7105,0.7105,264600
1984-09-25,0.7105,0.7151,0.7105,0.7151,36005
1984-09-26,0.7151,0.7197,0.7083,0.7083,234806
1984-09-27,0.7129,0.7197,0.7129,0.7175,138605
1984-09-28,0.7243,0.7267,0.7221,0.7243,265397
1984-10-01,0.7243,0.7290,0.7175,0.7175,259200
1984-10-02,0.7175,0.7243,0.7129,0.7129,391406
1984-10-03,0.7129,0.7175,0.7083,0.7105,567000
1984-10-04,0.7105,0.7175,0.7037,0.7129,553406
1984-10-05,0.7129,0.7129,0.7037,0.7105,22397
1984-10-08,0.7037,0.7037,0.6898,0.6898,621797
1984-10-09,0.6898,0.6898,0.6874,0.6898,183600
1984-10-10,0.6898,0.6991,0.6898,0.6991,140400
1984-10-11,0.7037,0.7175,0.7037,0.7175,394200
1984-10-12,0.7243,0.7428,0.7243,0.7336,778397
1984-10-15,0.7336,0.7406,0.7290,0.7314,364406
1984-10-16,0.7314,0.7360,0.7290,0.7336,87197
1984-10-17,0.7336,0.7360,0.7290,0.7314,83606
1984-10-18,0.7360,0.7428,0.7360,0.7428,380606
1984-10-19,0.7474,0.7590,0.7474,0.7498,388800
1984-10-22,0.7474,0.7474,0.7406,0.7428,124997
1984-10-23,0.7428,0.7544,0.7406,0.7406,95405
1984-10-24,0.7406,0.7428,0.7336,0.7406,162797
1984-10-25,0.7406,0.7544,0.7406,0.7544,100805
1984-10-26,0.7428,0.7428,0.7336,0.7406,367200
1984-10-29,0.7406,0.7428,0.7406,0.7406,138605
1984-10-30,0.7406,0.7406,0.7290,0.7290,205200
1984-10-31,0.7290,0.7336,0.7290,0.7336,170006
1984-11-01,0.7336,0.7590,0.7336,0.7590,281597
1984-11-02,0.7590,0.7590,0.7498,0.7498,124200
1984-11-05,0.7498,0.7590,0.7474,0.7474,65597
1984-11-06,0.7474,0.7590,0.7474,0.7544,117005
1984-11-07,0.7544,0.7659,0.7428,0.7659,216000
1984-11-08,0.7659,0.7659,0.7544,0.7612,154805
1984-11-09,0.7612,0.7612,0.7520,0.7520,95405
1984-11-12,0.7520,0.7590,0.7474,0.7474,97200
1984-11-13,0.7474,0.7474,0.7428,0.7428,45806
1984-11-14,0.7428,0.7428,0.7406,0.7406,67406
1984-11-15,0.7406,0.7406,0.7314,0.7336,65597
1984-11-16,0.7336,0.7360,0.7290,0.7360,102600
1984-11-19,0.7360,0.7360,0.7314,0.7314,91800
1984-11-20,0.7314,0.7336,0.7290,0.7314,46805
1984-11-21,0.7290,0.7290,0.7129,0.7175,110606
1984-11-23,0.7175,0.7175,0.7129,0.7175,22397
1984-11-26,0.7175,0.7175,0.7083,0.7083,378000
1984-11-27,0.7083,0.7083,0.6991,0.7037,213206
1984-11-28,0.7105,0.7105,0.7105,0.7105,245606
1984-11-29,0.7105,0.7175,0.7105,0.7105,249197
1984-11-30,0.7037,0.7037,0.6967,0.6991,213206
1984-12-03,0.6991,0.7037,0.6991,0.6991,198005
1984-12-04,1.0486,1.0555,1.0173,1.0311,238131
1984-12-05,1.0311,1.0486,1.0311,1.0450,392400
1984-12-06,1.0450,1.0450,1.0381,1.0450,72801
1984-12-07,1.0450,1.0693,1.0450,1.0555,189000
1984-12-10,1.0555,1.1003,1.0555,1.0934,90000
1984-12-11,1.1003,1.1142,1.1003,1.1039,175401
1984-12-12,1.1109,1.1142,1.1109,1.1109,292401
1984-12-13,1.1142,1.1247,1.1142,1.1211,1101600
1984-12-14,1.1211,1.1211,1.1003,1.1142,288801
1984-12-17,1.1142,1.1247,1.1039,1.1211,68400
1984-12-18,1.1142,1.1142,1.1039,1.1142,341001
1984-12-19,1.1109,1.1109,1.0865,1.0934,176400
1984-12-20,1.0934,1.1003,1.0865,1.0865,468000
1984-12-21,1.0865,1.1109,1.0865,1.0865,165600
1984-12-24,1.0934,1.1039,1.0934,1.1039,62001
1984-12-26,1.1039,1.1142,1.1039,1.1142,52200
1984-12-27,1.1142,1.1316,1.1039,1.1247,306000
1984-12-28,1.1247,1.1247,1.1142,1.1142,186201
1984-12-31,1.1142,1.1419,1.1109,1.1386,405000
1985-01-02,1.1488,1.1696,1.1488,1.1626,260001
1985-01-03,1.1488,1.1488,1.1109,1.1109,580401
1985-01-04,1.1109,1.1211,1.0865,1.0865,137601
1985-01-07,1.0865,1.1039,1.0763,1.1003,144000
1985-01-08,1.1003,1.1142,1.1003,1.1003,86400
1985-01-09,1.1003,1.1109,1.0865,1.0934,302400
1985-01-10,1.0934,1.1039,1.0934,1.1039,295200
1985-01-11,1.1039,1.1039,1.0934,1.1003,391401
1985-01-14,1.1003,1.1247,1.1003,1.1247,270000
1985-01-15,1.1626,1.1972,1.1626,1.1972,883800
1985-01-16,1.1972,1.2249,1.1870,1.2249,1801800
1985-01-17,1.2249,1.2354,1.1972,1.2078,396801
1985-01-18,1.2078,1.2562,1.2078,1.2424,1048401
1985-01-21,1.2424,1.2734,1.2424,1.2424,696600
1985-01-22,1.2424,1.2562,1.2424,1.2424,769401
1985-01-23,1.2424,1.2424,1.2249,1.2318,475200
1985-01-24,1.2318,1.2424,1.2180,1.2249,289800
1985-01-25,1.1972,1.1972,1.1626,1.1626,488601
1985-01-28,1.1626,1.1626,1.1488,1.1557,654201
1985-01-29,1.1557,1.2147,1.1488,1.1870,408600
1985-01-30,1.2147,1.2424,1.2147,1.2318,1259001
1985-01-31,1.2318,1.2424,1.2042,1.2354,499401
1985-02-01,1.2318,1.2318,1.2147,1.2249,302400
1985-02-04,1.2249,1.2424,1.2249,1.2354,450801
1985-02-05,1.2354,1.2424,1.2078,1.2147,300600
1985-02-06,1.2147,1.2318,1.2147,1.2249,213201
1985-02-07,1.2249,1.2318,1.2180,1.2318,635400
1985-02-08,1.2318,1.2354,1.2318,1.2354,243801
1985-02-11,1.2354,1.2424,1.1972,1.2042,210600
1985-02-12,1.2042,1.2042,1.1972,1.2042,60201
1985-02-13,1.2042,1.2147,1.1972,1.2042,64800
1985-02-14,1.2042,1.2147,1.1972,1.2078,376200
1985-02-15,1.2078,1.2180,1.2042,1.2042,233001
1985-02-19,1.2078,1.2249,1.2078,1.2147,118800
1985-02-20,1.2147,1.2354,1.2147,1.2147,315801
1985-02-21,1.2147,1.2318,1.2147,1.2249,222201
1985-02-22,1.2180,1.2180,1.2078,1.2147,81801
1985-02-25,1.2147,1.2147,1.2042,1.2042,49401
1985-02-26,1.2042,1.2424,1.2042,1.2354,173601
1985-02-27,1.2354,1.2424,1.2249,1.2424,303201
1985-02-28,1.2424,1.2424,1.2180,1.2424,200601
1985-03-01,1.2424,1.2424,1.2318,1.2424,330201
1985-03-04,1.2424,1.2424,1.2180,1.2180,76401
1985-03-05,1.2180,1.2249,1.2147,1.2180,137601
1985-03-06,1.2042,1.2042,1.1696,1.1801,294201
1985-03-07,1.1801,1.1801,1.1696,1.1696,84600
1985-03-08,1.1696,1.1801,1.1626,1.1626,542601
1985-03-11,1.1626,1.1696,1.1557,1.1626,105201
1985-03-12,1.1696,1.1801,1.1696,1.1696,52200
1985-03-13,1.1696,1.1870,1.1626,1.1696,91800
1985-03-14,1.1696,1.1870,1.1696,1.1870,200601
1985-03-15,1.1870,1.1870,1.1801,1.1801,318600
1985-03-18,1.1801,1.2147,1.1801,1.1870,534600
1985-03-19,1.1870,1.2147,1.1696,1.1870,561600
1985-03-20,1.1870,1.2147,1.1696,1.1870,889200
1985-03-21,1.1870,1.2180,1.1870,1.2180,507600
1985-03-22,1.2180,1.2424,1.2147,1.2424,591201
1985-03-25,1.2424,1.2424,1.2354,1.2424,253800
1985-03-26,1.2424,1.2424,1.2249,1.2354,152001
1985-03-27,1.2354,1.2424,1.2147,1.2147,297801
1985-03-28,1.2180,1.2424,1.2180,1.2318,60201
1985-03-29,1.2318,1.2424,1.2249,1.2354,866601
1985-04-01,1.2354,1.2424,1.2354,1.2424,154800
1985-04-02,1.2424,1.2734,1.2424,1.2562,411201
1985-04-03,1.2562,1.2631,1.2424,1.2631,924201
1985-04-04,1.2631,1.2631,1.2424,1.2562,206001
1985-04-08,1.2562,1.2631,1.2493,1.2631,268200
1985-04-09,1.2631,1.3495,1.2631,1.3356,496800
1985-04-10,1.3356,1.3356,1.3080,1.3185,313200
1985-04-11,1.3185,1.3462,1.3185,1.3356,423801
1985-04-12,1.3356,1.3495,1.3254,1.3495,192600
1985-04-15,1.3495,1.3564,1.3323,1.3323,200601
1985-04-16,1.3323,1.3462,1.3323,1.3356,67401
1985-04-17,1.3356,1.3462,1.3185,1.3185,119601
1985-04-18,1.3185,1.3323,1.3185,1.3254,126801
1985-04-19,1.3254,1.3356,1.3254,1.3323,156600
1985-04-22,1.3323,1.3323,1.3185,1.3185,22401
1985-04-23,1.3185,1.3254,1.3010,1.3080,91800
1985-04-24,1.3080,1.3080,1.2908,1.2908,213201
1985-04-25,1.2908,1.3010,1.2872,1.2872,65601
1985-04-26,1.2872,1.3080,1.2803,1.2977,337401
1985-04-29,1.2977,1.3080,1.2872,1.3080,149400
1985-04-30,1.3080,1.3080,1.2872,1.3080,152001
1985-05-01,1.3080,1.3185,1.2908,1.3010,718200
1985-05-02,1.3010,1.3010,1.2872,1.2872,449001
1985-05-03,1.2872,1.2908,1.2803,1.2803,100800
1985-05-06,1.2803,1.2872,1.2734,1.2734,60201
1985-05-07,1.2803,1.3254,1.2803,1.3254,329400
1985-05-08,1.3254,1.3254,1.3080,1.3185,279000
1985-05-09,1.3185,1.3185,1.2977,1.3010,19800
1985-05-10,1.3010,1.3010,1.2734,1.2803,434601
1985-05-13,1.2803,1.2977,1.2803,1.2803,319401
1985-05-14,1.2908,1.3185,1.2908,1.2977,49401
1985-05-15,1.2977,1.3185,1.2872,1.3010,110601
1985-05-16,1.3080,1.3356,1.3080,1.3323,252000
1985-05-17,1.3323,1.4015,1.3323,1.4015,729801
1985-05-20,1.3910,1.4118,1.3910,1.3910,321201
1985-05-21,1.3910,1.4118,1.3910,1.4118,222201
1985-05-22,1.4118,1.4256,1.4015,1.4118,268200
1985-05-23,1.4118,1.4256,1.4118,1.4256,110601
1985-05-24,1.4256,1.4292,1.4118,1.4118,92601
1985-05-28,1.4187,1.4292,1.4187,1.4292,70200
1985-05-29,1.4292,1.4292,1.4256,1.4256,76401
1985-05-30,1.4292,1.4500,1.4292,1.4500,144000
1985-05-31,1.4500,1.4741,1.4395,1.4707,395001
1985-06-03,1.4707,1.4741,1.4671,1.4741,389601
1985-06-04,1.4741,1.4879,1.4671,1.4741,504801
1985-06-05,1.4741,1.4846,1.4500,1.4602,419400
1985-06-06,1.4569,1.4569,1.4430,1.4569,125001
1985-06-07,1.4569,1.4741,1.4569,1.4707,530001
1985-06-10,1.4741,1.4879,1.4741,1.4846,198000
1985-06-11,1.4846,1.4948,1.4741,1.4879,284400
1985-06-12,1.4879,1.4879,1.4777,1.4777,410400
1985-06-13,1.4777,1.4846,1.4430,1.4500,165600
1985-06-14,1.4569,1.4707,1.4569,1.4707,64800
1985-06-17,1.4707,1.4707,1.4569,1.4707,62001
1985-06-18,1.4707,1.4741,1.4602,1.4671,83601
1985-06-19,1.4671,1.4741,1.4602,1.4671,557001
1985-06-20,1.4741,1.4777,1.4741,1.4777,491400
1985-06-21,1.4777,1.4846,1.4671,1.4846,472401
1985-06-24,1.4846,1.4879,1.4777,1.4846,133200
1985-06-25,1.4846,1.5330,1.4846,1.5192,280800
1985-06-26,1.5192,1.5363,1.5192,1.5330,208800
1985-06-27,1.5363,1.5884,1.5363,1.5640,494001
1985-06-28,1.5709,1.6125,1.5709,1.5986,681201
1985-07-01,1.0624,1.0901,1.0624,1.0865,631800
1985-07-02,1.0865,1.1003,1.0381,1.0483,2973600
1985-07-03,1.0417,1.0417,1.0071,1.0071,701001
1985-07-05,1.0071,1.0242,1.0071,1.0071,230400
1985-07-08,1.0071,1.0242,0.9896,1.0206,843201
1985-07-09,1.0206,1.0311,1.0104,1.0242,271800
1985-07-10,1.0242,1.0242,1.0137,1.0137,174600
1985-07-11,1.0137,1.0206,1.0137,1.0173,122400
1985-07-12,1.0173,1.0311,1.0137,1.0275,276201
1985-07-15,1.0275,1.0657,1.0242,1.0657,379800
1985-07-16,1.0657,1.0657,1.0311,1.0588,259200
1985-07-17,1.0588,1.0624,1.0450,1.0483,354600
1985-07-18,1.0483,1.0483,1.0311,1.0311,192600
1985-07-19,1.0311,1.0347,1.0206,1.0275,154800
1985-07-22,1.0206,1.0206,1.0035,1.0137,244800
1985-07-23,1.0137,1.0347,1.0137,1.0347,329400
1985-07-24,1.0347,1.0381,1.0275,1.0311,250200
1985-07-25,1.0242,1.0242,1.0104,1.0173,535401
1985-07-26,1.0173,1.0206,1.0104,1.0173,94401
1985-07-29,1.0173,1.0173,0.9896,0.9965,153000
1985-07-30,0.9965,0.9965,0.9689,0.9827,159201
1985-07-31,0.9827,1.0035,0.9794,1.0035,145800
1985-08-01,1.0035,1.0173,0.9965,1.0104,185400
1985-08-02,1.0104,1.0173,1.0071,1.0137,48600
1985-08-05,1.0137,1.0173,1.0035,1.0071,154800
1985-08-06,1.0071,1.0137,0.9860,0.9860,204201
1985-08-07,0.9860,0.9896,0.9827,0.9860,290601
1985-08-08,0.9860,1.0001,0.9860,1.0001,49401
1985-08-09,0.9965,0.9965,0.9896,0.9896,156600
1985-08-12,0.9896,1.0001,0.9896,0.9929,46800
1985-08-13,0.9929,0.9965,0.9794,0.9860,47601
1985-08-14,0.9929,1.0206,0.9929,1.0137,324801
1985-08-15,1.0206,1.0347,1.0206,1.0347,290601
1985-08-16,1.0347,1.0347,1.0275,1.0311,59400
1985-08-19,1.0311,1.0588,1.0206,1.0588,212400
1985-08-20,1.0588,1.0588,1.0519,1.0552,311400
1985-08-21,1.0552,1.0657,1.0519,1.0657,174600
1985-08-22,1.0657,1.0657,1.0311,1.0381,303201
1985-08-23,1.0381,1.0381,1.0206,1.0381,205200
1985-08-26,1.0347,1.0347,1.0311,1.0347,71001
1985-08-27,1.0347,1.0347,1.0242,1.0347,44001
1985-08-28,1.0347,1.0417,1.0242,1.0381,73800
1985-08-29,1.0381,1.0519,1.0381,1.0450,130401
1985-08-30,1.0450,1.0657,1.0417,1.0552,175401
1985-09-03,1.0552,1.0588,1.0381,1.0519,101601
1985-09-04,1.0519,1.0588,1.0450,1.0450,51201
1985-09-05,1.0483,1.0588,1.0483,1.0588,518400
1985-09-06,1.0588,1.0727,1.0519,1.0727,190800
1985-09-09,1.0727,1.0760,1.0588,1.0693,117801
1985-09-10,1.0693,1.0693,1.0417,1.0483,106200
1985-09-11,1.0417,1.0417,1.0104,1.0173,407601
1985-09-12,1.0173,1.0450,1.0035,1.0450,232200
1985-09-13,1.0450,1.0588,1.0450,1.0552,107001
1985-09-16,1.0552,1.0588,1.0483,1.0519,109800
1985-09-17,1.0519,1.0552,1.0381,1.0450,243000
1985-09-18,1.0450,1.0450,1.0206,1.0242,200601
1985-09-19,1.0242,1.0242,0.9860,0.9860,290601
1985-09-20,0.9860,0.9965,0.9827,0.9827,558801
1985-09-23,0.9827,0.9965,0.9827,0.9827,219600
1985-09-24,0.9827,0.9896,0.9725,0.9794,535401
1985-09-25,0.9794,0.9896,0.9689,0.9794,114201
1985-09-26,0.9758,0.9758,0.9412,0.9481,237600
1985-09-30,0.9619,1.0001,0.9619,1.0001,698400
1985-10-01,1.0001,1.0242,0.9965,1.0173,180000
1985-10-02,1.0173,1.0242,0.9896,0.9896,359001
1985-10-03,0.9827,0.9827,0.9619,0.9689,254601
1985-10-04,0.9689,0.9758,0.9481,0.9550,347400
1985-10-07,0.9550,0.9689,0.9514,0.9689,237600
1985-10-08,0.9689,0.9794,0.9655,0.9655,244800
1985-10-09,0.9689,1.0311,0.9689,1.0242,1105200
1985-10-10,1.0242,1.0347,1.0206,1.0275,191601
1985-10-11,1.0275,1.0552,1.0275,1.0519,287001
1985-10-14,1.0519,1.0519,1.0381,1.0450,51201
1985-10-15,1.0450,1.0450,1.0206,1.0242,203400
1985-10-16,1.0347,1.0483,1.0347,1.0483,110601
1985-10-17,1.0483,1.0483,1.0311,1.0347,137601
1985-10-18,1.0347,1.0450,1.0311,1.0450,80001
1985-10-21,1.0450,1.0450,1.0311,1.0450,135801
1985-10-22,1.0450,1.0450,1.0347,1.0417,156600
1985-10-23,1.0417,1.0450,1.0381,1.0417,117000
1985-10-24,1.0450,1.0519,1.0450,1.0450,88200
1985-10-25,1.0450,1.0483,1.0173,1.0206,141201
1985-10-28,1.0206,1.0206,1.0071,1.0104,164601
1985-10-29,1.0104,1.0206,1.0104,1.0206,88200
1985-10-30,1.0206,1.0242,1.0137,1.0242,109800
1985-10-31,1.0242,1.0381,1.0206,1.0381,79200
1985-11-01,1.0381,1.0450,1.0173,1.0275,171000
1985-11-04,1.0206,1.0206,1.0104,1.0137,378801
1985-11-05,1.0137,1.0311,1.0137,1.0275,114201
1985-11-06,1.0275,1.0417,1.0242,1.0347,305001
1985-11-07,1.0347,1.0417,1.0311,1.0347,177201
1985-11-08,1.0347,1.0450,1.0311,1.0417,290601
1985-11-11,1.0417,1.0829,1.0417,1.0829,309600
