Date,Open,High,Low,Close,Volume
1987-12-31,0.5160,0.5303,0.5094,0.5303,66297
1988-01-04,0.5303,0.5303,0.5303,0.5303,23796
1988-01-05,0.5369,0.5369,0.5369,0.5369,109498
1988-01-06,0.5369,0.5644,0.5231,0.5644,67500
1988-01-07,0.5644,0.5782,0.5507,0.5782,55898
1988-01-08,0.5920,0.6124,0.5920,0.5920,93299
1988-01-11,0.5920,0.6261,0.5920,0.6261,164696
1988-01-12,0.6261,0.6261,0.6261,0.6261,898
1988-01-13,0.6124,0.6124,0.6124,0.6124,14403
1988-01-14,0.6124,0.6124,0.5920,0.6124,32399
1988-01-15,0.6124,0.6261,0.5991,0.6261,30298
1988-01-18,0.6261,0.6261,0.6124,0.6124,8199
1988-01-19,0.6124,0.6124,0.5920,0.6124,12697
1988-01-20,0.5920,0.5920,0.5920,0.5920,69700
1988-01-21,0.5920,0.5920,0.5920,0.5920,60002
1988-01-22,0.5920,0.5991,0.5920,0.5991,15697
1988-01-25,0.5991,0.5991,0.5991,0.5991,99
1988-01-26,0.5991,0.6124,0.5782,0.6124,12697
1988-01-27,0.6124,0.6124,0.5782,0.6124,42402
1988-01-28,0.6124,0.6124,0.6124,0.6124,8998
1988-01-29,0.6124,0.6404,0.6124,0.6404,74199
1988-02-01,0.6608,0.7296,0.6608,0.7021,305999
1988-02-02,0.7021,0.7021,0.6608,0.7021,30298
1988-02-03,0.7021,0.7021,0.6608,0.6608,17097
1988-02-04,0.6608,0.6883,0.6542,0.6883,47403
1988-02-05,0.6746,0.6746,0.6404,0.6404,39699
1988-02-08,0.6404,0.6608,0.6261,0.6261,92697
1988-02-09,0.6261,0.6608,0.6261,0.6261,8998
1988-02-10,0.6404,0.6608,0.6404,0.6404,33898
1988-02-11,0.6470,0.6608,0.6470,0.6608,12697
1988-02-12,0.6608,0.6608,0.6404,0.6608,59400
1988-02-16,0.6608,0.6608,0.6404,0.6608,50798
1988-02-17,0.6608,0.6608,0.6404,0.6608,81903
1988-02-18,0.6608,0.6608,0.6404,0.6608,39699
1988-02-19,0.6608,0.6746,0.6404,0.6746,78401
1988-02-22,0.6746,0.6746,0.6542,0.6542,2703
1988-02-23,0.6542,0.6883,0.6542,0.6542,17699
1988-02-24,0.6608,0.7159,0.6608,0.7021,149996
1988-02-25,0.7021,0.7159,0.6883,0.7159,42402
1988-02-26,0.7159,0.7159,0.6883,0.7159,314099
1988-02-29,0.7159,0.7159,0.6883,0.7159,40498
1988-03-01,0.7296,0.7506,0.7296,0.7296,317403
1988-03-02,0.7296,0.7296,0.7296,0.7296,898
1988-03-03,0.7296,0.7506,0.7296,0.7296,563796
1988-03-04,0.7296,0.7363,0.7296,0.7296,15697
1988-03-07,0.7159,0.7159,0.7159,0.7159,10300
1988-03-08,0.7296,0.7363,0.7296,0.7296,113503
