Date,Open,High,Low,Close,Volume
2020-04-03,13.3742,16.5353,13.0143,16.4575,66927998
2020-04-06,16.5937,16.6812,14.4441,15.0180,37134054
2020-04-07,14.7845,15.3681,14.1523,14.8332,23484053
2020-04-08,14.1037,14.8332,13.3547,13.8702,49372245
2020-04-09,13.6173,15.0763,13.5201,14.3760,34923923
2020-04-13,14.1037,14.1037,13.5979,13.6076,21496433
2020-04-14,13.6173,13.8119,13.4034,13.4909,22348627
2020-04-15,13.1602,13.2818,12.5863,12.9948,14988852
2020-04-16,12.7906,12.8878,11.9249,12.5377,21687002
2020-04-17,12.9365,13.4520,12.5766,13.3645,21332013
2020-04-20,13.1310,14.3371,13.1067,14.0550,20020359
2020-04-21,13.8313,14.8332,13.7924,14.2885,16233901
2020-04-22,14.5414,14.7456,13.8313,14.3858,12539535
2020-04-23,14.2982,15.4849,14.2107,15.2903,12222199
2020-04-24,15.1736,16.2144,14.8722,15.8058,17389952
2020-04-27,15.7280,16.3505,15.5384,16.3408,12185807
2020-04-28,16.4186,17.2648,16.1560,16.5353,12978732
2020-04-29,16.9828,17.5858,16.7007,17.1579,12519805
2020-04-30,16.7493,17.3524,16.5208,17.2259,19091336
2020-05-01,16.8563,16.8758,16.1657,16.3116,10726038
2020-05-04,15.7086,16.0685,15.2612,15.9517,9700273
2020-05-05,16.2241,16.3019,15.4074,15.5335,16295857
2020-05-06,15.5627,15.9226,15.0083,15.8448,10645404
2020-05-07,15.7669,16.5743,15.4460,15.9615,12454069
2020-05-08,16.5743,17.8971,16.4721,17.8582,18117278
2020-05-11,17.9263,18.2375,17.5275,17.8485,9573862
2020-05-12,17.8874,17.8969,17.2065,17.3135,7741942
2020-05-13,16.7396,16.9601,15.6599,15.9907,10676260
2020-05-14,15.5821,16.2581,15.2903,16.0976,7796502
2020-05-15,15.8545,16.5013,15.5627,16.2533,7353832
2020-05-18,16.8271,17.2357,16.8174,17.0703,6134778
2020-05-19,16.9633,17.4302,16.6812,17.2843,8335540
2020-05-20,17.6636,18.5293,17.5469,18.2181,11909367
2020-05-21,18.0333,18.9865,17.9944,18.9184,9711485
2020-05-22,18.9378,19.3172,18.4321,18.5293,5937079
2020-05-26,19.0740,20.0370,18.8114,18.9767,7305411
2020-05-27,19.0351,19.5798,18.8989,19.4436,8969660
2020-05-28,19.5312,19.9008,18.9719,19.0643,8509161
2020-05-29,18.4418,20.4066,18.3640,19.9105,32990569
2020-06-01,19.9883,21.3501,19.9883,21.2236,7693402
2020-06-02,21.0972,21.2324,20.3336,20.7762,8293330
2020-06-03,20.8832,21.9628,20.7956,21.6127,9634145
2020-06-04,21.4279,22.4881,21.4279,22.0601,6651060
2020-06-05,22.8966,23.7331,22.7410,22.9160,7843045
2020-06-08,22.9841,23.7136,22.6729,23.7039,8569789
2020-06-09,23.0911,23.3051,22.5756,22.5756,6849162
2020-06-10,21.7002,22.5173,21.4376,21.5932,10252333
2020-06-11,19.6090,21.2042,19.4534,20.4844,6832257
2020-06-12,21.3987,21.7002,20.4455,20.9513,5212757
2020-06-15,20.1537,21.9239,20.0661,21.3695,7735648
2020-06-16,22.3324,22.3519,21.3257,21.4668,7287852
2020-06-17,21.5640,21.7291,20.5038,20.6789,5737068
2020-06-18,20.4260,21.2914,20.4260,20.6692,3615365
2020-06-19,21.1652,21.2528,20.4260,20.8637,14450541
2020-06-22,20.9318,22.2011,20.7275,22.1185,5990058
2020-06-23,22.4881,22.6048,21.7099,21.7780,5961362
2020-06-24,21.4960,22.0406,20.8637,21.2236,6822936
2020-06-25,21.1072,21.3513,20.5361,21.0096,6139536
2020-06-26,21.0096,21.2244,20.1026,20.4727,21346156
2020-06-29,20.5801,21.9371,20.5020,21.5954,8085997
2020-06-30,21.2927,21.8785,20.9022,21.6930,7082529
2020-07-01,21.7906,22.4643,21.3513,22.0738,9183348
2020-07-02,22.4448,22.6693,22.0347,22.3667,5667432
2020-07-06,22.5814,23.7139,22.5814,23.6358,7141652
2020-07-07,23.1965,23.6065,23.1613,23.4406,4670269
2020-07-08,23.3136,23.5187,22.9036,23.4210,4691612
2020-07-09,23.4308,23.6456,23.1965,23.3429,5470327
2020-07-10,23.2746,25.4419,23.1574,24.2997,12253241
2020-07-13,24.5438,24.6121,22.7084,23.7042,8560844
2020-07-14,23.7237,24.5634,23.6553,24.5535,7429040
2020-07-15,24.9733,25.9399,24.9344,25.8227,5796365
2020-07-16,25.5005,26.3499,25.3053,25.9789,4863355
2020-07-17,26.2523,26.2620,25.7055,25.8520,3187141
2020-07-20,25.5982,25.9106,25.4468,25.7836,2442876
2020-07-21,25.6665,26.1644,25.5396,25.9399,4952710
2020-07-22,25.7153,26.4182,25.6958,25.9691,3503891
2020-07-23,26.0277,26.9747,25.8910,26.7014,6245032
2020-07-24,26.6037,26.6135,25.9106,25.9496,8278561
