Date,Open,High,Low,Close,Volume
1993-03-26,4.4688,4.5469,4.4493,4.4883,5826000
1993-03-29,4.4493,4.4883,4.4103,4.4298,2249400
1993-03-30,4.4103,4.4298,4.3712,4.4298,2520900
1993-03-31,4.4103,4.5469,4.4103,4.5274,2130900
1993-04-01,4.5078,4.5274,4.4688,4.4688,1686300
1993-04-02,4.4688,4.4688,4.4493,4.4493,1596000
1993-04-05,4.4298,4.4298,4.3908,4.3908,1044300
1993-04-06,4.4103,4.4493,4.4103,4.4493,458100
1993-04-07,4.4493,4.6249,4.4493,4.5469,632100
1993-04-08,4.5274,4.5664,4.5078,4.5078,1555500
1993-04-12,4.5078,4.5274,4.4493,4.4688,980100
1993-04-13,4.4493,4.4883,4.4493,4.4883,4521000
1993-04-14,4.4883,4.5078,4.4688,4.4688,385200
1993-04-15,4.4883,4.5469,4.4688,4.5274,479100
1993-04-16,4.5274,4.5664,4.5274,4.5469,317400
1993-04-19,4.5078,4.5469,4.4883,4.5274,189900
1993-04-20,4.5274,4.5274,4.4103,4.4103,1680000
1993-04-21,4.4103,4.4298,4.4103,4.4298,440400
1993-04-22,4.4103,4.4298,4.3908,4.4103,390900
1993-04-23,4.4298,4.4298,4.3712,4.4298,700800
1993-04-26,4.4103,4.4103,4.2932,4.2932,1038300
1993-04-27,4.2932,4.3127,4.2932,4.3127,604200
1993-04-28,4.3127,4.3127,4.2932,4.2932,815700
1993-04-29,4.3127,4.3322,4.2932,4.2932,477600
1993-04-30,4.3127,4.4688,4.3127,4.4688,1086600
1993-05-03,4.4493,4.5274,4.4493,4.5274,654600
1993-05-04,4.6444,4.6835,4.6249,4.6444,1054200
1993-05-05,4.8006,4.9567,4.7810,4.9567,1123500
1993-05-06,4.9957,4.9957,4.8396,4.8591,699600
1993-05-07,4.8201,4.8786,4.8201,4.8396,197400
1993-05-10,4.8396,4.8591,4.7615,4.8396,288900
1993-05-11,4.8201,4.8591,4.8201,4.8591,396000
1993-05-12,4.8396,4.8591,4.8201,4.8591,428400
1993-05-13,4.8396,4.8396,4.7030,4.7030,135300
1993-05-14,4.6835,4.7225,4.6835,4.7030,402600
1993-05-17,4.7030,4.7030,4.6249,4.6640,121800
1993-05-18,4.6640,4.6640,4.6444,4.6640,91200
1993-05-19,4.6249,4.7810,4.6249,4.7615,201600
1993-05-20,4.7810,4.7810,4.6835,4.7225,138900
1993-05-21,4.7420,4.7420,4.7030,4.7030,244500
1993-05-24,4.7030,4.7225,4.6835,4.7030,162600
1993-05-25,4.6444,4.6835,4.6249,4.6249,30300
1993-05-26,4.6444,4.6444,4.4883,4.5274,139500
1993-05-27,4.5664,4.6054,4.5078,4.5078,398400
1993-05-28,4.5274,4.5274,4.4493,4.4688,262800
1993-06-01,4.4688,4.5078,4.4298,4.4493,204000
1993-06-02,4.4493,4.4883,4.4103,4.4103,305700
1993-06-03,4.4103,4.4103,4.3712,4.3712,487800
1993-06-04,4.3712,4.4103,4.3322,4.3322,240300
1993-06-07,4.2932,4.3322,4.2151,4.2151,318600
1993-06-08,4.1761,4.1761,4.1176,4.1176,428700
1993-06-09,4.1176,4.1566,4.0785,4.1371,1035300
1993-06-10,4.1176,4.1371,4.0785,4.1176,211200
1993-06-11,4.0590,4.0980,4.0395,4.0590,1272600
1993-06-14,4.0590,4.0980,4.0590,4.0785,33300
1993-06-15,4.0980,4.1371,3.9810,4.0395,552600
1993-06-16,4.0395,4.0590,4.0200,4.0200,379500
1993-06-17,4.0395,4.0590,4.0200,4.0200,489900
1993-06-18,4.0590,4.0980,4.0395,4.0590,551700
1993-06-21,4.0785,4.1761,4.0200,4.1761,480300
1993-06-22,4.2737,4.3322,4.2542,4.2737,938700
1993-06-23,4.2542,4.3322,4.2542,4.2932,346200
1993-06-24,4.3395,4.3790,4.3198,4.3790,459300
1993-06-25,4.4184,4.5368,4.4184,4.5171,234900
1993-06-28,4.5368,4.5763,4.5368,4.5368,41400
1993-06-29,4.5763,4.5763,4.5368,4.5763,312000
1993-06-30,4.5763,4.6946,4.5763,4.6946,32700
1993-07-01,4.6946,4.7341,4.6552,4.6552,377700
1993-07-02,4.6552,4.6552,4.6157,4.6552,45000
1993-07-06,4.6157,4.6157,4.5960,4.5960,157800
1993-07-07,4.5763,4.5763,4.4974,4.4974,438000
1993-07-08,4.5171,4.5171,4.4974,4.5171,189900
1993-07-09,4.5171,4.5763,4.5171,4.5763,200400
1993-07-12,4.5763,4.6552,4.5763,4.6552,108000
1993-07-13,4.6354,4.6749,4.6354,4.6749,166500
1993-07-14,4.6552,4.6552,4.6157,4.6157,1323300
1993-07-15,4.6157,4.6552,4.6157,4.6552,41100
1993-07-16,4.6354,4.6552,4.6157,4.6157,75300
1993-07-19,4.6552,4.6552,4.6157,4.6157,64200
1993-07-20,4.6157,4.6354,4.5960,4.6157,89700
1993-07-21,4.5565,4.5763,4.5368,4.5368,61800
1993-07-22,4.5368,4.5565,4.4776,4.4776,27600
1993-07-23,4.4579,4.4974,4.4579,4.4579,48600
1993-07-26,4.4579,4.4974,4.4184,4.4974,60600
1993-07-27,4.4579,4.5368,4.4382,4.4382,52800
1993-07-28,4.3987,4.4579,4.3987,4.4579,75300
1993-07-29,4.4974,4.4974,4.4382,4.4776,48900
1993-07-30,4.4579,4.4579,4.4382,4.4382,3300
1993-08-02,4.4382,4.4776,4.4184,4.4184,113400
1993-08-03,4.4382,4.5171,4.4382,4.4974,67500
1993-08-04,4.4974,4.5565,4.4776,4.5565,123300
1993-08-05,4.5763,4.6157,4.5763,4.6157,21600
1993-08-06,4.6552,4.8327,4.6552,4.8130,221100
1993-08-09,4.8919,5.1483,4.8721,5.1483,508200
1993-08-10,5.1483,5.2075,5.0891,5.0891,232800
1993-08-11,5.1088,5.1088,5.0694,5.1088,213600
1993-08-12,5.1286,5.1483,5.0891,5.1088,153600
1993-08-13,5.0891,5.1088,5.0891,5.1088,279000
1993-08-16,5.1088,5.1877,5.1088,5.1286,370500
1993-08-17,5.1483,5.1680,5.1286,5.1483,689700
1993-08-18,5.1088,5.2864,5.1088,5.2864,408300
1993-08-19,5.3258,5.5822,5.3258,5.5822,197100
1993-08-20,5.5625,5.6809,5.5428,5.6809,353700
1993-08-23,5.6809,5.6809,5.5231,5.5231,379200
1993-08-24,5.4836,5.4836,5.3061,5.3653,1358400
1993-08-25,5.3850,5.4442,5.3653,5.4244,549600
1993-08-26,5.4047,5.4442,5.4047,5.4244,600300
1993-08-27,5.4244,5.4244,5.3850,5.3850,103200
1993-08-30,5.3850,5.4639,5.3850,5.4639,188700
1993-08-31,5.4639,5.5033,5.4639,5.4836,68400
1993-09-01,5.4836,5.5033,5.4442,5.5033,149400
1993-09-02,5.5033,5.5231,5.4639,5.4836,280800
1993-09-03,5.4442,5.4836,5.4442,5.4639,120900
1993-09-07,5.4639,5.4639,5.4442,5.4639,172500
1993-09-08,5.4244,5.4836,5.4244,5.4244,20400
1993-09-09,5.3850,5.4047,5.3653,5.3850,540600
1993-09-10,5.3653,5.3653,5.3455,5.3455,19800
1993-09-13,5.3653,5.3653,5.2864,5.3258,53700
1993-09-14,5.3061,5.3258,5.2864,5.2864,54300
1993-09-15,5.2864,5.3455,5.2864,5.3258,247200
1993-09-16,5.3455,5.3455,5.3061,5.3061,218700
1993-09-17,5.2864,5.3258,5.2864,5.2864,216000
1993-09-20,5.3258,5.3258,5.2864,5.2864,792900
1993-09-21,5.2666,5.2666,5.1286,5.1680,1635300
1993-09-22,5.2075,5.2469,5.1680,5.1877,1178100
1993-09-23,5.1680,5.2666,5.1680,5.2469,1326000
1993-09-24,5.2551,5.2750,5.1556,5.2153,283800
1993-09-27,5.2153,5.2750,5.2153,5.2750,161400
