Date,Open,High,Low,Close,Volume
1998-08-18,8.4934,8.6517,8.4934,8.5725,5783000
1998-08-19,8.5725,8.7374,8.5725,8.5725,388700
1998-08-20,8.6517,8.7374,8.5725,8.5725,348500
1998-08-21,8.5725,8.5725,8.5725,8.5725,804000
1998-08-24,8.5725,8.5725,8.5725,8.5725,119700
1998-08-25,8.5725,8.5725,8.4934,8.5725,294100
1998-08-26,8.5725,8.5725,7.9922,8.0780,383800
1998-08-27,8.0780,8.1637,7.0888,7.3328,435300
1998-08-28,7.5043,7.5043,6.5943,6.5943,192400
1998-08-31,6.5943,6.6800,5.0314,5.3611,150800
1998-09-01,5.4403,5.9348,4.4116,5.6051,440700
1998-09-02,5.6051,6.9240,5.6051,6.3041,509200
1998-09-03,6.4294,6.4294,5.6051,5.7700,165900
1998-09-04,5.9348,5.9348,5.3611,5.5260,155700
1998-09-08,5.9348,6.5943,5.7700,6.5151,149300
1998-09-09,6.5151,6.5943,6.2645,6.2645,116900
1998-09-10,6.1854,6.1854,5.9348,6.0997,80700
1998-09-11,6.1393,6.1854,5.9348,5.9348,84800
1998-09-14,6.0997,6.3503,5.9348,5.9348,90800
1998-09-15,6.0206,6.0997,5.6908,5.7700,200400
1998-09-16,5.7700,5.7700,5.1106,5.1963,221300
1998-09-17,5.1963,5.6908,5.1963,5.4600,87300
1998-09-18,5.5260,5.7304,5.1106,5.4403,147300
1998-09-21,5.1963,5.2754,4.5369,4.6160,472900
1998-09-22,4.7017,5.3611,4.6555,5.2754,728300
1998-09-23,5.4403,5.6908,5.2754,5.5260,382500
1998-09-24,5.6051,6.1854,5.6051,5.9744,280800
1998-09-25,5.7700,6.2250,5.7700,6.1854,44400
1998-09-28,6.2645,6.5151,6.1854,6.1854,26500
1998-09-29,6.2645,6.4294,6.0997,6.2843,88300
1998-09-30,6.2645,6.6338,6.1854,6.3503,172300
1998-10-01,6.3503,6.3503,5.8557,5.8557,85500
1998-10-02,5.8557,6.0997,5.8557,5.8557,58700
1998-10-05,5.7700,5.8557,5.2754,5.2754,63000
1998-10-06,5.9348,6.0206,5.2754,5.5260,129500
1998-10-07,5.5260,5.6908,5.1501,5.1501,340400
1998-10-08,5.1106,5.1501,3.9566,4.1610,346800
1998-10-09,4.6160,4.7017,4.0423,4.1214,271500
1998-10-12,4.2863,4.2863,3.9566,4.1214,660400
1998-10-13,4.1214,4.9457,4.1214,4.6160,228600
1998-10-14,4.5369,5.0314,4.5369,5.0314,46400
1998-10-15,4.9457,5.0314,4.8666,4.9853,44100
1998-10-16,5.1501,5.5260,4.9457,5.1963,421600
1998-10-19,5.3611,5.6447,5.2754,5.6447,50600
1998-10-20,5.6908,6.2645,5.6051,6.1854,354800
1998-10-21,6.2250,6.8448,6.2250,6.5943,156000
1998-10-22,6.6800,7.5834,6.5943,7.5438,134600
1998-10-23,7.6691,8.6583,7.5043,8.5725,411400
1998-10-26,8.5725,8.5725,8.3286,8.4077,125500
1998-10-27,8.4934,8.8231,8.1637,8.2033,417500
1998-10-28,8.1637,8.4077,8.0780,8.4077,53000
1998-10-29,8.3286,8.6121,7.7483,7.9131,280000
1998-10-30,7.9131,8.4934,7.8340,8.4934,198600
1998-11-02,8.5330,8.7770,8.3286,8.4934,105900
1998-11-03,8.4472,8.4934,8.3286,8.4077,24900
1998-11-04,8.4934,8.4934,8.0780,8.2428,105800
1998-11-05,8.2428,8.7374,8.1175,8.7374,81800
1998-11-06,8.7374,8.7770,8.4934,8.7374,55600
1998-11-09,8.4934,8.7770,8.4077,8.7374,84200
1998-11-10,8.7374,8.7770,8.4934,8.5725,22600
1998-11-11,8.4934,8.6583,8.3286,8.4077,22200
1998-11-12,8.4077,8.4077,8.0780,8.2428,23700
1998-11-13,8.2824,8.2824,6.9240,7.7878,96600
1998-11-16,7.7087,8.0780,7.4185,7.5834,70500
1998-11-17,7.7483,7.9131,7.3394,7.7483,188500
1998-11-18,7.5834,7.9131,7.5834,7.8735,22500
1998-11-19,7.9131,7.9131,7.0888,7.1746,41700
1998-11-20,7.2537,7.2537,6.5151,7.0097,148500
1998-11-23,7.0888,8.2428,7.0888,7.6691,151200
1998-11-24,7.5438,7.5438,7.3790,7.4581,33400
1998-11-25,7.5043,8.3286,7.3790,7.9131,66200
1998-11-27,7.8340,8.7374,7.8340,8.5330,203200
1998-11-30,8.7374,8.9880,8.4934,8.8627,265900
1998-12-01,8.7374,8.9023,8.3286,8.7770,73100
1998-12-02,8.6583,9.0671,8.5330,8.7770,142400
1998-12-03,8.9023,8.9880,8.7374,8.9880,100000
1998-12-04,9.4825,10.9597,9.1924,10.7948,377200
1998-12-07,10.8805,11.0454,10.2211,10.3464,193400
1998-12-08,10.4717,10.5113,9.8123,10.0167,140300
1998-12-09,9.7265,12.7731,9.7265,11.6191,412500
1998-12-10,11.7048,11.7839,10.9597,11.1707,200200
1998-12-11,10.8805,10.9597,9.9771,10.5113,227800
1998-12-14,10.5508,10.7157,10.0562,10.0562,84400
1998-12-15,10.6299,10.7948,9.8914,10.5310,276900
1998-12-16,10.5113,11.2102,10.3860,11.1245,226900
1998-12-17,11.2894,11.3751,11.0454,11.2498,222700
1998-12-18,11.3751,11.3751,11.1245,11.2102,47500
1998-12-21,11.2894,12.5291,11.1245,12.1994,145100
1998-12-22,12.4038,12.4038,11.7048,11.8103,652100
1998-12-23,12.1137,12.3642,11.7048,12.1994,340000
1998-12-24,12.1137,12.3642,11.7839,11.8697,27100
1998-12-28,11.9950,13.1885,11.7839,13.1885,139100
1998-12-29,13.2677,13.7622,12.1994,13.7622,103600
1998-12-30,13.5974,14.0128,13.3534,13.7622,28700
1998-12-31,13.8875,15.4965,13.7622,15.4965,96100
1999-01-04,15.1668,15.4965,13.1885,13.8875,199200
1999-01-05,13.5578,13.6435,13.0632,13.1490,116900
1999-01-06,13.1028,14.5074,13.1028,13.6831,160300
1999-01-07,13.8479,15.3317,13.3534,14.8371,211200
1999-01-08,15.3317,15.4965,14.7514,14.7777,94600
1999-01-11,14.8371,14.8371,14.3425,14.4216,37200
1999-01-12,14.5469,14.5469,13.3534,13.8479,79800
1999-01-13,13.0237,13.7622,12.6940,13.3534,113400
1999-01-14,13.5182,14.0128,13.3534,13.8084,212300
1999-01-15,13.5974,14.3425,13.5974,14.3425,42700
1999-01-19,14.3425,15.0811,13.9271,14.5865,178900
1999-01-20,14.6722,15.1272,14.6722,15.0019,104800
1999-01-21,14.7975,14.8371,14.1777,14.1777,128100
1999-01-22,13.9271,14.0128,13.1028,13.1885,72800
1999-01-25,13.1885,14.2568,12.8588,14.2568,70400
1999-01-26,14.4216,15.0019,13.8479,14.1777,123800
1999-01-27,14.3425,14.6722,13.6831,14.2172,15000
1999-01-28,14.2568,14.5074,13.8479,14.0919,31000
1999-01-29,14.2568,14.3425,14.0919,14.2568,51900
1999-02-01,14.2568,14.3425,14.0919,14.2172,73100
1999-02-02,14.2172,14.5074,14.2172,14.4216,13300
1999-02-03,14.6722,14.6722,14.1777,14.2568,9800
1999-02-04,14.0919,14.3425,14.0919,14.3425,28800
1999-02-05,14.3425,14.5074,14.0919,14.3425,25400
1999-02-08,14.4216,15.2459,14.0128,14.3425,193600
1999-02-09,14.1777,14.3425,13.8479,13.9271,23800
1999-02-10,13.9271,14.1777,13.6831,13.8479,5400
1999-02-11,14.0919,14.1777,12.8588,12.9841,96500
1999-02-12,12.9841,12.9841,11.9488,12.3642,85500
1999-02-16,12.7731,12.7731,11.8697,12.5291,78800
1999-02-17,12.6082,12.6082,11.5400,12.1137,28400
1999-02-18,12.1137,12.5687,11.8697,12.3642,32400
1999-02-19,12.3642,12.5291,12.2785,12.2785,122500
1999-02-22,12.6082,12.6082,12.4895,12.4895,97000
1999-02-23,12.6082,12.6082,12.3642,12.4434,13100
1999-02-24,12.4434,12.6082,12.4434,12.4895,190100
1999-02-25,12.4895,12.6082,12.2785,12.6082,17300
1999-02-26,12.5291,12.5291,11.2102,11.2102,173400
1999-03-01,11.2102,11.3751,10.9597,11.3751,31700
1999-03-02,11.2894,11.3751,11.2102,11.2894,131700
1999-03-03,11.2894,11.4147,11.2102,11.2894,117400
1999-03-04,11.3751,11.9488,11.2894,11.9488,247600
1999-03-05,12.1137,12.4038,12.0345,12.2785,66100
1999-03-08,12.4434,12.5291,12.1137,12.4434,378000
1999-03-09,13.8479,14.1777,12.6940,12.7731,535500
1999-03-10,12.8588,12.8588,11.8697,11.9488,158000
1999-03-11,11.8697,12.2389,11.7444,11.9092,508800
1999-03-12,11.8697,12.4434,11.7048,12.2389,235200
1999-03-15,12.1137,13.1490,12.1137,13.1490,231800
1999-03-16,13.1885,13.2281,12.7731,13.1885,57300
1999-03-17,13.1885,13.2281,12.5291,13.1292,56600
1999-03-18,12.8588,13.0237,12.3642,12.6940,390700
1999-03-19,12.7731,12.7731,12.3642,12.4434,44100
1999-03-22,12.6940,12.6940,12.3642,12.4895,122100
1999-03-23,12.4434,12.5687,12.0345,12.0345,361500
1999-03-24,12.1994,12.1994,11.9488,12.1137,2900
1999-03-25,12.1137,12.1994,11.8697,11.9488,197300
1999-03-26,11.8697,12.0345,11.8697,11.8697,24600
1999-03-29,11.8697,12.1994,11.8697,12.1137,516800
1999-03-30,12.1137,12.1994,11.7839,11.8697,129800
1999-03-31,11.7839,11.9092,11.5400,11.8697,311300
1999-04-01,11.9092,12.7995,11.8301,12.5291,47100
1999-04-05,12.5291,12.5291,11.8697,11.9488,26200
1999-04-06,11.9488,11.9488,11.5400,11.8301,75300
1999-04-07,12.1137,12.1137,11.7839,11.9290,139200
