Date,Open,High,Low,Close,Volume
2013-06-27,15.6673,16.6532,15.4364,16.3157,8285800
2013-06-28,16.3423,17.0262,16.3246,16.5377,717400
2013-07-01,16.5644,16.7864,16.2890,16.2890,394200
2013-07-02,16.2890,17.4463,16.2209,17.0706,223800
2013-07-03,16.8663,17.0573,16.5821,16.9463,103700
2013-07-05,16.6976,17.1950,16.4756,17.0706,111800
2013-07-08,16.9196,17.3016,16.7509,17.0795,110500
2013-07-09,16.9907,17.6923,16.9285,17.3193,206400
2013-07-10,17.2927,17.7190,16.9196,16.9640,334900
2013-07-11,16.9196,17.4525,16.9196,17.3904,108800
2013-07-12,17.0795,17.3548,17.0617,17.3282,114600
2013-07-15,17.1950,17.5414,17.0706,17.3726,177300
2013-07-16,16.9108,18.3407,16.9108,17.8522,239300
2013-07-17,17.7723,18.1808,17.5147,18.0920,139200
2013-07-18,18.2075,18.6471,17.8202,18.5006,162000
2013-07-19,18.6516,18.9994,18.4473,18.5095,631400
2013-07-22,18.2963,18.3851,17.9588,18.0654,492900
2013-07-23,18.0210,18.3762,17.7635,17.9588,41500
2013-07-24,17.9677,18.3762,17.8078,18.2697,43600
2013-07-25,18.0654,19.5220,17.7635,19.5220,232400
2013-07-26,19.6463,19.6641,18.6960,19.1756,141300
2013-07-29,19.0957,19.5397,18.7049,19.2733,85200
2013-07-30,19.2822,19.3621,18.4739,19.1845,94600
2013-07-31,19.3532,19.3532,18.8203,19.0957,52500
2013-08-01,19.0512,19.3612,18.7981,19.2378,181600
2013-08-02,19.2466,19.9838,18.8026,19.9217,224500
2013-08-05,19.9217,20.4279,19.7707,20.2414,104800
2013-08-06,20.2769,20.5167,20.0638,20.2592,419400
2013-08-07,20.2503,20.4190,20.1082,20.3835,82800
2013-08-08,20.4279,20.5167,20.2503,20.4901,74100
2013-08-09,20.2947,20.5345,20.2947,20.4723,67400
2013-08-12,20.2947,20.6055,20.2947,20.5700,116200
2013-08-13,20.5523,20.9164,20.2947,20.7832,102400
2013-08-14,20.6944,20.7832,20.5611,20.7477,72100
2013-08-15,20.7832,20.7832,20.2503,20.4279,280100
2013-08-16,20.4101,20.5078,20.2503,20.4723,82200
2013-08-19,20.4279,20.5523,20.1579,20.5078,196100
2013-08-20,20.4901,21.0940,20.3124,20.5256,138000
2013-08-21,20.4901,20.6944,20.2503,20.4546,89000
2013-08-22,20.4723,20.6899,20.2947,20.4368,52600
2013-08-23,20.3924,20.7032,20.3124,20.6677,38900
2013-08-26,20.6677,20.6677,20.3879,20.4101,126500
2013-08-27,20.3124,20.3480,19.5397,19.7351,280700
2013-08-28,19.7263,19.9305,19.4509,19.5220,78300
2013-08-29,19.4154,19.6641,18.8914,19.6108,171500
2013-08-30,19.5486,19.6818,19.4065,19.4776,110900
2013-09-03,19.6818,20.5789,19.3443,20.0105,94000
2013-09-04,19.9483,20.4368,19.5575,20.4368,117900
2013-09-05,20.3480,21.0940,20.2503,20.7121,84400
2013-09-06,20.7032,21.0940,20.4173,20.6411,103000
2013-09-09,20.6677,20.8898,20.1215,20.3924,123700
2013-09-10,20.4279,20.6411,20.0646,20.4546,125600
2013-09-11,20.3391,20.8898,19.9927,20.8009,124700
2013-09-12,20.7832,20.9075,20.4457,20.5078,672200
2013-09-13,20.4457,20.8898,20.3391,20.8720,213800
2013-09-16,21.0052,21.2894,20.6500,21.2006,187000
2013-09-17,21.1562,21.2983,20.5078,20.6322,315500
2013-09-18,20.4990,21.3072,20.3924,21.1278,273600
2013-09-19,20.9608,21.2273,20.5700,20.8365,336900
2013-09-20,20.7477,20.8986,20.1437,20.3302,1170900
2013-09-23,20.3391,21.2717,20.1970,21.1900,442400
2013-09-24,21.2006,21.6625,21.1829,21.5825,393900
2013-09-25,21.5825,21.6980,21.3161,21.4315,263200
2013-09-26,21.5470,21.7690,21.1651,21.3072,473400
2013-09-27,21.2806,21.6713,21.1296,21.2983,156900
2013-09-30,21.1562,21.3978,20.2325,20.2769,1433100
2013-10-01,20.1615,20.6055,20.0993,20.6055,118500
2013-10-02,20.5434,20.5611,19.7795,20.2325,177400
2013-10-03,20.1792,20.7121,20.1086,20.7121,91000
2013-10-04,20.7299,20.7521,20.5700,20.7388,110300
2013-10-07,20.5967,20.7121,20.4013,20.4723,56700
2013-10-08,20.4279,20.6855,20.2592,20.5345,127000
2013-10-09,20.5878,20.7203,19.9927,20.1437,64900
2013-10-10,20.2592,20.7077,20.1970,20.4723,108700
2013-10-11,20.4812,20.6677,20.3124,20.4190,71400
2013-10-14,20.3746,20.3835,20.0016,20.2325,91100
2013-10-15,20.2414,20.3480,19.9927,20.1171,77600
2013-10-16,20.1615,20.3480,19.8604,20.1348,74400
2013-10-17,20.0371,20.4901,19.6641,20.2325,100700
2013-10-18,20.2503,20.5611,20.0460,20.4190,94000
2013-10-21,20.4190,20.5434,19.9838,20.0371,40700
2013-10-22,20.0549,20.3480,19.5575,20.2503,46800
2013-10-23,20.1792,20.5167,19.2822,20.1792,126400
2013-10-24,20.1615,20.1615,18.8292,19.5486,237200
2013-10-25,19.5397,20.1171,19.0868,19.6730,163800
2013-10-28,19.7707,19.9572,19.3976,19.5841,121700
2013-10-29,19.6907,19.8595,19.3266,19.4953,68200
2013-10-30,19.4687,19.6996,18.7226,19.6286,170200
2013-10-31,19.5397,19.7529,18.9269,19.5309,150000
2013-11-01,20.4279,20.9253,19.4509,19.5841,304900
2013-11-04,19.3621,20.4634,19.2734,20.3746,216000
2013-11-05,20.2147,20.7388,20.0993,20.4279,173600
2013-11-06,20.4279,20.6500,20.2503,20.4190,113100
2013-11-07,20.3924,20.6411,20.0904,20.4101,301400
2013-11-08,20.3924,20.4812,20.0194,20.3835,554400
2013-11-11,19.8861,19.8861,19.1934,19.2911,172300
