Date,Open,High,Low,Close,Volume
2005-08-11,2.3085,2.3511,2.2730,2.3014,76671500
2005-08-12,2.3085,2.5571,2.3085,2.5472,29113500
2005-08-15,2.5216,2.5358,2.4520,2.4577,10596500
2005-08-16,2.4009,2.4577,2.4009,2.4364,5141000
2005-08-17,2.4364,2.4435,2.3867,2.3938,6423500
2005-08-18,2.4080,2.4122,2.3085,2.3227,12727000
2005-08-19,2.3426,2.3710,2.3085,2.3582,3029500
2005-08-22,2.3654,2.4179,2.3313,2.4151,2909500
2005-08-23,2.4861,2.5486,2.4577,2.4946,13466000
2005-08-24,2.4861,2.5216,2.4620,2.4861,3083000
2005-08-25,2.5145,2.5202,2.4719,2.4804,4667000
2005-08-26,2.4932,2.5017,2.4719,2.4818,2704000
2005-08-29,2.4009,2.4406,2.3923,2.4151,5458000
2005-08-30,2.4307,2.4705,2.4080,2.4193,2581000
2005-08-31,2.4236,2.4236,2.3597,2.3852,3004500
2005-09-01,2.3938,2.3938,2.2062,2.3085,12468500
2005-09-02,2.3313,2.3554,2.2744,2.2830,5748500
2005-09-06,2.3014,2.3369,2.2972,2.3298,2726500
2005-09-07,2.3313,2.3341,2.2759,2.3000,3643500
2005-09-08,2.3085,2.3469,2.3085,2.3185,2558500
2005-09-09,2.3511,2.3582,2.3327,2.3540,2468500
2005-09-12,2.3369,2.3469,2.2744,2.2858,3300500
2005-09-13,2.2901,2.2901,2.2304,2.2560,3798500
2005-09-14,2.2375,2.2545,2.2233,2.2332,2055500
2005-09-15,2.2375,2.2460,2.1352,2.1452,6004000
2005-09-16,2.1395,2.1792,2.0670,2.1764,9555000
2005-09-19,2.1665,2.2659,2.1579,2.2020,5559000
2005-09-20,2.2020,2.2773,2.1949,2.2446,4178000
2005-09-21,2.2304,2.2304,2.0883,2.1309,8313500
2005-09-22,2.1309,2.1409,2.0599,2.0613,7184000
2005-09-23,2.0599,2.2304,2.0571,2.2148,4830500
2005-09-26,2.2162,2.2446,2.1665,2.2020,7826500
2005-09-27,2.1949,2.2105,2.1792,2.1963,4505000
2005-09-28,2.1849,2.1849,2.1281,2.1523,3055000
2005-09-29,2.1579,2.2020,2.1054,2.1309,6141000
2005-09-30,2.1381,2.1452,2.0826,2.1040,12109000
2005-10-03,2.1096,2.1096,2.0386,2.0599,4279000
2005-10-04,2.0528,2.0599,1.9931,1.9988,2002000
2005-10-05,1.9889,1.9889,1.8220,1.8681,10826000
2005-10-06,1.8752,1.9164,1.8610,1.9051,4121000
2005-10-07,1.9605,1.9605,1.9122,1.9179,2174500
2005-10-10,1.9278,1.9377,1.7673,1.7829,2443000
2005-10-11,1.7971,1.7971,1.7062,1.7261,3256500
2005-10-12,1.7218,1.7303,1.6764,1.6962,2545500
2005-10-13,1.6948,1.6948,1.5897,1.6053,3555000
2005-10-14,1.6110,1.7758,1.6082,1.7559,7229500
2005-10-17,1.7559,1.7602,1.7190,1.7332,3007000
2005-10-18,1.7332,1.7332,1.6962,1.7048,2575000
2005-10-19,1.7190,1.7417,1.6962,1.7275,5052000
2005-10-20,1.7332,1.8596,1.7318,1.8213,7568500
2005-10-21,1.8227,1.8568,1.8141,1.8411,4029500
2005-10-24,1.8411,1.8752,1.8411,1.8653,2160000
2005-10-25,1.8795,1.9051,1.8582,1.8752,2629500
2005-10-26,1.8681,1.8965,1.8397,1.8596,2839500
2005-10-27,1.8539,1.8724,1.8397,1.8468,810000
2005-10-28,1.8752,1.9122,1.8752,1.8965,1664500
2005-10-31,1.9179,1.9875,1.9179,1.9633,3915000
2005-11-01,2.0102,2.0244,1.9250,1.9321,2830000
2005-11-02,1.9349,1.9534,1.8823,1.9235,3455000
2005-11-03,1.9036,1.9179,1.8767,1.8894,1815000
2005-11-04,1.8894,1.9576,1.8781,1.9036,2600500
2005-11-07,1.9036,1.9619,1.8980,1.9221,1783500
2005-11-08,1.9079,1.9250,1.8923,1.9207,1599500
2005-11-09,1.9250,1.9605,1.9150,1.9250,2294000
2005-11-10,1.9349,2.0473,1.8937,1.9563,4019000
2005-11-11,1.9619,2.0132,1.9619,1.9975,1347500
2005-11-14,1.9890,2.0203,1.9804,2.0018,1282500
2005-11-15,2.0132,2.1412,2.0004,2.1000,7032000
2005-11-16,2.1483,2.2052,2.1341,2.1583,4794000
2005-11-17,2.1697,2.2594,2.1512,2.2479,8077500
2005-11-18,2.2479,2.2479,2.1554,2.2209,3764000
2005-11-21,2.2621,2.2693,2.2280,2.2508,4266000
2005-11-22,2.2508,2.2621,2.2067,2.2380,1920000
2005-11-23,2.2408,2.2408,2.2010,2.2052,1068000
2005-11-25,2.2123,2.2294,2.2123,2.2223,154000
2005-11-28,2.2280,2.2323,2.1839,2.2038,1477000
2005-11-29,2.2166,2.2166,2.1981,2.2052,792000
2005-11-30,2.2024,2.2166,2.1896,2.1981,1513500
2005-12-01,2.1939,2.2052,2.1469,2.1725,3586000
2005-12-02,2.1711,2.2123,2.1554,2.2095,3127500
2005-12-05,2.1981,2.2479,2.1768,2.2252,3232000
2005-12-06,2.2380,2.2550,2.2294,2.2508,1503000
2005-12-07,2.2550,2.2749,2.2223,2.2223,1762000
2005-12-08,2.2223,2.2223,2.1455,2.1512,5745000
2005-12-09,2.1611,2.1768,2.1227,2.1583,5531500
2005-12-12,2.1654,2.1867,2.1412,2.1497,2333500
2005-12-13,2.1497,2.1697,2.0957,2.1184,3260500
2005-12-14,2.1128,2.1270,2.0900,2.1056,1973500
2005-12-15,2.0985,2.1313,2.0786,2.1298,1495500
2005-12-16,2.1455,2.1626,2.1369,2.1483,3498000
2005-12-19,2.1483,2.1768,2.1056,2.1697,2893500
2005-12-20,2.1056,2.1412,2.0815,2.1298,3497000
2005-12-21,2.1313,2.1341,2.0800,2.1000,1900500
2005-12-22,2.1000,2.1867,2.1000,2.1825,2252000
2005-12-23,2.1554,2.1910,2.1554,2.1668,1622000
2005-12-27,2.1739,2.2038,2.1697,2.1768,2007500
2005-12-28,2.1739,2.1754,2.1241,2.1697,4846500
2005-12-29,2.1768,2.1967,2.1697,2.1810,1294000
2005-12-30,2.1810,2.1953,2.1611,2.1697,741000
2006-01-03,2.1697,2.1910,2.1483,2.1768,2272500
2006-01-04,2.1768,2.2337,2.1768,2.2138,2567500
