Date,Open,High,Low,Close,Volume
2014-09-24,15.1109,16.3198,15.0055,16.2214,60428679
2014-09-25,15.8559,16.4533,15.7786,16.2003,8430006
2014-09-26,16.2917,16.4252,16.1019,16.3409,2504353
2014-09-29,16.2636,16.4815,16.1019,16.3268,4832586
2014-09-30,16.2425,16.5658,16.2003,16.4604,4103103
2014-10-01,16.3198,16.5939,16.2425,16.4744,3915508
2014-10-02,16.4041,16.5799,16.3781,16.4041,3121384
2014-10-03,16.4323,16.4955,16.1722,16.3268,1585901
2014-10-06,16.3620,16.4252,15.8911,15.9122,1208403
2014-10-07,15.8559,15.9824,15.6451,15.8278,1508726
2014-10-08,15.5397,16.2706,15.5397,15.9895,1649208
2014-10-09,16.1652,16.1652,15.6310,15.7997,1229058
2014-10-10,15.7365,15.8559,15.5572,15.6591,924069
2014-10-13,15.5537,15.9262,15.5467,15.7786,1382774
2014-10-14,15.8138,16.0176,15.6732,15.7786,1605776
2014-10-15,15.5537,15.6029,15.1109,15.3569,3405401
2014-10-16,15.1180,15.4272,15.0898,15.3218,3105758
2014-10-17,15.3850,15.5115,15.2726,15.4061,2750608
2014-10-20,15.3358,15.7294,15.3358,15.7294,1870599
2014-10-21,15.5397,16.1160,15.5397,16.0387,1165506
2014-10-22,16.0106,16.1652,15.7452,15.8841,884653
2014-10-23,16.1441,16.2214,15.8770,16.1863,1154177
2014-10-24,16.3901,16.5096,16.0035,16.2917,1357806
2014-10-27,16.2706,16.2987,15.9719,16.0598,2898819
2014-10-28,16.2776,16.5799,16.1160,16.3620,1500595
2014-10-29,16.4112,16.5377,16.3058,16.5025,1302330
2014-10-30,16.4885,16.6501,16.3740,16.4744,1153487
2014-10-31,16.5799,16.8118,16.4252,16.6009,1238628
2014-11-03,16.5096,16.8680,16.2776,16.8680,1826936
2014-11-04,16.7560,16.8760,16.5372,16.6572,1474474
2014-11-05,16.7983,16.9042,16.6219,16.8689,1097594
2014-11-06,16.7913,17.2642,16.7630,17.1512,1010740
2014-11-07,17.2783,17.2783,16.9113,16.9183,600659
2014-11-10,16.9677,17.1159,16.7630,16.9042,1531257
2014-11-11,16.9183,17.0948,16.7630,16.8971,658274
2014-11-12,16.7630,16.9254,16.5936,16.8407,940834
2014-11-13,16.6713,16.9113,16.6431,16.8124,1149713
2014-11-14,16.7560,16.9395,16.7560,16.9113,1111501
2014-11-17,17.0171,17.0171,16.6289,16.9395,992390
2014-11-18,16.9677,16.9677,16.7348,16.7489,586010
2014-11-19,16.7983,16.9395,16.5936,16.7419,812772
2014-11-20,16.6360,16.8477,16.5867,16.7348,745775
2014-11-21,16.9042,17.0877,16.7242,16.7772,725247
2014-11-24,16.7983,17.1936,16.7136,17.1159,836847
2014-11-25,17.1089,17.1512,16.9536,16.9607,701615
2014-11-26,17.0171,17.1301,16.8830,17.1018,703711
2014-11-28,17.0948,17.7088,16.9748,17.3842,713406
2014-12-01,17.3771,17.5712,16.5795,16.9254,2282591
2014-12-02,16.9536,17.2430,16.7983,17.0807,1369272
2014-12-03,17.1724,17.3559,17.0736,17.1018,1854537
2014-12-04,17.1654,17.3347,17.0030,17.2218,1433907
2014-12-05,17.2571,17.8006,17.2571,17.7512,1008380
2014-12-08,17.7018,17.7441,17.4194,17.6735,2244927
2014-12-09,17.4406,17.8782,17.2924,17.7582,1141758
2014-12-10,17.7512,17.9347,17.3771,17.3983,630958
2014-12-11,17.5394,17.8429,17.2995,17.4265,1709147
2014-12-12,17.3065,17.5253,17.2218,17.2642,950809
2014-12-15,17.4194,17.5077,17.1301,17.2853,1175223
2014-12-16,17.3136,17.5571,17.0948,17.1159,1314152
2014-12-17,17.0948,17.5041,17.0948,17.3347,2160460
2014-12-18,17.4689,17.7441,17.4194,17.7018,1768470
2014-12-19,17.6735,18.0688,17.5324,17.6453,7523121
2014-12-22,17.7582,17.8419,17.4053,17.7159,1689581
2014-12-23,17.8641,17.9982,17.7300,17.9559,1174551
2014-12-24,17.9629,18.0617,17.7724,18.0053,547225
2014-12-26,18.0053,18.0053,17.8218,17.8641,304036
2014-12-29,17.7865,18.0053,17.7724,17.9065,1070954
2014-12-30,17.9700,17.9982,17.7582,17.7794,511820
2014-12-31,17.8218,17.8465,17.5253,17.5465,621617
2015-01-02,17.6241,17.6453,17.1442,17.4759,643550
2015-01-05,17.3489,17.4194,16.8266,17.0665,1330389
2015-01-06,17.0595,17.0948,16.7278,16.8760,2075044
2015-01-07,16.9324,17.0312,16.7913,16.9395,1160199
2015-01-08,16.9889,17.2783,16.8971,17.0665,661452
2015-01-09,17.0454,17.0665,16.7842,16.8619,718867
2015-01-12,16.7983,16.9677,16.6713,16.8548,941126
2015-01-13,16.8971,17.0736,16.6642,16.8477,990061
2015-01-14,16.6572,16.7588,16.3043,16.5442,962525
2015-01-15,16.4948,16.6642,16.0008,16.2054,1558030
2015-01-16,16.1137,16.4031,16.0855,16.3678,1951966
2015-01-20,16.3466,16.8336,16.1702,16.3043,1742114
2015-01-21,16.2831,16.6501,16.2407,16.4313,787349
2015-01-22,16.4454,17.0524,16.4313,17.0383,486535
2015-01-23,16.9677,16.9677,16.7066,16.7348,656610
2015-01-26,16.7630,17.1583,16.6078,17.0030,1167764
2015-01-27,16.8407,17.3912,16.7702,17.0454,1308167
2015-01-28,17.0595,17.1865,16.8266,16.8407,1301860
2015-01-29,16.8830,17.1865,16.4172,17.1089,1818610
2015-01-30,17.0101,17.1089,16.8054,16.8689,1882316
2015-02-02,16.8336,17.0524,16.7207,16.9395,1445837
2015-02-03,16.9454,17.3282,16.8675,17.2148,1351750
2015-02-04,17.2006,17.2785,16.9596,17.0163,1102434
2015-02-05,17.0730,17.2998,16.9951,17.2573,984601
2015-02-06,17.2998,17.7180,17.1652,17.3636,1748389
2015-02-09,17.3494,17.3849,17.0872,17.1935,781608
2015-02-10,17.5266,17.6896,17.3849,17.5904,1384891
2015-02-11,17.6329,17.7180,17.3990,17.6967,1393061
2015-02-12,17.5762,17.9802,17.5408,17.9518,985050
2015-02-13,17.9164,18.1928,17.8172,18.0369,1164524
2015-02-17,18.2211,18.2424,17.9022,18.1148,1807100
2015-02-18,18.1644,18.1644,17.7605,17.8668,1783474
2015-02-19,17.7321,17.8739,17.6116,17.7321,896846
2015-02-20,17.7888,17.9022,17.6201,17.8951,744802
