Date,Open,High,Low,Close,Volume
1986-03-06,0.4693,0.4987,0.4693,0.4859,1498800
1986-03-07,0.4903,0.5072,0.4903,0.5072,1009200
1986-03-10,0.5072,0.5112,0.4987,0.5112,528000
1986-03-11,1.0224,1.0224,0.9974,1.0143,227400
1986-03-12,1.0143,1.0224,1.0062,1.0224,1291200
1986-03-13,1.0224,1.0224,1.0062,1.0143,333600
1986-03-14,1.0143,1.0143,1.0062,1.0143,322800
1986-03-17,1.0143,1.0312,1.0062,1.0312,804000
1986-03-18,1.0224,1.0224,1.0143,1.0224,105600
1986-03-19,1.0224,1.0224,0.9886,0.9886,342000
1986-03-20,0.9886,1.0062,0.9886,0.9974,82800
1986-03-21,0.9974,1.0062,0.9886,1.0062,430800
1986-03-24,1.0062,1.0062,0.9805,0.9974,332400
1986-03-25,0.9886,0.9886,0.9717,0.9805,110400
1986-03-26,0.9805,0.9886,0.9386,0.9717,565200
1986-03-27,0.9717,0.9886,0.9467,0.9467,400800
1986-03-31,0.9467,0.9717,0.9467,0.9717,140400
1986-04-01,0.9717,0.9805,0.9636,0.9717,502800
1986-04-02,0.9717,0.9805,0.9467,0.9805,56400
1986-04-03,0.9805,0.9805,0.9467,0.9717,196800
1986-04-04,0.9636,0.9636,0.9048,0.9210,440400
1986-04-07,0.9210,0.9210,0.8703,0.8960,766800
1986-04-08,0.8960,0.9129,0.8791,0.9129,337200
1986-04-09,0.9129,0.9210,0.8960,0.9129,308400
1986-04-10,0.9129,0.9129,0.8960,0.9048,254400
1986-04-11,0.9048,0.9386,0.8960,0.9298,364800
1986-04-14,0.9298,0.9886,0.9210,0.9886,343200
1986-04-15,0.9974,1.0224,0.9974,1.0224,573600
1986-04-16,1.0224,1.0312,1.0062,1.0224,1015200
1986-04-17,1.0224,1.0312,1.0143,1.0143,123600
1986-04-18,1.0143,1.0224,0.9886,0.9886,193200
1986-04-21,0.9886,1.0224,0.9886,1.0062,195600
1986-04-22,1.0062,1.0224,0.9805,0.9805,153600
1986-04-23,0.9805,1.0224,0.9717,0.9886,534000
1986-04-24,0.9886,0.9974,0.9805,0.9974,76800
1986-04-25,0.9974,1.0062,0.9805,1.0062,348000
1986-04-28,1.0062,1.0224,0.9974,0.9974,160800
1986-04-29,0.9974,1.0224,0.9974,1.0143,63600
1986-04-30,1.0143,1.0224,1.0062,1.0062,63600
1986-05-01,1.0062,1.0224,0.9805,0.9805,254400
1986-05-02,0.9805,0.9974,0.9636,0.9974,333600
1986-05-05,0.9974,1.0062,0.9886,0.9974,72000
1986-05-06,0.9974,1.0143,0.9805,0.9886,247200
1986-05-07,0.9886,1.0062,0.9886,0.9974,170400
1986-05-08,0.9974,1.0062,0.9886,0.9886,18000
1986-05-09,0.9886,0.9974,0.9886,0.9974,106800
1986-05-12,0.9974,0.9974,0.9886,0.9886,139200
1986-05-13,0.9886,0.9974,0.9886,0.9974,88800
1986-05-14,0.9886,0.9886,0.9636,0.9636,376800
1986-05-15,0.9636,0.9805,0.9467,0.9636,418800
1986-05-16,0.9636,0.9717,0.9467,0.9467,100800
1986-05-19,0.9467,0.9467,0.8791,0.8960,256800
1986-05-20,0.8960,0.8960,0.8791,0.8791,224400
1986-05-21,0.8791,0.8872,0.8791,0.8872,44400
1986-05-22,0.8872,0.8872,0.8703,0.8791,111600
1986-05-23,0.8791,0.8791,0.8703,0.8703,181200
1986-05-27,0.8703,0.8872,0.8703,0.8872,478800
1986-05-28,0.8872,0.8872,0.8791,0.8872,207600
