Date,Open,High,Low,Close,Volume
1997-10-16,3.4995,3.5765,3.4226,3.4995,7436400
1997-10-17,3.4811,3.5380,3.3273,3.4426,3390400
1997-10-20,3.3842,3.4611,3.3657,3.4042,3068000
1997-10-21,3.4226,3.4995,3.3842,3.4426,2382400
1997-10-22,3.4995,3.5380,3.4426,3.5195,1525200
1997-10-23,3.4426,3.4995,3.4042,3.4426,1622400
1997-10-24,3.4811,3.5195,3.4226,3.5195,813600
1997-10-27,3.4811,3.5380,3.3073,3.3365,1507200
1997-10-28,3.2303,3.4995,3.0381,3.4426,2955600
1997-10-29,3.4995,3.5195,3.4426,3.4811,1859200
1997-10-30,3.4042,3.4226,3.3073,3.3842,856000
1997-10-31,3.3457,3.4703,3.3457,3.3842,561600
1997-11-03,3.4611,3.5964,3.4042,3.5288,1004000
1997-11-04,3.5380,3.6149,3.4995,3.5580,364000
1997-11-05,3.5765,3.7303,3.5580,3.6349,324400
1997-11-06,3.6149,3.8456,3.6149,3.8456,361600
1997-11-07,3.8072,4.0764,3.7118,3.9610,662400
1997-11-10,3.8841,3.9995,3.7887,3.7887,266800
1997-11-11,3.6534,3.6918,3.5380,3.6918,618000
1997-11-12,3.6918,3.6918,3.4226,3.4995,314800
1997-11-13,3.4226,3.4611,3.3657,3.3842,500000
1997-11-14,3.3457,3.3842,3.2688,3.3457,438000
1997-11-17,3.3842,3.5964,3.3842,3.5765,284000
1997-11-18,3.6149,3.6149,3.4995,3.5195,1429600
1997-11-19,3.5195,3.5765,3.4226,3.4226,148400
1997-11-20,3.4611,3.4611,3.2688,3.4226,1268000
1997-11-21,3.4226,3.4611,3.3842,3.4042,640800
1997-11-24,3.3842,3.4426,3.3842,3.4042,64400
1997-11-25,3.4226,3.4611,3.3842,3.3934,326800
1997-11-26,3.3842,3.4042,3.2211,3.2334,463200
1997-11-28,3.2503,3.2688,3.2303,3.2303,212800
1997-12-01,3.2303,3.3073,3.2303,3.2396,475200
1997-12-02,3.3073,3.3842,3.2503,3.2888,1280800
1997-12-03,3.3457,3.3842,3.2888,3.3842,934400
1997-12-04,3.3842,3.4611,3.3273,3.4134,681600
1997-12-05,3.3842,3.5380,3.3457,3.4995,282800
1997-12-08,3.4995,3.5380,3.4811,3.5195,227600
1997-12-09,3.5380,3.5765,3.4426,3.4426,124000
1997-12-10,3.4707,3.4707,3.2779,3.3165,269600
1997-12-11,3.2394,3.3165,3.2008,3.2779,400800
1997-12-12,3.3165,3.3165,3.1823,3.1823,412400
1997-12-15,3.2394,3.3165,3.1915,3.2208,289200
1997-12-16,3.1622,3.2779,3.1622,3.2208,190800
1997-12-17,3.1823,3.2008,3.1052,3.1052,584800
1997-12-18,3.1437,3.1437,3.0666,3.0851,272400
1997-12-19,3.1052,3.1052,3.0465,3.0465,921600
1997-12-22,3.0465,3.2779,3.0465,3.1237,924000
1997-12-23,3.2008,3.2008,3.0465,3.0851,2331200
1997-12-24,3.1052,3.1052,3.0465,3.0465,50400
1997-12-26,3.0851,3.1237,3.0666,3.1237,1248400
1997-12-29,3.1237,3.2594,3.0851,3.2594,430800
1997-12-30,3.1237,3.2980,3.1237,3.2594,662800
1997-12-31,3.3365,3.5093,3.2394,3.4522,911600
1998-01-02,3.4137,3.5679,3.4137,3.5679,112400
1998-01-05,3.7222,3.7607,3.4707,3.4707,629600
1998-01-06,3.4522,3.4522,3.2394,3.3458,915200
1998-01-07,3.3458,3.5479,3.3458,3.4322,164800
1998-01-08,3.3936,3.5679,3.3936,3.5479,236000
1998-01-09,3.4908,3.5479,3.3936,3.3936,140400
1998-01-12,3.3165,3.4137,3.2980,3.2980,927200
1998-01-13,3.3936,3.3936,3.2779,3.3551,100400
1998-01-14,3.3551,3.4322,3.2980,3.3072,585600
1998-01-15,3.3551,3.3551,3.2980,3.3165,417200
1998-01-16,3.3551,3.4522,3.2980,3.4322,69200
1998-01-20,3.3936,3.5679,3.3936,3.5679,348800
1998-01-21,3.5479,3.5679,3.5294,3.5479,141600
1998-01-22,3.5294,3.5479,3.4908,3.4908,92400
1998-01-23,3.4908,3.6250,3.4908,3.5864,211200
1998-01-26,3.6250,3.6250,3.4707,3.5294,497200
1998-01-27,3.5479,3.5479,3.4707,3.4707,96400
1998-01-28,3.4707,3.5093,3.4707,3.4908,154800
1998-01-29,3.4908,3.5864,3.4908,3.5294,108400
1998-01-30,3.5772,3.5772,3.4908,3.5294,130400
1998-02-02,3.5679,3.7993,3.5679,3.7021,580800
1998-02-03,3.6636,3.7793,3.6636,3.7021,159200
1998-02-04,3.7021,3.7607,3.6450,3.6450,557600
1998-02-05,3.6250,3.6836,3.6250,3.6250,73200
1998-02-06,3.6836,3.7607,3.6250,3.6636,246800
1998-02-09,3.6450,3.8178,3.6450,3.7407,724800
1998-02-10,3.7407,3.8949,3.7407,3.8564,401600
1998-02-11,3.7993,3.8564,3.4137,3.5479,2063200
1998-02-12,3.5864,3.6450,3.5479,3.6450,464400
1998-02-13,3.6836,3.6836,3.5864,3.6636,163200
1998-02-17,3.7222,3.7222,3.6250,3.6450,697200
1998-02-18,3.7021,3.7021,3.6450,3.6450,2071200
1998-02-19,3.7021,3.7021,3.6065,3.6065,184800
1998-02-20,3.6065,3.6450,3.5679,3.5679,89200
1998-02-23,3.5679,3.6065,3.5294,3.5294,621600
1998-02-24,3.5294,3.5957,3.3936,3.3936,417600
1998-02-25,3.3936,3.4707,3.3751,3.4522,201200
1998-02-26,3.4322,3.4322,3.3751,3.3751,149200
1998-02-27,3.4137,3.5093,3.3751,3.5093,278000
1998-03-02,3.4569,3.5093,3.3365,3.3365,360400
1998-03-03,3.3936,3.3936,3.2980,3.3165,414000
1998-03-04,3.3936,3.3936,3.3165,3.3365,489600
1998-03-05,3.2980,3.3551,3.2980,3.3365,228000
1998-03-06,3.3165,3.3936,3.3165,3.3551,424400
1998-03-09,3.3936,3.3936,3.3165,3.3551,106400
1998-03-10,3.3644,3.3644,3.3257,3.3257,232400
