Date,Open,High,Low,Close,Volume
1982-03-31,2.8943,2.9577,2.8304,2.9577,1474200
1982-04-01,2.8943,2.9577,2.8304,2.9577,1474200
1982-04-02,3.0285,3.0851,2.9719,3.0568,1710900
1982-04-05,3.0851,3.1134,3.0568,3.0851,1604700
1982-04-06,3.0500,3.0709,3.0285,3.0709,1361700
1982-04-07,3.0851,3.1066,3.0642,3.0851,1206000
1982-04-08,3.0992,3.1349,3.0642,3.1134,1188000
1982-04-12,3.0992,3.1276,3.0642,3.0709,805500
1982-04-13,3.0851,3.1066,3.0642,3.0992,1282500
1982-04-14,3.0783,3.0925,3.0642,3.0851,207000
1982-04-15,3.0642,3.0851,3.0426,3.0783,331200
1982-04-16,3.0851,3.0992,3.0642,3.0783,576900
1982-04-19,3.0992,3.1134,3.0783,3.0851,713700
1982-04-20,3.0783,3.0925,3.0642,3.0783,508500
1982-04-21,3.0568,3.0709,3.0426,3.0426,254700
1982-04-22,3.0568,3.0709,3.0358,3.0500,576000
1982-04-23,2.8943,2.9011,2.8802,2.9011,3060900
1982-04-26,2.8519,2.9011,2.8021,2.8377,3427200
1982-04-27,2.8094,2.8377,2.7811,2.7879,2219400
1982-04-28,2.7953,2.8162,2.7738,2.7738,542700
1982-04-29,2.7879,2.8094,2.7596,2.7596,423900
1982-04-30,2.7313,2.7455,2.7171,2.7245,2470500
1982-05-03,2.7030,2.7245,2.6821,2.6962,1687500
1982-05-04,2.6962,2.7030,2.6888,2.7030,1632600
1982-05-05,2.6888,2.7030,2.6747,2.6962,587700
1982-05-06,2.6962,2.7171,2.6747,2.7030,1586700
1982-05-07,2.6747,2.7030,2.6464,2.6605,2665800
1982-05-10,2.6747,2.6962,2.6537,2.6679,1100700
1982-05-11,2.7104,2.7313,2.6888,2.7245,941400
1982-05-12,2.6605,2.7313,2.5898,2.5898,2474100
1982-05-13,2.3424,2.3707,2.3067,2.3283,15327900
1982-05-14,2.3849,2.3990,2.3634,2.3917,4312800
1982-05-17,2.3917,2.4058,2.3775,2.3917,1360800
1982-05-18,2.3849,2.3917,2.3707,2.3775,1487700
1982-05-19,2.3492,2.3634,2.3283,2.3350,2322900
1982-05-20,2.3067,2.3283,2.2858,2.3209,2007900
1982-05-21,2.2926,2.3067,2.2784,2.2858,1656000
1982-05-24,2.2575,2.2858,2.2218,2.2292,3863700
1982-05-25,2.2575,2.2716,2.2360,2.2360,2444400
1982-05-26,2.2150,2.2360,2.1867,2.2009,2028600
1982-05-27,2.1867,2.2009,2.1726,2.1935,1105200
1982-05-28,2.1867,2.2009,2.1652,2.1726,1545300
1982-06-01,2.1511,2.1652,2.1301,2.1511,1088100
1982-06-02,2.1652,2.1794,2.1511,2.1652,1796400
1982-06-03,2.1511,2.1726,2.1228,2.1584,1359000
