Date,Open,High,Low,Close,Volume
1990-03-26,2.9477,2.9477,2.9182,2.9182,19098
1990-03-27,2.9477,2.9477,2.8986,2.8986,93501
1990-03-28,2.9281,2.9281,2.8986,2.8986,59796
1990-03-29,2.9182,2.9870,2.9182,2.9674,339597
1990-03-30,2.9575,3.0067,2.9575,3.0067,236997
1990-04-02,3.0067,3.0067,2.9772,2.9772,52101
1990-04-03,2.9772,3.0460,2.9772,3.0460,338598
1990-04-04,3.0263,3.0263,3.0263,3.0263,61803
1990-04-05,3.0362,3.0362,2.9969,3.0263,82602
1990-04-06,3.0067,3.0165,2.9477,2.9477,271197
1990-04-09,2.9379,2.9575,2.9281,2.9477,84897
1990-04-10,2.9379,2.9477,2.9281,2.9477,19098
1990-04-11,2.9281,2.9477,2.9281,2.9379,17100
1990-04-12,2.9281,2.9477,2.9281,2.9281,69696
1990-04-16,2.9477,2.9477,2.9281,2.9281,75996
1990-04-17,2.9477,2.9477,2.9281,2.9379,109998
1990-04-18,2.9575,2.9674,2.9477,2.9477,245700
1990-04-19,2.9477,2.9575,2.9379,2.9477,269802
1990-04-20,2.9575,2.9575,2.9379,2.9379,103401
1990-04-23,2.9379,2.9477,2.8789,2.9084,627597
1990-04-24,2.8789,2.8888,2.8691,2.8789,119997
1990-04-25,2.8691,2.8888,2.8593,2.8593,234702
1990-04-26,2.8593,2.8888,2.8003,2.8200,944802
1990-04-27,2.8200,2.8396,2.8200,2.8200,261801
1990-04-30,2.8200,2.8200,2.7610,2.8003,280701
1990-05-01,2.7905,2.8003,2.7905,2.8003,369297
1990-05-02,2.8153,2.8396,2.8102,2.8349,346203
1990-05-03,2.8396,2.8593,2.8298,2.8495,324396
1990-05-04,2.8546,2.8986,2.8495,2.8691,487503
1990-05-07,2.8789,2.9084,2.8789,2.9084,93501
1990-05-08,2.9084,2.9575,2.9084,2.9379,654696
1990-05-09,2.9182,2.9182,2.8888,2.8986,178902
1990-05-10,2.9084,2.9084,2.8691,2.8888,201996
1990-05-11,2.8691,2.8986,2.8691,2.8841,341901
1990-05-14,2.8789,2.9379,2.8789,2.9379,287298
1990-05-15,2.9182,2.9379,2.9182,2.9182,73998
1990-05-16,2.9182,2.9379,2.9182,2.9379,122004
1990-05-17,2.9575,3.0067,2.9430,2.9870,199701
1990-05-18,2.9772,2.9870,2.9674,2.9870,311202
1990-05-21,2.9772,3.0067,2.9772,2.9969,112401
1990-05-22,3.0165,3.0460,3.0165,3.0460,113400
1990-05-23,3.0165,3.0656,3.0165,3.0558,401004
1990-05-24,3.0460,3.0558,3.0362,3.0362,80604
1990-05-25,3.0362,3.0656,3.0362,3.0656,403398
1990-05-29,3.0609,3.0853,3.0558,3.0656,220599
1990-05-30,3.0853,3.1246,3.0853,3.1049,253197
1990-05-31,3.1049,3.1934,3.1049,3.1835,526698
