Date,Open,High,Low,Close,Volume
1977-01-03,0.7467,0.7532,0.7467,0.7467,700800
1977-01-04,0.7467,0.7499,0.7396,0.7396,1313600
1977-01-05,0.7396,0.7467,0.7363,0.7396,2211200
1977-01-06,0.7396,0.7396,0.7295,0.7330,2172800
1977-01-07,0.7330,0.7363,0.7295,0.7363,355200
1977-01-10,0.7330,0.7330,0.7259,0.7330,1091200
1977-01-11,0.7330,0.7330,0.6954,0.7022,2372800
1977-01-12,0.7022,0.7022,0.6817,0.6850,1172800
1977-01-13,0.6850,0.6850,0.6749,0.6817,1300800
1977-01-14,0.6817,0.6817,0.6681,0.6817,1534400
1977-01-17,0.6817,0.6850,0.6749,0.6785,1169600
1977-01-18,0.6714,0.6714,0.6578,0.6681,1534400
1977-01-19,0.6681,0.6749,0.6648,0.6714,945600
1977-01-20,0.6714,0.6749,0.6681,0.6749,1540800
1977-01-21,0.6749,0.6850,0.6681,0.6817,788800
1977-01-24,0.6817,0.6817,0.6714,0.6817,1478400
1977-01-25,0.6785,0.6785,0.6681,0.6749,2955200
1977-01-26,0.6749,0.6749,0.6613,0.6613,1377600
1977-01-27,0.6613,0.6613,0.6512,0.6545,905600
1977-01-28,0.6545,0.6578,0.6376,0.6408,1465600
1977-01-31,0.6408,0.6512,0.6376,0.6512,1038400
1977-02-01,0.6512,0.6613,0.6477,0.6613,1150400
1977-02-02,0.6613,0.7022,0.6613,0.6714,1040000
1977-02-03,0.6681,0.6681,0.6613,0.6613,1100800
1977-02-04,0.6613,0.6749,0.6613,0.6714,668800
1977-02-07,0.6714,0.6785,0.6477,0.6714,1099200
1977-02-08,0.6714,0.6749,0.6681,0.6714,763200
1977-02-09,0.6714,0.6817,0.6681,0.6749,1057600
1977-02-10,0.6749,0.6749,0.6681,0.6749,472000
1977-02-11,0.6681,0.6681,0.6408,0.6681,672000
1977-02-14,0.6681,0.6749,0.6648,0.6749,505600
1977-02-15,0.6749,0.6886,0.6749,0.6785,2582400
1977-02-16,0.6785,0.6954,0.6785,0.6886,768000
1977-02-17,0.6886,0.6921,0.6817,0.6886,876800
1977-02-18,0.6850,0.6850,0.6785,0.6817,483200
1977-02-22,0.6817,0.6886,0.6817,0.6886,414400
1977-02-23,0.6886,0.6921,0.6850,0.6921,1128000
1977-02-24,0.6921,0.6921,0.6850,0.6886,742400
1977-02-25,0.6886,0.6921,0.6817,0.6886,489600
1977-02-28,0.6886,0.6921,0.6817,0.6921,2172800
1977-03-01,0.6921,0.6954,0.6886,0.6954,870400
1977-03-02,0.6954,0.7022,0.6921,0.6921,750400
1977-03-03,0.6921,0.6987,0.6886,0.6954,934400
1977-03-04,0.6954,0.6987,0.6921,0.6954,832000
1977-03-07,0.6954,0.6987,0.6886,0.6987,489600
1977-03-08,0.6987,0.7022,0.6850,0.6954,779200
1977-03-09,0.6954,0.6954,0.6850,0.6850,376000
1977-03-10,0.6850,0.6886,0.6785,0.6817,1145600
1977-03-11,0.6817,0.6850,0.6714,0.6714,742400
1977-03-14,0.6714,0.6785,0.6714,0.6749,436800
1977-03-15,0.6749,0.6850,0.6749,0.6785,782400
1977-03-16,0.6785,0.6817,0.6749,0.6749,819200
1977-03-17,0.6749,0.6817,0.6749,0.6785,800000
1977-03-18,0.6785,0.6817,0.6749,0.6749,614400
1977-03-21,0.6749,0.6749,0.6714,0.6714,392000
1977-03-22,0.6714,0.6785,0.6714,0.6749,518400
1977-03-23,0.6749,0.6749,0.6681,0.6714,260800
