Date,Open,High,Low,Close,Volume
1983-03-21,1.2802,1.2966,1.2465,1.2966,856000
1983-03-22,1.3024,1.3077,1.2908,1.3024,1218400
1983-03-23,1.3148,1.3188,1.3024,1.3130,487200
1983-03-24,1.3024,1.3188,1.2855,1.3130,933600
1983-03-25,1.2802,1.3077,1.2412,1.2908,1021600
1983-03-28,1.2855,1.3077,1.2802,1.3024,363200
1983-03-29,1.3245,1.3352,1.2966,1.3188,636800
1983-03-30,1.3298,1.3352,1.3245,1.3298,527200
1983-03-31,1.3130,1.3298,1.2908,1.2908,1032000
1983-04-04,1.2966,1.3077,1.2855,1.2966,437600
1983-04-05,1.2855,1.2908,1.2687,1.2687,437600
1983-04-06,1.2687,1.2687,1.2243,1.2580,636000
1983-04-07,1.2634,1.2634,1.2523,1.2634,205600
1983-04-08,1.2687,1.2802,1.2580,1.2580,419200
1983-04-11,1.2802,1.2855,1.2634,1.2802,167200
1983-04-12,1.2802,1.2855,1.2523,1.2580,1035200
1983-04-13,1.2634,1.2687,1.2465,1.2580,1169600
1983-04-14,1.2523,1.3077,1.2523,1.3077,1543200
1983-04-15,1.3245,1.3352,1.3130,1.3352,1658400
1983-04-18,1.3298,1.3467,1.3245,1.3352,2114400
1983-04-19,1.3298,1.3352,1.3130,1.3298,799200
1983-04-20,1.3298,1.3352,1.3077,1.3245,637600
1983-04-21,1.3298,1.3409,1.3245,1.3352,544800
1983-04-22,1.3245,1.3467,1.3245,1.3409,355200
1983-04-25,1.3352,1.3467,1.3245,1.3245,425600
1983-04-26,1.3352,1.3689,1.2966,1.3689,1122400
1983-04-27,1.4074,1.4353,1.3742,1.4074,1496800
1983-04-28,1.4132,1.4238,1.3963,1.4074,1059200
1983-04-29,1.4407,1.4681,1.4132,1.4681,1174400
1983-05-02,1.5018,1.5072,1.4739,1.4797,1238400
1983-05-03,1.4628,1.4739,1.4517,1.4681,509600
1983-05-04,1.4681,1.4739,1.4575,1.4628,611200
1983-05-05,1.4628,1.4739,1.4517,1.4739,601600
1983-05-06,1.4739,1.4739,1.4517,1.4575,517600
1983-05-09,1.4460,1.4628,1.4238,1.4575,336000
1983-05-10,1.4575,1.5018,1.4575,1.4903,514400
1983-05-11,1.4903,1.4903,1.4517,1.4575,628000
1983-05-12,1.4460,1.4460,1.3631,1.3963,765600
1983-05-13,1.3853,1.4017,1.3742,1.3963,560000
1983-05-16,1.3853,1.4017,1.3631,1.4017,624800
1983-05-17,1.3963,1.4074,1.3795,1.4017,1256800
1983-05-18,1.4017,1.4407,1.4017,1.4132,1128800
1983-05-19,1.4185,1.4185,1.3573,1.3795,966400
1983-05-20,1.3795,1.3963,1.3573,1.3853,371200
1983-05-23,1.3742,1.4074,1.3573,1.3963,386400
1983-05-24,1.4074,1.4681,1.4017,1.4575,745600
1983-05-25,1.4628,1.4850,1.4575,1.4739,547200
1983-05-26,1.4739,1.4961,1.4681,1.4681,936800
1983-05-27,1.4575,1.4681,1.4238,1.4238,674400
1983-05-31,1.4353,1.4353,1.3963,1.3963,248800
1983-06-01,1.3853,1.4628,1.3795,1.4628,532800
1983-06-02,1.4681,1.4850,1.4517,1.4628,889600
1983-06-03,1.4517,1.4575,1.4407,1.4460,646400
1983-06-06,1.4460,1.4517,1.4132,1.4353,194400
1983-06-07,1.4296,1.4628,1.4296,1.4517,1162400
1983-06-08,1.4460,1.4797,1.4353,1.4739,1724000
1983-06-09,1.4739,1.5404,1.4681,1.5404,934400
1983-06-10,1.5404,1.6180,1.5404,1.5905,790400
1983-06-13,1.6011,1.6127,1.5790,1.6011,680000
1983-06-14,1.5958,1.5958,1.5626,1.5736,333600
1983-06-15,1.5568,1.5683,1.5293,1.5683,951200
1983-06-16,1.5736,1.5736,1.5293,1.5515,1214400
1983-06-17,1.5404,1.5462,1.5125,1.5182,647200
1983-06-20,1.5182,1.5462,1.5182,1.5462,1120800
1983-06-21,1.5462,1.5462,1.5182,1.5404,834400
1983-06-22,1.5515,1.5568,1.5404,1.5462,371200
1983-06-23,1.5515,1.5568,1.5404,1.5462,257600
1983-06-24,1.5404,1.5515,1.5240,1.5404,481600
1983-06-27,1.5346,1.5462,1.4681,1.4739,270400
1983-06-28,1.4681,1.4850,1.4628,1.4739,297600
1983-06-29,1.4739,1.4850,1.4628,1.4797,808800
1983-06-30,1.4797,1.4903,1.4681,1.4739,482400
1983-07-01,1.4739,1.4903,1.4739,1.4850,432000
1983-07-05,1.4628,1.4628,1.4353,1.4628,420000
1983-07-06,1.4628,1.4739,1.4517,1.4739,534400
1983-07-07,1.4681,1.4681,1.4460,1.4460,326400
1983-07-08,1.4407,1.4628,1.4296,1.4575,546400
1983-07-11,1.4628,1.4797,1.4460,1.4797,283200
1983-07-12,1.4850,1.4850,1.4353,1.4353,379200
1983-07-13,1.4238,1.4296,1.3631,1.3963,1180800
1983-07-14,1.4460,1.4797,1.4132,1.4681,1204800
1983-07-15,1.4797,1.4797,1.4517,1.4628,652000
1983-07-18,1.4517,1.4628,1.4407,1.4517,252000
1983-07-19,1.4517,1.4797,1.4517,1.4628,653600
1983-07-20,1.4797,1.5018,1.4681,1.5018,257600
1983-07-21,1.5182,1.5240,1.5072,1.5125,1236000
1983-07-22,1.5098,1.5240,1.4961,1.4961,464800
1983-07-25,1.4850,1.5018,1.4681,1.4903,478400
1983-07-26,1.4961,1.5018,1.4797,1.4903,237600
1983-07-27,1.4797,1.4903,1.4739,1.4739,267200
1983-07-28,1.4797,1.5018,1.4628,1.4628,880000
1983-07-29,1.4460,1.4628,1.4407,1.4575,760000
1983-08-01,1.4575,1.4797,1.4575,1.4797,285600
1983-08-02,1.4797,1.4850,1.4628,1.4628,433600
1983-08-03,1.4628,1.5072,1.4575,1.5072,957600
1983-08-04,1.5072,1.5072,1.4575,1.4739,1564800
1983-08-05,1.4681,1.4681,1.4460,1.4681,220800
1983-08-08,1.4460,1.4460,1.3631,1.4353,421600
1983-08-09,1.4185,1.4296,1.3188,1.3352,506400
1983-08-10,1.3245,1.3795,1.3188,1.3573,650400
1983-08-11,1.3467,1.3573,1.3298,1.3352,532000
1983-08-12,1.3298,1.3573,1.2908,1.3352,442400
1983-08-15,1.3573,1.3742,1.3467,1.3467,712800
1983-08-16,1.3573,1.3631,1.3188,1.3298,131200
1983-08-17,1.3409,1.3631,1.2359,1.2412,673600
1983-08-18,1.2465,1.2802,1.2465,1.2634,591200
1983-08-19,1.2687,1.2855,1.2580,1.2744,186400
1983-08-22,1.2687,1.2855,1.2465,1.2523,355200
1983-08-23,1.2465,1.2580,1.1858,1.1915,324000
1983-08-24,1.1858,1.1969,1.1250,1.1304,332800
1983-08-25,1.1415,1.1636,1.1415,1.1579,608000
1983-08-26,1.1747,1.1747,1.1579,1.1694,318400
1983-08-29,1.1694,1.2079,1.1579,1.2079,217600
1983-08-30,1.2412,1.2412,1.2022,1.2022,346400
1983-08-31,1.2137,1.2137,1.1915,1.2022,157600
1983-09-01,1.2137,1.2137,1.1969,1.2022,124000
1983-09-02,1.2079,1.2190,1.1969,1.2079,220000
1983-09-06,1.2190,1.2523,1.2137,1.2465,475200
1983-09-07,1.2359,1.2412,1.2243,1.2243,4464800
1983-09-08,1.2301,1.2301,1.2137,1.2243,707200
1983-09-09,1.2243,1.2243,1.2022,1.2079,187200
1983-09-12,1.2190,1.2359,1.1694,1.1694,999200
1983-09-13,1.1694,1.1694,1.1357,1.1357,608000
1983-09-14,1.1304,1.1525,1.1135,1.1525,1360000
1983-09-15,1.1579,1.1579,1.1415,1.1415,760800
1983-09-16,1.1304,1.1747,1.1304,1.1525,984800
1983-09-19,1.1694,1.1694,1.1525,1.1636,532000
1983-09-20,1.1858,1.2243,1.1800,1.1969,668800
1983-09-21,1.2079,1.2190,1.2079,1.2079,580800
1983-09-22,1.2137,1.2301,1.2079,1.2243,928800
1983-09-23,1.2243,1.2301,1.1969,1.2079,2088800
1983-09-26,1.2137,1.2137,1.1800,1.1915,441600
1983-09-27,1.0860,1.1472,1.0860,1.1193,2584800
1983-09-28,1.1135,1.1250,1.1029,1.1193,579200
1983-09-29,1.1193,1.1193,1.0971,1.1082,612000
1983-09-30,1.1082,1.1082,1.0860,1.1082,3950400
1983-10-03,1.0971,1.1135,1.0914,1.1029,1120000
1983-10-04,1.1250,1.1579,1.1250,1.1579,783200
1983-10-05,1.2079,1.2359,1.1858,1.2359,1760000
1983-10-06,1.2301,1.3024,1.2301,1.2908,2881600
1983-10-07,1.2966,1.3130,1.2908,1.2966,1877600
1983-10-10,1.3024,1.3188,1.2744,1.3188,656800
1983-10-11,1.3077,1.3245,1.2802,1.2855,892000
1983-10-12,1.2687,1.2687,1.2359,1.2687,1076000
1983-10-13,1.2634,1.3024,1.2634,1.2908,968800
1983-10-14,1.2855,1.2855,1.2687,1.2802,344800
1983-10-17,1.2908,1.2966,1.2802,1.2802,591200
1983-10-18,1.2687,1.2687,1.2465,1.2465,463200
1983-10-19,1.2412,1.2523,1.2137,1.2523,619200
1983-10-20,1.2580,1.2908,1.2412,1.2802,987200
1983-10-21,1.2855,1.3130,1.2687,1.2802,726400
1983-10-24,1.2687,1.2855,1.2634,1.2802,328000
1983-10-25,1.2744,1.2855,1.2137,1.2190,2128800
1983-10-26,1.2079,1.2079,1.1415,1.1747,1747200
1983-10-27,1.1800,1.1915,1.1472,1.1525,596000
1983-10-28,1.1525,1.1525,1.0971,1.1193,2176000
1983-10-31,1.1250,1.1415,1.1082,1.1193,1847200
1983-11-01,1.1250,1.1415,1.1193,1.1415,550400
1983-11-02,1.1304,1.1969,1.1304,1.1858,1836000
1983-11-03,1.1915,1.1915,1.1579,1.1636,548800
1983-11-04,1.1472,1.1579,1.1082,1.1304,576000
1983-11-07,1.1472,1.1525,1.1357,1.1415,408000
1983-11-08,1.1304,1.1357,1.1193,1.1304,633600
1983-11-09,1.1357,1.1579,1.1304,1.1472,319200
1983-11-10,1.1472,1.1525,1.1304,1.1357,450400
1983-11-11,1.1304,1.1636,1.1304,1.1472,410400
1983-11-14,1.1415,1.1636,1.1415,1.1525,1083200
1983-11-15,1.1415,1.1858,1.1357,1.1472,320000
1983-11-16,1.1525,1.1636,1.1472,1.1636,332800
1983-11-17,1.1636,1.1636,1.1525,1.1636,276000
1983-11-18,1.1579,1.1636,1.1525,1.1579,289600
1983-11-21,1.1525,1.1579,1.1415,1.1525,157600
1983-11-22,1.1525,1.1525,1.1357,1.1415,780800
1983-11-23,1.1415,1.1415,1.1250,1.1304,628000
1983-11-25,1.1357,1.1415,1.1304,1.1415,316800
1983-11-28,1.1357,1.1472,1.1357,1.1357,730400
1983-11-29,1.1304,1.1636,1.1304,1.1636,1116000
1983-11-30,1.1636,1.1636,1.1525,1.1579,384000
1983-12-01,1.1636,1.1858,1.1525,1.1747,1002400
1983-12-02,1.1694,1.1694,1.1472,1.1579,225600
1983-12-05,1.1415,1.1694,1.1415,1.1694,432000
1983-12-06,1.1800,1.1800,1.1694,1.1694,356000
1983-12-07,1.1636,1.1636,1.1472,1.1472,221600
1983-12-08,1.1525,1.1525,1.1357,1.1472,538400
1983-12-09,1.1472,1.1525,1.1415,1.1415,112000
1983-12-12,1.1525,1.1579,1.1415,1.1472,313600
1983-12-13,1.1472,1.1472,1.1357,1.1472,302400
1983-12-14,1.1472,1.1472,1.1193,1.1193,306400
1983-12-15,1.1193,1.1525,1.1193,1.1415,1752800
1983-12-16,1.1472,1.1694,1.1472,1.1636,1034400
1983-12-19,1.1579,1.1858,1.1579,1.1800,429600
1983-12-20,1.1858,1.2137,1.1858,1.1969,704000
1983-12-21,1.1969,1.2137,1.1969,1.2079,783200
1983-12-22,1.2079,1.2190,1.1915,1.2022,552000
1983-12-23,1.2022,1.2022,1.1858,1.1915,152000
1983-12-27,1.1800,1.1969,1.1800,1.1969,318400
