Date,Open,High,Low,Close,Volume
1988-07-07,0.8539,0.8603,0.8358,0.8539,2085001
1988-07-08,0.8603,0.8662,0.8112,0.8480,1612798
1988-07-11,0.8603,0.8662,0.8480,0.8539,1892403
1988-07-12,0.8662,0.8662,0.8421,0.8421,2111400
1988-07-13,0.8539,0.8662,0.8480,0.8662,1568403
1988-07-14,0.8539,0.8726,0.8539,0.8662,2165400
1988-07-15,0.8726,0.8726,0.8662,0.8726,2446801
1988-07-18,0.8662,0.8790,0.8539,0.8603,5038801
1988-07-19,0.8539,0.8603,0.8358,0.8480,3247803
1988-07-20,0.8539,0.8790,0.8480,0.8662,2899800
1988-07-21,0.8662,0.8726,0.8603,0.8603,3118203
1988-07-22,0.8603,0.8662,0.8421,0.8480,1012203
1988-07-25,0.8421,0.8421,0.8235,0.8299,573001
1988-07-26,0.8235,0.8235,0.8112,0.8235,770398
1988-07-27,0.8235,0.8235,0.7866,0.7866,1483198
1988-07-28,0.7866,0.7930,0.7561,0.7679,4271400
1988-07-29,0.7679,0.8171,0.7620,0.8112,2559600
1988-08-01,0.8053,0.8053,0.7679,0.7866,2387401
1988-08-02,0.7743,0.7866,0.7679,0.7866,934801
1988-08-03,0.7866,0.7989,0.7802,0.7802,3556798
1988-08-04,0.7802,0.8053,0.7802,0.7866,5092801
1988-08-05,0.7866,0.7930,0.7620,0.7620,2232603
1988-08-08,0.7802,0.7866,0.7620,0.7620,3323403
1988-08-09,0.7679,0.7743,0.7433,0.7497,3045600
1988-08-10,0.7561,0.7561,0.7310,0.7310,2095200
1988-08-11,0.7433,0.8358,0.7129,0.7251,1915198
1988-08-12,0.7310,0.7433,0.7129,0.7310,1024198
1988-08-15,0.7433,0.7433,0.6883,0.7006,1782000
1988-08-16,0.6883,0.7192,0.6760,0.7129,5389200
1988-08-17,0.7192,0.7251,0.7129,0.7251,4858198
1988-08-18,0.7192,0.7251,0.7129,0.7129,2462400
1988-08-19,0.7192,0.7192,0.6942,0.7070,5446798
1988-08-22,0.6942,0.7070,0.6760,0.6883,2916000
1988-08-23,0.6760,0.6883,0.6760,0.6760,2467800
1988-08-24,0.6760,0.6942,0.6760,0.6883,5813998
1988-08-25,0.6942,0.6942,0.6760,0.6824,2943000
1988-08-26,0.6831,0.6890,0.6767,0.6890,1800603
1988-08-29,0.6890,0.7013,0.6831,0.7013,3194998
1988-08-30,0.7013,0.7013,0.6890,0.6949,1445398
1988-08-31,0.6890,0.6949,0.6890,0.6949,2703598
1988-09-01,0.6949,0.6949,0.6831,0.6890,1895400
1988-09-02,0.6890,0.6949,0.6890,0.6949,3528603
1988-09-06,0.6949,0.7013,0.6890,0.7013,3340798
1988-09-07,0.7077,0.7200,0.7013,0.7200,2581801
1988-09-08,0.7136,0.7318,0.7136,0.7259,2457601
1988-09-09,0.7259,0.7382,0.7200,0.7318,1069801
1988-09-12,0.7318,0.7382,0.7259,0.7259,1215000
1988-09-13,0.7259,0.7259,0.7136,0.7259,575998
1988-09-14,0.7318,0.7441,0.7259,0.7382,1717200
1988-09-15,0.7382,0.7441,0.7259,0.7318,980998
1988-09-16,0.7382,0.7382,0.7259,0.7382,2813400
1988-09-19,0.7259,0.7318,0.7136,0.7200,646198
1988-09-20,0.7318,0.7382,0.7259,0.7382,1464001
1988-09-21,0.7318,0.7441,0.7318,0.7382,1083598
1988-09-22,0.7441,0.7441,0.7136,0.7318,1404000
1988-09-23,0.7259,0.7382,0.7200,0.7318,1026601
1988-09-26,0.7382,0.7382,0.7259,0.7382,1341603
1988-09-27,0.7382,0.7382,0.7200,0.7318,1939201
1988-09-28,0.7318,0.7441,0.7200,0.7382,3134403
1988-09-29,0.7441,0.7810,0.7382,0.7751,2170800
1988-09-30,0.7751,0.7874,0.7687,0.7810,2814001
1988-10-03,0.7687,0.7810,0.7569,0.7628,1650598
1988-10-04,0.7751,0.7751,0.7569,0.7628,1158003
1988-10-05,0.7569,0.7810,0.7569,0.7751,1053601
1988-10-06,0.7628,0.7997,0.7628,0.7997,1028403
1988-10-07,0.7997,0.8243,0.7874,0.8243,2843998
1988-10-10,0.8120,0.8180,0.8061,0.8061,710998
1988-10-11,0.8061,0.8120,0.7874,0.8061,669600
1988-10-12,0.7938,0.7938,0.7810,0.7938,1420801
1988-10-13,0.7874,0.8061,0.7810,0.7938,1150200
1988-10-14,0.8061,0.8180,0.7938,0.7997,5521203
1988-10-17,0.7938,0.7997,0.7810,0.7938,1946403
1988-10-18,0.7938,0.8061,0.7874,0.8061,1001403
1988-10-19,0.8061,0.8120,0.7874,0.7874,1120203
1988-10-20,0.7997,0.8061,0.7874,0.8061,2684401
1988-10-21,0.7938,0.8120,0.7938,0.8061,2302803
1988-10-24,0.7997,0.8061,0.7810,0.7938,1445398
1988-10-25,0.7874,0.7874,0.7751,0.7874,1566601
1988-10-26,0.7810,0.7874,0.7751,0.7751,505798
1988-10-27,0.7751,0.7810,0.7441,0.7569,1396798
1988-10-28,0.7569,0.7687,0.7505,0.7628,1177200
1988-10-31,0.7569,0.7687,0.7569,0.7687,537003
1988-11-01,0.7569,0.7687,0.7569,0.7687,926998
1988-11-02,0.7628,0.7628,0.7441,0.7569,621601
1988-11-03,0.7569,0.7687,0.7441,0.7569,1112400
1988-11-04,0.7569,0.7810,0.7569,0.7569,1347003
1988-11-07,0.7569,0.7628,0.7382,0.7441,1156201
1988-11-08,0.7569,0.7569,0.7441,0.7441,1194001
1988-11-09,0.7441,0.7505,0.7259,0.7318,1507201
1988-11-10,0.7318,0.7441,0.7259,0.7259,645003
1988-11-11,0.7200,0.7259,0.6831,0.6890,1647601
1988-11-14,0.7013,0.7077,0.6890,0.6949,3308398
1988-11-15,0.6949,0.7136,0.6890,0.7077,2646601
1988-11-16,0.7077,0.7077,0.6949,0.6949,2619000
1988-11-17,0.7013,0.7013,0.6949,0.6949,3364801
1988-11-18,0.6949,0.7136,0.6949,0.7077,1390203
1988-11-21,0.7136,0.7136,0.6949,0.7013,2054403
1988-11-22,0.7077,0.7077,0.6890,0.6949,1790998
1988-11-23,0.6949,0.7200,0.6890,0.7077,1290600
1988-11-25,0.7092,0.7151,0.6964,0.6964,493803
1988-11-28,0.6964,0.7092,0.6964,0.7028,369603
1988-11-29,0.7028,0.7151,0.7028,0.7028,847800
1988-11-30,0.7151,0.7334,0.7028,0.7275,736803
1988-12-01,0.7398,0.7398,0.7215,0.7275,1096801
1988-12-02,0.7215,0.7334,0.7092,0.7092,592198
1988-12-05,0.7092,0.7398,0.7092,0.7275,2571001
1988-12-06,0.7275,0.7398,0.7215,0.7398,2740203
1988-12-07,0.7521,0.7827,0.7521,0.7768,5468398
1988-12-08,0.7645,0.7704,0.7645,0.7645,1890000
1988-12-09,0.7645,0.7704,0.7521,0.7645,1857600
1988-12-12,0.7521,0.7645,0.7457,0.7585,3788998
1988-12-13,0.7521,0.7645,0.7521,0.7521,1607398
1988-12-14,0.7585,0.7585,0.7521,0.7585,1897803
1988-12-15,0.7521,0.7585,0.7334,0.7334,2113803
1988-12-16,0.7334,0.7645,0.7334,0.7585,3805198
1988-12-19,0.7585,0.7704,0.7457,0.7585,1793401
1988-12-20,0.7585,0.8138,0.7585,0.8014,7033203
1988-12-21,0.8014,0.8261,0.8014,0.8079,2252401
1988-12-22,0.8138,0.8197,0.8014,0.8079,912600
1988-12-23,0.8079,0.8138,0.8079,0.8138,249001
1988-12-27,0.8079,0.8261,0.8014,0.8014,1547998
1988-12-28,0.8138,0.8138,0.7955,0.7955,1233603
1988-12-29,0.8079,0.8079,0.7955,0.8079,1396798
1988-12-30,0.8079,0.8261,0.8079,0.8261,1374003
1989-01-03,0.8138,0.8197,0.8079,0.8197,1053601
1989-01-04,0.8138,0.8508,0.8138,0.8448,3142800
1989-01-05,0.8508,0.8567,0.8261,0.8325,2702403
1989-01-06,0.8325,0.8384,0.8261,0.8384,3604203
1989-01-09,0.8325,0.8567,0.8325,0.8448,3841803
1989-01-10,0.8448,0.8508,0.8384,0.8508,1326598
1989-01-11,0.8448,0.8508,0.8261,0.8325,1172401
1989-01-12,0.8325,0.8384,0.8197,0.8261,2497203
1989-01-13,0.8261,0.8631,0.8261,0.8567,4768801
1989-01-16,0.8508,0.8567,0.8508,0.8567,1522800
1989-01-17,0.8508,0.8567,0.8448,0.8508,3934798
1989-01-18,0.8508,0.9124,0.8448,0.9001,5103000
1989-01-19,0.9124,0.9494,0.9124,0.9311,8170801
1989-01-20,0.9371,0.9553,0.9311,0.9311,4671601
1989-01-23,0.9430,0.9430,0.9247,0.9247,1161000
1989-01-24,0.9247,0.9494,0.9247,0.9371,4895998
1989-01-25,0.9430,0.9494,0.9371,0.9430,3072600
1989-01-26,0.9494,0.9617,0.9430,0.9617,3331800
1989-01-27,0.9617,0.9681,0.9494,0.9553,3267601
1989-01-30,0.9553,0.9800,0.9553,0.9741,2008800
1989-01-31,0.9741,0.9741,0.9494,0.9617,4732803
1989-02-01,0.9617,0.9741,0.9553,0.9681,5769603
1989-02-02,0.9741,0.9987,0.9681,0.9864,4465800
1989-02-03,0.9864,0.9864,0.9741,0.9800,3184198
1989-02-06,0.9864,0.9864,0.9430,0.9430,2141998
1989-02-07,0.9494,0.9681,0.9430,0.9617,1944000
1989-02-08,0.9681,0.9800,0.9553,0.9617,1850398
1989-02-09,0.9617,0.9617,0.9430,0.9553,2270403
