Date,Open,High,Low,Close,Volume
1984-12-18,3.8331,3.9167,3.8331,3.9105,336000
1984-12-19,3.8976,3.9683,3.8976,3.9621,268000
1984-12-20,3.9621,4.0008,3.9621,4.0008,153600
1984-12-21,4.0008,4.0008,3.9234,3.9492,92800
1984-12-24,3.9425,3.9750,3.9425,3.9750,44800
1984-12-26,3.9621,4.0396,3.9621,4.0329,104800
1984-12-27,4.0458,4.0458,4.0008,4.0008,36800
1984-12-28,4.0138,4.0267,4.0138,4.0138,199200
1984-12-31,4.0267,4.0267,4.0008,4.0070,55200
1985-01-02,4.0138,4.0138,3.9363,3.9554,86400
1985-01-03,3.9683,4.0008,3.9683,3.9750,96800
1985-01-04,3.9812,3.9879,3.9621,3.9621,128000
1985-01-07,3.9750,3.9879,3.9621,3.9879,135200
1985-01-08,4.0008,4.0008,3.9879,3.9879,96800
1985-01-09,4.0070,4.0458,4.0070,4.0329,404800
1985-01-10,4.0199,4.1041,4.0199,4.1041,339200
1985-01-11,4.1299,4.2073,4.1299,4.1619,740000
1985-01-14,4.1815,4.3364,4.1815,4.3039,612800
1985-01-15,4.3364,4.4138,4.3235,4.3622,1579200
1985-01-16,4.3880,4.4071,4.3751,4.4009,529600
1985-01-17,4.4200,4.4397,4.4009,4.4009,122400
1985-01-18,4.3880,4.3942,4.3235,4.3751,320800
1985-01-21,4.3751,4.3880,4.3622,4.3880,252800
1985-01-22,4.3880,4.4009,4.3622,4.3813,380000
1985-01-23,4.3813,4.4267,4.3493,4.4267,1116800
1985-01-24,4.4526,4.4655,4.3106,4.3106,715200
1985-01-25,4.3235,4.4009,4.3235,4.3880,173600
1985-01-28,4.3880,4.5300,4.3880,4.4975,715200
1985-01-29,4.4846,4.4913,4.4458,4.4913,547200
1985-01-30,4.5042,4.5687,4.5042,4.5171,181600
1985-01-31,4.5171,4.5171,4.4655,4.4784,76000
1985-02-01,4.4784,4.5429,4.4784,4.5429,324000
1985-02-04,4.5429,4.5429,4.5300,4.5429,228000
1985-02-05,4.5558,4.5558,4.2848,4.3235,1265600
1985-02-06,4.2848,4.3235,4.1557,4.2719,1395200
1985-02-07,4.2461,4.3106,4.2073,4.3106,863200
1985-02-08,4.3235,4.3880,4.2848,4.2910,390400
1985-02-11,4.2977,4.2977,4.2394,4.2461,213600
1985-02-12,4.2461,4.2590,4.2203,4.2461,205600
1985-02-13,4.2461,4.2652,4.2332,4.2652,272000
1985-02-14,4.2719,4.2719,4.2203,4.2332,268000
1985-02-15,4.2332,4.2332,4.1428,4.1686,422400
1985-02-19,4.1686,4.2332,4.1686,4.2332,337600
1985-02-20,4.2461,4.2848,4.2264,4.2523,218400
1985-02-21,4.2590,4.2719,4.2073,4.2073,223200
1985-02-22,4.1944,4.1944,4.0974,4.1490,376800
1985-02-25,4.1170,4.1428,4.0845,4.1170,222400
1985-02-26,4.1361,4.1686,4.1299,4.1557,252000
1985-02-27,4.1686,4.2203,4.1557,4.1619,261600
1985-02-28,4.1490,4.1557,4.0783,4.0783,453600
1985-03-01,4.0912,4.1299,4.0783,4.1041,814400
1985-03-04,4.1170,4.1361,4.1103,4.1170,440000
1985-03-05,4.1170,4.1170,4.0783,4.0783,296000
1985-03-06,4.0912,4.0912,4.0587,4.0654,344800
1985-03-07,4.0525,4.0525,3.9750,4.0199,243200
1985-03-08,4.0008,4.0138,3.9296,3.9296,578400
1985-03-11,3.9234,3.9425,3.8976,3.8976,295200
1985-03-12,3.8847,3.9425,3.8460,3.9425,346400
1985-03-13,3.9554,3.9554,3.7685,3.8073,537600
1985-03-14,3.7876,3.8073,3.7556,3.8073,476000
1985-03-15,3.8202,3.9234,3.8202,3.9234,366400
1985-03-18,3.9234,3.9492,3.8202,3.8202,192000
1985-03-19,3.8264,3.8264,3.7169,3.7618,484000
1985-03-20,3.7618,3.7814,3.7298,3.7360,158400
1985-03-21,3.7298,3.7685,3.7040,3.7685,378400
1985-03-22,3.7489,3.8331,3.7489,3.8331,117600
1985-03-25,3.8202,3.8331,3.7685,3.7814,144000
1985-03-26,3.7747,3.7876,3.7427,3.7618,120800
1985-03-27,3.7618,3.8202,3.7618,3.8202,296800
1985-03-28,3.8202,3.8651,3.8202,3.8460,159200
1985-03-29,3.8460,3.8460,3.7944,3.8135,304000
1985-04-01,3.8135,3.8393,3.7944,3.7944,71200
1985-04-02,3.8135,3.8393,3.7427,3.7427,228000
1985-04-03,3.7169,3.7169,3.5104,3.5166,406400
1985-04-04,3.5104,3.5104,3.4779,3.4908,136800
1985-04-08,3.4846,3.4846,3.4072,3.4201,458400
1985-04-09,3.4330,3.4588,3.4330,3.4459,256000
1985-04-10,3.4459,3.5491,3.4459,3.5491,320000
1985-04-11,3.5750,3.6266,3.5620,3.5811,131200
1985-04-12,3.5750,3.5811,3.4975,3.5166,166400
1985-04-15,3.5037,3.5166,3.4650,3.4779,412800
1985-04-16,3.4588,3.4717,3.4392,3.4459,249600
