Date,Open,High,Low,Close,Volume
1994-11-16,3.7817,3.8124,3.7817,3.7817,8343900
1994-11-17,3.7817,3.8407,3.7533,3.8407,4872000
1994-11-18,3.8715,3.9306,3.8407,3.8998,1468800
1994-11-21,3.9306,3.9306,3.8124,3.8124,348600
1994-11-22,3.7817,3.8124,3.6351,3.6351,709800
1994-11-23,3.6044,3.6635,3.5760,3.6044,906600
1994-11-25,3.6044,3.6635,3.6044,3.6635,132600
1994-11-28,3.6942,3.6942,3.6044,3.6044,280500
1994-11-29,3.6044,3.6351,3.6044,3.6351,187500
1994-11-30,3.6044,3.6351,3.6044,3.6044,130800
1994-12-01,3.6351,3.6351,3.4862,3.4862,794400
1994-12-02,3.4862,3.4862,3.4578,3.4862,54600
1994-12-05,3.4862,3.4862,3.4578,3.4862,19800
1994-12-06,3.4862,3.4862,3.4578,3.4578,91200
1994-12-07,3.4862,3.4862,3.4271,3.4271,77700
1994-12-08,3.4271,3.4578,3.3988,3.3988,169200
1994-12-09,3.3680,3.3680,3.2806,3.3089,272100
1994-12-12,3.3680,3.4578,3.3397,3.3680,284400
1994-12-13,3.3680,3.3680,3.3397,3.3397,146100
1994-12-14,3.3680,3.4271,3.3680,3.3988,442200
1994-12-15,3.3988,3.4578,3.3988,3.4271,274200
1994-12-16,3.4578,3.6351,3.4578,3.6351,442500
1994-12-19,3.6044,3.6044,3.5453,3.5760,47400
1994-12-20,3.5760,3.6351,3.5760,3.5760,128400
1994-12-21,3.6044,3.6635,3.6044,3.6635,96600
1994-12-22,3.6635,3.6942,3.6044,3.6942,248400
1994-12-23,3.7226,3.7817,3.7226,3.7817,189600
1994-12-27,3.7817,3.8407,3.7533,3.8124,113700
1994-12-28,3.7817,3.8124,3.7817,3.8124,62100
1994-12-29,3.8124,3.8124,3.7817,3.7817,190800
1994-12-30,3.7817,3.7817,3.7817,3.7817,15900
1995-01-03,3.8124,3.8124,3.7226,3.7817,93300
1995-01-04,3.7817,3.8124,3.7533,3.8124,45300
1995-01-05,3.8124,3.8407,3.7533,3.8124,54300
1995-01-06,3.7533,3.7533,3.6942,3.7226,294000
1995-01-09,3.7533,3.7533,3.7226,3.7226,24000
1995-01-10,3.7226,3.7533,3.7226,3.7533,19200
1995-01-11,3.7226,3.7226,3.7226,3.7226,10800
1995-01-12,3.7226,3.7226,3.7226,3.7226,76200
1995-01-13,3.7226,3.7226,3.6635,3.7226,84600
1995-01-16,3.7533,3.8124,3.7533,3.7817,834300
1995-01-17,3.7817,3.7817,3.7817,3.7817,186300
1995-01-18,3.7817,3.7817,3.6942,3.7226,60900
1995-01-19,3.7226,3.7226,3.6942,3.6942,48600
1995-01-20,3.6942,3.6942,3.6635,3.6635,43500
1995-01-23,3.6942,3.6942,3.6351,3.6635,115200
1995-01-24,3.6942,3.6942,3.6942,3.6942,35100
1995-01-25,3.6942,3.8715,3.6942,3.8124,83100
