Date,Open,High,Low,Close,Volume
1981-12-31,1.5012,1.5289,1.4919,1.4964,1420602
1982-01-04,1.4827,1.4919,1.4687,1.4735,2069202
1982-01-05,1.4365,1.4642,1.4088,1.4180,4173798
1982-01-06,1.4088,1.4546,1.3626,1.3903,3855798
1982-01-07,1.3763,1.3903,1.3626,1.3763,1511100
1982-01-08,1.3715,1.3903,1.3486,1.3486,1861398
1982-01-11,1.3209,1.3534,1.2839,1.2932,2428098
1982-01-12,1.2795,1.3072,1.2514,1.2703,3504000
1982-01-13,1.2839,1.3024,1.2610,1.2655,1692198
1982-01-14,1.2747,1.3024,1.2470,1.3024,2596500
1982-01-15,1.3811,1.4502,1.3116,1.4317,7508598
1982-01-18,1.4410,1.4827,1.3948,1.4827,7078098
1982-01-19,1.4687,1.5056,1.4317,1.4410,7444098
1982-01-20,1.3903,1.4269,1.3534,1.3715,5527602
1982-01-21,1.3992,1.4180,1.3763,1.3992,7028502
1982-01-22,1.4088,1.4225,1.3903,1.3948,2916798
1982-01-25,1.4088,1.4458,1.3715,1.4458,3098700
1982-01-26,1.4502,1.4779,1.4225,1.4317,3584298
1982-01-27,1.4410,1.4594,1.4225,1.4410,2958600
1982-01-28,1.4458,1.4594,1.4269,1.4502,4318602
1982-01-29,1.4594,1.4827,1.4365,1.4410,6637398
1982-02-01,1.3992,1.4225,1.3715,1.3992,2565000
1982-02-02,1.3855,1.3992,1.3671,1.3671,2463498
1982-02-03,1.3438,1.3811,1.3072,1.3161,2934198
1982-02-04,1.3393,1.3671,1.3072,1.3626,4710600
1982-02-05,1.3578,1.3811,1.3349,1.3671,4278498
1982-02-08,1.3301,1.3671,1.2932,1.2980,2663400
1982-02-09,1.2747,1.2980,1.2514,1.2703,4531098
1982-02-10,1.2884,1.2980,1.2747,1.2839,3217500
1982-02-11,1.3578,1.4225,1.2884,1.4225,5796798
1982-02-12,1.3763,1.4225,1.3257,1.3626,8000598
1982-02-16,1.3438,1.3763,1.3116,1.3671,3146700
1982-02-17,1.3257,1.3626,1.2839,1.3024,3310398
1982-02-18,1.3024,1.3209,1.2795,1.2884,2898702
1982-02-19,1.2562,1.2980,1.2148,1.2377,4030602
1982-02-22,1.1779,1.2425,1.1129,1.1361,3710202
1982-02-23,1.1916,1.2470,1.1361,1.2285,4094298
1982-02-24,1.2333,1.2655,1.2008,1.2237,5476398
1982-02-25,1.1960,1.2237,1.1683,1.1823,2432802
1982-02-26,1.1871,1.2008,1.1683,1.1871,2063700
1982-03-01,1.1779,1.1916,1.1638,1.1638,2313198
1982-03-02,1.1502,1.1779,1.1177,1.1269,2203002
1982-03-03,1.0948,1.1129,1.0715,1.0948,4190298
1982-03-04,1.1040,1.1177,1.0851,1.0948,4446102
1982-03-05,1.0899,1.1129,1.0622,1.0763,2695698
1982-03-08,1.0578,1.0948,1.0205,1.0301,2157300
1982-03-09,1.0345,1.0715,0.9976,1.0438,2588598
1982-03-10,1.0345,1.0482,1.0161,1.0161,3031800
1982-03-11,1.0205,1.0345,1.0024,1.0205,4148598
1982-03-12,1.0253,1.0438,1.0068,1.0438,2238402
1982-03-15,1.0715,1.1084,1.0345,1.1084,2013300
1982-03-16,1.0851,1.1040,1.0622,1.0899,1831500
1982-03-17,1.0482,1.0670,1.0301,1.0530,1000302
1982-03-18,1.0622,1.0715,1.0482,1.0622,1294698
1982-03-19,1.0670,1.0807,1.0530,1.0715,1327698
1982-03-22,1.0851,1.0948,1.0715,1.0807,1268700
1982-03-23,1.0715,1.0851,1.0578,1.0670,1097898
1982-03-24,1.0851,1.0948,1.0715,1.0899,3734598
1982-03-25,1.0807,1.0899,1.0715,1.0715,1755900
1982-03-26,1.0763,1.0992,1.0530,1.0851,1722102
1982-03-29,1.0948,1.1177,1.0670,1.1177,1341900
1982-03-30,1.1084,1.1269,1.0899,1.1177,2434398
1982-03-31,1.1361,1.1502,1.1177,1.1406,2202198
1982-04-01,1.1546,1.1731,1.1361,1.1683,2661798
1982-04-02,1.1916,1.2056,1.1731,1.2056,1929900
1982-04-05,1.1960,1.2100,1.1823,1.1960,2044800
1982-04-06,1.1823,1.1960,1.1638,1.1916,4173798
1982-04-07,1.1871,1.2008,1.1683,1.1779,1360002
1982-04-08,1.2008,1.2148,1.1871,1.2008,1422198
1982-04-12,1.1871,1.2056,1.1638,1.1683,1116000
1982-04-13,1.1594,1.1779,1.1361,1.1361,1456002
1982-04-14,1.1502,1.1594,1.1406,1.1546,1312800
1982-04-15,1.1683,1.1916,1.1454,1.1823,1554402
1982-04-16,1.1871,1.1960,1.1731,1.1731,2216400
1982-04-19,1.1502,1.1731,1.1225,1.1269,1730700
1982-04-20,1.1225,1.1317,1.1129,1.1177,1189200
1982-04-21,1.1269,1.1454,1.1084,1.1361,1086102
1982-04-22,1.1638,1.1779,1.1454,1.1731,1765398
1982-04-23,1.1960,1.2100,1.1779,1.2008,3086898
1982-04-26,1.1871,1.2056,1.1638,1.1779,2420202
1982-04-27,1.1823,1.1916,1.1731,1.1823,2074698
1982-04-28,1.1731,1.1823,1.1638,1.1683,1167198
1982-04-29,1.1638,1.1731,1.1502,1.1502,867300
1982-04-30,1.1594,1.1683,1.1502,1.1638,2635902
1982-05-03,1.1406,1.1502,1.1317,1.1361,1744098
1982-05-04,1.1361,1.1502,1.1225,1.1317,2180898
1982-05-05,1.1502,1.1638,1.1317,1.1546,3184500
1982-05-06,1.1823,1.2008,1.1594,1.2008,5733000
1982-05-07,1.2285,1.2425,1.2100,1.2285,4443000
1982-05-10,1.2193,1.2333,1.2008,1.2148,2336802
1982-05-11,1.2285,1.2470,1.2100,1.2377,3727500
1982-05-12,1.2285,1.2470,1.2100,1.2193,1574898
1982-05-13,1.2148,1.2237,1.2056,1.2056,1368702
1982-05-14,1.1916,1.2056,1.1779,1.1823,777600
1982-05-17,1.1779,1.1871,1.1638,1.1731,1119198
1982-05-18,1.1594,1.1683,1.1454,1.1502,1269498
1982-05-19,1.1594,1.1683,1.1454,1.1502,1154598
1982-05-20,1.1594,1.1731,1.1454,1.1546,2324202
1982-05-21,1.1454,1.1546,1.1361,1.1361,1580400
1982-05-24,1.1594,1.1731,1.1454,1.1546,2324202
1982-05-25,1.1871,1.2056,1.1638,1.1731,3437100
1982-05-26,1.1594,1.1683,1.1502,1.1502,1589802
1982-05-27,1.1454,1.1546,1.1317,1.1317,3055398
1982-05-28,1.1317,1.1406,1.1225,1.1225,1189200
1982-06-01,1.1361,1.1502,1.1225,1.1454,1726002
1982-06-02,1.1502,1.1546,1.1406,1.1546,2166798
1982-06-03,1.1594,1.1683,1.1502,1.1638,1976298
1982-06-04,1.1502,1.1594,1.1361,1.1454,1069602
1982-06-07,1.1546,1.1731,1.1361,1.1683,1779498
1982-06-08,1.1779,1.1871,1.1638,1.1683,1400202
1982-06-09,1.1731,1.1779,1.1638,1.1638,1526898
1982-06-10,1.1779,1.1871,1.1683,1.1823,1888098
1982-06-11,1.1916,1.2008,1.1823,1.1823,1404900
1982-06-14,1.1683,1.1871,1.1502,1.1502,1601598
1982-06-15,1.1406,1.1546,1.1225,1.1269,811398
1982-06-16,1.1129,1.1317,1.0948,1.0992,1290000
1982-06-17,1.0715,1.0948,1.0482,1.0715,2572902
1982-06-18,1.0763,1.0807,1.0670,1.0807,1111302
1982-06-21,1.0851,1.0992,1.0715,1.0899,1695300
1982-06-22,1.0715,1.0899,1.0530,1.0622,4038402
1982-06-23,1.0670,1.0899,1.0393,1.0807,2429598
1982-06-24,1.1084,1.1317,1.0807,1.1177,2650002
1982-06-25,1.1454,1.1638,1.1269,1.1454,1656000
1982-06-28,1.1731,1.2008,1.1406,1.1546,1820502
1982-06-29,1.1683,1.1960,1.1406,1.1638,3777102
