Date,Open,High,Low,Close,Volume
1995-04-04,2.2117,2.2352,2.1175,2.2230,40387200
1995-04-05,2.1881,2.2352,2.1411,2.1411,12236800
1995-04-06,2.1411,2.2117,2.1411,2.1768,3776000
1995-04-07,2.1881,2.1881,2.1411,2.1411,1920800
1995-04-10,2.1411,2.1881,2.1411,2.1646,2047200
1995-04-11,2.1411,2.1881,2.1411,2.1533,4096800
1995-04-12,2.1411,2.1646,2.1411,2.1533,2457600
1995-04-13,2.1411,2.1646,2.1411,2.1646,2297600
1995-04-17,2.1411,2.2230,2.1411,2.2230,2233600
1995-04-18,2.1768,2.2230,2.1646,2.2117,2441600
1995-04-19,2.1646,2.1881,2.1175,2.1411,1422400
1995-04-20,2.1175,2.1175,2.0470,2.0583,1023200
1995-04-21,2.0470,2.1175,2.0470,2.1063,2803200
1995-04-24,2.0705,2.1175,2.0705,2.0705,644800
1995-04-25,2.0705,2.1175,2.0705,2.1175,484800
1995-04-26,2.0705,2.1175,2.0705,2.0705,151200
1995-04-27,2.0705,2.1175,2.0705,2.0940,3552000
1995-04-28,2.0940,2.1175,2.0818,2.0818,1076000
1995-05-01,2.1175,2.1175,2.0818,2.0818,2287200
1995-05-02,2.0818,2.1768,2.0818,2.1411,1212000
1995-05-03,2.1175,2.1768,2.0940,2.1533,791200
1995-05-04,2.1411,2.1768,2.1175,2.1175,1011200
1995-05-05,2.1175,2.1646,2.1175,2.1175,164000
1995-05-08,2.1175,2.1768,2.1175,2.1175,59200
1995-05-09,2.1175,2.1411,2.0583,2.0705,592800
1995-05-10,2.1175,2.1175,2.0583,2.0705,817600
1995-05-11,2.0705,2.1175,2.0583,2.0705,615200
1995-05-12,2.1175,2.1175,2.0583,2.0705,1013600
1995-05-15,2.1063,2.1063,2.0357,2.0357,3689600
1995-05-16,2.0357,2.0583,2.0357,2.0470,2481600
1995-05-17,2.0583,2.0583,2.0357,2.0413,328000
1995-05-18,2.0357,2.0470,1.9528,1.9877,514400
1995-05-19,1.9764,1.9877,1.9528,1.9651,1853600
1995-05-22,1.9877,1.9999,1.9528,1.9999,432800
1995-05-23,1.9528,2.0818,1.9528,2.0705,809600
1995-05-24,2.0470,2.1175,2.0470,2.1175,1676800
1995-05-25,2.1175,2.1175,2.0470,2.1175,209600
1995-05-26,2.1175,2.1175,2.0470,2.1175,64000
1995-05-30,2.0940,2.1411,2.0470,2.0940,558400
1995-05-31,2.1288,2.1411,2.0940,2.1411,487200
1995-06-01,2.1533,2.2587,2.1175,2.1646,1427200
1995-06-02,2.1646,2.3058,2.1646,2.2587,1112800
1995-06-05,2.2587,2.3058,2.2587,2.2700,799200
1995-06-06,2.3058,2.3058,2.2587,2.2587,264800
1995-06-07,2.2587,2.3058,2.2352,2.2822,469600
1995-06-08,2.2822,2.2822,2.2117,2.2117,68000
1995-06-09,2.2587,2.2587,2.2117,2.2352,249600
1995-06-12,2.2117,2.2587,2.2117,2.2587,95200
1995-06-13,2.2587,2.2587,2.2117,2.2117,504800
1995-06-14,2.2117,2.2117,2.1646,2.2117,649600
1995-06-15,2.1646,2.2117,2.1646,2.1768,700800
1995-06-16,2.2117,2.2117,2.1646,2.1881,432000
1995-06-19,2.1646,2.2587,2.1646,2.2587,398400
1995-06-20,2.2822,2.2822,2.2117,2.2117,120800
1995-06-21,2.2352,2.3058,2.2117,2.2587,1254400
1995-06-22,2.2587,2.3058,2.2474,2.2474,284800
1995-06-23,2.2352,2.2822,2.2117,2.2822,276800
1995-06-26,2.2822,2.2822,2.2117,2.2474,39200
1995-06-27,2.2822,2.2822,2.2117,2.2352,632000
1995-06-28,2.2117,2.2822,2.2117,2.2117,495200
1995-06-29,2.2117,2.2822,2.1646,2.1646,940800
1995-06-30,2.1881,2.1881,2.1411,2.1467,737600
1995-07-03,2.1411,2.1646,2.1175,2.1175,96800
1995-07-05,2.1881,2.1881,2.1175,2.1175,228800
1995-07-06,2.1881,2.1881,2.0940,2.1175,1457600
1995-07-07,2.1175,2.1646,2.1175,2.1646,199200
1995-07-10,2.1411,2.1881,2.0940,2.1175,1148000
1995-07-11,2.1411,2.1411,2.0940,2.1175,418400
1995-07-12,2.0940,2.1646,2.0940,2.1646,1061600
1995-07-13,2.1175,2.1646,2.0940,2.1533,2342400
1995-07-14,2.1411,2.1411,2.0940,2.1063,420800
1995-07-17,2.0940,2.1411,2.0940,2.1411,941600
1995-07-18,2.0940,2.1411,2.0705,2.0940,119200
1995-07-19,2.0470,2.0940,2.0470,2.0470,28800
1995-07-20,2.0705,2.0705,1.9999,2.0234,62400
1995-07-21,1.9999,2.0705,1.9999,2.0121,53600
1995-07-24,2.0940,2.1411,1.9999,2.1411,757600
1995-07-25,2.1533,2.1646,2.0940,2.1288,179200
1995-07-26,2.1646,2.1646,2.0940,2.0940,5600
1995-07-27,2.0940,2.1646,2.0940,2.1646,916000
1995-07-28,2.1646,2.1646,2.0940,2.0940,63200
1995-07-31,2.1063,2.1411,2.0940,2.0940,31200
1995-08-01,2.0940,2.0940,2.0583,2.0940,84800
1995-08-02,2.0413,2.0583,1.9528,1.9764,7999200
1995-08-03,1.9651,1.9999,1.9528,1.9999,2161600
1995-08-04,1.9999,1.9999,1.9528,1.9999,1005600
1995-08-07,2.0234,2.0234,1.9651,1.9651,1212800
1995-08-08,1.9877,2.0234,1.9058,1.9058,157600
1995-08-09,1.9528,1.9528,1.8587,1.9293,3574400
1995-08-10,1.9293,1.9293,1.8587,1.8823,168000
1995-08-11,1.9293,1.9293,1.8823,1.8945,289600
1995-08-14,1.9171,1.9293,1.8823,1.9293,150400
1995-08-15,1.8823,1.9293,1.8823,1.9293,596800
1995-08-16,1.9764,2.0470,1.9293,2.0470,1267200
1995-08-17,2.0234,2.1646,2.0234,2.1533,2328800
1995-08-18,2.1646,2.1881,2.0940,2.1881,368000
1995-08-21,2.1881,2.1881,2.1533,2.1646,1081600
1995-08-22,2.1646,2.1881,2.1411,2.1411,442400
1995-08-23,2.1411,2.1411,2.0705,2.0705,252000
1995-08-24,2.0705,2.1411,2.0705,2.1175,229600
1995-08-25,2.1411,2.1411,2.0705,2.1175,24800
1995-08-28,2.0818,2.1411,2.0705,2.0705,108000
1995-08-29,2.0705,2.1411,2.0705,2.1063,36000
1995-08-30,2.0705,2.1411,2.0705,2.1411,228000
1995-08-31,2.1411,2.1411,2.0940,2.1411,50400
1995-09-01,2.0940,2.1411,2.0940,2.1288,207200
1995-09-05,2.1175,2.1411,2.1175,2.1288,684000
1995-09-06,2.1063,2.1533,2.1063,2.1533,587200
1995-09-07,2.2117,2.2117,2.0705,2.0705,257600
1995-09-08,2.1411,2.1411,2.0705,2.0705,544800
1995-09-11,2.1411,2.1411,2.0705,2.0705,570400
1995-09-12,2.1063,2.1411,2.0705,2.1063,1880800
1995-09-13,2.1411,2.1411,2.1175,2.1411,460800
1995-09-14,2.0705,2.4234,2.0705,2.4234,1176000
1995-09-15,2.4234,2.4234,2.3764,2.4234,252000
1995-09-18,2.3764,2.4234,2.3293,2.3999,144800
1995-09-19,2.3641,2.4705,2.3528,2.4705,294400
1995-09-20,2.5175,2.5411,2.4705,2.5411,469600
1995-09-21,2.5175,2.6116,2.4705,2.6116,1646400
1995-09-22,2.5411,2.5646,2.5411,2.5411,427200
1995-09-25,2.5175,2.5646,2.5175,2.5646,256000
1995-09-26,2.5175,2.5646,2.5175,2.5646,808000
1995-09-27,2.5175,2.5646,2.5175,2.5298,101600
1995-09-28,2.5175,2.5411,2.5175,2.5411,790400
1995-09-29,2.5411,2.5411,2.5175,2.5411,103200
1995-10-02,2.4469,2.4705,2.3999,2.4112,4956800
1995-10-03,2.4705,2.4705,2.3999,2.4705,60000
1995-10-04,2.3999,2.4705,2.3999,2.3999,186400
1995-10-05,2.3999,2.4469,2.3999,2.4469,155200
1995-10-06,2.4469,2.4705,2.3999,2.4705,85600
1995-10-09,2.4705,2.4705,2.3999,2.4234,230400
1995-10-10,2.3764,2.4469,2.3764,2.3764,466400
1995-10-11,2.4469,2.4469,2.3764,2.3764,168000
1995-10-12,2.4469,2.4469,2.3764,2.4469,76800
1995-10-13,2.4469,2.4469,2.3999,2.4112,405600
1995-10-16,2.4112,2.4705,2.3764,2.4469,496000
1995-10-17,2.4112,2.4705,2.3999,2.3999,301600
1995-10-18,2.4705,2.4705,2.3764,2.3999,298400
1995-10-19,2.3999,2.4705,2.3999,2.3999,23200
1995-10-20,2.3999,2.4705,2.3764,2.4469,1621600
1995-10-23,2.3764,2.4469,2.3764,2.4469,309600
1995-10-24,2.4469,2.4705,2.3999,2.4705,609600
1995-10-25,2.4705,2.4705,2.3999,2.4705,2430400
1995-10-26,2.4705,2.5411,2.4705,2.5411,193600
1995-10-27,2.5175,2.6116,2.5175,2.5881,966400
1995-10-30,2.6116,2.6116,2.5411,2.5768,476800
1995-10-31,2.6116,2.6116,2.5411,2.5646,407200
1995-11-01,2.6352,2.6822,2.5646,2.6822,314400
1995-11-02,2.6822,2.7293,2.6352,2.7293,364800
1995-11-03,2.8234,2.8234,2.7293,2.7999,642400
1995-11-06,2.7999,2.7999,2.7293,2.7293,68000
1995-11-07,2.6822,2.7293,2.6822,2.7293,2933600
1995-11-08,2.6822,2.7293,2.6587,2.7293,753600
1995-11-09,2.7293,2.7763,2.7293,2.7641,284800
1995-11-10,2.7293,2.8234,2.7293,2.8234,1120000
1995-11-13,2.8234,2.8234,2.7763,2.7763,44800
1995-11-14,2.8234,2.8469,2.7763,2.8469,94400
1995-11-15,2.8469,2.8469,2.7763,2.7999,279200
1995-11-16,2.7999,2.7999,2.7528,2.7763,816800
1995-11-17,2.7763,2.7999,2.7763,2.7999,12800
1995-11-20,2.7999,2.7999,2.7528,2.7528,255200
1995-11-21,2.7876,2.7999,2.7641,2.7999,260800
1995-11-22,2.7999,2.7999,2.7528,2.7707,285600
1995-11-24,2.7999,2.7999,2.7349,2.7528,92800
1995-11-27,2.6822,2.7528,2.6822,2.6822,236800
1995-11-28,2.7528,2.7528,2.6822,2.7293,206400
1995-11-29,2.7293,2.7293,2.6822,2.7293,93600
1995-11-30,2.6822,2.7293,2.6822,2.7293,159200
1995-12-01,2.7293,2.7763,2.7293,2.7763,63200
1995-12-04,2.7293,2.7763,2.7293,2.7763,632800
1995-12-05,2.7293,2.7999,2.7293,2.7528,87200
1995-12-06,2.7293,2.8469,2.7293,2.8469,189600
1995-12-07,2.8705,2.8705,2.8469,2.8705,45600
1995-12-08,2.8705,2.9646,2.8705,2.9646,532800
1995-12-11,3.0352,3.0822,3.0116,3.0822,266400
1995-12-12,3.0822,3.1528,3.0352,3.1528,810400
1995-12-13,3.1528,3.1763,3.0822,3.0822,192000
1995-12-14,3.1057,3.1057,2.9881,2.9881,616000
1995-12-15,3.0003,3.0587,2.9881,3.0464,371200
1995-12-18,3.0587,3.0587,2.9881,3.0116,18400
1995-12-19,2.9881,3.0352,2.9881,3.0352,445600
1995-12-20,2.9881,3.0352,2.9881,2.9881,195200
1995-12-21,3.0352,3.0352,2.9646,2.9646,400800
1995-12-22,3.0116,3.0116,2.9646,2.9646,36000
1995-12-26,2.9646,3.0116,2.9646,2.9881,51200
1995-12-27,3.0116,3.0352,2.9646,3.0352,280800
1995-12-28,3.0239,3.0352,2.9646,3.0239,183200
1995-12-29,3.0239,3.2234,2.9646,3.1057,1542400
1996-01-02,3.0587,3.1057,3.0587,3.1057,824800
1996-01-03,3.0352,3.1057,3.0352,3.0352,897600
1996-01-04,3.0352,3.0822,3.0352,3.0352,324000
1996-01-05,3.0822,3.0822,3.0116,3.0587,595200
1996-01-08,3.0822,3.0822,3.0116,3.0116,66400
1996-01-09,3.0474,3.0822,3.0229,3.0587,412800
1996-01-10,3.0116,3.0822,3.0116,3.0116,310400
1996-01-11,3.0352,3.0822,3.0116,3.0116,68800
1996-01-12,3.0822,3.0822,3.0116,3.0116,80000
1996-01-15,3.0229,3.0822,3.0003,3.0116,25600
1996-01-16,2.9881,3.0822,2.9881,3.0822,35200
1996-01-17,3.0822,3.0822,2.9881,2.9881,1576000
1996-01-18,3.0822,3.0822,2.9881,3.0587,179200
1996-01-19,3.0822,3.0822,3.0822,3.0822,6400
1996-01-22,3.0822,3.0822,3.0229,3.0822,147200
1996-01-23,2.9881,3.0822,2.9881,3.0822,57600
1996-01-24,3.0822,3.0822,2.9881,2.9881,532000
1996-01-25,3.0229,3.0587,2.9881,3.0587,74400
1996-01-26,3.0587,3.0587,2.9881,3.0229,55200
1996-01-29,3.0587,3.0587,2.9881,3.0003,65600
1996-01-30,3.0352,3.0352,2.9881,2.9881,173600
1996-01-31,3.0352,3.0352,2.9175,2.9410,540800
1996-02-01,2.8940,2.9881,2.8940,2.9175,279200
1996-02-02,2.8940,2.9646,2.8234,2.8234,243200
1996-02-05,2.9175,2.9175,2.7763,2.7763,175200
1996-02-06,2.8234,2.8469,2.7528,2.7528,443200
1996-02-07,2.7528,2.8469,2.7528,2.8469,531200
1996-02-08,2.7528,2.8469,2.7528,2.8347,471200
1996-02-09,2.7763,2.8469,2.7528,2.7528,1227200
1996-02-12,2.8469,2.8469,2.7528,2.7528,3200
1996-02-13,2.8469,2.8469,2.7528,2.7999,2736800
1996-02-14,2.8469,2.8469,2.7528,2.7999,603200
1996-02-15,2.7999,2.8469,2.7528,2.7528,264000
1996-02-16,2.7528,2.8469,2.7528,2.8469,1168800
1996-02-20,2.8469,2.8469,2.7528,2.8234,13600
1996-02-21,2.7528,2.8234,2.7528,2.7650,1724800
1996-02-22,2.8234,2.8234,2.7293,2.7528,399200
1996-02-23,2.7650,2.7763,2.7293,2.7293,786400
1996-02-26,2.7763,2.7763,2.7058,2.7058,247200
1996-02-27,2.7058,2.7763,2.6465,2.6822,671200
1996-02-28,2.6465,2.7293,2.6352,2.7293,772800
1996-02-29,2.6587,2.7293,2.6352,2.7293,102400
1996-03-01,2.6352,2.7293,2.6352,2.6352,734400
1996-03-04,2.6352,2.7293,2.6352,2.6822,136800
1996-03-05,2.6822,2.7528,2.6822,2.7528,2282400
1996-03-06,2.7763,2.7763,2.7763,2.7763,80000
1996-03-07,2.8469,2.9410,2.8469,2.8817,382400
1996-03-08,2.7763,2.8469,2.7528,2.7763,302400
1996-03-11,2.7999,2.7999,2.7528,2.7528,11200
1996-03-12,2.7999,2.7999,2.7528,2.7999,46400
1996-03-13,2.7999,2.8469,2.7763,2.8347,488800
1996-03-14,2.8234,2.9410,2.8121,2.9410,1024800
1996-03-15,2.8469,2.9646,2.8469,2.9646,140000
1996-03-18,2.9646,3.0352,2.9175,3.0116,608800
1996-03-19,2.9646,3.1763,2.9646,3.0822,380800
1996-03-20,3.0822,3.1763,3.0822,3.1763,110400
1996-03-21,3.0944,3.1763,3.0944,3.1763,626400
1996-03-22,3.1584,3.1763,3.1415,3.1763,48800
1996-03-25,3.1293,3.1999,3.1170,3.1415,1008800
1996-03-26,3.1528,3.1528,3.1057,3.1293,216000
1996-03-27,3.1057,3.1528,3.1057,3.1057,196800
1996-03-28,3.1528,3.1528,3.0822,3.0822,123200
1996-03-29,3.1528,3.1528,3.0587,3.1057,576800
1996-04-01,3.0587,3.1528,3.0587,3.1057,90400
1996-04-02,3.1057,3.1528,3.0822,3.1415,518400
1996-04-03,3.1528,3.1528,3.1293,3.1293,28000
1996-04-04,3.1293,3.1999,3.1293,3.1999,149600
1996-04-08,3.1057,3.1763,3.1057,3.1528,468800
1996-04-09,3.1641,3.1999,3.1293,3.1641,397600
1996-04-10,3.1293,3.1999,3.1293,3.1293,297600
1996-04-11,3.1293,3.1999,3.1293,3.1293,54400
1996-04-12,3.1528,3.1999,3.1528,3.1999,196800
1996-04-15,3.1293,3.1999,3.1293,3.1293,101600
1996-04-16,3.1763,3.1999,3.1293,3.1293,259200
1996-04-17,3.1763,3.3175,3.1528,3.2234,514400
1996-04-18,3.2940,3.2940,3.2234,3.2940,106400
1996-04-19,3.2940,3.3175,3.2234,3.3175,266400
1996-04-22,3.3175,3.4116,3.3175,3.4116,355200
1996-04-23,3.4116,3.5292,3.3881,3.4351,724000
1996-04-24,3.5292,3.5292,3.4587,3.5292,451200
1996-04-25,3.5292,3.5292,3.4587,3.5292,167200
1996-04-26,3.5292,3.5292,3.4587,3.4822,87200
1996-04-29,3.4587,3.5292,3.1999,3.2704,418400
1996-04-30,3.2704,3.3881,3.2704,3.3881,40800
1996-05-01,3.3175,3.5057,3.3175,3.5057,675200
1996-05-02,3.4351,3.5057,3.4351,3.4822,84800
1996-05-03,3.4351,3.5057,3.4351,3.5057,453600
1996-05-06,3.4351,3.5057,3.4351,3.4822,46400
1996-05-07,3.4351,3.5057,3.4116,3.4116,153600
1996-05-08,3.4822,3.4822,3.4116,3.4351,65600
1996-05-09,3.4822,3.4822,3.4116,3.4351,48000
1996-05-10,3.4116,3.4822,3.4116,3.4351,386400
1996-05-13,3.4116,3.4351,3.4116,3.4116,8800
1996-05-14,3.4351,3.4351,3.3410,3.3645,206400
1996-05-15,3.3645,3.3881,3.3410,3.3410,367200
1996-05-16,3.3881,3.4116,3.3881,3.4116,29600
1996-05-17,3.4351,3.4351,3.3410,3.3410,24800
1996-05-20,3.4351,3.4351,3.3410,3.4351,43200
1996-05-21,3.3410,3.3881,3.3410,3.3410,88800
1996-05-22,3.3175,3.3175,3.2704,3.2704,18728800
1996-05-23,3.2704,3.2940,3.2704,3.2827,3039200
1996-05-24,3.2704,3.3175,3.2582,3.2582,1467200
1996-05-28,3.2940,3.2940,3.2111,3.2111,2190400
1996-05-29,3.1999,3.2111,3.1057,3.1763,1056000
1996-05-30,3.2116,3.2940,3.2116,3.2116,814400
1996-05-31,3.1999,3.2116,3.1057,3.1763,501600
1996-06-03,3.1641,3.1763,3.1528,3.1528,696000
1996-06-04,3.1646,3.1763,3.1528,3.1528,2080000
1996-06-05,3.2940,3.3881,3.2234,3.3645,1983200
1996-06-06,3.3645,3.4351,3.2940,3.2940,263200
1996-06-07,3.2704,3.2704,3.1646,3.2234,739200
1996-06-10,3.1763,3.2469,3.1641,3.1999,188000
1996-06-11,3.1999,3.1999,3.1641,3.1763,587200
1996-06-12,3.1999,3.1999,3.1646,3.1763,461600
1996-06-13,3.1528,3.1646,3.0822,3.0822,660800
1996-06-14,3.0822,3.1528,3.0469,3.0704,506400
1996-06-17,3.0229,3.0822,3.0116,3.0229,876800
1996-06-18,3.0234,3.0822,3.0116,3.0234,732800
1996-06-19,3.0234,3.0587,3.0116,3.0587,868800
1996-06-20,3.0352,3.0822,3.0116,3.0587,195200
1996-06-21,3.0352,3.0822,2.9763,3.0352,418400
1996-06-24,3.1763,3.1763,3.1293,3.1415,535200
1996-06-25,3.1763,3.1763,3.1293,3.1410,356000
1996-06-26,3.1410,3.1528,3.0587,3.0822,360000
1996-06-27,3.1057,3.1175,3.0704,3.0704,371200
1996-06-28,3.0704,3.1057,3.0469,3.1057,581600
1996-07-01,3.1057,3.1057,3.0700,3.0822,260800
1996-07-02,3.0587,3.0587,2.9881,3.0116,185600
1996-07-03,3.1057,3.1057,3.0704,3.0822,171200
1996-07-05,3.0352,3.0352,2.9881,3.0116,78400
1996-07-08,2.9410,2.9410,2.8705,2.8817,272000
1996-07-09,2.9062,3.0229,2.9062,3.0003,320800
1996-07-10,2.9410,2.9410,2.8705,2.8822,324800
1996-07-11,2.9175,3.0234,2.9057,2.9999,1863200
1996-07-12,2.9763,2.9999,2.9528,2.9763,893600
1996-07-15,2.9062,2.9175,2.7058,2.7528,587200
1996-07-16,2.7528,2.7650,2.6239,2.6352,1245600
1996-07-17,2.9057,2.9175,2.7058,2.7528,897600
1996-07-18,2.7528,2.7646,2.6234,2.6352,1396000
1996-07-19,2.7058,2.7646,2.6822,2.7058,441600
1996-07-22,2.8940,2.8940,2.8347,2.8940,142400
1996-07-23,2.9288,2.9288,2.8592,2.8592,220800
1996-07-24,2.8940,2.8940,2.8352,2.8940,1598400
1996-07-25,2.8940,2.9293,2.8587,2.8587,628800
1996-07-26,2.8587,2.8705,2.8234,2.8469,110400
1996-07-29,2.9759,3.1763,2.9759,3.1293,992800
1996-07-30,3.1293,3.1528,3.1293,3.1528,72000
1996-07-31,2.9763,3.1763,2.9763,3.1293,952800
1996-08-01,3.1293,3.1528,3.1293,3.1528,288000
1996-08-02,3.1999,3.2704,3.1999,3.2469,613600
1996-08-05,3.2704,3.2827,3.2234,3.2704,320000
1996-08-06,3.2704,3.2704,3.2356,3.2704,242400
1996-08-07,3.2704,3.2822,3.2234,3.2704,1127200
1996-08-08,3.2704,3.2704,3.2351,3.2704,487200
1996-08-09,3.2469,3.3763,3.2469,3.3293,326400
1996-08-12,3.3297,3.3297,3.2582,3.2582,40800
1996-08-13,3.2827,3.2827,3.1999,3.1999,328000
1996-08-14,3.3293,3.3293,3.2587,3.2587,380800
1996-08-15,3.2822,3.2822,3.1999,3.1999,148800
1996-08-16,3.2234,3.2704,3.2234,3.2704,52800
1996-08-19,3.2827,3.2940,3.2469,3.2704,525600
1996-08-20,3.2704,3.2704,3.2469,3.2704,188000
1996-08-21,3.2822,3.2940,3.2469,3.2704,116800
1996-08-22,3.2704,3.2704,3.2469,3.2704,173600
1996-08-23,3.2704,3.2940,3.2704,3.2940,292000
1996-08-26,3.3645,3.3994,3.3645,3.3881,503200
