Date,Open,High,Low,Close,Volume
1985-07-01,1.7782,1.8075,1.7782,1.8075,833600
1985-07-02,1.8075,1.8075,1.7958,1.7986,232000
1985-07-03,1.7986,1.8047,1.7930,1.7958,265600
1985-07-05,1.7958,1.8075,1.7930,1.8016,273600
1985-07-08,1.8047,1.8221,1.8047,1.8221,825600
1985-07-09,1.8251,1.8721,1.8251,1.8721,577600
1985-07-10,1.8721,1.8897,1.8662,1.8751,683200
1985-07-11,1.8751,1.8779,1.8721,1.8751,478400
1985-07-12,1.8721,1.8721,1.8662,1.8662,227200
1985-07-15,1.8662,1.8779,1.8573,1.8573,236800
1985-07-16,1.8573,1.8662,1.8573,1.8662,507200
1985-07-17,1.8662,1.8807,1.8634,1.8807,555200
1985-07-18,1.8779,1.8779,1.8662,1.8662,137600
1985-07-19,1.8662,1.8721,1.8369,1.8516,371200
1985-07-22,1.8399,1.8399,1.8221,1.8310,411200
1985-07-23,1.8251,1.8251,1.7547,1.7751,422400
1985-07-24,1.7751,1.7899,1.7606,1.7606,534400
1985-07-25,1.7606,1.7723,1.7399,1.7460,417600
1985-07-26,1.7460,1.7634,1.7430,1.7516,348800
1985-07-29,1.7516,1.7516,1.7195,1.7343,697600
1985-07-30,1.7225,1.7225,1.6812,1.6812,865600
1985-07-31,1.6873,1.7516,1.6873,1.7488,910400
1985-08-01,1.7371,1.7371,1.7019,1.7371,242000
1985-08-02,1.7427,1.7784,1.7427,1.7549,316800
1985-08-05,1.7549,1.7723,1.7315,1.7662,345600
1985-08-06,1.7662,1.7840,1.7136,1.7136,540000
1985-08-07,1.7136,1.7662,1.7080,1.7662,575200
1985-08-08,1.7662,1.8075,1.7549,1.8075,474400
1985-08-09,1.8075,1.8253,1.7840,1.8019,486400
1985-08-12,1.8019,1.8075,1.7606,1.8019,485600
1985-08-13,1.8019,1.8019,1.7840,1.7840,345600
1985-08-14,1.7840,1.7840,1.7606,1.7662,308800
1985-08-15,1.7662,1.7784,1.7662,1.7784,183200
1985-08-16,1.7784,1.7784,1.7488,1.7488,168800
1985-08-19,1.7488,1.7662,1.7488,1.7662,200000
1985-08-20,1.7662,1.7723,1.7606,1.7606,493600
1985-08-21,1.7606,1.8662,1.7549,1.7662,460000
1985-08-22,1.7662,1.7723,1.7549,1.7606,243200
1985-08-23,1.7606,1.7662,1.7549,1.7549,69600
1985-08-26,1.7549,1.7606,1.7549,1.7549,134400
1985-08-27,1.7549,1.7606,1.7549,1.7606,121600
1985-08-28,1.7606,1.7606,1.7427,1.7606,301600
1985-08-29,1.7606,1.7723,1.7549,1.7662,168000
1985-08-30,1.7662,1.7723,1.7488,1.7549,326400
1985-09-03,1.7549,1.7549,1.7427,1.7488,128000
1985-09-04,1.7488,1.7606,1.7371,1.7427,328000
1985-09-05,1.7427,1.7549,1.7427,1.7488,141600
1985-09-06,1.7488,1.7662,1.7427,1.7488,100000
1985-09-09,1.7549,1.8019,1.7549,1.8019,185600
1985-09-10,1.8019,1.8310,1.7958,1.7958,178400
1985-09-11,1.7958,1.8192,1.7897,1.7897,178400
1985-09-12,1.7897,1.8075,1.7723,1.7840,451200
1985-09-13,1.7840,1.7897,1.7019,1.7549,308000
1985-09-16,1.7549,1.7606,1.7315,1.7606,158400
1985-09-17,1.7606,1.8019,1.7427,1.7784,384000
1985-09-18,1.7784,1.7784,1.7371,1.7488,396800
1985-09-19,1.7488,1.7662,1.7427,1.7549,56800
1985-09-20,1.7549,1.7784,1.7080,1.7080,327200
1985-09-23,1.7080,1.7488,1.6901,1.6901,392800
1985-09-24,1.7019,1.7606,1.7019,1.7606,488000
1985-09-25,1.7606,1.8019,1.7427,1.7897,439200
1985-09-26,1.7897,1.8019,1.7840,1.7958,371200
1985-09-30,1.8019,1.8488,1.8019,1.8253,495200
1985-10-01,1.8723,1.9836,1.8131,1.9718,748000
1985-10-02,1.9718,1.9836,1.8897,1.9305,996800
1985-10-03,1.9305,1.9718,1.9249,1.9718,724800
1985-10-04,1.9484,1.9484,1.9249,1.9249,264000
1985-10-07,1.9249,1.9249,1.8488,1.8836,420800
1985-10-08,1.8897,1.9484,1.8897,1.9249,417600
1985-10-09,1.9484,2.0305,1.9484,1.9836,1524000
1985-10-10,1.9836,2.0131,1.9540,1.9836,984000
1985-10-11,1.9775,1.9775,1.9601,1.9775,309600
1985-10-14,1.9775,1.9897,1.9718,1.9836,232800
1985-10-15,1.9836,2.1127,1.9662,2.1127,1702400
1985-10-16,2.1127,2.1775,2.0540,2.1070,1347200
1985-10-17,2.1070,2.1070,2.0714,2.0892,1089600
1985-10-18,2.0892,2.1831,2.0775,2.1775,1172000
1985-10-21,2.1775,2.1775,2.1127,2.1418,422400
1985-10-22,2.1418,2.1479,2.0948,2.1127,591200
1985-10-23,2.1009,2.1009,2.0479,2.0479,504000
1985-10-24,2.0479,2.0601,2.0070,2.0423,255200
1985-10-25,2.0423,2.0601,2.0305,2.0423,275200
1985-10-28,2.0305,2.0305,1.9836,1.9836,409600
1985-10-29,1.9836,2.0131,1.9540,1.9601,548800
1985-10-30,1.9601,1.9953,1.9070,1.9192,710400
1985-10-31,1.9192,1.9305,1.8897,1.9249,592000
1985-11-01,1.9305,2.0009,1.9305,2.0009,596800
1985-11-04,2.0009,2.0070,1.9718,1.9953,227200
1985-11-05,1.9953,2.0070,1.9836,1.9953,360000
1985-11-06,1.9953,2.0009,1.9366,1.9662,305600
1985-11-07,1.9662,1.9897,1.9484,1.9775,589600
1985-11-08,1.9953,2.0836,1.9953,2.0601,872000
1985-11-11,2.0714,2.1831,2.0714,2.1653,1057600
1985-11-12,2.1653,2.1653,2.1244,2.1361,1874400
1985-11-13,2.1361,2.1479,2.1009,2.1244,815200
1985-11-14,2.1244,2.1418,2.1183,2.1418,890400
1985-11-15,2.1361,2.1361,2.1009,2.1070,457600
1985-11-18,2.1070,2.1305,2.0892,2.1244,402400
1985-11-19,2.1244,2.1305,2.1127,2.1305,235200
1985-11-20,2.1305,2.1596,2.1183,2.1596,568000
1985-11-21,2.1596,2.1714,2.1305,2.1714,2128000
1985-11-22,2.1714,2.5117,2.1714,2.3765,6428800
1985-11-25,2.3474,2.3474,2.2714,2.3005,1434400
1985-11-26,2.3005,2.3061,2.2535,2.3005,1399200
1985-11-27,2.3005,2.4704,2.3005,2.4178,5197600
1985-11-29,2.5000,2.5765,2.5000,2.5408,3688800
1985-12-02,2.5352,2.5352,2.4530,2.4883,2356800
1985-12-03,2.4883,2.4883,2.4530,2.4592,746400
1985-12-04,2.4704,2.6056,2.4704,2.5822,3550400
1985-12-05,2.5822,2.7286,2.5530,2.6817,2484800
1985-12-06,2.6643,2.6643,2.5704,2.6056,1635200
1985-12-09,2.6056,2.6056,2.5643,2.5939,1139200
1985-12-10,2.5822,2.5822,2.4178,2.4235,2234400
1985-12-11,2.4235,2.5117,2.4178,2.4883,1385600
1985-12-12,2.4883,2.4939,2.4296,2.4826,785600
1985-12-13,2.4826,2.4939,2.4592,2.4648,670400
1985-12-16,2.4648,2.4939,2.4357,2.4704,828800
1985-12-17,2.4704,2.4704,2.3944,2.3944,988000
1985-12-18,2.3944,2.4357,2.3944,2.4178,1058400
