Date,Open,High,Low,Close,Volume
1994-03-17,0.1406,0.1550,0.1354,0.1524,188342400
1994-03-18,0.1563,0.1589,0.1498,0.1589,36192000
1994-03-21,0.1589,0.1641,0.1550,0.1589,9168000
1994-03-22,0.1641,0.1667,0.1589,0.1589,14486400
1994-03-23,0.1615,0.1615,0.1563,0.1589,6432000
1994-03-24,0.1602,0.1602,0.1563,0.1602,5212800
1994-03-25,0.1602,0.1667,0.1563,0.1667,5174400
1994-03-28,0.1667,0.1667,0.1563,0.1576,9676800
1994-03-29,0.1589,0.1589,0.1484,0.1484,3398400
1994-03-30,0.1484,0.1536,0.1484,0.1510,4579200
1994-03-31,0.1498,0.1498,0.1406,0.1446,3945600
1994-04-04,0.1432,0.1432,0.1380,0.1420,8323200
1994-04-05,0.1420,0.1458,0.1406,0.1458,1939200
1994-04-06,0.1472,0.1510,0.1458,0.1472,1747200
1994-04-07,0.1510,0.1536,0.1498,0.1536,393600
1994-04-08,0.1536,0.1563,0.1510,0.1524,758400
1994-04-11,0.1563,0.1563,0.1524,0.1563,595200
1994-04-12,0.1563,0.1576,0.1536,0.1550,3369600
1994-04-13,0.1550,0.1550,0.1510,0.1550,2976000
1994-04-14,0.1510,0.1536,0.1510,0.1536,67200
1994-04-15,0.1524,0.1524,0.1484,0.1524,3312000
1994-04-18,0.1484,0.1524,0.1472,0.1510,3523200
1994-04-19,0.1510,0.1510,0.1432,0.1484,1689600
1994-04-20,0.1458,0.1484,0.1458,0.1458,307200
1994-04-21,0.1458,0.1472,0.1432,0.1458,13420800
1994-04-22,0.1432,0.1458,0.1432,0.1458,2064000
1994-04-25,0.1458,0.1484,0.1439,0.1458,19267200
1994-04-26,0.1484,0.1510,0.1458,0.1510,10406400
1994-04-28,0.1536,0.1536,0.1510,0.1524,768000
1994-04-29,0.1524,0.1563,0.1510,0.1510,5049600
1994-05-02,0.1550,0.1563,0.1536,0.1563,2400000
1994-05-03,0.1563,0.1641,0.1563,0.1615,4857600
1994-05-04,0.1589,0.1641,0.1589,0.1641,8208000
1994-05-05,0.1641,0.1667,0.1628,0.1667,9552000
1994-05-06,0.1667,0.1667,0.1615,0.1641,2112000
1994-05-09,0.1615,0.1641,0.1615,0.1615,816000
1994-05-10,0.1641,0.1667,0.1615,0.1667,633600
1994-05-11,0.1641,0.1641,0.1576,0.1615,23788800
1994-05-12,0.1615,0.1641,0.1589,0.1589,7334400
1994-05-13,0.1641,0.1641,0.1641,0.1641,38400
1994-05-16,0.1589,0.1641,0.1589,0.1589,1660800
1994-05-17,0.1589,0.1641,0.1589,0.1589,777600
1994-05-18,0.1641,0.1641,0.1589,0.1589,1814400
1994-05-19,0.1589,0.1589,0.1589,0.1589,326400
1994-05-20,0.1589,0.1641,0.1589,0.1602,3052800
1994-05-23,0.1589,0.1589,0.1589,0.1589,720000
1994-05-24,0.1589,0.1589,0.1589,0.1589,19200
1994-05-25,0.1589,0.1628,0.1589,0.1628,182400
1994-05-26,0.1641,0.1641,0.1589,0.1615,1929600
1994-05-27,0.1589,0.1602,0.1589,0.1602,336000
1994-05-31,0.1641,0.1641,0.1602,0.1641,8880000
1994-06-01,0.1641,0.1641,0.1615,0.1615,576000
1994-06-02,0.1615,0.1719,0.1615,0.1706,3600000
1994-06-03,0.1667,0.1758,0.1667,0.1732,3792000
1994-06-06,0.1771,0.1771,0.1732,0.1771,3657600
1994-06-07,0.1745,0.1745,0.1719,0.1745,2083200
1994-06-08,0.1771,0.1771,0.1719,0.1719,1296000
1994-06-09,0.1719,0.1719,0.1576,0.1576,6384000
1994-06-10,0.1576,0.1615,0.1563,0.1589,3062400
1994-06-13,0.1563,0.1615,0.1563,0.1615,4819200
1994-06-14,0.1615,0.1641,0.1589,0.1615,681600
1994-06-15,0.1641,0.1641,0.1589,0.1641,1305600
1994-06-16,0.1615,0.1641,0.1589,0.1641,3340800
1994-06-17,0.1595,0.1595,0.1589,0.1589,115200
1994-06-20,0.1641,0.1641,0.1641,0.1641,19200
1994-06-21,0.1641,0.1641,0.1536,0.1563,4752000
1994-06-22,0.1524,0.1563,0.1524,0.1563,470400
1994-06-23,0.1536,0.1536,0.1484,0.1524,2198400
1994-06-24,0.1484,0.1510,0.1472,0.1484,2006400
1994-06-27,0.1498,0.1498,0.1472,0.1484,384000
1994-06-28,0.1484,0.1550,0.1472,0.1550,5827200
1994-06-29,0.1524,0.1550,0.1498,0.1550,3993600
1994-06-30,0.1550,0.1602,0.1536,0.1576,3859200
1994-07-01,0.1602,0.1602,0.1550,0.1602,758400
1994-07-05,0.1576,0.1576,0.1536,0.1550,998400
1994-07-06,0.1536,0.1536,0.1472,0.1524,2995200
1994-07-07,0.1524,0.1524,0.1524,0.1524,854400
1994-07-08,0.1523,0.1523,0.1523,0.1523,0
1994-07-11,0.1472,0.1510,0.1458,0.1484,2601600
1994-07-12,0.1484,0.1484,0.1472,0.1472,374400
1994-07-13,0.1458,0.1536,0.1458,0.1536,11126400
1994-07-14,0.1498,0.1536,0.1498,0.1536,672000
1994-07-15,0.1524,0.1536,0.1498,0.1536,4569600
1994-07-18,0.1536,0.1536,0.1536,0.1536,0
1994-07-19,0.1524,0.1536,0.1524,0.1536,192000
1994-07-20,0.1536,0.1536,0.1536,0.1536,57600
1994-07-21,0.1536,0.1536,0.1536,0.1536,0
1994-07-22,0.1524,0.1524,0.1498,0.1498,672000
1994-07-25,0.1498,0.1510,0.1498,0.1510,1584000
1994-07-26,0.1524,0.1536,0.1498,0.1524,1008000
1994-07-27,0.1536,0.1536,0.1498,0.1510,1852800
1994-07-28,0.1524,0.1536,0.1498,0.1510,2467200
1994-07-29,0.1498,0.1510,0.1498,0.1510,528000
1994-08-01,0.1498,0.1536,0.1498,0.1524,1209600
1994-08-02,0.1510,0.1524,0.1510,0.1524,2160000
1994-08-03,0.1536,0.1550,0.1510,0.1550,451200
1994-08-04,0.1550,0.1550,0.1510,0.1510,835200
1994-08-05,0.1498,0.1498,0.1446,0.1484,2697600
1994-08-08,0.1458,0.1484,0.1458,0.1484,86400
1994-08-09,0.1484,0.1484,0.1472,0.1472,288000
1994-08-10,0.1472,0.1484,0.1472,0.1472,960000
1994-08-11,0.1458,0.1472,0.1458,0.1472,451200
1994-08-12,0.1458,0.1484,0.1458,0.1484,3888000
1994-08-15,0.1458,0.1472,0.1458,0.1472,4416000
1994-08-16,0.1458,0.1484,0.1458,0.1458,432000
1994-08-17,0.1458,0.1484,0.1458,0.1484,12643200
1994-08-18,0.1498,0.1536,0.1498,0.1510,6048000
1994-08-19,0.1510,0.1536,0.1510,0.1524,11568000
1994-08-22,0.1524,0.1536,0.1510,0.1524,4512000
1994-08-23,0.1563,0.1563,0.1510,0.1510,2822400
1994-08-24,0.1563,0.1563,0.1510,0.1524,3273600
1994-08-25,0.1510,0.1524,0.1510,0.1524,1324800
1994-08-26,0.1510,0.1524,0.1510,0.1524,1632000
1994-08-29,0.1563,0.1634,0.1563,0.1615,4022400
1994-08-30,0.1641,0.1641,0.1563,0.1576,10992000
1994-08-31,0.1576,0.1615,0.1563,0.1615,4800000
1994-09-01,0.1615,0.1615,0.1576,0.1576,3292800
1994-09-02,0.1576,0.1576,0.1576,0.1576,960000
1994-09-06,0.1563,0.1589,0.1563,0.1589,38400
1994-09-07,0.1615,0.1615,0.1615,0.1615,19200
1994-09-08,0.1563,0.1569,0.1563,0.1569,3110400
1994-09-09,0.1563,0.1576,0.1563,0.1563,3216000
1994-09-12,0.1589,0.1589,0.1589,0.1589,480000
1994-09-13,0.1563,0.1602,0.1563,0.1602,1593600
1994-09-14,0.1563,0.1563,0.1563,0.1563,796800
1994-09-15,0.1563,0.1563,0.1524,0.1550,2611200
1994-09-16,0.1536,0.1536,0.1510,0.1536,864000
1994-09-19,0.1510,0.1536,0.1510,0.1524,1574400
1994-09-20,0.1536,0.1536,0.1510,0.1524,240000
1994-09-21,0.1510,0.1536,0.1510,0.1536,1497600
1994-09-22,0.1510,0.1536,0.1510,0.1536,441600
1994-09-23,0.1510,0.1536,0.1510,0.1536,710400
1994-09-26,0.1536,0.1536,0.1510,0.1524,115200
1994-09-27,0.1536,0.1550,0.1517,0.1550,8044800
1994-09-28,0.1563,0.1615,0.1563,0.1615,7238400
1994-09-29,0.1563,0.1615,0.1563,0.1563,10262400
1994-09-30,0.1615,0.1641,0.1602,0.1641,5971200
1994-10-03,0.1641,0.1641,0.1589,0.1628,1622400
1994-10-04,0.1641,0.1641,0.1589,0.1615,422400
1994-10-05,0.1589,0.1641,0.1589,0.1641,5923200
1994-10-06,0.1602,0.1615,0.1602,0.1615,3148800
1994-10-07,0.1589,0.1589,0.1589,0.1589,28800
1994-10-10,0.1589,0.1589,0.1589,0.1589,0
1994-10-11,0.1615,0.1706,0.1615,0.1706,6432000
1994-10-12,0.1693,0.1706,0.1667,0.1706,10348800
1994-10-13,0.1680,0.1719,0.1680,0.1719,10185600
1994-10-14,0.1719,0.1719,0.1693,0.1693,57600
1994-10-17,0.1713,0.1719,0.1713,0.1719,9907200
1994-10-18,0.1693,0.1719,0.1693,0.1719,316800
1994-10-19,0.1706,0.1719,0.1693,0.1693,844800
1994-10-20,0.1719,0.1745,0.1719,0.1732,1833600
1994-10-21,0.1745,0.1823,0.1739,0.1784,4924800
1994-10-24,0.1823,0.1823,0.1810,0.1823,1641600
1994-10-25,0.1823,0.1875,0.1784,0.1862,4214400
1994-10-26,0.1862,0.1875,0.1836,0.1875,7123200
1994-10-27,0.1875,0.1941,0.1862,0.1889,9964800
1994-10-28,0.1927,0.1927,0.1889,0.1889,211200
1994-10-31,0.1941,0.1941,0.1875,0.1927,8620800
1994-11-01,0.1941,0.1941,0.1901,0.1941,1430400
1994-11-02,0.1941,0.1941,0.1875,0.1875,3244800
1994-11-03,0.1862,0.1875,0.1823,0.1849,1651200
1994-11-04,0.1849,0.1849,0.1810,0.1823,1776000
1994-11-07,0.1797,0.1797,0.1745,0.1784,4329600
1994-11-08,0.1784,0.1810,0.1771,0.1810,1958400
1994-11-09,0.1836,0.1836,0.1797,0.1810,1603200
1994-11-10,0.1784,0.1836,0.1784,0.1797,2496000
1994-11-11,0.1797,0.1836,0.1797,0.1836,921600
1994-11-14,0.1784,0.1849,0.1784,0.1849,11529600
1994-11-15,0.1823,0.1823,0.1823,0.1823,278400
1994-11-16,0.1823,0.1823,0.1823,0.1823,278400
1994-11-17,0.1823,0.1823,0.1823,0.1823,9600
1994-11-18,0.1810,0.1836,0.1810,0.1836,115200
1994-11-21,0.1849,0.1849,0.1849,0.1849,499200
1994-11-22,0.1810,0.1810,0.1797,0.1810,1776000
1994-11-23,0.1797,0.1810,0.1771,0.1810,912000
1994-11-25,0.1810,0.1810,0.1810,0.1810,0
1994-11-28,0.1797,0.1797,0.1758,0.1758,979200
1994-11-29,0.1797,0.1836,0.1797,0.1810,3427200
1994-11-30,0.1836,0.1836,0.1771,0.1810,2524800
1994-12-01,0.1777,0.1777,0.1777,0.1777,9600
1994-12-02,0.1823,0.1823,0.1771,0.1823,316800
1994-12-05,0.1823,0.1823,0.1823,0.1823,518400
1994-12-06,0.1771,0.1784,0.1771,0.1784,172800
1994-12-07,0.1823,0.1823,0.1823,0.1823,0
1994-12-08,0.1823,0.1823,0.1745,0.1745,1756800
1994-12-09,0.1771,0.1771,0.1771,0.1771,672000
1994-12-12,0.1751,0.1771,0.1745,0.1745,902400
1994-12-13,0.1758,0.1771,0.1745,0.1771,451200
1994-12-14,0.1771,0.1771,0.1771,0.1771,0
1994-12-15,0.1784,0.1784,0.1719,0.1745,681600
1994-12-16,0.1758,0.1758,0.1706,0.1719,556800
1994-12-19,0.1719,0.1719,0.1680,0.1680,748800
1994-12-20,0.1641,0.1641,0.1602,0.1615,11270400
1994-12-21,0.1628,0.1641,0.1615,0.1641,6000000
1994-12-22,0.1654,0.1654,0.1641,0.1654,441600
1994-12-23,0.1641,0.1673,0.1641,0.1673,2524800
1994-12-27,0.1680,0.1706,0.1680,0.1706,1987200
1994-12-28,0.1719,0.1719,0.1667,0.1706,1862400
1994-12-29,0.1706,0.1732,0.1667,0.1732,1593600
1994-12-30,0.1732,0.1836,0.1732,0.1836,3657600
1995-01-03,0.1836,0.1875,0.1823,0.1849,4243200
1995-01-04,0.1862,0.1862,0.1823,0.1836,1507200
1995-01-05,0.1836,0.1836,0.1823,0.1823,1536000
1995-01-06,0.1836,0.1836,0.1803,0.1817,15792000
1995-01-09,0.1823,0.1823,0.1771,0.1797,1910400
1995-01-10,0.1797,0.1797,0.1758,0.1784,2803200
1995-01-11,0.1784,0.1784,0.1751,0.1751,1305600
1995-01-12,0.1745,0.1745,0.1745,0.1745,1852800
1995-01-13,0.1771,0.1771,0.1771,0.1771,998400
1995-01-16,0.1771,0.1927,0.1758,0.1907,47520000
1995-01-17,0.1927,0.2045,0.1901,0.2045,23366400
1995-01-18,0.2083,0.2083,0.1979,0.2019,12499200
1995-01-19,0.1979,0.2019,0.1967,0.2005,6134400
1995-01-20,0.2005,0.2005,0.1967,0.1979,499200
1995-01-23,0.1979,0.1993,0.1979,0.1993,470400
1995-01-24,0.1993,0.1993,0.1993,0.1993,38400
1995-01-25,0.1993,0.1993,0.1967,0.1979,230400
1995-01-26,0.1941,0.1941,0.1889,0.1901,4473600
1995-01-27,0.1901,0.1901,0.1875,0.1889,1180800
1995-01-30,0.1895,0.1915,0.1875,0.1915,537600
1995-01-31,0.1915,0.1953,0.1915,0.1927,4310400
1995-02-01,0.1941,0.1941,0.1889,0.1901,3292800
1995-02-02,0.1927,0.1927,0.1901,0.1921,3830400
1995-02-03,0.1921,0.1927,0.1921,0.1927,864000
1995-02-06,0.1901,0.1941,0.1901,0.1901,864000
1995-02-07,0.1941,0.1941,0.1941,0.1941,9600
1995-02-08,0.1901,0.1901,0.1901,0.1901,182400
1995-02-09,0.1927,0.1941,0.1915,0.1915,2822400
1995-02-10,0.1941,0.2045,0.1941,0.2019,5433600
1995-02-13,0.2019,0.2045,0.1979,0.2005,19545600
1995-02-14,0.1993,0.2031,0.1993,0.2005,8793600
1995-02-15,0.2031,0.2031,0.1993,0.1993,15753600
1995-02-16,0.1993,0.2019,0.1993,0.2019,1526400
1995-02-17,0.1979,0.2019,0.1979,0.1993,192000
1995-02-21,0.2019,0.2019,0.2019,0.2019,720000
1995-02-22,0.2019,0.2019,0.1979,0.1979,172800
1995-02-23,0.2019,0.2019,0.2019,0.2019,268800
1995-02-24,0.2019,0.2019,0.1985,0.2019,278400
1995-02-27,0.2019,0.2019,0.1967,0.1979,5644800
1995-02-28,0.1967,0.1967,0.1967,0.1967,1267200
1995-03-01,0.2005,0.2005,0.1979,0.2005,864000
1995-03-02,0.1967,0.1967,0.1941,0.1941,105600
1995-03-03,0.1979,0.1979,0.1979,0.1979,134400
1995-03-06,0.1941,0.1941,0.1941,0.1941,57600
1995-03-07,0.1941,0.1941,0.1941,0.1941,134400
1995-03-08,0.1941,0.1941,0.1941,0.1941,86400
1995-03-09,0.1979,0.1979,0.1979,0.1979,57600
1995-03-10,0.1979,0.1979,0.1979,0.1979,0
1995-03-13,0.1941,0.1941,0.1927,0.1927,912000
1995-03-14,0.1927,0.1927,0.1927,0.1927,86400
1995-03-15,0.1953,0.1953,0.1953,0.1953,115200
1995-03-16,0.1927,0.1967,0.1927,0.1967,38400
1995-03-17,0.1927,0.1927,0.1927,0.1927,259200
1995-03-20,0.1927,0.1927,0.1927,0.1927,19200
1995-03-21,0.1941,0.1967,0.1927,0.1967,10358400
1995-03-22,0.1947,0.1947,0.1947,0.1947,748800
1995-03-23,0.1941,0.1979,0.1941,0.1979,230400
1995-03-24,0.1967,0.1993,0.1953,0.1993,892800
1995-03-27,0.1993,0.1993,0.1967,0.1979,1968000
1995-03-28,0.1979,0.1993,0.1967,0.1993,307200
1995-03-29,0.1967,0.1967,0.1953,0.1953,576000
1995-03-30,0.1979,0.1979,0.1941,0.1941,76800
1995-03-31,0.1979,0.1979,0.1979,0.1979,38400
1995-04-03,0.1959,0.1979,0.1953,0.1979,1929600
1995-04-04,0.1979,0.1993,0.1953,0.1993,1507200
1995-04-05,0.1993,0.2005,0.1967,0.2005,23404800
1995-04-06,0.1967,0.1993,0.1953,0.1967,1900800
1995-04-07,0.1979,0.1979,0.1941,0.1979,1344000
1995-04-10,0.1979,0.1979,0.1915,0.1927,5280000
1995-04-11,0.1941,0.1993,0.1941,0.1993,7305600
1995-04-12,0.1993,0.2031,0.1953,0.2031,12892800
1995-04-13,0.2031,0.2057,0.2005,0.2057,1660800
1995-04-17,0.2057,0.2057,0.2019,0.2045,1344000
1995-04-18,0.2031,0.2045,0.2019,0.2025,672000
1995-04-19,0.2019,0.2031,0.1979,0.1979,1382400
1995-04-20,0.2031,0.2031,0.1979,0.2005,105600
1995-04-21,0.2031,0.2031,0.1979,0.1979,1545600
1995-04-24,0.1953,0.1993,0.1953,0.1993,768000
1995-04-25,0.1992,0.1992,0.1992,0.1992,0
1995-04-26,0.1993,0.1993,0.1979,0.1979,652800
1995-04-27,0.1993,0.2005,0.1979,0.2005,2976000
1995-04-28,0.2031,0.2149,0.2019,0.2123,5673600
1995-05-01,0.2135,0.2214,0.2109,0.2175,9513600
1995-05-02,0.2214,0.2214,0.2175,0.2201,1478400
1995-05-03,0.2201,0.2201,0.2161,0.2161,662400
1995-05-04,0.2161,0.2175,0.2161,0.2161,768000
1995-05-05,0.2161,0.2253,0.2161,0.2227,3974400
1995-05-08,0.2214,0.2344,0.2214,0.2305,5068800
1995-05-09,0.2318,0.2318,0.2292,0.2318,13584000
1995-05-10,0.2292,0.2318,0.2266,0.2285,9043200
1995-05-11,0.2305,0.2305,0.2266,0.2266,374400
1995-05-12,0.2266,0.2285,0.2123,0.2149,7344000
1995-05-15,0.2161,0.2161,0.2057,0.2097,4070400
1995-05-16,0.2109,0.2109,0.2057,0.2057,384000
1995-05-17,0.2097,0.2097,0.1993,0.2005,1315200
1995-05-18,0.2005,0.2135,0.2005,0.2097,94598400
1995-05-19,0.2123,0.2123,0.2083,0.2097,9446400
1995-05-22,0.2097,0.2201,0.2097,0.2175,12652800
1995-05-23,0.2161,0.2201,0.2161,0.2161,3686400
1995-05-24,0.2201,0.2201,0.2097,0.2097,9014400
1995-05-25,0.2135,0.2201,0.2071,0.2071,9120000
1995-05-26,0.2071,0.2123,0.2071,0.2109,2064000
1995-05-30,0.2123,0.2135,0.2083,0.2109,6835200
1995-05-31,0.2083,0.2188,0.2083,0.2188,5049600
1995-06-01,0.2188,0.2227,0.2188,0.2201,1315200
1995-06-02,0.2201,0.2292,0.2201,0.2253,11376000
1995-06-05,0.2292,0.2305,0.2266,0.2266,2342400
1995-06-06,0.2266,0.2331,0.2266,0.2331,2889600
1995-06-07,0.2305,0.2331,0.2292,0.2292,3744000
1995-06-08,0.2292,0.2305,0.2279,0.2285,2035200
1995-06-09,0.2279,0.2305,0.2279,0.2279,643200
1995-06-12,0.2279,0.2383,0.2279,0.2344,8188800
1995-06-13,0.2331,0.2448,0.2331,0.2435,10838400
1995-06-14,0.2409,0.2461,0.2318,0.2318,19814400
1995-06-15,0.2357,0.2357,0.2318,0.2318,3033600
1995-06-16,0.2357,0.2357,0.2305,0.2318,5596800
1995-06-19,0.2292,0.2318,0.2240,0.2253,8131200
1995-06-20,0.2240,0.2279,0.2240,0.2266,4060800
1995-06-21,0.2253,0.2305,0.2240,0.2292,9072000
1995-06-22,0.2292,0.2305,0.2266,0.2266,5923200
1995-06-23,0.2318,0.2344,0.2292,0.2331,4108800
1995-06-26,0.2344,0.2357,0.2305,0.2357,5260800
1995-06-27,0.2318,0.2318,0.2318,0.2318,201600
1995-06-28,0.2318,0.2357,0.2318,0.2344,422400
1995-06-29,0.2331,0.2357,0.2305,0.2305,1574400
1995-06-30,0.2331,0.2370,0.2331,0.2370,6288000
1995-07-03,0.2357,0.2396,0.2344,0.2370,844800
1995-07-05,0.2357,0.2396,0.2344,0.2370,1968000
1995-07-06,0.2344,0.2344,0.2344,0.2344,86400
1995-07-07,0.2344,0.2344,0.2344,0.2344,0
1995-07-10,0.2383,0.2422,0.2344,0.2383,2832000
1995-07-11,0.2383,0.2422,0.2383,0.2422,1046400
1995-07-12,0.2435,0.2435,0.2383,0.2435,3340800
1995-07-13,0.2409,0.2448,0.2409,0.2409,2016000
1995-07-14,0.2448,0.2448,0.2383,0.2409,3724800
1995-07-17,0.2396,0.2396,0.2383,0.2383,240000
1995-07-18,0.2383,0.2396,0.2357,0.2357,393600
1995-07-19,0.2357,0.2370,0.2318,0.2331,1180800
1995-07-20,0.2318,0.2344,0.2318,0.2344,192000
1995-07-21,0.2318,0.2331,0.2318,0.2318,345600
1995-07-24,0.2318,0.2344,0.2318,0.2344,57600
1995-07-25,0.2344,0.2344,0.2318,0.2331,1008000
1995-07-26,0.2318,0.2344,0.2318,0.2344,134400
1995-07-27,0.2318,0.2344,0.2318,0.2344,739200
1995-07-28,0.2344,0.2344,0.2318,0.2318,374400
