Date,Open,High,Low,Close,Volume
1993-07-22,3.6659,3.7062,3.6449,3.7062,3159100
1993-07-23,3.7062,3.8061,3.7062,3.7464,609900
1993-07-26,3.7464,3.7464,3.6659,3.6659,218400
1993-07-27,3.6868,3.6868,3.6659,3.6659,183800
1993-07-28,3.6659,3.7255,3.6659,3.7062,192900
1993-07-29,3.7062,3.7255,3.6868,3.6868,114100
1993-07-30,3.6868,3.6868,3.6659,3.6868,57200
1993-08-02,3.6868,3.7062,3.6659,3.6659,79800
1993-08-03,3.6868,3.7062,3.6659,3.7062,155100
1993-08-04,3.7062,3.7255,3.6868,3.7255,81000
1993-08-05,3.7062,3.7255,3.6868,3.6868,94500
1993-08-06,3.6868,3.7062,3.6868,3.7062,137000
1993-08-09,3.6868,3.7062,3.6868,3.6868,119200
1993-08-10,3.6868,3.6868,3.6256,3.6256,75700
1993-08-11,3.6449,3.6449,3.5853,3.6062,37100
1993-08-12,3.6062,3.6062,3.5853,3.5853,21400
1993-08-13,3.5644,3.6256,3.5450,3.6062,49500
1993-08-16,3.6062,3.6062,3.6062,3.6062,9800
1993-08-17,3.6062,3.6256,3.5853,3.6256,29900
1993-08-18,3.6062,3.6062,3.5644,3.5644,61500
1993-08-19,3.5644,3.6256,3.5644,3.6062,56300
1993-08-20,3.5853,3.5853,3.5644,3.5853,37100
1993-08-23,3.6256,3.6659,3.6256,3.6659,51700
1993-08-24,3.7062,3.7867,3.7062,3.7867,87400
1993-08-25,3.7867,3.8061,3.7464,3.7867,42200
1993-08-26,3.7867,3.7867,3.7464,3.7674,25100
1993-08-27,3.7674,3.7867,3.7464,3.7867,22000
1993-08-30,3.7867,3.8061,3.7674,3.7867,38600
1993-08-31,3.8061,3.8866,3.8061,3.8673,79300
1993-09-01,3.8866,3.9881,3.8866,3.9479,69200
1993-09-02,3.9672,3.9672,3.8866,3.9076,46800
1993-09-03,3.9285,3.9479,3.8866,3.9479,27800
1993-09-07,3.9479,3.9672,3.9285,3.9479,23900
1993-09-08,3.9479,3.9479,3.9076,3.9479,36800
1993-09-09,3.9285,3.9672,3.9285,3.9479,20800
1993-09-10,3.9672,3.9881,3.9479,3.9881,10700
1993-09-13,3.9881,4.0687,3.9672,4.0284,24600
1993-09-14,4.0091,4.0687,3.9881,4.0284,25500
1993-09-15,4.0284,4.1896,4.0091,4.1283,51700
1993-09-16,4.1283,4.1283,4.0897,4.1283,16600
1993-09-17,4.1090,4.1702,4.0897,4.1702,38100
1993-09-20,4.1493,4.1702,4.1283,4.1283,28200
1993-09-21,4.1283,4.1283,4.0478,4.1090,53200
1993-09-22,4.1090,4.1493,4.0897,4.1090,26100
1993-09-23,4.0897,4.1283,4.0897,4.1090,20700
1993-09-24,4.0687,4.0897,4.0687,4.0897,23000
1993-09-27,4.1090,4.1283,4.1090,4.1283,35400
1993-09-28,4.1702,4.2701,4.1493,4.2701,235900
1993-09-29,4.2701,4.3314,4.2701,4.3104,36300
1993-09-30,4.3314,4.4313,4.2701,4.4119,66100
1993-10-01,4.4119,4.4506,4.3910,4.4119,55500
1993-10-04,4.3104,4.3507,4.2895,4.3314,88600
1993-10-05,4.3104,4.3314,4.2701,4.2895,43900
1993-10-06,4.2701,4.2701,4.2298,4.2508,34200
1993-10-07,4.1942,4.2349,4.1730,4.2153,204200
1993-10-08,4.2153,4.2349,4.1942,4.2153,126000
1993-10-11,4.1942,4.3163,4.1942,4.2756,20300
1993-10-12,4.2544,4.4385,4.2544,4.3782,76100
1993-10-13,4.3978,4.3978,4.3163,4.3163,48800
1993-10-14,4.3359,4.3359,4.2544,4.2756,19600
1993-10-15,4.2544,4.3163,4.2349,4.3163,74900
1993-10-18,4.2968,4.3571,4.2968,4.3359,10000
1993-10-19,4.3571,4.3782,4.2756,4.2756,12500
1993-10-20,4.2968,4.2968,4.2756,4.2756,40600
1993-10-21,4.3163,4.3359,4.2756,4.2968,27700
1993-10-22,4.2968,4.3359,4.2756,4.3163,39600
1993-10-25,4.2968,4.3163,4.2968,4.3163,15200
1993-10-26,4.3359,4.3359,4.2544,4.2756,30300
1993-10-27,4.2544,4.2544,4.1535,4.1730,40800
1993-10-28,4.1535,4.1535,4.0720,4.1127,23700
1993-10-29,4.1127,4.2153,4.1127,4.2153,112100
1993-11-01,4.2153,4.2349,4.2153,4.2153,16600
1993-11-02,4.2153,4.2756,4.2153,4.2544,127900
1993-11-03,4.2756,4.2756,4.2349,4.2349,27800
1993-11-04,4.2349,4.2756,4.2153,4.2349,71300
1993-11-05,4.2349,4.2349,4.1942,4.2153,16700
1993-11-08,4.1942,4.2349,4.1942,4.2153,6400
1993-11-09,4.2349,4.2756,4.2349,4.2756,4800
1993-11-10,4.2968,4.2968,4.2544,4.2756,7300
1993-11-11,4.2756,4.2756,4.2349,4.2349,36000
1993-11-12,4.2349,4.2349,4.1942,4.2153,33000
1993-11-15,4.2153,4.2153,4.1535,4.1535,7400
1993-11-16,4.1535,4.1535,4.1339,4.1339,5900
