Date,Open,High,Low,Close,Volume
1990-03-26,0.0551,0.0562,0.0545,0.0562,41702400
1990-03-27,0.0556,0.0574,0.0551,0.0574,15926400
1990-03-28,0.0574,0.0574,0.0568,0.0568,9792000
1990-03-29,0.0568,0.0568,0.0556,0.0568,16272000
1990-03-30,0.0556,0.0556,0.0533,0.0545,28742400
1990-04-02,0.0527,0.0539,0.0516,0.0533,15868800
1990-04-03,0.0527,0.0545,0.0527,0.0539,8352000
1990-04-04,0.0539,0.0545,0.0539,0.0539,14284800
1990-04-05,0.0545,0.0545,0.0533,0.0536,8323200
1990-04-06,0.0533,0.0539,0.0527,0.0527,10771200
1990-04-09,0.0533,0.0533,0.0522,0.0522,6681600
1990-04-10,0.0522,0.0533,0.0498,0.0510,34790400
1990-04-11,0.0510,0.0516,0.0504,0.0510,24796800
1990-04-12,0.0516,0.0516,0.0504,0.0516,13161600
1990-04-16,0.0516,0.0522,0.0510,0.0516,5616000
1990-04-17,0.0510,0.0522,0.0504,0.0522,6566400
1990-04-18,0.0522,0.0533,0.0516,0.0527,24480000
1990-04-19,0.0522,0.0533,0.0522,0.0533,25142400
1990-04-20,0.0533,0.0533,0.0516,0.0516,8755200
1990-04-23,0.0516,0.0527,0.0510,0.0522,5356800
1990-04-24,0.0533,0.0533,0.0527,0.0530,10281600
1990-04-25,0.0533,0.0539,0.0533,0.0533,6768000
1990-04-26,0.0533,0.0545,0.0533,0.0533,10713600
1990-04-27,0.0533,0.0539,0.0527,0.0527,4204800
1990-04-30,0.0539,0.0562,0.0533,0.0551,34329600
1990-05-01,0.0562,0.0562,0.0551,0.0559,28771200
1990-05-02,0.0556,0.0562,0.0551,0.0551,3139200
1990-05-03,0.0562,0.0568,0.0556,0.0568,7228800
1990-05-04,0.0562,0.0574,0.0562,0.0574,5702400
1990-05-07,0.0574,0.0591,0.0574,0.0580,13536000
1990-05-08,0.0591,0.0591,0.0574,0.0585,14486400
1990-05-09,0.0585,0.0585,0.0568,0.0574,9676800
1990-05-10,0.0580,0.0580,0.0568,0.0568,2793600
1990-05-11,0.0591,0.0597,0.0568,0.0574,29923200
1990-05-14,0.0585,0.0585,0.0574,0.0574,15235200
1990-05-15,0.0585,0.0585,0.0574,0.0577,24134400
1990-05-16,0.0585,0.0585,0.0568,0.0574,18720000
1990-05-17,0.0580,0.0580,0.0574,0.0580,6595200
1990-05-18,0.0574,0.0580,0.0562,0.0568,45417600
1990-05-21,0.0562,0.0580,0.0562,0.0568,4032000
1990-05-22,0.0568,0.0574,0.0568,0.0568,22982400
1990-05-23,0.0568,0.0574,0.0562,0.0562,39715200
1990-05-24,0.0574,0.0574,0.0562,0.0574,8121600
1990-05-25,0.0556,0.0568,0.0551,0.0556,4003200
1990-05-29,0.0556,0.0568,0.0545,0.0551,20707200
1990-05-30,0.0556,0.0556,0.0539,0.0545,96278400
1990-05-31,0.0539,0.0580,0.0539,0.0574,102988800
1990-06-01,0.0574,0.0591,0.0568,0.0580,103132800
1990-06-04,0.0585,0.0597,0.0574,0.0597,48499200
1990-06-05,0.0591,0.0626,0.0591,0.0620,56131200
1990-06-06,0.0620,0.0620,0.0603,0.0614,23241600
1990-06-07,0.0620,0.0620,0.0591,0.0597,18144000
1990-06-08,0.0603,0.0603,0.0580,0.0585,6566400
1990-06-11,0.0568,0.0585,0.0568,0.0583,3686400
1990-06-12,0.0585,0.0649,0.0580,0.0638,133401600
1990-06-13,0.0649,0.0649,0.0643,0.0643,52099200
1990-06-14,0.0649,0.0655,0.0638,0.0649,54374400
1990-06-15,0.0638,0.0649,0.0638,0.0638,6537600
1990-06-18,0.0649,0.0649,0.0614,0.0626,11923200
1990-06-19,0.0603,0.0620,0.0603,0.0620,20851200
1990-06-20,0.0620,0.0632,0.0614,0.0626,30124800
1990-06-21,0.0620,0.0632,0.0614,0.0632,9936000
