Date,Open,High,Low,Close,Volume
1980-11-03,0.1784,0.1784,0.1742,0.1784,4460400
1980-11-05,0.1800,0.1917,0.1800,0.1800,8208000
1980-11-06,0.1800,0.1800,0.1742,0.1763,2613600
1980-11-07,0.1758,0.1758,0.1737,0.1753,1987200
1980-11-10,0.1753,0.1768,0.1753,0.1758,3261600
1980-11-11,0.1768,0.1843,0.1768,0.1816,6663600
1980-11-12,0.1827,0.1900,0.1827,0.1879,8607600
1980-11-13,0.1890,0.1927,0.1890,0.1927,6080400
1980-11-14,0.1927,0.1948,0.1900,0.1922,6264000
1980-11-17,0.1906,0.1906,0.1895,0.1906,7797600
1980-11-18,0.1906,0.1958,0.1900,0.1938,8704800
1980-11-19,0.1938,0.1964,0.1932,0.1938,17442000
1980-11-20,0.1938,0.1943,0.1900,0.1906,4428000
1980-11-21,0.1906,0.1922,0.1906,0.1922,15076800
1980-11-24,0.1922,0.1922,0.1890,0.1917,10303200
1980-11-25,0.1917,0.1927,0.1900,0.1922,7128000
1980-11-26,0.1922,0.1922,0.1906,0.1911,8812800
1980-11-28,0.1917,0.1922,0.1917,0.1922,4633200
1980-12-01,0.1922,0.1922,0.1890,0.1906,12592800
1980-12-02,0.1900,0.1900,0.1863,0.1879,6534000
1980-12-03,0.1879,0.1900,0.1858,0.1895,6166800
1980-12-04,0.1895,0.1922,0.1895,0.1917,8143200
1980-12-05,0.1906,0.1906,0.1869,0.1879,7808400
1980-12-08,0.1869,0.1869,0.1805,0.1843,8748000
1980-12-09,0.1843,0.1858,0.1816,0.1853,7365600
1980-12-10,0.1853,0.1890,0.1853,0.1853,9925200
1980-12-11,0.1827,0.1827,0.1763,0.1779,9774000
1980-12-12,0.1779,0.1827,0.1774,0.1816,5778000
1980-12-15,0.1837,0.1858,0.1837,0.1858,11383200
1980-12-16,0.1858,0.1858,0.1816,0.1832,61732800
1980-12-17,0.1832,0.1858,0.1821,0.1853,5929200
1980-12-18,0.1858,0.1917,0.1858,0.1890,8964000
1980-12-19,0.1890,0.1911,0.1884,0.1895,2062800
1980-12-22,0.1911,0.1943,0.1911,0.1938,5032800
1980-12-23,0.1943,0.1985,0.1943,0.1979,7657200
1980-12-24,0.1979,0.2053,0.1974,0.2043,7808400
1980-12-26,0.2043,0.2085,0.2017,0.2048,3596400
1980-12-29,0.2048,0.2074,0.2001,0.2001,5659200
1980-12-30,0.2001,0.2006,0.1969,0.2006,2667600
1980-12-31,0.2006,0.2017,0.1990,0.2017,4752000
1981-01-02,0.2017,0.2043,0.2012,0.2022,3261600
1981-01-05,0.2022,0.2064,0.2006,0.2059,6717600
1981-01-06,0.2059,0.2101,0.2059,0.2069,12387600
1981-01-07,0.2069,0.2069,0.1900,0.2027,24094800
1981-01-08,0.2027,0.2059,0.2001,0.2001,15411600
1981-01-09,0.2001,0.2033,0.1964,0.1974,17280000
1981-01-12,0.1979,0.2017,0.1979,0.1990,19839600
1981-01-13,0.1985,0.1985,0.1958,0.1974,14245200
1981-01-14,0.1974,0.1990,0.1969,0.1969,8294400
1981-01-15,0.1974,0.1995,0.1974,0.1995,4903200
1981-01-16,0.2012,0.2053,0.2012,0.2043,8985600
1981-01-19,0.2069,0.2107,0.2069,0.2101,10864800
1981-01-20,0.2101,0.2175,0.2096,0.2107,12117600
1981-01-21,0.2107,0.2122,0.2074,0.2117,12636000
1981-01-22,0.2117,0.2122,0.2085,0.2101,4557600
1981-01-23,0.2101,0.2128,0.2085,0.2096,7689600
1981-01-26,0.2085,0.2085,0.2069,0.2069,5983200
1981-01-27,0.2069,0.2122,0.2069,0.2122,5562000
1981-01-28,0.2122,0.2164,0.2117,0.2154,5421600
1981-01-29,0.2154,0.2169,0.2138,0.2164,5313600
1981-01-30,0.2175,0.2238,0.2175,0.2217,17226000
1981-02-02,0.2207,0.2207,0.2133,0.2154,10897200
1981-02-03,0.2154,0.2169,0.2143,0.2169,13478400
1981-02-04,0.2169,0.2212,0.2159,0.2196,22474800
1981-02-05,0.2196,0.2202,0.2175,0.2175,12560400
1981-02-06,0.2175,0.2223,0.2169,0.2186,29484000
1981-02-09,0.2186,0.2186,0.2096,0.2101,5691600
1981-02-10,0.2101,0.2117,0.2080,0.2101,8434800
1981-02-11,0.2101,0.2107,0.2038,0.2053,6652800
1981-02-12,0.2027,0.2027,0.1932,0.1943,9860400
1981-02-13,0.1943,0.1969,0.1879,0.1917,9212400
1981-02-17,0.1917,0.1974,0.1911,0.1964,12042000
1981-02-18,0.1985,0.2027,0.1985,0.2027,6620400
1981-02-19,0.2027,0.2038,0.1985,0.1990,6771600
1981-02-20,0.1990,0.2006,0.1932,0.1943,4849200
1981-02-23,0.1943,0.1995,0.1917,0.1974,5162400
1981-02-24,0.2001,0.2043,0.2001,0.2017,11232000
1981-02-25,0.2017,0.2027,0.1974,0.1985,6739200
1981-02-26,0.2001,0.2038,0.2001,0.2006,5562000
1981-02-27,0.2006,0.2038,0.1964,0.1990,9050400
1981-03-02,0.1985,0.1985,0.1938,0.1969,6836400
1981-03-03,0.1974,0.2006,0.1974,0.1979,8218800
1981-03-04,0.1985,0.2017,0.1985,0.1985,3952800
1981-03-05,0.1985,0.1995,0.1969,0.1974,3164400
1981-03-06,0.1974,0.1985,0.1953,0.1953,1360800
1981-03-09,0.1953,0.1958,0.1948,0.1948,3715200
1981-03-10,0.1948,0.1964,0.1948,0.1953,7657200
1981-03-11,0.1953,0.1964,0.1911,0.1932,6933600
1981-03-12,0.1995,0.2080,0.1995,0.2069,15454800
1981-03-13,0.2107,0.2128,0.2107,0.2112,15973200
1981-03-16,0.2112,0.2164,0.2107,0.2159,5346000
1981-03-17,0.2159,0.2175,0.2138,0.2154,7624800
1981-03-18,0.2143,0.2143,0.2090,0.2143,6966000
1981-03-19,0.2138,0.2138,0.2101,0.2107,9730800
1981-03-20,0.2107,0.2154,0.2107,0.2143,9309600
1981-03-23,0.2154,0.2186,0.2154,0.2169,16642800
1981-03-24,0.2175,0.2202,0.2175,0.2191,17539200
1981-03-25,0.2191,0.2270,0.2180,0.2270,20692800
1981-03-26,0.2275,0.2323,0.2275,0.2291,13597200
1981-03-27,0.2291,0.2323,0.2259,0.2259,10065600
1981-03-30,0.2259,0.2338,0.2233,0.2302,8683200
1981-03-31,0.2302,0.2349,0.2291,0.2344,6890400
1981-04-01,0.2302,0.2302,0.2259,0.2270,25790400
1981-04-02,0.2217,0.2217,0.2175,0.2212,25898400
1981-04-03,0.2207,0.2207,0.2191,0.2202,12484800
1981-04-06,0.2175,0.2175,0.2138,0.2148,6480000
1981-04-07,0.2154,0.2191,0.2154,0.2191,6134400
1981-04-08,0.2191,0.2281,0.2186,0.2281,8877600
1981-04-09,0.2281,0.2291,0.2259,0.2291,6922800
1981-04-10,0.2291,0.2302,0.2275,0.2275,6642000
1981-04-13,0.2270,0.2270,0.2223,0.2238,2775600
1981-04-14,0.2238,0.2259,0.2233,0.2243,4546800
1981-04-15,0.2243,0.2291,0.2228,0.2291,3423600
1981-04-16,0.2291,0.2318,0.2259,0.2275,5572800
1981-04-20,0.2275,0.2275,0.2243,0.2243,4406400
1981-04-21,0.2243,0.2254,0.2196,0.2196,13413600
1981-04-22,0.2196,0.2207,0.2186,0.2202,3542400
1981-04-23,0.2207,0.2259,0.2207,0.2238,6663600
1981-04-24,0.2238,0.2270,0.2238,0.2270,5551200
1981-04-27,0.2259,0.2259,0.2238,0.2238,4428000
1981-04-28,0.2238,0.2249,0.2233,0.2238,3801600
1981-04-29,0.2228,0.2228,0.2196,0.2196,7549200
1981-04-30,0.2191,0.2191,0.2133,0.2133,15390000
1981-05-01,0.2133,0.2143,0.2074,0.2112,9709200
1981-05-04,0.2107,0.2107,0.2033,0.2096,4719600
1981-05-05,0.2090,0.2090,0.2038,0.2090,9676800
1981-05-06,0.2101,0.2143,0.2101,0.2128,8748000
1981-05-07,0.2128,0.2169,0.2122,0.2169,2937600
1981-05-08,0.2186,0.2207,0.2186,0.2202,3034800
1981-05-11,0.2191,0.2191,0.2096,0.2133,20541600
1981-05-12,0.2133,0.2148,0.2122,0.2148,9687600
1981-05-13,0.2148,0.2164,0.2128,0.2143,7970400
1981-05-14,0.2143,0.2148,0.2133,0.2143,7884000
1981-05-15,0.2143,0.2164,0.2143,0.2148,4849200
1981-05-18,0.2148,0.2164,0.2112,0.2164,3207600
1981-05-19,0.2164,0.2164,0.2122,0.2133,5054400
1981-05-20,0.2133,0.2148,0.2128,0.2143,2030400
1981-05-21,0.2143,0.2148,0.2128,0.2148,8056800
1981-05-22,0.2148,0.2175,0.2143,0.2154,2635200
1981-05-26,0.2154,0.2196,0.2154,0.2196,2030400
1981-05-27,0.2196,0.2223,0.2186,0.2223,2289600
1981-05-28,0.2238,0.2270,0.2238,0.2249,18068400
1981-05-29,0.2249,0.2270,0.2228,0.2264,6652800
1981-06-01,0.2281,0.2302,0.2281,0.2291,7786800
1981-06-02,0.2286,0.2286,0.2249,0.2254,2473200
1981-06-03,0.2228,0.2228,0.2154,0.2186,13078800
1981-06-04,0.2186,0.2217,0.2175,0.2207,3164400
1981-06-05,0.2207,0.2233,0.2202,0.2223,4104000
1981-06-08,0.2243,0.2307,0.2243,0.2291,16524000
1981-06-09,0.2302,0.2318,0.2302,0.2302,15498000
1981-06-10,0.2302,0.2312,0.2302,0.2307,7344000
1981-06-11,0.2307,0.2349,0.2302,0.2349,7905600
1981-06-12,0.2349,0.2381,0.2338,0.2370,17193600
1981-06-15,0.2370,0.2381,0.2323,0.2328,4093200
1981-06-16,0.2328,0.2354,0.2328,0.2328,7948800
1981-06-17,0.2328,0.2344,0.2307,0.2328,5626800
1981-06-18,0.2333,0.2349,0.2333,0.2344,3304800
1981-06-19,0.2344,0.2354,0.2333,0.2333,6242400
1981-06-22,0.2333,0.2344,0.2318,0.2323,7182000
1981-06-23,0.2323,0.2344,0.2312,0.2344,8100000
1981-06-24,0.2344,0.2354,0.2328,0.2328,12247200
1981-06-25,0.2328,0.2344,0.2323,0.2333,2786400
1981-06-26,0.2333,0.2338,0.2333,0.2333,1123200
1981-06-29,0.2333,0.2338,0.2307,0.2307,2624400
1981-06-30,0.2307,0.2344,0.2307,0.2328,3369600
1981-07-01,0.2328,0.2333,0.2312,0.2333,10022400
1981-07-02,0.2333,0.2333,0.2291,0.2297,6922800
1981-07-06,0.2259,0.2259,0.2186,0.2196,5832000
1981-07-07,0.2196,0.2207,0.2148,0.2180,10162800
1981-07-08,0.2180,0.2207,0.2180,0.2196,6307200
1981-07-09,0.2196,0.2297,0.2191,0.2238,14547600
1981-07-10,0.2254,0.2281,0.2254,0.2270,4212000
1981-07-13,0.2270,0.2275,0.2259,0.2259,1782000
1981-07-14,0.2259,0.2264,0.2228,0.2228,3024000
1981-07-15,0.2228,0.2259,0.2212,0.2249,7700400
1981-07-16,0.2249,0.2275,0.2249,0.2275,3045600
1981-07-17,0.2275,0.2275,0.2264,0.2264,2332800
1981-07-20,0.2259,0.2259,0.2223,0.2233,2808000
1981-07-21,0.2233,0.2238,0.2207,0.2228,4773600
1981-07-22,0.2228,0.2254,0.2217,0.2217,4136400
1981-07-23,0.2217,0.2217,0.2148,0.2154,16297200
1981-07-24,0.2154,0.2186,0.2154,0.2175,2440800
1981-07-27,0.2186,0.2217,0.2186,0.2212,2138400
1981-07-28,0.2212,0.2233,0.2207,0.2223,1706400
1981-07-29,0.2223,0.2233,0.2186,0.2207,4870800
1981-07-30,0.2207,0.2217,0.2196,0.2217,9687600
1981-07-31,0.2217,0.2223,0.2207,0.2207,3736800
1981-08-03,0.2196,0.2196,0.2154,0.2154,2268000
1981-08-04,0.2154,0.2154,0.2128,0.2133,17107200
1981-08-05,0.2133,0.2154,0.2133,0.2143,7430400
1981-08-06,0.2143,0.2148,0.2128,0.2138,4525200
1981-08-07,0.2138,0.2143,0.2128,0.2128,1825200
1981-08-10,0.2128,0.2133,0.2090,0.2101,7030800
1981-08-11,0.2101,0.2112,0.2043,0.2043,26859600
1981-08-12,0.2053,0.2101,0.2053,0.2069,7830000
1981-08-13,0.2069,0.2101,0.2069,0.2096,6685200
1981-08-14,0.2101,0.2128,0.2101,0.2117,3369600
1981-08-17,0.2107,0.2107,0.2069,0.2069,6901200
1981-08-18,0.2069,0.2080,0.2038,0.2048,3520800
1981-08-19,0.2048,0.2112,0.2043,0.2101,4028400
1981-08-20,0.2101,0.2107,0.2085,0.2096,5907600
1981-08-21,0.2096,0.2101,0.2048,0.2048,4568400
1981-08-24,0.2048,0.2048,0.1974,0.1985,5356800
1981-08-25,0.1985,0.1995,0.1948,0.1990,8532000
1981-08-26,0.1990,0.2022,0.1990,0.2022,5972400
1981-08-27,0.2022,0.2022,0.1985,0.1985,4870800
1981-08-28,0.1985,0.2006,0.1979,0.1979,8326800
1981-08-31,0.1979,0.2017,0.1979,0.1979,7279200
1981-09-01,0.1974,0.1974,0.1958,0.1958,3380400
1981-09-02,0.1969,0.1990,0.1969,0.1979,4827600
1981-09-03,0.1979,0.1990,0.1964,0.1964,10519200
1981-09-04,0.1964,0.1985,0.1948,0.1979,6847200
1981-09-08,0.1974,0.1974,0.1911,0.1917,5680800
1981-09-09,0.1917,0.1932,0.1900,0.1917,5540400
1981-09-10,0.1917,0.1943,0.1917,0.1938,3812400
1981-09-11,0.1938,0.1938,0.1890,0.1911,3747600
1981-09-14,0.1911,0.1911,0.1884,0.1906,6588000
1981-09-15,0.1906,0.1943,0.1890,0.1917,3812400
1981-09-16,0.1917,0.1932,0.1890,0.1906,8056800
1981-09-17,0.1906,0.1943,0.1906,0.1906,3024000
1981-09-18,0.1906,0.1922,0.1895,0.1911,3682800
1981-09-21,0.1911,0.1911,0.1890,0.1895,11836800
1981-09-22,0.1895,0.1900,0.1858,0.1869,6480000
1981-09-23,0.1869,0.1879,0.1784,0.1879,7020000
1981-09-24,0.1895,0.1911,0.1895,0.1900,8272800
1981-09-25,0.1900,0.1900,0.1795,0.1816,5119200
1981-09-28,0.1816,0.1858,0.1732,0.1858,7063200
1981-09-29,0.1890,0.1995,0.1890,0.1932,9622800
1981-09-30,0.1932,0.1979,0.1911,0.1932,11890800
1981-10-01,0.1932,0.1974,0.1932,0.1974,5130000
1981-10-02,0.1995,0.2048,0.1995,0.2048,12495600
1981-10-05,0.2048,0.2101,0.2048,0.2059,5216400
1981-10-06,0.2059,0.2074,0.2048,0.2069,3013200
1981-10-07,0.2069,0.2122,0.2064,0.2101,6922800
