Date,Open,High,Low,Close,Volume
1990-03-26,0.8457,0.8555,0.8457,0.8555,1118412
1990-03-27,0.8457,0.8555,0.8457,0.8530,369612
1990-03-28,0.8530,0.8555,0.8457,0.8555,67212
1990-03-29,0.8555,0.8555,0.8555,0.8555,14400
1990-03-30,0.8506,0.8654,0.8457,0.8506,384012
1990-04-02,0.8654,0.8654,0.8555,0.8555,31212
1990-04-03,0.8408,0.8408,0.8408,0.8408,302400
1990-04-04,0.8382,0.8555,0.7867,0.8064,4276800
1990-04-05,0.8064,0.8211,0.8064,0.8162,4639212
1990-04-06,0.8211,0.8260,0.8113,0.8260,81612
1990-04-09,0.8113,0.8310,0.8113,0.8260,2119212
1990-04-10,0.8113,0.8310,0.8113,0.8310,187200
1990-04-11,0.8162,0.8408,0.8162,0.8408,720000
1990-04-12,0.8359,0.8359,0.8286,0.8359,340812
1990-04-16,0.8359,0.8555,0.8260,0.8408,540000
1990-04-17,0.8506,0.8506,0.8359,0.8359,136800
1990-04-18,0.8555,0.8555,0.8359,0.8359,36000
1990-04-19,0.8555,0.8555,0.8359,0.8359,93600
1990-04-20,0.8408,0.8555,0.8359,0.8555,492012
1990-04-23,0.8555,0.8555,0.8333,0.8333,2448000
1990-04-24,0.8555,0.8555,0.8310,0.8408,276012
1990-04-25,0.8310,0.8310,0.8310,0.8310,52812
1990-04-26,0.8310,0.8555,0.8310,0.8555,158400
1990-04-27,0.8310,0.8555,0.8310,0.8506,204012
1990-04-30,0.8434,0.8434,0.8310,0.8310,88812
1990-05-01,0.8506,0.8506,0.8310,0.8506,2210400
1990-05-02,0.8310,0.8506,0.8310,0.8506,240012
1990-05-03,0.8506,0.8555,0.8359,0.8555,736812
1990-05-04,0.8457,0.8555,0.8457,0.8555,50400
1990-05-07,0.8555,0.8555,0.8359,0.8555,45612
1990-05-08,0.8506,0.8555,0.8359,0.8359,936000
1990-05-09,0.8506,0.8555,0.8506,0.8555,16812
1990-05-10,0.8605,0.8654,0.8359,0.8359,859212
1990-05-11,0.8359,0.8654,0.8359,0.8654,204012
1990-05-14,0.8457,0.8654,0.8457,0.8654,684000
1990-05-15,0.8506,0.8654,0.8506,0.8654,153612
1990-05-16,0.8654,0.8654,0.8506,0.8555,124812
1990-05-17,0.8752,0.8752,0.8555,0.8752,2671200
1990-05-18,0.8851,0.8851,0.8703,0.8703,60012
1990-05-21,0.8851,0.8851,0.8654,0.8801,636012
1990-05-22,0.8949,0.8998,0.8851,0.8851,136800
1990-05-23,0.8998,0.9146,0.8900,0.9146,662400
1990-05-24,0.9244,0.9244,0.9047,0.9244,180000
1990-05-25,0.9096,0.9146,0.9047,0.9047,1677600
1990-05-29,0.9047,0.9244,0.9047,0.9071,391212
1990-05-30,0.9195,0.9195,0.9047,0.9047,369612
1990-05-31,0.9195,0.9195,0.9047,0.9047,64800
1990-06-01,0.9047,0.9195,0.9047,0.9047,189612
1990-06-04,0.9195,0.9195,0.9047,0.9195,345600
1990-06-05,0.9195,0.9195,0.9122,0.9195,736812
1990-06-06,0.9047,0.9195,0.9047,0.9047,1173600
1990-06-07,0.9047,0.9146,0.9047,0.9122,196812
1990-06-08,0.9195,0.9195,0.9047,0.9071,225612
1990-06-11,0.9195,0.9195,0.9047,0.9047,57600
1990-06-12,0.9195,0.9195,0.9047,0.9195,763200
1990-06-13,0.9047,0.9195,0.9047,0.9195,136800
1990-06-14,0.9244,0.9244,0.9047,0.9047,36000
1990-06-15,0.9244,0.9244,0.9244,0.9244,50400
