Date,Open,High,Low,Close,Volume
1990-02-08,0.9297,0.9367,0.9163,0.9297,9012000
1990-02-09,0.9367,0.9432,0.9233,0.9233,3483204
1990-02-12,0.9297,0.9297,0.9028,0.9163,1982400
1990-02-13,0.9163,0.9163,0.9098,0.9098,2212800
1990-02-14,0.9098,0.9163,0.9028,0.9028,657600
1990-02-15,0.9098,0.9098,0.8694,0.8828,1493604
1990-02-16,0.8758,0.8893,0.8758,0.8828,638400
1990-02-20,0.8828,0.8828,0.8624,0.8624,1190400
1990-02-21,0.8624,0.8694,0.8624,0.8624,272004
1990-02-22,0.8624,0.8758,0.8624,0.8758,38400
1990-02-23,0.8624,0.8624,0.8354,0.8354,1143204
1990-02-26,0.8424,0.8424,0.8289,0.8289,316800
1990-02-27,0.8289,0.8354,0.8289,0.8354,324804
1990-02-28,0.8354,0.8694,0.8354,0.8694,475200
1990-03-01,0.8624,0.8828,0.8624,0.8828,428004
1990-03-02,0.8758,0.8893,0.8758,0.8893,1364004
1990-03-05,0.8828,0.8893,0.8758,0.8828,240804
1990-03-06,0.8828,0.8963,0.8828,0.8963,430404
1990-03-07,0.9028,0.9028,0.8893,0.8893,202404
1990-03-08,0.8893,0.8893,0.8893,0.8893,792804
1990-03-09,0.8828,0.8828,0.8624,0.8694,171204
1990-03-12,0.8559,0.8559,0.8424,0.8424,1059204
1990-03-13,0.8489,0.8624,0.8489,0.8624,89604
1990-03-14,0.8624,0.8624,0.8559,0.8559,127200
1990-03-15,0.8489,0.8624,0.8489,0.8559,571200
1990-03-16,0.8559,0.8758,0.8559,0.8758,302400
1990-03-19,0.8694,0.8758,0.8694,0.8758,14400
1990-03-20,0.8758,0.8758,0.8559,0.8559,228000
1990-03-21,0.8489,0.8489,0.8354,0.8354,328800
1990-03-22,0.8354,0.8354,0.8354,0.8354,48000
1990-03-23,0.8354,0.8354,0.8354,0.8354,0
1990-03-26,0.8354,0.8489,0.8354,0.8489,50400
1990-03-27,0.8489,0.8559,0.8489,0.8559,204000
1990-03-28,0.8559,0.8559,0.8559,0.8559,2400
1990-03-29,0.8489,0.8489,0.8424,0.8489,8004
1990-03-30,0.8489,0.8489,0.8424,0.8489,0
1990-04-02,0.8289,0.8354,0.8289,0.8289,160800
1990-04-03,0.8354,0.8424,0.8354,0.8424,36000
1990-04-04,0.8489,0.8624,0.8489,0.8559,161604
1990-04-05,0.8489,0.8624,0.8424,0.8424,151200
1990-04-06,0.8424,0.8559,0.8289,0.8489,273600
