Date,Open,High,Low,Close,Volume
1998-06-19,0.1876,0.1970,0.1782,0.1876,61454400
1998-06-22,0.1865,0.1901,0.1853,0.1876,6979200
1998-06-23,0.1870,0.1901,0.1806,0.1876,9638400
1998-06-24,0.1876,0.1923,0.1853,0.1923,1732800
1998-06-25,0.1970,0.2205,0.1959,0.2111,18417600
1998-06-26,0.2135,0.2392,0.2100,0.2276,10267200
1998-06-29,0.2276,0.2417,0.2276,0.2334,4588800
1998-06-30,0.2381,0.2381,0.2229,0.2263,4747200
1998-07-01,0.2252,0.2276,0.2229,0.2229,16401600
1998-07-02,0.2252,0.2276,0.2229,0.2252,3355200
1998-07-06,0.2276,0.2276,0.2229,0.2276,2208000
1998-07-07,0.2276,0.2276,0.2229,0.2263,3652800
1998-07-08,0.2276,0.2276,0.2229,0.2276,1286400
1998-07-09,0.2263,0.2933,0.2252,0.2651,14769600
1998-07-10,0.2651,0.2721,0.2651,0.2698,1291200
1998-07-13,0.2756,0.2767,0.2591,0.2591,5025600
1998-07-14,0.2627,0.2861,0.2580,0.2839,5457600
1998-07-15,0.2908,0.3330,0.2886,0.3002,8016000
1998-07-16,0.2991,0.3049,0.2814,0.2933,4713600
1998-07-17,0.2955,0.3026,0.2908,0.3026,974400
1998-07-20,0.3026,0.3295,0.3002,0.3167,5347200
1998-07-21,0.3330,0.3471,0.3283,0.3355,10684800
1998-07-22,0.3424,0.3449,0.2908,0.3261,4641600
1998-07-23,0.3261,0.3355,0.2955,0.3167,2116800
1998-07-24,0.3167,0.3167,0.2908,0.3026,1881600
1998-07-27,0.3002,0.3049,0.2886,0.3026,46747200
1998-07-28,0.3026,0.3026,0.2792,0.2886,3052800
1998-07-29,0.2955,0.3002,0.2814,0.3002,2534400
1998-07-30,0.2979,0.3073,0.2886,0.3073,3014400
1998-07-31,0.3096,0.3096,0.2933,0.3002,921600
1998-08-03,0.2955,0.3026,0.2933,0.2979,4032000
1998-08-04,0.2991,0.3060,0.2933,0.2991,3633600
1998-08-05,0.3002,0.3330,0.2979,0.3107,8592000
1998-08-06,0.3038,0.3073,0.3002,0.3013,211200
1998-08-07,0.3154,0.3283,0.3131,0.3190,3302400
1998-08-10,0.3402,0.3402,0.3167,0.3201,2184000
1998-08-11,0.3261,0.3261,0.2908,0.3167,2265600
